"type"	"guess"	"se.guess"	"slip"	"se.slip"	"rmsea"
"PMA01"	"DINA"	0.144	0.014	0.123	0.042	0.0889965292046538
"PMA02"	"DINA"	0.028	0.003	0.03	0.005	0.0117978444003418
"PMA03"	"DINA"	0.111	0.011	0.444	0.05	0.142251091316679
"PMA04"	"DINA"	0.386	0.023	0.301	0.059	0.13339150770194
"PMA05"	"DINA"	0.49	0.03	0.127	0.024	0.107778771250837
"PMA06"	"DINA"	0.422	0.024	0.209	0.044	0.124857460971576
"PMA07"	"DINA"	0.148	0.011	0.354	0.068	0.127610298092671
"PMA08"	"DINA"	0.497	0.03	0.017	0.004	0.0495869840462313
"PMB01"	"DINA"	0.07	0.009	0.312	0.066	0.0604494063136769
"PMB02"	"DINA"	0.209	0.022	0.002	0	0.0468846678277889
"PMB03"	"DINA"	0.383	0.031	0.137	0.019	0.122840210627328
"PMB04"	"DINA"	0.249	0.02	0.053	0.007	0.0602108331626943
"PMB05"	"DINA"	0.078	0.006	0.005	0.001	0.0157893078230843
"PMB06"	"DINA"	0.298	0.023	0.219	0.033	0.106779354151305
"PMB07"	"DINA"	0.375	0.023	0.109	0.03	0.0990947858223327
"PMB08"	"DINA"	0.333	0.021	0.054	0.014	0.0756557747363022
"PMB09"	"DINA"	0.392	0.023	0.079	0.022	0.104601823975903
