"type"	"guess"	"se.guess"	"slip"	"se.slip"	"rmsea"
"PMA01"	"DINA"	0.135	0.003	0.163	0.013	0.0105707708186875
"PMA02"	"DINA"	0.063	0.001	0.137	0.005	0.0102651911667927
"PMA03"	"DINA"	0.137	0.003	0.417	0.011	0.0448141731465674
"PMA04"	"DINA"	0.415	0.005	0.252	0.013	0.0259843180320119
"PMA05"	"DINA"	0.48	0.006	0.093	0.004	0.0205130525929791
"PMA06"	"DINA"	0.439	0.005	0.198	0.011	0.0288987638363816
"PMA07"	"DINA"	0.22	0.003	0.356	0.014	0.0560167462173735
"PMA08"	"DINA"	0.555	0.006	0.019	0.001	0.0161601188442853
"PMB01"	"DINA"	0.086	0.002	0.496	0.026	0.0221023959504276
"PMB02"	"DINA"	0.261	0.005	0.202	0.005	0.00816176587467343
"PMB03"	"DINA"	0.324	0.006	0.107	0.003	0.0195167893399563
"PMB04"	"DINA"	0.327	0.005	0.18	0.005	0.0108496704100748
"PMB05"	"DINA"	0.274	0.004	0.113	0.004	0.00693390237770973
"PMB06"	"DINA"	0.347	0.005	0.253	0.008	0.0277349141682013
"PMB07"	"DINA"	0.334	0.004	0.145	0.009	0.0307311398540102
"PMB08"	"DINA"	0.375	0.004	0.098	0.006	0.0281985861645128
"PMB09"	"DINA"	0.367	0.004	0.117	0.008	0.0268412465830532
