"pattern"	"mle.est"	"mle.post"	"map.est"	"map.post"	"post.attr1"	"post.attr2"	"post.attr3"	"post.attr4"	"post.attr5"	"post.attr6"	"post.attr7"	"post.attr8"	"post.attr9"	"post.attr10"	"post.attr11"	"post.attr12"
"01010001000111111"	"111111101110"	0.0168661189440321	"111111101110"	0.239486367975029	0.929361072931979	0.836212281757708	0.858551947769828	0.775500400385541	0.818550288955401	0.82642226749537	0.789706151203252	0.089757490728921	0.657185085305576	0.94625045982837	0.900160679460517	0.263844161933762
"00000110000111101"	"100001001110"	0.0269528433093124	"111001001110"	0.0790593999549102	0.876567305699352	0.550904516206668	0.512470593262192	0.00210003025982067	0.308505853999603	0.681932676141372	0.179277448252853	0.15934785969817	0.599487543712196	0.886450932413505	0.894679565797153	0.495094949674468
"01011011001011111"	"111111100110"	0.130472853313352	"111111100110"	0.73921138446238	0.998710077946689	0.9933727186779	0.987999849213475	0.97778880031713	0.986877088310074	0.991591777924071	0.984549497164856	0.00529187588361869	0.0445486890050194	0.992456701116353	0.831212584420983	0.124648660602742
"00101011010100010"	"011011111100"	0.0100650876666197	"011011101101"	0.0617100494281235	0.339376787372404	0.801208377849684	0.697694391655792	0.00482710124343152	0.677784076562768	0.94788332562956	0.685147314429876	0.275768702508207	0.600493088202816	0.673466701244524	0.443849625559313	0.504789751889739
"00011111010011101"	"111001110111"	0.0321321230468035	"111011110110"	0.224178036278935	0.995633135824452	0.946453161846328	0.90257658916533	0.00314841785896727	0.88898385047941	0.958989904316097	0.779052180671126	0.7784677551244	0.052748419629703	0.679296413135034	0.744541939334034	0.28632389429691
"00011101011001111"	"111011110100"	0.060955963240886	"111011110101"	0.251104385714596	0.982417808271333	0.989803243112132	0.974588628809281	0.0595658938659065	0.967896865126898	0.978831778811168	0.967272565328339	0.796744634807463	0.0587973384080145	0.799655695402464	0.08404992857591	0.471810042289297
"00011001000111111"	"111011101110"	0.0763196484120395	"111011101110"	0.535524741627324	0.987321405445169	0.956871801713952	0.905214240975113	0.0034501298293681	0.85425646155671	0.936977787343792	0.901507636174311	0.0327879676988357	0.708799644587452	0.983955680398722	0.946661464389045	0.127243917146981
"11111111001111010"	"110111101110"	0.110770753142851	"111111101111"	0.632768035790507	0.999216668499631	0.996645601452147	0.931979796149676	0.990601376696413	0.894244928584542	0.997441017815375	0.969382410765117	0.00575303750034213	0.852262072045158	0.975675812990544	0.962982150324502	0.787161371709549
"01111111001101110"	"111111101100"	0.070007027006731	"111111100101"	0.362263747305004	0.996181910069279	0.997613750521838	0.885785642468113	0.983561192759821	0.878972713100378	0.986555589983571	0.923555348069525	0.0101051334361288	0.204004144373147	0.821463727378967	0.0910057688223058	0.493544066346359
"11111111101111111"	"111111101111"	0.720519631296241	"111111101111"	0.88797796103164	0.999999849576612	0.99999935585382	0.999968985917036	0.999777066485153	0.999979691821257	0.999989910965893	0.998730186070461	0.00476620671625825	0.897592768242423	0.999933685047468	0.999432426631659	0.992727098209478
"00000010000001101"	"001011000101"	0.00337742145098445	"010011000111"	0.00452904878171798	0.32661472538242	0.396271366130791	0.476862037483312	0.0106417819932713	0.485233617274784	0.461457816587309	0.276563819282231	0.2693549165186	0.289941213897982	0.438102415102968	0.446105983005889	0.499282016575829
"11100011001001010"	"110111100100"	0.0155302323040388	"110111100010"	0.119457482290903	0.826072482547145	0.822606554372543	0.207087152573718	0.964684358447825	0.793565394136445	0.882617858956036	0.82366020474631	0.060073797008208	0.087706474236753	0.420039588367496	0.285627105288024	0.450446535319196
"00000000010000110"	"011011010110"	0.00566956682253737	"011011010110"	0.0511200476052495	0.22161768106111	0.498562157884955	0.601254246868304	0.00443374732647758	0.604504614125076	0.268366554043086	0.368865083875986	0.572686664932915	0.36930199505025	0.567850638191244	0.464207337568242	0.499857628518923
"00100001000000000"	"100010010011"	0.00115441889996326	"110011100011"	0.0031529885792977	0.306301068464332	0.390523258741448	0.478329208702431	0.00520203279319404	0.518559685860729	0.127986726040924	0.496693462030269	0.436029878773997	0.444560431729752	0.449545561611733	0.450228664460367	0.499936555870985
"01001101000001111"	"111111100101"	0.00611483009256034	"111111100100"	0.339767001255132	0.890873082324561	0.926510361938537	0.909555410652287	0.91934724381606	0.91847696426663	0.793364068569745	0.862818331972297	0.104201427219521	0.111376065610303	0.843476158556459	0.103733398027628	0.495115046216021
