"Estado","Sede - Dirección","EB","EMS","Total Adscritos","Cantidad EB","Cantidad EMS","No. Docentes","No. TecDoc","No. ATP","No. Dir","No. Sup ","Fechas de aplicación","Mínimo","Máximo","Promedio","No. Docentes EB","No. TecDoc EB","No. ATP EB","No. Dir EB","No. Sup EBS","No. Docentes EMS","No. TecDoc EMS","No. ATP EMS","No. Dir EMS","No. Sup EMS","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","Min EB","Max EB","Mean EB","Min EMS","Max EMS","Mean EMS","No. Grupos"
"Baja California","BLVD. LOMBARDO TOLEDANO Y LAGUNA XOCHIMILCO, S/N, FRACC. XOCHIMILCO, C.P. 22810","Sí","-","136","136","0","69","-","2","47","18","4","28","40","34","69","-","2","47","18","0","-","0","0","0","05/05/2018","39","06/05/2018","28","19/05/2018","40","26/05/2018","29","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","39","06/05/2018","28","19/05/2018","40","26/05/2018","29","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","19/05/2018","0","26/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28","40","34","0","0","0","2"
"Baja California","AV. PASEO DEL RÍO, No. 6652, DESARROLLO URBANO RIO TIJUANA 3ra. ETAPA, C.P. 22226","Sí","Sí","60","28","32","23","5","1","30","1","2","28","32","30","0","0","1","26","1","23","5","0","4","0","05/05/2018","28","12/05/2018","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","28","12/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","28","14","0","32","16","1"
"Baja California","DANIEL QUINTERO ENTRE VENECIA Y CALLE TERCERA, No. 551, EJIDO RAÚL SÁNCHEZ DÍAZ, C.P. 2293","Sí","Sí","238","211","27","166","1","2","56","13","7","17","54","34","164","0","2","32","13","2","1","0","24","0","05/05/2018","47","12/05/2018","27","19/05/2018","17","20/05/2018","54","26/05/2018","23","27/05/2018","22","02/06/2018","48","-","-","-","-","-","-","-","-","-","-","05/05/2018","47","12/05/2018","0","19/05/2018","17","20/05/2018","54","26/05/2018","23","27/05/2018","22","02/06/2018","48","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","27","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","-","-","0","54","30","0","27","4","2"
"Baja California","AV. TECNOLÓGICO, S/N, COL. PLUTARCO ELÍAS CALLES, C.P. 21376","Sí","Sí","1123","1007","116","840","24","13","173","73","9","109","130","125","755","4","13","162","73","85","20","0","11","0","05/05/2018","130","06/05/2018","118","12/05/2018","116","19/05/2018","130","20/05/2018","130","26/05/2018","130","27/05/2018","130","02/06/2018","130","03/06/2018","109","-","-","-","-","-","-","05/05/2018","130","06/05/2018","118","12/05/2018","0","19/05/2018","130","20/05/2018","130","26/05/2018","130","27/05/2018","130","02/06/2018","130","03/06/2018","109","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","116","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","0","130","112","0","116","13","4"
"Baja California","BLVD. INDUSTRIAL Y AV. ITR, S/N, MESA DE OTAY, C.P. 22500","Sí","Sí","203","95","108","70","33","3","68","29","2","95","108","102","0","0","3","63","29","70","33","0","5","0","05/05/2018","95","12/05/2018","108","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","95","12/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","108","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","95","48","0","108","54","5"
"Baja California","CARR. LIBRE TIJUANA-TECATE KM 10, S/N, FRACC. EL REFUGIO QUINTAS CAMPESTRE, C.P. 22253","Sí","-","1496","1496","0","1403","9","2","62","20","6","84","426","249","1403","9","2","62","20","0","0","0","0","0","05/05/2018","84","19/05/2018","426","20/05/2018","247","26/05/2018","140","27/05/2018","264","02/06/2018","335","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","84","19/05/2018","426","20/05/2018","247","26/05/2018","140","27/05/2018","264","02/06/2018","335","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","84","426","249","0","0","0","15"
"Baja California","CALLE VENUSTIANO CARRANZA, No. 10, ZONA CENTRO, C.P. 21400","Sí","Sí","214","186","28","149","6","1","49","9","7","22","58","31","124","4","1","48","9","25","2","0","1","0","05/05/2018","58","12/05/2018","28","19/05/2018","22","20/05/2018","32","26/05/2018","23","27/05/2018","26","02/06/2018","25","-","-","-","-","-","-","-","-","-","-","05/05/2018","58","12/05/2018","0","19/05/2018","22","20/05/2018","32","26/05/2018","23","27/05/2018","26","02/06/2018","25","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","28","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","-","-","0","58","27","0","28","4","2"
"Baja California","AV. AGUA AZUL, No. 6811, FRACC. LOMA BONITA, C.P. 22604","Sí","-","40","40","0","-","-","1","26","13","1","40","40","40","-","-","1","26","13","-","-","0","0","0","05/05/2018","40","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","40","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","40","40","40","0","0","0","1"
"Baja California","AV. PASEO DE LOS HÉROES, No. 11161, ZONA RÍO, C.P. 22320","Sí","Sí","210","98","112","83","29","3","66","29","2","98","112","105","0","0","3","66","29","83","29","0","0","0","05/05/2018","98","12/05/2018","112","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","98","12/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","112","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","98","49","0","112","56","3"
"Baja California Sur","FELIX ORTEGA Y NORMAL, S/N, COL. CENTRO, C.P. 23000","Sí","-","575","575","0","433","-","36","70","36","7","53","90","82","433","-","36","70","36","0","-","0","0","0","05/05/2018","89","06/05/2018","53","19/05/2018","90","20/05/2018","90","26/05/2018","73","27/05/2018","90","02/06/2018","90","-","-","-","-","-","-","-","-","-","-","05/05/2018","89","06/05/2018","53","19/05/2018","90","20/05/2018","90","26/05/2018","73","27/05/2018","90","02/06/2018","90","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","-","-","53","90","82","0","0","0","3"
