"Estado","Sede - Dirección","EB","EMS","Total Adscritos","Cantidad EB","Cantidad EMS","No. Docentes","No. TecDoc","No. ATP","No. Dir","No. Sup ","Fechas de aplicación","Mínimo","Máximo","Promedio","No. Docentes EB","No. TecDoc EB","No. ATP EB","No. Dir EB","No. Sup EBS","No. Docentes EMS","No. TecDoc EMS","No. ATP EMS","No. Dir EMS","No. Sup EMS","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","Min EB","Max EB","Mean EB","Min EMS","Max EMS","Mean EMS","No. Grupos"
"Jalisco","CALLE VIENA, No. 111, FRACC. LAS GAVIOTAS, C.P. 48320","Sí","-","227","227","0","125","-","24","47","31","4","24","102","57","125","-","24","47","31","0","-","0","0","0","05/05/2018","102","19/05/2018","34","26/05/2018","67","02/06/2018","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","102","19/05/2018","34","26/05/2018","67","02/06/2018","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","19/05/2018","0","26/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24","102","57","0","0","0","3"
"Jalisco","SIERRA DE TECUAN, No. 2165, RESIDENCIAL SAN ELIAS, C.P. 44230","Sí","-","320","320","0","238","2","7","45","28","8","40","40","40","238","2","7","45","28","0","0","0","0","0","05/05/2018","40","06/05/2018","40","19/05/2018","40","20/05/2018","40","26/05/2018","40","27/05/2018","40","02/06/2018","40","03/06/2018","40","-","-","-","-","-","-","-","-","05/05/2018","40","06/05/2018","40","19/05/2018","40","20/05/2018","40","26/05/2018","40","27/05/2018","40","02/06/2018","40","03/06/2018","40","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","-","-","40","40","40","0","0","0","2"
"Jalisco","BLVD. EL RODEO, No. 401, COL. EL VIGIA, C.P. 45140","Sí","-","823","823","0","540","6","69","110","98","9","74","100","91","540","6","69","110","98","0","0","0","0","0","05/05/2018","100","06/05/2018","91","12/05/2018","84","19/05/2018","100","20/05/2018","74","26/05/2018","94","27/05/2018","100","02/06/2018","100","03/06/2018","80","-","-","-","-","-","-","05/05/2018","100","06/05/2018","91","12/05/2018","84","19/05/2018","100","20/05/2018","74","26/05/2018","94","27/05/2018","100","02/06/2018","100","03/06/2018","80","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","74","100","91","0","0","0","4"
"Jalisco","CAMINO A LA CIÉNEGA, No. 501, COL. LA CAPACHA, C.P. 45600","Sí","-","651","651","0","440","4","54","90","63","9","50","80","72","440","4","54","90","63","0","0","0","0","0","05/05/2018","80","06/05/2018","74","12/05/2018","53","19/05/2018","80","20/05/2018","80","26/05/2018","74","27/05/2018","80","02/06/2018","80","03/06/2018","50","-","-","-","-","-","-","05/05/2018","80","06/05/2018","74","12/05/2018","53","19/05/2018","80","20/05/2018","80","26/05/2018","74","27/05/2018","80","02/06/2018","80","03/06/2018","50","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","50","80","72","0","0","0","4"
"Jalisco","CARR. A SAN ISIDRO-MAZATEPEC, S/N, SANTA CRUZ DE LAS FLORES, C.P. 45315","Sí","-","390","390","0","232","7","31","65","55","10","34","40","39","232","7","31","65","55","0","0","0","0","0","05/05/2018","40","06/05/2018","40","12/05/2018","37","13/05/2018","34","19/05/2018","40","20/05/2018","40","26/05/2018","39","27/05/2018","40","02/06/2018","40","03/06/2018","40","-","-","-","-","05/05/2018","40","06/05/2018","40","12/05/2018","37","13/05/2018","34","19/05/2018","40","20/05/2018","40","26/05/2018","39","27/05/2018","40","02/06/2018","40","03/06/2018","40","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","0","13/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","34","40","39","0","0","0","2"
"Jalisco","BLVD. GRANADA, No. 167, FRACC. CHULAVISTA, C.P. 45655","Sí","-","611","611","0","409","13","55","78","56","9","33","80","68","409","13","55","78","56","0","0","0","0","0","05/05/2018","80","06/05/2018","76","12/05/2018","33","19/05/2018","78","20/05/2018","47","26/05/2018","60","27/05/2018","78","02/06/2018","79","03/06/2018","80","-","-","-","-","-","-","05/05/2018","80","06/05/2018","76","12/05/2018","33","19/05/2018","78","20/05/2018","47","26/05/2018","60","27/05/2018","78","02/06/2018","79","03/06/2018","80","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","33","80","68","0","0","0","4"
"Jalisco","PROL. HIDALGO, S/N, COL. VILLA DE GUADALUPE","Sí","-","521","521","0","307","1","73","89","51","9","29","80","58","307","1","73","89","51","0","0","0","0","0","05/05/2018","80","06/05/2018","73","12/05/2018","60","19/05/2018","52","20/05/2018","37","26/05/2018","29","27/05/2018","80","02/06/2018","70","03/06/2018","40","-","-","-","-","-","-","05/05/2018","80","06/05/2018","73","12/05/2018","60","19/05/2018","52","20/05/2018","37","26/05/2018","29","27/05/2018","80","02/06/2018","70","03/06/2018","40","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","29","80","58","0","0","0","4"
"Jalisco","CAMINO A TESISTAN LA MAGDALENA, No. 500, COL. TESISTAN (ZONA CENTRO), C.P. 45100","Sí","-","435","435","0","289","7","18","80","41","7","40","72","62","289","7","18","80","41","0","0","0","0","0","05/05/2018","72","06/05/2018","67","19/05/2018","48","20/05/2018","40","26/05/2018","72","27/05/2018","70","02/06/2018","66","-","-","-","-","-","-","-","-","-","-","05/05/2018","72","06/05/2018","67","19/05/2018","48","20/05/2018","40","26/05/2018","72","27/05/2018","70","02/06/2018","66","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","-","-","40","72","62","0","0","0","4"
"Jalisco","CALLE PRESIDENTE DÍAZ ORDAZ, No. 40, COL. LINDAVISTA, C.P. 47180","Sí","-","861","861","0","534","7","95","126","99","9","30","112","96","534","7","95","126","99","0","0","0","0","0","05/05/2018","112","06/05/2018","99","12/05/2018","109","19/05/2018","112","20/05/2018","72","26/05/2018","30","27/05/2018","103","02/06/2018","112","03/06/2018","112","-","-","-","-","-","-","05/05/2018","112","06/05/2018","99","12/05/2018","109","19/05/2018","112","20/05/2018","72","26/05/2018","30","27/05/2018","103","02/06/2018","112","03/06/2018","112","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","30","112","96","0","0","0","6"
"Jalisco","LIBRAMIENTO SUR KM 2.7 CARR. ARANDAS LEÓN APARTADO POSTAL 73, S/N, COL. ARANDAS (ZONA CENT","Sí","-","512","512","0","336","5","27","86","58","7","46","90","73","336","5","27","86","58","0","0","0","0","0","05/05/2018","90","06/05/2018","81","19/05/2018","58","20/05/2018","46","26/05/2018","83","02/06/2018","90","03/06/2018","64","-","-","-","-","-","-","-","-","-","-","05/05/2018","90","06/05/2018","81","19/05/2018","58","20/05/2018","46","26/05/2018","83","02/06/2018","90","03/06/2018","64","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","-","-","-","-","46","90","73","0","0","0","6"
"Jalisco","CALLE SOR JUANA INES DE LA CRUZ ESQ. CARLOS BARRERA, S/N, COL. EL ZALATE, C.P. 44760","Sí","-","235","235","0","160","-","24","34","17","6","35","40","39","160","-","24","34","17","0","-","0","0","0","05/05/2018","40","06/05/2018","35","19/05/2018","40","20/05/2018","40","27/05/2018","40","03/06/2018","40","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","40","06/05/2018","35","19/05/2018","40","20/05/2018","40","27/05/2018","40","03/06/2018","40","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","19/05/2018","0","20/05/2018","0","27/05/2018","0","03/06/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","35","40","39","0","0","0","2"
"Jalisco","PASEO DE LA MISERICORDIA, No. 3, FRACC. VILLA FONTANA, C.P. 45610","Sí","-","420","420","0","261","1","46","76","36","8","50","53","52","261","1","46","76","36","0","0","0","0","0","05/05/2018","53","06/05/2018","53","12/05/2018","52","19/05/2018","50","20/05/2018","53","26/05/2018","53","27/05/2018","53","02/06/2018","53","-","-","-","-","-","-","-","-","05/05/2018","53","06/05/2018","53","12/05/2018","52","19/05/2018","50","20/05/2018","53","26/05/2018","53","27/05/2018","53","02/06/2018","53","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","50","53","52","0","0","0","4"
"Jalisco","MARIANO JIMENEZ, No. 200, COL. EL PANORAMICO, C.P. 45400","Sí","-","252","252","0","173","3","18","39","19","7","16","40","36","173","3","18","39","19","0","0","0","0","0","05/05/2018","40","06/05/2018","36","19/05/2018","40","20/05/2018","40","26/05/2018","16","27/05/2018","40","02/06/2018","40","-","-","-","-","-","-","-","-","-","-","05/05/2018","40","06/05/2018","36","19/05/2018","40","20/05/2018","40","26/05/2018","16","27/05/2018","40","02/06/2018","40","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","-","-","16","40","36","0","0","0","2"
"Jalisco","CALLE COREA DEL SUR, No. 560, COL. EL MANGAL-COAPINOLE","Sí","Sí","741","669","72","547","17","44","75","58","9","45","92","82","496","8","44","63","58","51","9","0","12","0","05/05/2018","84","06/05/2018","81","12/05/2018","72","19/05/2018","91","20/05/2018","92","26/05/2018","45","27/05/2018","92","02/06/2018","92","03/06/2018","92","-","-","-","-","-","-","05/05/2018","84","06/05/2018","81","12/05/2018","0","19/05/2018","91","20/05/2018","92","26/05/2018","45","27/05/2018","92","02/06/2018","92","03/06/2018","92","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","72","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","0","92","74","0","72","8","3"
"Edo. México","SOR JUANA I. DE LA CRUZ ESQ. JOSÉ REVUELTAS, S/N, COL. TIERRA BLANCA, C.P. 55020","Sí","Sí","384","305","79","287","15","-","56","26","10","22","41","38","213","10","-","56","26","74","5","-","0","0","05/05/2018","41","06/05/2018","41","12/05/2018","41","13/05/2018","38","19/05/2018","39","20/05/2018","39","26/05/2018","41","27/05/2018","22","02/06/2018","41","03/06/2018","41","-","-","-","-","05/05/2018","41","06/05/2018","41","12/05/2018","0","13/05/2018","0","19/05/2018","39","20/05/2018","39","26/05/2018","41","27/05/2018","22","02/06/2018","41","03/06/2018","41","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","41","13/05/2018","38","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","0","41","30","0","41","8","1"
"Edo. México","AV. MOCTEZUMA CASI ESQ. GOBERNADORES, S/N, COL. LA PROVIDENCIA, C.P. 52177","Sí","Sí","695","556","139","475","17","-","141","62","10","68","70","70","409","9","-","82","56","66","8","-","59","6","05/05/2018","70","06/05/2018","68","13/05/2018","70","12/05/2018","69","19/05/2018","70","20/05/2018","70","26/05/2018","70","27/05/2018","69","02/06/2018","70","03/06/2018","69","-","-","-","-","05/05/2018","70","06/05/2018","68","13/05/2018","0","12/05/2018","0","19/05/2018","70","20/05/2018","70","26/05/2018","70","27/05/2018","69","02/06/2018","70","03/06/2018","69","-","-","-","-","05/05/2018","0","06/05/2018","0","13/05/2018","70","12/05/2018","69","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","0","70","56","0","70","14","2"
"Edo. México","AV. MÉXICO,S/N,COL. GRANJAS GUADALUPE, LA COLMENA,C.P. 54475","Sí","-","36","36","0","-","-","-","21","15","1","36","36","36","-","-","-","21","15","-","-","-","0","0","05/05/2018","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36","36","36","0","0","0","1"
"Edo. México","KM 2 DE LA CARR. TENANCINGO-VILLA GUERRERO, S/N, EX-HACIENDA DE SANTA ANA, C.P. 52400","Sí","Sí","658","528","130","502","14","-","76","66","10","41","73","66","380","6","-","76","66","122","8","-","0","0","05/05/2018","72","06/05/2018","70","12/05/2018","73","13/05/2018","57","19/05/2018","73","20/05/2018","73","26/05/2018","41","27/05/2018","53","02/06/2018","73","03/06/2018","73","-","-","-","-","05/05/2018","72","06/05/2018","70","12/05/2018","0","13/05/2018","0","19/05/2018","73","20/05/2018","73","26/05/2018","41","27/05/2018","53","02/06/2018","73","03/06/2018","73","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","73","13/05/2018","57","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","0","73","53","0","73","13","1"
"Edo. México","AV. DEL CONVENTO, S/N, FRACC. EL TRÉBOL, C.P. 54614","Sí","Sí","317","245","72","232","14","-","47","24","9","21","40","35","167","7","-","47","24","65","7","-","0","0","05/05/2018","38","06/05/2018","33","12/05/2018","40","13/05/2018","32","19/05/2018","40","20/05/2018","21","26/05/2018","33","02/06/2018","40","03/06/2018","40","-","-","-","-","-","-","05/05/2018","38","06/05/2018","33","12/05/2018","0","13/05/2018","0","19/05/2018","40","20/05/2018","21","26/05/2018","33","02/06/2018","40","03/06/2018","40","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","40","13/05/2018","32","19/05/2018","0","20/05/2018","0","26/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","0","40","27","0","40","8","1"
"Edo. México","CAMINO A LA ESTACIÓN ESQ. CAMINO A TEPEXPAN, S/N, COMUNIDAD DE TEQUISISTLÁN, C.P. 56020","Sí","Sí","457","349","108","355","37","-","48","17","8","38","67","57","269","15","-","48","17","86","22","-","0","0","05/05/2018","65","12/05/2018","66","13/05/2018","42","19/05/2018","47","20/05/2018","38","26/05/2018","66","02/06/2018","66","03/06/2018","67","-","-","-","-","-","-","-","-","05/05/2018","65","12/05/2018","0","13/05/2018","0","19/05/2018","47","20/05/2018","38","26/05/2018","66","02/06/2018","66","03/06/2018","67","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","66","13/05/2018","42","19/05/2018","0","20/05/2018","0","26/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","-","-","0","67","44","0","66","14","2"
"Edo. México","CALLE NATALIA CARRASCO, No. 400, FEDERAL, C.P. 50120","Sí","Sí","427","331","96","289","1","-","103","34","9","43","48","47","235","0","-","64","32","54","1","-","39","2","05/05/2018","48","06/05/2018","48","13/05/2018","48","12/05/2018","48","19/05/2018","48","20/05/2018","48","26/05/2018","43","02/06/2018","48","03/06/2018","48","-","-","-","-","-","-","05/05/2018","48","06/05/2018","48","13/05/2018","0","12/05/2018","0","19/05/2018","48","20/05/2018","48","26/05/2018","43","02/06/2018","48","03/06/2018","48","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","13/05/2018","48","12/05/2018","48","19/05/2018","0","20/05/2018","0","26/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","0","48","37","0","48","11","1"
"Edo. México","MARIO COLIN SÁNCHEZ, No. 5, CENTRO, C.P. 50450","Sí","Sí","550","432","118","390","20","-","88","52","10","42","60","55","316","10","-","54","52","74","10","-","34","0","05/05/2018","58","06/05/2018","48","13/05/2018","59","12/05/2018","59","19/05/2018","58","20/05/2018","60","26/05/2018","48","27/05/2018","42","02/06/2018","59","03/06/2018","59","-","-","-","-","05/05/2018","58","06/05/2018","48","13/05/2018","0","12/05/2018","0","19/05/2018","58","20/05/2018","60","26/05/2018","48","27/05/2018","42","02/06/2018","59","03/06/2018","59","-","-","-","-","05/05/2018","0","06/05/2018","0","13/05/2018","59","12/05/2018","59","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","0","60","43","0","59","12","1"
"Edo. México","DE LOS FRESNOS, No. 68, ARCOS DEL ALBA, C.P. 54750","Sí","-","174","174","0","144","5","-","18","7","7","24","25","25","144","5","-","18","7","0","0","-","0","0","05/05/2018","25","19/05/2018","25","20/05/2018","25","26/05/2018","24","27/05/2018","25","02/06/2018","25","03/06/2018","25","-","-","-","-","-","-","-","-","-","-","05/05/2018","25","19/05/2018","25","20/05/2018","25","26/05/2018","24","27/05/2018","25","02/06/2018","25","03/06/2018","25","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","-","-","-","-","24","25","25","0","0","0","1"
"Edo. México","VÍA GUSTAVO BAZ ESQ. JACARANDAS, S/N, FRACC. VALLE HERMOSO, C.P. 54010","Sí","Sí","608","495","113","452","30","-","66","60","10","48","65","61","357","12","-","66","60","95","18","-","0","0","05/05/2018","65","06/05/2018","61","12/05/2018","65","13/05/2018","48","19/05/2018","65","20/05/2018","50","26/05/2018","65","27/05/2018","59","02/06/2018","65","03/06/2018","65","-","-","-","-","05/05/2018","65","06/05/2018","61","12/05/2018","0","13/05/2018","0","19/05/2018","65","20/05/2018","50","26/05/2018","65","27/05/2018","59","02/06/2018","65","03/06/2018","65","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","65","13/05/2018","48","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","0","65","50","0","65","11","1"
"Edo. México","CALLE PONCIANO DÍAZ, No. 104, COL. EL CAMPESINO, C.P. 52600","Sí","Sí","880","674","206","640","29","-","128","83","9","65","110","98","449","14","-","128","83","191","15","-","0","0","05/05/2018","107","06/05/2018","104","12/05/2018","110","13/05/2018","96","19/05/2018","110","20/05/2018","65","26/05/2018","68","02/06/2018","110","03/06/2018","110","-","-","-","-","-","-","05/05/2018","107","06/05/2018","104","12/05/2018","0","13/05/2018","0","19/05/2018","110","20/05/2018","65","26/05/2018","68","02/06/2018","110","03/06/2018","110","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","110","13/05/2018","96","19/05/2018","0","20/05/2018","0","26/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","0","110","75","0","110","23","1"
"Edo. México","CALLE AMEYALCO, S/N, TLATEL XOCHITENCO, C.P. 56336","Sí","Sí","304","212","92","232","31","-","25","16","7","29","50","43","159","12","-","25","16","73","19","-","0","0","05/05/2018","41","12/05/2018","50","13/05/2018","42","20/05/2018","29","26/05/2018","42","02/06/2018","50","03/06/2018","50","-","-","-","-","-","-","-","-","-","-","05/05/2018","41","12/05/2018","0","13/05/2018","0","20/05/2018","29","26/05/2018","42","02/06/2018","50","03/06/2018","50","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","50","13/05/2018","42","20/05/2018","0","26/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","-","-","-","-","0","50","30","0","50","13","1"
"Edo. México","AV. RUIZ CORTINES ESQ. TEOTIHUACAN, S/N, LOMAS DE ATIZAPÁN, C.P. 52977","Sí","Sí","438","319","119","336","13","-","67","22","8","31","61","55","251","8","-","40","20","85","5","-","27","2","05/05/2018","60","13/05/2018","60","12/05/2018","59","19/05/2018","60","26/05/2018","47","27/05/2018","31","02/06/2018","60","03/06/2018","61","-","-","-","-","-","-","-","-","05/05/2018","60","13/05/2018","0","12/05/2018","0","19/05/2018","60","26/05/2018","47","27/05/2018","31","02/06/2018","60","03/06/2018","61","-","-","-","-","-","-","-","-","05/05/2018","0","13/05/2018","60","12/05/2018","59","19/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","-","-","0","61","40","0","60","15","2"
"Edo. México","CALLE PROL. MIGUEL NEGRETE ESQ. LÍNEAS DE ALTA TENSIÓN,S/N,COL. SAN RAFAEL CHAMAPA,C.P. 53","Sí","-","42","42","0","-","-","-","29","13","1","42","42","42","-","-","-","29","13","-","-","-","0","0","05/05/2018","42","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","42","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","42","42","42","0","0","0","1"
"Edo. México","CARR. FEDERAL MÉXICO-CUAUTLA, S/N, LA CANDELARIA TLAPALA, C.P. 56641","Sí","Sí","464","297","167","269","18","-","145","32","6","60","90","77","120","0","-","145","32","149","18","-","0","0","05/05/2018","89","06/05/2018","88","12/05/2018","90","13/05/2018","77","02/06/2018","60","03/06/2018","60","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","89","06/05/2018","88","12/05/2018","0","13/05/2018","0","02/06/2018","60","03/06/2018","60","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","90","13/05/2018","77","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","0","89","50","0","90","28","1"
"Edo. México","AV. NOPALTEPEC, S/N, FRACC. LA COYOTERA DEL EJIDO DE SAN ANTONIO CUAMATLA, C.P. 54748","Sí","Sí","969","721","248","805","40","-","85","39","9","59","125","108","574","23","-","85","39","231","17","-","0","0","05/05/2018","124","12/05/2018","124","13/05/2018","124","19/05/2018","92","20/05/2018","80","26/05/2018","116","27/05/2018","59","02/06/2018","125","03/06/2018","125","-","-","-","-","-","-","05/05/2018","124","12/05/2018","0","13/05/2018","0","19/05/2018","92","20/05/2018","80","26/05/2018","116","27/05/2018","59","02/06/2018","125","03/06/2018","125","-","-","-","-","-","-","05/05/2018","0","12/05/2018","124","13/05/2018","124","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","0","125","80","0","124","28","1"
"Edo. México","AV. TECNOLÓGICO, S/N, VALLE DE ANÁHUAC, C.P. 55210","Sí","Sí","1836","1429","407","1354","61","-","323","98","10","126","204","184","1095","43","-","195","96","259","18","-","128","2","05/05/2018","165","06/05/2018","126","13/05/2018","204","12/05/2018","203","19/05/2018","189","20/05/2018","182","26/05/2018","196","27/05/2018","166","02/06/2018","201","03/06/2018","204","-","-","-","-","05/05/2018","165","06/05/2018","126","13/05/2018","0","12/05/2018","0","19/05/2018","189","20/05/2018","182","26/05/2018","196","27/05/2018","166","02/06/2018","201","03/06/2018","204","-","-","-","-","05/05/2018","0","06/05/2018","0","13/05/2018","204","12/05/2018","203","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","0","204","143","0","204","41","1"
"Edo. México","CARR. TOLUCA-ATLACOMULCO KM 44.8, S/N, COL. EJIDO SAN JUAN Y SAN AGUSTÍN, C.P. 50700","Sí","Sí","805","596","209","551","19","-","141","94","8","46","120","101","352","9","-","141","94","199","10","-","0","0","05/05/2018","116","06/05/2018","119","12/05/2018","120","13/05/2018","89","19/05/2018","75","26/05/2018","46","02/06/2018","120","03/06/2018","120","-","-","-","-","-","-","-","-","05/05/2018","116","06/05/2018","119","12/05/2018","0","13/05/2018","0","19/05/2018","75","26/05/2018","46","02/06/2018","120","03/06/2018","120","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","120","13/05/2018","89","19/05/2018","0","26/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","-","-","0","120","74","0","120","26","1"
"Edo. México","AV. INSTITUTO TECNOLÓGICO, S/N, EJIDO DE SAN FELIPE DEL PROGRESO, C.P. 50640","Sí","Sí","219","165","54","137","12","-","29","41","7","19","35","31","83","12","-","29","41","54","0","-","0","0","05/05/2018","35","06/05/2018","35","12/05/2018","35","13/05/2018","19","26/05/2018","26","02/06/2018","35","03/06/2018","34","-","-","-","-","-","-","-","-","-","-","05/05/2018","35","06/05/2018","35","12/05/2018","0","13/05/2018","0","26/05/2018","26","02/06/2018","35","03/06/2018","34","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","35","13/05/2018","19","26/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","-","-","-","-","0","35","24","0","35","8","1"
"Edo. México","CARR. FED. VALLE DE BRAVO KM 30, S/N, EJIDO DE SAN ANTONIO DE LA LAGUNA, C.P. 51200","Sí","Sí","203","170","33","32","1","-","87","83","3","33","88","68","0","0","-","87","83","32","1","-","0","0","05/05/2018","88","06/05/2018","82","12/05/2018","33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","88","06/05/2018","82","12/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","88","57","0","33","11","1"
