Entidad,ID CTT,SNPA01,SNPA02,SNPA03,SNPA04,SNPA05,SNPA06,SNPA07,SNPA08,SNPA09,SNPA10,SNPA11,SNPA12,MI01,MI02,MI03,MI04,MI05,MI06,MI07,MI08,MI09,MI10,FEM01,FEM02,FEM03,FEM04,FEM05,FEM06,FEM07,FEM08
ZACATECAS,3414,0.733651868,0.781336814,0.765342109,0.732696974,0.714582757,0.690641008,0.780699619,0.674777534,0.692014846,0.68452007,0.787427108,0.678469307,0.866626537,0.831966385,0.59129876,0.701416526,0.804925319,0.624163846,0.684405883,0.253279859,0.87862066,0.729007959,0.490662856,0.500251295,0.500236812,0.352683299,0.497987495,0.500997515,0.351825372,0.501603555
ZACATECAS,3415,0.682262905,0.714466202,0.68935832,0.626878714,0.668206433,0.668435177,0.691794813,0.625935327,0.583658935,0.581401705,0.686666132,0.508179518,0.878954742,0.805959409,0.772856061,0.756553119,0.800045563,0.714062548,0.770291225,0.730208067,0.878710011,0.799775736,0.678271446,0.666599696,0.687087176,0.613584095,0.683219181,0.566617695,0.559287024,0.47839086
ZACATECAS,3416,0.920638101,0.911688169,0.869598489,0.900937919,0.902371199,0.907993141,0.815748655,0.888104193,0.862207604,0.782161419,0.913997606,0.624990954,0.951502894,0.673910961,0.949202691,0.90180169,0.929158232,0.805145223,0.947157639,0.907181769,0.61798327,0.930551843,0.807013631,0.752376718,0.807442591,0.76290716,0.796781331,0.67595967,0.771822376,0.613041962
ZACATECAS,3417,0.445415875,0.538390666,0.527576755,0.388451876,0.416368517,0.43452566,0.533505945,0.510828539,0.318702933,0.515988831,0.480192298,0.478754256,0.62860578,0.550293861,0.62131466,0.589911845,0.627052201,0.582525562,0.598518652,0.588775792,0.583957142,0.607672124,0.5288843,0.529868344,0.541662593,0.467164647,0.524414464,0.530764611,0.384044427,0.459303247
ZACATECAS,3418,0.614255561,0.618072888,0.597981072,0.584672562,0.642454106,0.652519745,0.612832755,0.569437559,0.415076055,0.548295827,0.605453982,0.396071145,0.718076456,0.642051384,0.547057362,0.584302487,0.625486204,0.583367829,0.661699445,0.644064594,0.727159278,0.65967069,0.604153077,0.537658151,0.599673754,0.550599975,0.581137867,0.532959965,0.518064092,0.451379044
ZACATECAS,3419,0.550053978,0.603793202,0.568367401,0.499346326,0.566232402,0.583881606,0.593796591,0.58208622,0.547096542,0.48799471,0.56390053,0.470718552,0.498239854,0.514759055,0.559745854,0.533297989,0.559190256,0.553041388,0.603694779,0.614530322,0.491697382,0.610529563,0.53816506,0.540527398,0.551268049,0.426910206,0.544563092,0.503319468,0.40910525,0.430711045
ZACATECAS,3420,0.47200988,0.549805543,0.541626463,0.396777224,0.441816472,0.462064553,0.546587902,0.52155821,0.409767208,0.536518891,0.528210684,0.49921531,0.684516359,0.67608571,0.604154759,0.610602347,0.682742947,0.464198361,0.658462572,0.615038737,0.683442691,0.655677298,0.580081793,0.562563333,0.581920996,0.484809713,0.571889825,0.548156471,0.463151111,0.501475596
ZACATECAS,3421,0.450139999,0.536743051,0.528698672,0.391748634,0.402738074,0.427349822,0.538296337,0.515789927,0.357058442,0.488261918,0.477136317,0.483225501,0.590491225,0.545123728,0.498356979,0.532019666,0.500130047,0.537764805,0.578760503,0.559408698,0.609608403,0.558791152,0.55804561,0.533317916,0.553741272,0.469106439,0.543285521,0.500500181,0.371170645,0.424648531
ZACATECAS,3422,0.736938873,0.72912537,0.7295583,0.742686212,0.680630973,0.67752854,0.73721514,0.684634932,0.587174788,0.724668016,0.699536572,0.474315027,0.890176575,0.830349585,0.635885384,0.693127781,0.840332688,0.361563718,0.706676315,0.661765054,0.875190481,0.8022675,0.59874604,0.43422013,0.589039349,0.564821023,0.586843765,0.512407006,0.457745033,0.452107817
ZACATECAS,3423,0.741601967,0.751329863,0.712434761,0.728662288,0.675454607,0.68934699,0.701593353,0.734939778,0.698103076,0.632710396,0.742638498,0.498646016,0.835867375,0.789526823,0.711597496,0.740210546,0.742055399,0.628698478,0.769183481,0.660486166,0.830301422,0.772677173,0.619506628,0.595111264,0.623686797,0.547793314,0.617946695,0.553294338,0.509313987,0.49465387
