,Ganancias,Perdidas
1,52,127
2,72,86
3,0,199
4,65,199
5,48,75
6,84,196
7,20,152
8,1,5
9,63,197
10,125,80
11,58,142
12,40,190
13,15,194
14,38,159
15,73,198
16,0,2
17,2,181
18,0,23
