"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA15","DINA",0.144,0.003,0.188,0.008,0.0201668967940205
"PMA16","DINA",0.232,0.004,0.148,0.009,0.0107004219654227
"PMA17","DINA",0.214,0.003,0.181,0.009,0.0394924973595529
"PMA18","DINA",0.256,0.004,0.339,0.012,0.0216042960150294
"PMA19","DINA",0.428,0.005,0.065,0.003,0.0379251487811634
"PMA20","DINA",0.223,0.004,0.316,0.008,0.0339698050627476
"PMA21","DINA",0.285,0.004,0.148,0.007,0.0320022236408895
"PMA22","DINA",0.394,0.004,0.001,0,0.0468821385031372
"PMA23","DINA",0.381,0.004,0.151,0.009,0.0591338818698069
"PMA24","DINA",0.347,0.004,0.14,0.009,0.0554903279849069
"PMA25","DINA",0.509,0.006,0.056,0.003,0.0449375566283381
"PMB15","DINA",0.157,0.004,0.402,0.008,0.0396062759448623
"PMB16","DINA",0.204,0.004,0.379,0.011,0.0698874893700227
"PMB17","DINA",0.22,0.004,0.15,0.014,0.0154120079340178
"PMB18","DINA",0.248,0.004,0.476,0.012,0.0399782704822752
"PMB19","DINA",0.195,0.003,0.257,0.012,0.0537006903361438
"PMB20","DINA",0.19,0.004,0.374,0.009,0.057408550048913
"PMB21","DINA",0.351,0.004,0.198,0.011,0.0494023776792952
"PMB22","DINA",0.241,0.004,0.29,0.012,0.042291988669117
"PMB23","DINA",0.296,0.004,0.314,0.011,0.0490842338755246
"PMB24","DINA",0.328,0.005,0.081,0.003,0.0257089730535879
"PMB25","DINA",0.267,0.006,0.07,0.002,0.0215344469138487
