"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA09","DINA",0.153,0.003,0.252,0.006,0.0063079366235127
"PMA10","DINA",0.246,0.003,0.086,0.006,0.00338615634772552
"PMA11","DINA",0.352,0.004,0.091,0.006,0.0160289366143388
"PMA12","DINA",0.279,0.004,0.155,0.009,0.0180342872495853
"PMA13","DINA",0.418,0.005,0.101,0.007,0.0203302530185967
"PMA14","DINA",0.344,0.004,0.075,0.006,0.00844518344601018
"PMB10","DINA",0.192,0.003,0.272,0.012,0.00593913241656364
"PMB11","DINA",0.248,0.004,0.13,0.006,0.00611017140593429
"PMB12","DINA",0.288,0.004,0.363,0.017,0.032815739291286
"PMB13","DINA",0.321,0.004,0.28,0.014,0.0289150873159277
"PMB14","DINA",0.368,0.005,0.29,0.007,0.0238855882580911
