trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,394,80,1379,30,left,1,20,8.675,Tue May 23 12:00:59 2017
2,1576,20,1379,30,left,0,9,13.744,Tue May 23 12:01:13 2017
3,1379,30,197,90,right,1,21,8.58,Tue May 23 12:01:23 2017
4,197,90,985,50,left,1,30,11.171,Tue May 23 12:01:35 2017
5,788,60,394,80,right,1,32,19.828,Tue May 23 12:01:56 2017
6,591,70,1773,10,left,1,6,7.805,Tue May 23 12:02:05 2017
7,1379,30,591,70,right,1,19,14.486,Tue May 23 12:02:20 2017
8,1379,30,197,90,right,1,21,4.788,Tue May 23 12:02:26 2017
9,1182,40,1773,10,left,1,3,22.162,Tue May 23 12:02:48 2017
10,788,60,1773,10,left,1,5,6.128,Tue May 23 12:02:55 2017
11,197,90,1182,40,left,1,26,13.277,Tue May 23 12:03:11 2017
12,788,60,1773,10,left,1,5,2.961,Tue May 23 12:03:15 2017
13,1576,20,985,50,right,1,11,12.501,Tue May 23 12:03:28 2017
14,788,60,1576,20,left,1,12,4.473,Tue May 23 12:03:33 2017
15,394,80,197,90,left,0,36,11.375,Tue May 23 12:03:45 2017
16,1379,30,1182,40,left,0,16,9.426,Tue May 23 12:03:55 2017
17,1576,20,985,50,right,1,11,8.709,Tue May 23 12:04:05 2017
18,1773,10,788,60,right,1,5,7.391,Tue May 23 12:04:13 2017
19,394,80,591,70,right,0,34,19.027,Tue May 23 12:04:32 2017
20,985,50,394,80,right,1,29,6.617,Tue May 23 12:04:40 2017
21,1773,10,591,70,right,1,6,6.224,Tue May 23 12:04:46 2017
22,394,80,788,60,right,0,32,6.48,Tue May 23 12:04:53 2017
23,1576,20,591,70,right,1,13,19.721,Tue May 23 12:05:14 2017
24,591,70,788,60,right,0,31,12.387,Tue May 23 12:05:27 2017
25,1379,30,1773,10,left,1,2,7.124,Tue May 23 12:05:35 2017
26,985,50,788,60,left,0,27,10.528,Tue May 23 12:05:46 2017
27,197,90,1576,20,left,1,15,5.276,Tue May 23 12:05:52 2017
28,197,90,1379,30,left,1,21,4.89,Tue May 23 12:05:57 2017
29,788,60,1576,20,left,1,12,4.666,Tue May 23 12:06:03 2017
30,1773,10,394,80,right,1,7,3.292,Tue May 23 12:06:07 2017
31,197,90,985,50,left,1,30,5.19,Tue May 23 12:06:12 2017
32,1182,40,788,60,left,0,23,9.455,Tue May 23 12:06:23 2017
33,1576,20,985,50,right,1,11,7.721,Tue May 23 12:06:31 2017
34,591,70,197,90,left,0,35,11.115,Tue May 23 12:06:43 2017
35,591,70,197,90,left,0,35,6.864,Tue May 23 12:06:50 2017
36,1182,40,394,80,right,1,25,3.82,Tue May 23 12:06:54 2017
37,985,50,591,70,right,1,28,5.987,Tue May 23 12:07:01 2017
38,1182,40,1773,10,left,1,3,8.595,Tue May 23 12:07:10 2017
39,591,70,394,80,left,0,34,11.602,Tue May 23 12:07:22 2017
40,197,90,1182,40,left,1,26,6.769,Tue May 23 12:07:29 2017
41,394,80,1182,40,left,1,25,6.763,Tue May 23 12:07:37 2017
42,1182,40,985,50,left,0,22,25.285,Tue May 23 12:08:03 2017
43,788,60,1773,10,left,1,5,14.655,Tue May 23 12:08:18 2017
44,788,60,1379,30,left,1,18,10.593,Tue May 23 12:08:29 2017
45,197,90,1182,40,left,1,26,5.436,Tue May 23 12:08:35 2017
46,1576,20,394,80,right,1,14,6.509,Tue May 23 12:08:42 2017
47,1576,20,1773,10,left,1,1,14.738,Tue May 23 12:08:57 2017
48,985,50,1182,40,right,0,22,10.312,Tue May 23 12:09:08 2017
49,1773,10,985,50,right,1,4,4.765,Tue May 23 12:09:13 2017
50,591,70,985,50,left,1,28,5.725,Tue May 23 12:09:20 2017
51,1773,10,197,90,right,1,8,4.199,Tue May 23 12:09:25 2017
52,985,50,1576,20,left,1,11,4.793,Tue May 23 12:09:30 2017
53,591,70,197,90,right,1,35,17.628,Tue May 23 12:09:50 2017
54,1182,40,197,90,right,1,26,23.931,Tue May 23 12:10:15 2017
55,1182,40,985,50,left,0,22,4.029,Tue May 23 12:10:19 2017
56,394,80,1576,20,left,1,14,16.641,Tue May 23 12:10:36 2017
57,1182,40,1379,30,right,0,16,6.527,Tue May 23 12:10:44 2017
58,394,80,591,70,right,0,34,6.795,Tue May 23 12:10:53 2017
59,985,50,1182,40,right,0,22,7.36,Tue May 23 12:11:01 2017
60,788,60,394,80,right,1,32,8.915,Tue May 23 12:11:10 2017
61,985,50,1379,30,left,1,17,7.997,Tue May 23 12:11:19 2017
62,788,60,1379,30,left,1,18,12.767,Tue May 23 12:11:32 2017
63,394,80,985,50,left,1,29,6.896,Tue May 23 12:11:39 2017
64,1182,40,591,70,right,1,24,5.792,Tue May 23 12:11:45 2017
65,1576,20,1773,10,left,1,1,11.125,Tue May 23 12:11:57 2017
66,1182,40,591,70,right,1,24,8.885,Tue May 23 12:12:06 2017
67,1182,40,394,80,right,1,25,13.061,Tue May 23 12:12:21 2017
68,394,80,1379,30,left,1,20,4.459,Tue May 23 12:12:26 2017
69,197,90,1576,20,left,1,15,7.799,Tue May 23 12:12:34 2017
70,1773,10,788,60,right,1,5,8.702,Tue May 23 12:12:43 2017
71,1773,10,1182,40,right,1,3,8.96,Tue May 23 12:12:53 2017
72,197,90,1182,40,left,1,26,3.863,Tue May 23 12:12:58 2017
73,1182,40,394,80,right,1,25,8.468,Tue May 23 12:13:07 2017
74,788,60,1576,20,left,1,12,7.203,Tue May 23 12:13:14 2017
75,591,70,1379,30,left,1,19,13.388,Tue May 23 12:13:28 2017
76,1182,40,788,60,right,1,23,20.678,Tue May 23 12:13:49 2017
77,985,50,1379,30,left,1,17,11.365,Tue May 23 12:14:01 2017
78,985,50,591,70,right,1,28,8.595,Tue May 23 12:14:10 2017
79,985,50,591,70,right,1,28,8.897,Tue May 23 12:14:20 2017
80,394,80,591,70,right,0,34,7.126,Tue May 23 12:14:27 2017
81,788,60,591,70,left,0,31,6.592,Tue May 23 12:14:35 2017
82,788,60,591,70,left,0,31,3.545,Tue May 23 12:14:39 2017
83,394,80,197,90,left,0,36,7.911,Tue May 23 12:14:47 2017
84,1773,10,197,90,right,1,8,2.184,Tue May 23 12:14:50 2017
85,1773,10,197,90,right,1,8,3.02,Tue May 23 12:14:53 2017
86,197,90,1182,40,left,1,26,2.935,Tue May 23 12:14:57 2017
87,591,70,197,90,right,1,35,4.159,Tue May 23 12:15:02 2017
88,788,60,985,50,right,0,27,4.048,Tue May 23 12:15:06 2017
89,1576,20,1182,40,right,1,10,4.749,Tue May 23 12:15:11 2017
90,788,60,197,90,right,1,33,5.871,Tue May 23 12:15:18 2017
91,788,60,591,70,left,0,31,3.35,Tue May 23 12:15:22 2017
92,1576,20,1773,10,left,1,1,7.741,Tue May 23 12:15:30 2017
93,591,70,1182,40,left,1,24,5.223,Tue May 23 12:15:36 2017
94,1379,30,788,60,right,1,18,12.972,Tue May 23 12:15:49 2017
95,1182,40,394,80,right,1,25,3.396,Tue May 23 12:15:53 2017
96,197,90,394,80,right,0,36,3.773,Tue May 23 12:15:57 2017
97,788,60,1576,20,left,1,12,4.887,Tue May 23 12:16:03 2017
98,1773,10,197,90,right,1,8,3.058,Tue May 23 12:16:06 2017
99,591,70,394,80,left,0,34,4.454,Tue May 23 12:16:11 2017
100,1773,10,1182,40,right,1,3,3.639,Tue May 23 12:16:15 2017
101,197,90,985,50,left,1,30,4.924,Tue May 23 12:16:21 2017
102,591,70,788,60,right,0,31,10.088,Tue May 23 12:16:31 2017
103,1773,10,1379,30,right,1,2,6.874,Tue May 23 12:16:39 2017
104,1182,40,1379,30,left,1,16,21.59,Tue May 23 12:17:01 2017
105,197,90,788,60,left,1,33,3.261,Tue May 23 12:17:04 2017
106,197,90,591,70,left,1,35,5.353,Tue May 23 12:17:10 2017
107,591,70,1576,20,left,1,13,4.762,Tue May 23 12:17:16 2017
108,197,90,1773,10,left,1,8,2.814,Tue May 23 12:17:19 2017
109,788,60,591,70,left,0,31,6.468,Tue May 23 12:17:26 2017
110,591,70,985,50,left,1,28,5.968,Tue May 23 12:17:32 2017
111,1379,30,985,50,right,1,17,2.982,Tue May 23 12:17:36 2017
112,1576,20,1379,30,right,1,9,6.111,Tue May 23 12:17:42 2017
113,591,70,1379,30,left,1,19,5.186,Tue May 23 12:17:48 2017
114,1182,40,788,60,right,1,23,5.734,Tue May 23 12:17:54 2017
115,985,50,394,80,right,1,29,2.076,Tue May 23 12:17:57 2017
116,1773,10,1576,20,right,1,1,2.456,Tue May 23 12:18:00 2017
117,197,90,985,50,left,1,30,4.474,Tue May 23 12:18:05 2017
118,1182,40,197,90,right,1,26,3.122,Tue May 23 12:18:08 2017
119,591,70,985,50,left,1,28,3.097,Tue May 23 12:18:12 2017
120,591,70,985,50,left,1,28,3.228,Tue May 23 12:18:16 2017
121,591,70,1379,30,left,1,19,3.791,Tue May 23 12:18:20 2017
122,1576,20,985,50,right,1,11,1.27,Tue May 23 12:18:22 2017
123,1379,30,1182,40,left,0,16,10.082,Tue May 23 12:18:32 2017
124,985,50,394,80,right,1,29,9.887,Tue May 23 12:18:42 2017
125,1773,10,1182,40,right,1,3,2.111,Tue May 23 12:18:45 2017
126,394,80,1773,10,left,1,7,2.554,Tue May 23 12:18:48 2017
127,197,90,394,80,right,0,36,3.37,Tue May 23 12:18:52 2017
128,1379,30,394,80,right,1,20,2.48,Tue May 23 12:18:55 2017
129,1379,30,591,70,right,1,19,4.711,Tue May 23 12:19:00 2017
130,1182,40,788,60,right,1,23,7.0,Tue May 23 12:19:07 2017
131,1182,40,1773,10,left,1,3,1.816,Tue May 23 12:19:10 2017
132,394,80,1379,30,left,1,20,1.883,Tue May 23 12:19:12 2017
133,591,70,1773,10,left,1,6,3.854,Tue May 23 12:19:16 2017
134,394,80,1773,10,left,1,7,2.518,Tue May 23 12:19:19 2017
135,788,60,985,50,right,0,27,7.359,Tue May 23 12:19:27 2017
136,1773,10,985,50,right,1,4,3.751,Tue May 23 12:19:31 2017
