trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
86,1773,10,1576,20,right,1,1,3.131,Wed May 24 13:29:07 2017
87,394,80,197,90,left,0,36,2.202,Wed May 24 13:29:09 2017
88,394,80,1182,40,right,0,25,3.691,Wed May 24 13:29:14 2017
89,1182,40,1379,30,left,1,16,7.453,Wed May 24 13:29:22 2017
90,394,80,1182,40,right,0,25,6.014,Wed May 24 13:29:28 2017
91,788,60,1379,30,left,1,18,10.636,Wed May 24 13:29:43 2017
92,1379,30,985,50,right,1,17,3.084,Wed May 24 13:29:47 2017
93,1379,30,1182,40,right,1,16,3.146,Wed May 24 13:29:50 2017
94,591,70,788,60,left,1,31,5.025,Wed May 24 13:29:56 2017
95,394,80,591,70,right,0,34,4.263,Wed May 24 13:30:01 2017
96,1576,20,591,70,left,0,13,2.878,Wed May 24 13:30:04 2017
97,394,80,591,70,right,0,34,5.363,Wed May 24 13:30:10 2017
98,1182,40,591,70,left,0,24,12.785,Wed May 24 13:30:23 2017
99,197,90,1576,20,right,0,15,5.605,Wed May 24 13:30:29 2017
100,1576,20,788,60,right,1,12,6.386,Wed May 24 13:30:38 2017
101,985,50,1773,10,left,1,4,2.339,Wed May 24 13:30:41 2017
102,1182,40,394,80,left,0,25,4.593,Wed May 24 13:30:47 2017
103,1182,40,1576,20,left,1,10,5.52,Wed May 24 13:30:53 2017
104,1379,30,1773,10,left,1,2,3.271,Wed May 24 13:30:57 2017
105,591,70,197,90,left,0,35,2.639,Wed May 24 13:31:00 2017
106,1576,20,591,70,right,1,13,9.555,Wed May 24 13:31:10 2017
107,1773,10,985,50,right,1,4,3.838,Wed May 24 13:31:15 2017
108,197,90,788,60,right,0,33,2.415,Wed May 24 13:31:18 2017
109,197,90,1576,20,right,0,15,3.174,Wed May 24 13:31:22 2017
110,985,50,788,60,left,0,27,9.456,Wed May 24 13:31:32 2017
111,1773,10,1379,30,right,1,2,6.931,Wed May 24 13:31:40 2017
112,197,90,788,60,right,0,33,2.85,Wed May 24 13:31:44 2017
113,1379,30,591,70,right,1,19,5.114,Wed May 24 13:31:50 2017
114,1379,30,1773,10,left,1,2,4.114,Wed May 24 13:31:55 2017
