trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,1379,30,197,90,left,0,21,14.652,Thu May 25 13:33:07 2017
2,1576,20,788,60,right,1,12,5.966,Thu May 25 13:33:14 2017
3,394,80,1773,10,left,1,7,4.904,Thu May 25 13:33:20 2017
4,1379,30,394,80,right,1,20,5.022,Thu May 25 13:33:26 2017
5,1773,10,1576,20,right,1,1,6.141,Thu May 25 13:33:33 2017
6,197,90,394,80,right,0,36,7.195,Thu May 25 13:33:41 2017
7,985,50,394,80,right,1,29,9.856,Thu May 25 13:33:52 2017
8,1773,10,1182,40,right,1,3,5.722,Thu May 25 13:33:59 2017
9,985,50,591,70,right,1,28,4.864,Thu May 25 13:34:04 2017
10,1576,20,1379,30,right,1,9,8.15,Thu May 25 13:34:13 2017
11,1379,30,197,90,left,0,21,3.071,Thu May 25 13:34:17 2017
12,197,90,1182,40,right,0,26,6.645,Thu May 25 13:34:24 2017
13,197,90,1576,20,right,0,15,1.73,Thu May 25 13:34:27 2017
14,591,70,788,60,right,0,31,2.442,Thu May 25 13:34:30 2017
15,1576,20,1182,40,left,0,10,2.87,Thu May 25 13:34:33 2017
16,197,90,1576,20,right,0,15,2.695,Thu May 25 13:34:37 2017
17,1379,30,1576,20,left,1,9,5.693,Thu May 25 13:34:43 2017
18,1773,10,1379,30,right,1,2,4.318,Thu May 25 13:34:49 2017
19,197,90,1182,40,left,1,26,3.722,Thu May 25 13:34:53 2017
20,1773,10,1182,40,right,1,3,6.248,Thu May 25 13:35:00 2017
21,1576,20,1773,10,left,1,1,8.86,Thu May 25 13:35:10 2017
22,788,60,394,80,right,1,32,12.121,Thu May 25 13:35:23 2017
23,591,70,1182,40,right,0,24,1.733,Thu May 25 13:35:25 2017
24,1379,30,1773,10,left,1,2,2.197,Thu May 25 13:35:28 2017
25,788,60,1773,10,right,0,5,1.739,Thu May 25 13:35:30 2017
26,985,50,1182,40,left,1,22,2.804,Thu May 25 13:35:36 2017
27,1182,40,591,70,right,1,24,22.228,Thu May 25 13:35:59 2017
28,591,70,788,60,left,1,31,6.482,Thu May 25 13:36:06 2017
29,985,50,1182,40,left,1,22,3.969,Thu May 25 13:36:11 2017
30,985,50,591,70,right,1,28,1.615,Thu May 25 13:36:13 2017
31,788,60,1576,20,left,1,12,1.57,Thu May 25 13:36:16 2017
32,985,50,1379,30,left,1,17,2.008,Thu May 25 13:36:18 2017
33,197,90,1576,20,left,1,15,3.027,Thu May 25 13:36:22 2017
34,394,80,197,90,right,1,36,3.367,Thu May 25 13:36:26 2017
35,197,90,1773,10,left,1,8,2.09,Thu May 25 13:36:29 2017
36,394,80,1182,40,left,1,25,1.587,Thu May 25 13:36:31 2017
37,197,90,1379,30,left,1,21,2.576,Thu May 25 13:36:34 2017
38,1773,10,1182,40,right,1,3,1.239,Thu May 25 13:36:36 2017
39,985,50,788,60,right,1,27,2.834,Thu May 25 13:36:40 2017
40,1576,20,394,80,right,1,14,1.448,Thu May 25 13:36:42 2017
41,985,50,788,60,left,0,27,5.344,Thu May 25 13:36:48 2017
42,985,50,394,80,right,1,29,3.623,Thu May 25 13:36:52 2017
43,1182,40,591,70,right,1,24,2.065,Thu May 25 13:36:55 2017
44,788,60,1182,40,left,1,23,1.654,Thu May 25 13:36:57 2017
45,197,90,788,60,left,1,33,2.048,Thu May 25 13:37:00 2017
46,197,90,788,60,left,1,33,1.757,Thu May 25 13:37:02 2017
47,985,50,1379,30,left,1,17,1.703,Thu May 25 13:37:04 2017
48,1576,20,591,70,right,1,13,1.342,Thu May 25 13:37:06 2017
49,1773,10,591,70,right,1,6,1.256,Thu May 25 13:37:08 2017
50,1773,10,1576,20,left,0,1,3.708,Thu May 25 13:37:13 2017
51,197,90,1379,30,left,1,21,2.002,Thu May 25 13:37:15 2017
52,394,80,1379,30,left,1,20,4.118,Thu May 25 13:37:20 2017
53,1773,10,197,90,right,1,8,1.715,Thu May 25 13:37:23 2017
54,985,50,1379,30,left,1,17,2.539,Thu May 25 13:37:26 2017
55,1773,10,1182,40,right,1,3,1.541,Thu May 25 13:37:28 2017
56,985,50,197,90,right,1,30,3.062,Thu May 25 13:37:32 2017
57,1576,20,1379,30,right,1,9,3.445,Thu May 25 13:37:36 2017
58,1379,30,1182,40,right,1,16,1.343,Thu May 25 13:37:38 2017
59,197,90,1576,20,left,1,15,1.853,Thu May 25 13:37:41 2017
60,591,70,197,90,right,1,35,1.263,Thu May 25 13:37:43 2017
61,1576,20,985,50,right,1,11,1.185,Thu May 25 13:37:44 2017
62,1773,10,985,50,right,1,4,1.212,Thu May 25 13:37:46 2017
63,788,60,1576,20,left,1,12,1.183,Thu May 25 13:37:48 2017
64,197,90,788,60,left,1,33,1.512,Thu May 25 13:37:50 2017
65,1182,40,1379,30,right,0,16,3.74,Thu May 25 13:37:55 2017
66,394,80,1773,10,left,1,7,4.538,Thu May 25 13:38:00 2017
67,394,80,197,90,left,0,36,3.533,Thu May 25 13:38:04 2017
68,1182,40,1576,20,left,1,10,1.986,Thu May 25 13:38:07 2017
69,1773,10,985,50,right,1,4,4.112,Thu May 25 13:38:12 2017
70,1182,40,788,60,right,1,23,2.533,Thu May 25 13:38:15 2017
71,1773,10,197,90,right,1,8,3.456,Thu May 25 13:38:20 2017
72,1576,20,394,80,right,1,14,1.842,Thu May 25 13:38:22 2017
73,1773,10,591,70,right,1,6,2.301,Thu May 25 13:38:25 2017
74,394,80,1182,40,left,1,25,8.33,Thu May 25 13:38:34 2017
75,985,50,1576,20,left,1,11,4.075,Thu May 25 13:38:39 2017
76,591,70,197,90,right,1,35,1.967,Thu May 25 13:38:42 2017
77,591,70,1773,10,left,1,6,2.13,Thu May 25 13:38:45 2017
78,788,60,591,70,right,1,31,2.42,Thu May 25 13:38:48 2017
79,1379,30,788,60,right,1,18,1.541,Thu May 25 13:38:51 2017
80,1182,40,591,70,right,1,24,2.082,Thu May 25 13:38:54 2017
81,197,90,788,60,left,1,33,3.117,Thu May 25 13:38:58 2017
82,394,80,985,50,left,1,29,8.333,Thu May 25 13:39:07 2017
83,394,80,591,70,right,0,34,3.49,Thu May 25 13:39:11 2017
84,197,90,788,60,left,1,33,1.664,Thu May 25 13:39:14 2017
85,985,50,591,70,right,1,28,5.8,Thu May 25 13:39:20 2017
86,1576,20,985,50,right,1,11,4.228,Thu May 25 13:39:25 2017
87,591,70,1773,10,left,1,6,3.727,Thu May 25 13:39:29 2017
88,197,90,1182,40,left,1,26,3.709,Thu May 25 13:39:34 2017
89,1379,30,1182,40,left,0,16,5.485,Thu May 25 13:39:40 2017
90,1182,40,1773,10,left,1,3,4.049,Thu May 25 13:39:45 2017
91,1576,20,1773,10,right,0,1,5.448,Thu May 25 13:39:50 2017
92,394,80,1576,20,left,1,14,1.788,Thu May 25 13:39:53 2017
