trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,1576,20,591,70,right,1,13,5.066,Wed May 24 12:23:36 2017
2,1182,40,985,50,left,0,22,8.076,Wed May 24 12:23:46 2017
3,1379,30,197,90,right,1,21,7.372,Wed May 24 12:23:54 2017
4,197,90,1379,30,left,1,21,5.862,Wed May 24 12:24:02 2017
5,591,70,1773,10,left,1,6,4.271,Wed May 24 12:24:07 2017
6,1773,10,985,50,right,1,4,10.018,Wed May 24 12:24:19 2017
7,394,80,1379,30,left,1,20,4.285,Wed May 24 12:24:24 2017
8,788,60,197,90,left,0,33,7.503,Wed May 24 12:24:32 2017
9,1576,20,1379,30,right,1,9,8.856,Wed May 24 12:24:47 2017
10,1379,30,985,50,left,0,17,8.422,Wed May 24 12:24:56 2017
11,1379,30,1773,10,left,1,2,5.565,Wed May 24 12:25:02 2017
12,197,90,788,60,left,1,33,5.966,Wed May 24 12:25:09 2017
13,1182,40,1379,30,left,1,16,6.287,Wed May 24 12:25:16 2017
14,1182,40,394,80,right,1,25,4.738,Wed May 24 12:25:22 2017
15,394,80,1576,20,left,1,14,4.435,Wed May 24 12:25:27 2017
16,394,80,788,60,left,1,32,9.998,Wed May 24 12:25:38 2017
17,394,80,1379,30,left,1,20,10.879,Wed May 24 12:25:49 2017
18,1182,40,985,50,left,0,22,7.854,Wed May 24 12:25:58 2017
19,1773,10,788,60,right,1,5,6.105,Wed May 24 12:26:08 2017
20,591,70,394,80,left,0,34,28.212,Wed May 24 12:26:37 2017
21,394,80,788,60,left,1,32,4.133,Wed May 24 12:26:41 2017
22,985,50,1379,30,right,0,17,21.595,Wed May 24 12:27:04 2017
23,1379,30,197,90,right,1,21,4.856,Wed May 24 12:27:09 2017
24,1576,20,197,90,right,1,15,6.885,Wed May 24 12:27:17 2017
25,1576,20,985,50,right,1,11,5.211,Wed May 24 12:27:23 2017
26,1773,10,1379,30,left,0,2,6.999,Wed May 24 12:27:31 2017
27,394,80,1773,10,left,1,7,3.24,Wed May 24 12:27:35 2017
28,1576,20,1182,40,right,1,10,4.093,Wed May 24 12:27:39 2017
29,788,60,1182,40,left,1,23,14.597,Wed May 24 12:27:55 2017
30,788,60,985,50,right,0,27,8.456,Wed May 24 12:28:04 2017
31,394,80,1773,10,left,1,7,5.322,Wed May 24 12:28:10 2017
32,1773,10,985,50,right,1,4,2.198,Wed May 24 12:28:12 2017
33,394,80,591,70,right,0,34,7.556,Wed May 24 12:28:21 2017
34,197,90,788,60,left,1,33,4.576,Wed May 24 12:28:26 2017
35,591,70,197,90,left,0,35,3.56,Wed May 24 12:28:30 2017
