trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,985,50,1576,20,left,1,11,5.896,Tue May 23 10:24:01 2017
2,1576,20,1182,40,right,1,10,4.246,Tue May 23 10:24:08 2017
3,394,80,1773,10,left,1,7,9.898,Tue May 23 10:24:19 2017
4,985,50,1773,10,left,1,4,5.375,Tue May 23 10:24:26 2017
5,1576,20,591,70,left,0,13,6.101,Tue May 23 10:24:33 2017
6,1773,10,1182,40,right,1,3,5.191,Tue May 23 10:24:40 2017
7,197,90,1182,40,right,0,26,4.238,Tue May 23 10:24:45 2017
8,985,50,1182,40,left,1,22,3.803,Tue May 23 10:24:50 2017
9,1182,40,1773,10,left,1,3,2.677,Tue May 23 10:24:54 2017
10,394,80,1182,40,right,0,25,2.49,Tue May 23 10:24:57 2017
11,985,50,1182,40,left,1,22,2.83,Tue May 23 10:25:01 2017
12,1773,10,591,70,right,1,6,4.573,Tue May 23 10:25:07 2017
13,394,80,197,90,left,0,36,5.475,Tue May 23 10:25:14 2017
14,1182,40,1379,30,left,1,16,4.135,Tue May 23 10:25:19 2017
15,788,60,394,80,left,0,32,4.953,Tue May 23 10:25:25 2017
16,591,70,1182,40,left,1,24,6.596,Tue May 23 10:25:33 2017
17,1379,30,788,60,right,1,18,5.309,Tue May 23 10:25:39 2017
18,394,80,788,60,right,0,32,4.42,Tue May 23 10:25:44 2017
19,1576,20,985,50,right,1,11,3.026,Tue May 23 10:25:48 2017
20,591,70,985,50,left,1,28,3.22,Tue May 23 10:25:52 2017
21,394,80,1773,10,left,1,7,3.754,Tue May 23 10:25:57 2017
22,985,50,1773,10,left,1,4,2.931,Tue May 23 10:26:01 2017
23,394,80,197,90,left,0,36,4.208,Tue May 23 10:26:05 2017
24,1182,40,591,70,left,0,24,3.395,Tue May 23 10:26:09 2017
25,1576,20,197,90,left,0,15,3.515,Tue May 23 10:26:14 2017
26,394,80,788,60,right,0,32,4.46,Tue May 23 10:26:19 2017
27,788,60,1182,40,right,0,23,3.452,Tue May 23 10:26:23 2017
28,1773,10,1576,20,right,1,1,4.66,Tue May 23 10:26:28 2017
29,1773,10,591,70,right,1,6,2.83,Tue May 23 10:26:32 2017
30,197,90,1379,30,left,1,21,6.591,Tue May 23 10:26:39 2017
31,1182,40,394,80,left,0,25,3.804,Tue May 23 10:26:43 2017
32,1773,10,197,90,right,1,8,4.179,Tue May 23 10:26:48 2017
33,1576,20,1182,40,right,1,10,7.125,Tue May 23 10:26:56 2017
34,985,50,788,60,left,0,27,8.444,Tue May 23 10:27:05 2017
35,1773,10,394,80,right,1,7,5.965,Tue May 23 10:27:11 2017
36,985,50,1182,40,left,1,22,4.03,Tue May 23 10:27:16 2017
37,1379,30,197,90,right,1,21,5.48,Tue May 23 10:27:22 2017
38,394,80,591,70,right,0,34,9.14,Tue May 23 10:27:32 2017
39,591,70,1379,30,left,1,19,2.552,Tue May 23 10:27:35 2017
40,1576,20,1379,30,right,1,9,2.169,Tue May 23 10:27:38 2017
41,985,50,1773,10,left,1,4,3.797,Tue May 23 10:27:42 2017
42,1576,20,1773,10,left,1,1,1.885,Tue May 23 10:27:45 2017
43,1182,40,591,70,right,1,24,2.243,Tue May 23 10:27:47 2017
44,1773,10,394,80,right,1,7,4.099,Tue May 23 10:27:52 2017
45,985,50,197,90,left,0,30,2.31,Tue May 23 10:27:55 2017
46,394,80,788,60,right,0,32,6.162,Tue May 23 10:28:01 2017
47,591,70,985,50,left,1,28,3.24,Tue May 23 10:28:05 2017
48,1379,30,1576,20,left,1,9,2.223,Tue May 23 10:28:08 2017
49,197,90,1182,40,right,0,26,4.375,Tue May 23 10:28:13 2017
50,591,70,1773,10,left,1,6,2.152,Tue May 23 10:28:15 2017
51,1576,20,1379,30,right,1,9,1.913,Tue May 23 10:28:18 2017
52,1182,40,1773,10,left,1,3,1.911,Tue May 23 10:28:20 2017
53,1576,20,394,80,right,1,14,2.539,Tue May 23 10:28:23 2017
