ITEM,Clave item,Opción,Score,Frecuencia,% del total,Punto Biserial,t(p),PV1Avg:1,PV1 SD:1
item 14,PMA14,a,0,1297,4.3,-0.17,-28.98(.000),-0.86,0.66
item 14,PMA14,b,0,5214,17.4,-0.3,-54.70(.000),-0.75,0.64
item 14,PMA14,c,0,5267,17.6,-0.23,-40.38(.000),-0.61,0.65
item 14,PMA14,d,1,18116,60.4,0.48,95.21(.000),0.12,0.88
item 15,PMA15,M,0,264,0.9,-0.05,-8.09(.000),-0.59,0.85
item 15,PMA15,a,0,3381,11.3,-0.15,-25.83(.000),-0.55,0.72
item 15,PMA15,b,0,5027,16.8,-0.1,-17.71(.000),-0.39,0.75
item 15,PMA15,c,0,12372,41.2,-0.28,-50.84(.000),-0.49,0.71
item 15,PMA15,d,1,8956,29.9,0.5,99.31(.000),0.44,0.94
item 16,PMA16,M,0,118,0.4,-0.02,-4.18(.000),-0.50,0.84
item 16,PMA16,a,1,10137,33.8,0.37,68.69(.000),0.23,0.99
item 16,PMA16,b,0,10469,34.9,-0.3,-53.99(.000),-0.54,0.69
item 16,PMA16,c,0,5852,19.5,-0.02,-4.27(.000),-0.25,0.82
item 16,PMA16,d,0,3424,11.4,-0.07,-11.61(.000),-0.36,0.75
item 17,PMA17,M,0,222,0.7,-0.04,-6.59(.000),-0.57,0.80
item 17,PMA17,a,0,7183,23.9,-0.26,-47.54(.000),-0.60,0.67
item 17,PMA17,b,0,4423,14.7,-0.28,-50.97(.000),-0.77,0.62
item 17,PMA17,c,0,4808,16.0,-0.14,-24.15(.000),-0.47,0.71
item 17,PMA17,d,1,13364,44.6,0.54,110.30(.000),0.30,0.88
item 18,PMA18,M,0,154,0.5,-0.04,-6.42(.000),-0.61,0.75
item 18,PMA18,a,0,6203,20.7,-0.21,-37.81(.000),-0.56,0.69
item 18,PMA18,b,1,10608,35.4,0.32,58.37(.000),0.17,0.98
item 18,PMA18,c,0,9551,31.8,-0.08,-14.06(.000),-0.31,0.77
item 18,PMA18,d,0,3484,11.6,-0.08,-14.08(.000),-0.39,0.88
item 19,PMA19,M,0,234,0.8,-0.05,-8.16(.000),-0.64,0.78
item 19,PMA19,a,0,5135,17.1,-0.3,-53.84(.000),-0.75,0.62
item 19,PMA19,b,0,1935,6.5,-0.2,-35.82(.000),-0.85,0.64
item 19,PMA19,c,0,2914,9.7,-0.17,-29.82(.000),-0.62,0.73
item 19,PMA19,d,1,19782,65.9,0.46,88.66(.000),0.07,0.88
item 20,PMA20,M,0,132,0.4,-0.04,-6.79(.000),-0.73,0.88
item 20,PMA20,a,0,11247,37.5,-0.11,-19.57(.000),-0.33,0.76
item 20,PMA20,b,1,11674,38.9,0.4,75.77(.000),0.22,0.94
item 20,PMA20,c,0,4645,15.5,-0.22,-39.53(.000),-0.64,0.68
item 20,PMA20,d,0,2302,7.7,-0.22,-38.66(.000),-0.83,0.64
item 21,PMA21,M,0,280,0.9,-0.05,-8.22(.000),-0.62,0.75
item 21,PMA21,a,0,5056,16.9,-0.18,-31.33(.000),-0.53,0.67
item 21,PMA21,b,0,3934,13.1,-0.09,-16.51(.000),-0.41,0.80
item 21,PMA21,c,1,14662,48.9,0.47,92.44(.000),0.20,0.90
item 21,PMA21,d,0,6068,20.2,-0.33,-60.33(.000),-0.74,0.63
item 22,PMA22,M,0,153,0.5,-0.03,-4.79(.000),-0.52,0.84
item 22,PMA22,a,0,4903,16.3,-0.25,-43.99(.000),-0.67,0.65
item 22,PMA22,b,0,5151,17.2,-0.25,-45.00(.000),-0.66,0.65
item 22,PMA22,c,1,17998,60.0,0.47,92.55(.000),0.12,0.90
item 22,PMA22,d,0,1795,6.0,-0.18,-31.99(.000),-0.80,0.61
item 23,PMA23,M,0,335,1.1,-0.05,-9.27(.000),-0.61,0.76
item 23,PMA23,a,1,15961,53.2,0.44,83.67(.000),0.14,0.90
item 23,PMA23,b,0,3796,12.7,-0.23,-40.84(.000),-0.70,0.65
item 23,PMA23,c,0,5925,19.8,-0.15,-26.38(.000),-0.46,0.75
item 23,PMA23,d,0,3983,13.3,-0.22,-39.36(.000),-0.67,0.66
item 24,PMA24,M,0,186,0.6,-0.03,-5.75(.000),-0.54,0.92
item 24,PMA24,a,1,15256,50.9,0.45,87.64(.000),0.17,0.91
item 24,PMA24,b,0,6108,20.4,-0.19,-33.67(.000),-0.52,0.72
item 24,PMA24,c,0,5300,17.7,-0.22,-38.89(.000),-0.60,0.67
item 24,PMA24,d,0,3150,10.5,-0.2,-36.20(.000),-0.70,0.65
item 25,PMA25,M,0,189,0.6,-0.04,-6.79(.000),-0.61,0.81
item 25,PMA25,a,0,2575,8.6,-0.22,-39.56(.000),-0.81,0.64
item 25,PMA25,b,1,20861,69.5,0.41,76.79(.000),0.02,0.89
item 25,PMA25,c,0,2298,7.7,-0.19,-32.88(.000),-0.74,0.68
item 25,PMA25,d,0,4077,13.6,-0.21,-36.95(.000),-0.64,0.70
item 26,PMB01,M,0,48,0.2,0,-0.29(.773),-0.10,1.21
item 26,PMB01,a,0,2544,8.5,-0.11,-19.02(.000),-0.50,0.87
item 26,PMB01,b,1,3608,12.0,0.22,39.47(.000),0.32,1.13
item 26,PMB01,c,0,22336,74.5,-0.05,-9.02(.000),-0.23,0.82
item 26,PMB01,d,0,1464,4.9,-0.09,-15.42(.000),-0.53,0.79
item 27,PMB02,M,0,166,0.6,-0.03,-4.73(.000),-0.50,0.89
item 27,PMB02,a,0,7068,23.6,-0.14,-23.71(.000),-0.41,0.81
item 27,PMB02,b,0,6282,20.9,-0.17,-29.35(.000),-0.48,0.77
item 27,PMB02,c,0,3841,12.8,-0.11,-19.74(.000),-0.44,0.75
item 27,PMB02,d,1,12643,42.1,0.33,61.57(.000),0.13,0.93
item 28,PMB03,M,0,131,0.4,-0.05,-8.03(.000),-0.78,0.80
item 28,PMB03,a,0,3688,12.3,-0.17,-29.03(.000),-0.57,0.74
item 28,PMB03,b,1,15376,51.3,0.31,55.84(.000),0.05,0.92
item 28,PMB03,c,0,3272,10.9,-0.23,-41.18(.000),-0.75,0.69
item 28,PMB03,d,0,7533,25.1,-0.06,-9.58(.000),-0.29,0.80
item 29,PMB04,M,0,227,0.8,-0.04,-6.91(.000),-0.58,0.80
item 29,PMB04,a,1,14236,47.5,0.32,57.66(.000),0.08,0.93
item 29,PMB04,b,0,4448,14.8,-0.13,-23.56(.000),-0.47,0.76
item 29,PMB04,c,0,5399,18.0,-0.15,-26.78(.000),-0.48,0.77
item 29,PMB04,d,0,5690,19.0,-0.12,-21.22(.000),-0.42,0.81
item 30,PMB05,M,0,155,0.5,-0.05,-8.22(.000),-0.74,0.81
item 30,PMB05,a,0,4632,15.4,-0.16,-28.54(.000),-0.52,0.76
item 30,PMB05,b,0,5833,19.4,-0.12,-20.38(.000),-0.40,0.76
item 30,PMB05,c,1,13706,45.7,0.36,66.04(.000),0.12,0.95
item 30,PMB05,d,0,5674,18.9,-0.18,-31.04(.000),-0.51,0.72
item 31,PMB06,M,0,231,0.8,-0.05,-8.27(.000),-0.63,0.84
item 31,PMB06,a,0,7576,25.3,-0.19,-34.28(.000),-0.48,0.77
item 31,PMB06,b,0,2802,9.3,-0.21,-36.43(.000),-0.73,0.64
item 31,PMB06,c,1,16669,55.6,0.36,65.94(.000),0.06,0.91
item 31,PMB06,d,0,2722,9.1,-0.1,-17.20(.000),-0.47,0.79
item 32,PMB07,M,0,173,0.6,-0.04,-6.83(.000),-0.63,0.92
item 32,PMB07,a,0,3741,12.5,-0.19,-32.70(.000),-0.62,0.73
item 32,PMB07,b,0,3960,13.2,-0.22,-38.81(.000),-0.67,0.65
item 32,PMB07,c,0,5915,19.7,-0.25,-44.37(.000),-0.61,0.67
item 32,PMB07,d,1,16211,54.0,0.48,93.65(.000),0.16,0.89
item 33,PMB08,M,0,264,0.9,-0.05,-9.50(.000),-0.67,0.76
item 33,PMB08,a,1,16835,56.1,0.48,95.79(.000),0.15,0.90
item 33,PMB08,b,0,6434,21.5,-0.26,-45.70(.000),-0.61,0.66
item 33,PMB08,c,0,4093,13.6,-0.23,-41.43(.000),-0.69,0.63
item 33,PMB08,d,0,2374,7.9,-0.19,-32.99(.000),-0.73,0.66
item 34,PMB09,M,0,144,0.5,-0.05,-8.84(.000),-0.85,0.83
item 34,PMB09,a,1,17167,57.2,0.49,98.21(.000),0.15,0.89
item 34,PMB09,b,0,4311,14.4,-0.24,-43.50(.000),-0.69,0.63
item 34,PMB09,c,0,5250,17.5,-0.26,-45.94(.000),-0.67,0.63
