"V1","V2"
-6,0.999912168279002
-5.99,0.999911285633841
-5.98,0.99991039411953
-5.97,0.999909493646966
-5.96,0.999908584126148
-5.95,0.999907665466173
-5.94,0.999906737575226
-5.93,0.999905800360568
-5.92,0.99990485372853
-5.91,0.9999038975845
-5.9,0.99990293183292
-5.89,0.999901956377269
-5.88,0.999900971120058
-5.87,0.999899975962818
-5.86,0.999898970806092
-5.85,0.999897955549425
-5.84,0.999896930091351
-5.83,0.999895894329388
-5.82,0.999894848160022
-5.81,0.999893791478702
-5.8,0.999892724179825
-5.79,0.999891646156728
-5.78,0.99989055730168
-5.77,0.999889457505863
-5.76,0.99988834665937
-5.75,0.999887224651191
-5.74,0.999886091369197
-5.73,0.999884946700139
-5.72,0.999883790529625
-5.71,0.999882622742119
-5.7,0.999881443220922
-5.69,0.999880251848165
-5.68,0.999879048504795
-5.67,0.999877833070563
-5.66,0.999876605424014
-5.65,0.999875365442472
-5.64,0.99987411300203
-5.63,0.999872847977537
-5.62,0.999871570242587
-5.61,0.999870279669501
-5.6,0.999868976129323
-5.59,0.999867659491798
-5.58,0.999866329625366
-5.57,0.999864986397146
-5.56,0.999863629672921
-5.55,0.999862259317128
-5.54,0.999860875192843
-5.53,0.999859477161769
-5.52,0.999858065084217
-5.51,0.999856638819099
-5.5,0.999855198223908
-5.49,0.999853743154709
-5.48,0.999852273466121
-5.47,0.999850789011303
-5.46,0.99984928964194
-5.45,0.99984777520823
-5.44,0.999846245558865
-5.43,0.999844700541019
-5.42,0.999843140000333
-5.41,0.999841563780898
-5.4,0.999839971725238
-5.39,0.9998383636743
-5.38,0.999836739467432
-5.37,0.99983509894237
-5.36,0.999833441935223
-5.35,0.999831768280452
-5.34,0.999830077810858
-5.33,0.999828370357566
-5.32,0.999826645750003
-5.31,0.999824903815885
-5.3,0.9998231443812
-5.29,0.999821367270188
-5.28,0.999819572305327
-5.27,0.999817759307311
-5.26,0.999815928095037
-5.25,0.999814078485582
-5.24,0.999812210294191
-5.23,0.999810323334251
-5.22,0.999808417417279
-5.21,0.999806492352899
-5.2,0.999804547948825
