"pattern","mle.est","mle.post","map.est","map.post","post.attr1","post.attr2","post.attr3","post.attr4","post.attr5","post.attr6","post.attr7","post.attr8","post.attr9","post.attr10"
"00110100111","1100111001",0.0219228378225415,"1100111001",0.194551227630252,0.901651285428622,0.890513392940719,0.190698786806213,0.156677344521156,0.869242259652195,0.866781024317315,0.83028258383278,0.465379465518696,0.312634045380478,0.403765198445456
"11001001000","1110100111",0.0312975804224001,"1100100111",0.012250176743977,0.433287275618014,0.453066217095079,0.513273188120965,0.450923823654566,0.493736557045065,0.387306131330723,0.475044360960258,0.503875402742627,0.50172259624293,0.511657191662256
"10111000101","1110101010",0.0369295473327031,"1100101000",0.0870958048284522,0.817115427386981,0.795154657211558,0.473980312590066,0.292920126685608,0.756849150865143,0.536586338849522,0.779433535445225,0.481868997063258,0.476118109856019,0.300445388237725
"01111000000","1100101011",0.0180848240071031,"1100101011",0.111565397984571,0.530522387028366,0.651385363750738,0.331811098994217,0.351223606201222,0.580599936250808,0.371911571865858,0.6473626145785,0.420315612114175,0.580073266448631,0.513720156236648
"10000010101","1111100000",0.0208889399894674,"1011100001",0.0361268975990539,0.656413702746959,0.433357371732415,0.61967648094091,0.572639832110545,0.543191102811305,0.412189672700054,0.425935072335977,0.468856179861338,0.488017964529906,0.41499351819112
"01111011010","1101101111",0.222257290311753,"1101101111",0.352487312068864,0.94812792125658,0.949110306203274,0.253375449791697,0.703547489298476,0.953660936047427,0.336145522055736,0.947515385272542,0.74876656575236,0.813788142239043,0.828013419543527
"00111001110","1100101101",0.132999411613453,"1100101000",0.207744927316006,0.918898878952376,0.936752229426562,0.102411406106214,0.12567709659717,0.927549654344095,0.271757328425768,0.932544550232165,0.613548177975115,0.366953937582462,0.356603703220766
"00101110111","1101111100",0.0352795299779615,"1100111001",0.120021642970459,0.929574080824498,0.906211806860458,0.333601002132674,0.462107701802303,0.906366503177604,0.883215799793952,0.859987221982319,0.490728178240927,0.35890206734368,0.365801673630788
"10111100110","1110111000",0.0540416145417899,"1100111001",0.097677648383146,0.983437124006895,0.983672553015161,0.579960453019919,0.264820608489325,0.985203828562965,0.850110419836955,0.978719450487953,0.477051216366957,0.425825532763019,0.300218470492058
"01111110111","1101111011",0.181158044456084,"1100111011",0.216880948698541,0.998352825461007,0.997806410969055,0.396535208080667,0.585154966522668,0.99781002912325,0.967387597129991,0.992860972935753,0.235227653126922,0.82164239608176,0.825374632318961
"01001100101","1100110011",0.0348385233641739,"1100110011",0.207663153570459,0.755946780578632,0.72830800023373,0.26542814150911,0.269197770967779,0.675523491738321,0.787728326413868,0.297058726404487,0.364359418848282,0.632784418456101,0.626642477526849
"10111000010","1110101110",0.0527312413008563,"1100101000",0.148116375225864,0.750611221588892,0.774517243605597,0.376842716097133,0.260996925493946,0.777212657911611,0.297954949650295,0.792413652573152,0.479413512373153,0.500116266936892,0.24693585120919
"00000001000","1000100101",0.00466623337401333,"1000101101",0.00630574141891599,0.328523604089824,0.476340345418061,0.455275810581576,0.473864241739034,0.400147663126546,0.445482106431391,0.488919612488055,0.516174830021088,0.492905909034827,0.5123981766119
"00001000010","0001010000",0.0013698047074738,"0101001010",0.00269998550121285,0.308461823676055,0.48649238402297,0.467356511915415,0.479249730372346,0.382225803272143,0.456014377910096,0.491647941225259,0.499296199087993,0.498477876615457,0.493510352026083
"01001110001","1101110011",0.0232885016405961,"1101110011",0.079747768331317,0.676501375661719,0.569187710788604,0.348490485183562,0.497294072861468,0.569898302093239,0.68861434515925,0.391330671672778,0.398507357698072,0.592269228779854,0.573653595804349
"01000000000","1100100011",0.00280801380426195,"1100100011",0.00396889857170816,0.312934817777779,0.48981384423456,0.464847307563597,0.480371192564407,0.386221678601615,0.454456684723306,0.483926681957399,0.494759405647348,0.504115798810879,0.501078164953326
"00001000011","1000010010",0.00206889838900362,"1110010001",0.00459914657660467,0.472606240323386,0.49787085607699,0.481497899515412,0.476388742605532,0.298813242355108,0.585135525027583,0.490829584593919,0.508233967990905,0.506540779953437,0.490984392799309
"01111110000","1101111011",0.0431236449986278,"1100111011",0.157387889898034,0.885356411778342,0.894975197030146,0.372786623359714,0.556875736032347,0.897585045846468,0.798175387151753,0.878741300583074,0.285824789264415,0.756340537389899,0.739286470927486
"01101100000","1100110011",0.00318962131566732,"1100111011",0.052515895168798,0.452730727597418,0.572287998204261,0.395058864319936,0.404272405696641,0.511106043415354,0.544739786702685,0.527927313764008,0.443103225549222,0.549235865950226,0.546956954226965
"00101000010","1100101000",0.00183045279967327,"1100101000",0.0265364146348568,0.360783596724916,0.525344366258908,0.434353303101264,0.448005425409389,0.428966594197756,0.430687811432482,0.530109854043321,0.497696628228153,0.497164355630073,0.461451547958435
"01100111010","1101110111",0.0239883524701947,"1111111111",0.107006600848243,0.678118122717218,0.644575484177504,0.39462534743468,0.556185639345855,0.712452146551522,0.604804685616834,0.539104982232014,0.617652351151647,0.621933931120344,0.707245001979252
"00000000001","1001010000",0.00207087097303209,"1110010001",0.00462173601659359,0.470015861981164,0.495404568913839,0.483568598964254,0.478369376162993,0.295369252058428,0.586225165473882,0.488328713105836,0.508417067305691,0.506999437901842,0.492588294744056
"01001100000","1100110011",0.00322984297976878,"1100110011",0.029785495339907,0.37582444111393,0.512182775051276,0.429856114706319,0.443710670451713,0.442403083864784,0.50320450908578,0.461588202325666,0.474357476687971,0.519658152704707,0.516478208939948
"00010001101","1100100101",0.00791992353860943,"1100110101",0.0293038747400137,0.52198503183409,0.525045500170343,0.442323158167067,0.444052825520292,0.364463914325599,0.576595557275421,0.460207835196739,0.543441831184561,0.476700728407655,0.522937035892041
"00101111111","1101111101",0.0816314217828526,"1111111101",0.282642253724501,0.974029007593185,0.955528603480126,0.427206562033553,0.511059654497101,0.965470740553091,0.946859347554359,0.894198893983213,0.812195640884009,0.157830775763733,0.766126447316871
"00000100101","1100110000",0.00957661361814555,"1100110001",0.0573428061809113,0.635683887310275,0.594425455896777,0.363619705498093,0.339571221136864,0.515630154646999,0.70699767752977,0.371310651255019,0.495556710195945,0.467987336998716,0.456014899102713
"00111110011","1101111000",0.0655354178142374,"1100111001",0.143956889828465,0.97453457193277,0.966086967498448,0.334375711027273,0.474994463229182,0.96614290440325,0.916364968771186,0.965938036186328,0.492746546488223,0.338759764201205,0.351046473542875
