"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA18","DINA",0.138,0.002,0.619,0.07,0.00550232724358624
"SMA19","DINA",0.285,0.003,0.326,0.056,0.0155659652497591
"SMA20","DINA",0.555,0.004,0.121,0.009,0.0169683039987537
"SMA21","DINA",0.151,0.002,0.457,0.013,0.0196708320943722
"SMA22","DINA",0.177,0.003,0.295,0.007,0.00654383808973744
"SMA23","DINA",0.416,0.004,0.074,0.004,0.00598515780586382
"SMA24","DINA",0.227,0.003,0.549,0.028,0.0196418704600723
"SMB17","DINA",0.301,0.003,0.607,0.027,0.00715878626217376
"SMB19","DINA",0.243,0.004,0.38,0.007,0.00714247103632819
"SMB20","DINA",0.35,0.003,0.191,0.013,0.0199970197431962
"SMB21","DINA",0.269,0.003,0.575,0.028,0.00944345449454988
"SMB22","DINA",0.176,0.003,0.735,0.013,0.0164350058025821
"SMB23","DINA",0.511,0.004,0.028,0.003,0.0124628372782456
"SMB24","DINA",0.223,0.003,0.54,0.033,0.00819781532832894
