"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA10","DINA",0.393,0.004,0.281,0.014,0.00836783423142105
"SMA11","DINA",0.403,0.003,0.419,0.031,0.0062676476041113
"SMA12","DINA",0.327,0.003,0.183,0.013,0.00536161431777611
"SMA13","DINA",0.126,0.003,0.448,0.008,0.0195760551693771
"SMA14","DINA",0.483,0.004,0.317,0.024,0.00867703349989312
"SMA15","DINA",0.201,0.003,0.467,0.032,0.0108548150035688
"SMA16","DINA",0.362,0.004,0.275,0.013,0.00893221505953621
"SMA17","DINA",0.384,0.005,0.301,0.007,0.0137221427463105
"SMB10","DINA",0.139,0.002,0.517,0.016,0.0207077256277852
"SMB11","DINA",0.212,0.003,0.485,0.012,0.00590824674521905
"SMB12","DINA",0.422,0.004,0.083,0.005,0.010305673498691
"SMB13","DINA",0.26,0.004,0.154,0.004,0.0102377310037512
"SMB14","DINA",0.334,0.003,0.363,0.027,0.00923148968254438
"SMB15","DINA",0.351,0.004,0.476,0.018,0.00614700006620558
"SMB16","DINA",0.415,0.004,0.101,0.003,0.00238372225214427
"SMB18","DINA",0.327,0.004,0.348,0.012,0.0154957856547749
