"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA01","DINA",0.135,0.003,0.163,0.013,0.0102724096793255
"PMA02","DINA",0.065,0.001,0.138,0.005,0.0102083972438377
"PMA03","DINA",0.136,0.003,0.421,0.011,0.0460039402515377
"PMA04","DINA",0.416,0.005,0.252,0.013,0.025522178338054
"PMA05","DINA",0.48,0.006,0.093,0.004,0.0204950542306341
"PMA06","DINA",0.439,0.005,0.198,0.011,0.0287373742927449
"PMA07","DINA",0.222,0.003,0.356,0.014,0.0561757100943647
"PMA08","DINA",0.554,0.006,0.019,0.001,0.0157369972802362
"PMB01","DINA",0.086,0.002,0.494,0.026,0.0217927314691487
"PMB02","DINA",0.261,0.005,0.204,0.005,0.00815280946436285
"PMB03","DINA",0.324,0.006,0.108,0.003,0.0193148835986183
"PMB04","DINA",0.326,0.005,0.179,0.005,0.0106435747717144
"PMB05","DINA",0.274,0.004,0.112,0.004,0.00677183854382322
"PMB06","DINA",0.348,0.005,0.252,0.008,0.0272819712199042
"PMB07","DINA",0.334,0.004,0.144,0.009,0.0299315316854601
"PMB08","DINA",0.377,0.004,0.098,0.006,0.0285300912797968
"PMB09","DINA",0.367,0.004,0.117,0.008,0.0265560809960461
