Condicion,LBH_1,LBR_1,LBF_1,LBSignal_1,LBH_2,LBR_2,LBF_2,LBSignal_2,LBH_3,LBR_3,LBF_3,LBSignal_3,LBH_4,LBR_4,LBF_4,LBSignal_4,LBH_5,LBR_5,LBF_5,LBSignal_5,LBH_6,LBR_6,LBF_6,LBSignal_6,LBH_7,LBR_7,LBF_7,LBSignal_7,LBH_8,LBR_8,LBF_8,LBSignal_8,LBH_9,LBR_9,LBF_9,LBSignal_9,LBH_10,LBR_10,LBF_10,LBSignal_10,MH_1,MR_1,MF_1,MSignal_1,MH_2,MR_2,MF_2,MSignal_2,MH_3,MR_3,MF_3,MSignal_3,MH_4,MR_4,MF_4,MSignal_4,MH_5,MR_5,MF_5,MSignal_5,MH_6,MR_6,MF_6,MSignal_6,MH_7,MR_7,MF_7,MSignal_7,MH_8,MR_8,MF_8,MSignal_8,MH_9,MR_9,MF_9,MSignal_9,MH_10,MR_10,MF_10,MSignal_10
1v4,54,48,28,55,44,55,35,51,48,47,33,52,45,45,29,47,39,33,13,40,34,35,27,36,42,44,34,47,50,38,32,52,47,54,48,49,55,56,48,59,43,48,30,43,39,36,18,43,33,39,19,36,49,47,29,52,44,47,31,45,43,48,30,47,48,27,25,51,51,49,31,52,43,38,20,44,35,38,18,40
2v8,43,34,20,45,28,36,22,33,23,32,16,29,34,31,17,34,42,41,35,46,32,39,31,36,34,32,24,35,33,26,18,36,34,38,36,37,31,25,19,33,29,32,16,32,43,40,25,46,31,32,22,36,31,33,23,35,26,15,15,28,33,32,24,37,32,34,28,33,24,16,12,27,29,33,27,36,24,35,31,30
3v12,37,30,22,39,43,50,42,45,38,31,25,40,41,42,36,44,22,29,23,23,33,30,16,34,37,29,15,37,39,38,24,40,38,37,25,38,36,34,20,38,52,44,38,55,28,30,22,28,44,42,34,44,39,45,39,41,44,42,38,45,29,34,18,33,29,30,16,33,32,34,22,33,34,28,12,36,27,31,15,30
5v2,35,34,34,37,39,31,29,42,34,34,30,36,25,21,19,27,23,20,14,27,45,41,29,47,35,35,25,35,40,33,29,41,38,40,36,39,31,32,24,35,35,39,33,37,39,44,40,45,39,45,41,42,29,26,22,32,36,49,41,37,43,53,42,53,41,39,25,45,31,25,21,36,28,33,23,35,25,36,24,27
