Sujeto,Grupo,Condicion,Día,Corto_enCorto,Corto_enLargo,Largo_enLargo,EnsayosCortos,EnsayosLargos
3,1v4,LB,1,54,28,48,55,76
3,1v4,LB,2,44,35,55,51,90
3,1v4,LB,3,48,33,47,52,80
3,1v4,LB,10,55,48,56,59,104
3,1v4,M,1,43,30,48,43,78
3,1v4,M,2,39,18,36,43,54
3,1v4,M,3,33,19,39,36,58
3,1v4,M,10,35,18,38,40,56
3,2v8,LB,1,43,20,34,45,54
3,2v8,LB,2,28,22,36,33,58
3,2v8,LB,3,23,16,32,29,48
3,2v8,LB,10,31,19,25,33,44
3,2v8,M,1,29,16,32,32,48
3,2v8,M,2,43,25,40,46,65
3,2v8,M,3,31,22,32,36,54
3,2v8,M,10,24,31,35,30,66
3,3v12,LB,1,37,22,30,39,52
3,3v12,LB,2,43,42,50,45,92
3,3v12,LB,3,38,25,31,40,56
3,3v12,LB,10,36,20,34,38,54
3,3v12,M,1,52,38,44,55,82
3,3v12,M,2,28,22,30,28,52
3,3v12,M,3,44,34,42,44,76
3,3v12,M,10,27,15,31,30,46
3,5v2,LB,1,35,34,34,37,68
3,5v2,LB,2,39,29,31,42,60
3,5v2,LB,3,34,30,34,36,64
3,5v2,LB,10,31,24,32,35,56
3,5v2,M,1,35,33,39,37,72
3,5v2,M,2,39,40,44,45,84
3,5v2,M,3,39,41,45,42,86
3,5v2,M,10,25,24,36,27,60
