Sujeto,d_A,d_B,A_FA,FaR_A,B_FA,FaR_B,B_H,Hr_B,A_H,Hr_A,Mirror_Yes,R_AN,R_BN,R_BS,R_AS,Mirror_CR,M_BS,M_AS,RT_AS_1,RT_AN_1,RT_A_1,RT_BS_1,RT_BN_1,RT_B_1,RT_AS_2,RT_AN_2,RT_A_2,RT_BS_2,RT_BN_2,RT_B_2,RT_AS_3,RT_AN_3,RT_A_3,RT_BS_3,RT_BN_3,RT_B_3
121,2.822,1.645,27,0.16875,37,0.23125,131,0.81875,155,0.96875,Sí,2.26875,2.44375,4.75,5.43125,Sí,2.4137931,2.6,3.34070712,3.01428875,3.17749793,3.47650828,3.3340977,3.40530302,1.8396518,1.51321568,1.67643374,1.97546923,1.83305823,1.90426373,0.89237923,1.05966226,0.97602075,0.92495564,0.94692464,0.93594014
120,0.873,0.369,53,0.33125,57,0.35625,80,0.5,107,0.66875,Sí,2.70625,2.90625,3.6125,4.44375,Sí,1.6125,1.73584906,2.44061605,2.41700833,2.42881219,2.46055488,2.47056148,2.4655818,0.93955616,0.91593087,0.92774352,0.95960531,0.96958941,0.96459736,0.67626185,0.78214452,0.72920318,0.61925783,0.80343668,0.71134725
119,1.709,0.575,12,0.075,23,0.14375,50,0.3125,97,0.60625,Sí,1.36875,1.71875,2.55,4.13125,Sí,1.19090909,1.46031746,2.38774599,1.91492196,2.15133398,2.29967125,2.04888093,2.17427609,0.8866473,0.41384354,0.65024542,0.79862578,0.54783146,0.67322862,0.90369586,0.66873274,0.7862143,0.83228269,0.49191841,0.76210055
118,3.861,3.316,6,0.0375,14,0.0875,156,0.975,157,0.98125,Sí,1.15625,1.3875,5.89375,5.90625,Sí,1.33333,2.5,1.78168756,1.83277138,1.80722947,1.84702951,1.97750347,1.91226649,0.2806504,0.32975828,0.30520434,0.34606448,0.47650594,0.41128521,0.4131051,0.45163261,0.43236886,0.4714925,0.53906362,0.50527806
117,1.594,1.451,65,0.40625,65,0.40625,142,0.8875,146,0.9125,No,3.075,3.1125,4.9875,5.41875,Sí,1,2,2.39115289,2.49774895,2.44445092,2.43788772,2.4022651,2.42007641,0.8900567,0.996662,0.94335935,0.93689562,0.90129356,0.91909459,0.69632787,0.71322264,0.70477526,0.70822383,0.75963794,0.73393088
116,2.051,1.257,22,0.1375,38,0.2375,113,0.70625,133,0.83125,Sí,1.7125,2.2625,4.48125,5.0125,Sí,1.85106383,1.7037037,2.50177268,2.24911757,2.37544513,2.73377453,2.25817579,2.49597516,1.00070859,0.74802356,0.87436608,1.23282381,0.74719537,0.99500959,0.42372912,0.44568639,0.43470776,0.436899,0.45631711,0.44660805
115,1.134,0.22,53,0.33125,73,0.45625,87,0.54375,129,0.80625,Sí,2.15,3.2375,3.60625,4.775,Sí,1.75342466,2.29032258,3.37021613,3.94488636,3.38255125,3.53717608,2.95375288,3.24546448,1.86915682,1.89382291,1.88148987,2.03621191,1.45277106,1.74449149,0.94195421,0.91329389,0.92762405,0.91256459,0.98389447,0.94822953
114,1.289,0.426,55,0.34375,68,0.425,95,0.59375,130,0.8125,Sí,2.7125,3.14375,4.025,5.0875,Sí,1.46153846,1.7333333,2.60156853,2.47498464,2.53827658,2.56050276,2.40263808,2.48157042,1.10051887,0.97391317,1.03721602,1.05953701,0.90169775,0.98061738,0.97824516,1.00020847,0.98922682,0.95382615,1.00709857,0.98046236
113,3.605,2.571,8,0.05,26,0.1625,151,0.94375,156,0.975,Sí,1.5125,1.96875,5.50625,5.79375,Sí,1.88888,2.5,2.5964,2.4823,2.5394,2.7437,2.5595,2.6516,1.0953,0.9813,1.0383,1.2427,1.0585,1.1506,0.7577,0.8765,0.8169,0.7589,0.8648,0.8119
112,2.576,1.455,75,0.46875,79,0.49375,148,0.925,159,0.99375,Sí,3.081,3.525,5.5375,5.9125,Sí,1,1.8333333,2.42114697,2.61496875,2.51805786,2.66496503,2.54901758,2.60699131,0.92006916,1.11387097,1.01697007,1.16399522,1.04803339,1.1060143,0.52022586,0.61108847,0.56565717,0.67624928,0.66245506,0.66935217
