trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,550,33,579,29,right,1,10,10.439,Thu Nov 24 14:36:56 2016
2,492,41,521,37,right,1,5,13.964,Thu Nov 24 14:37:11 2016
3,492,41,521,37,left,0,5,12.527,Thu Nov 24 14:37:24 2016
4,579,29,550,33,right,0,10,11.728,Thu Nov 24 14:37:37 2016
5,463,45,579,29,left,0,4,15.719,Thu Nov 24 14:37:54 2016
6,550,33,492,41,left,1,6,10.676,Thu Nov 24 14:38:05 2016
7,492,41,550,33,right,1,6,8.963,Thu Nov 24 14:38:15 2016
8,579,29,492,41,right,0,7,2.476,Thu Nov 24 14:38:18 2016
9,521,37,579,29,left,0,9,5.258,Thu Nov 24 14:38:24 2016
10,492,41,550,33,left,0,6,1.901,Thu Nov 24 14:38:26 2016
11,521,37,550,33,right,1,8,3.385,Thu Nov 24 14:38:30 2016
12,521,37,579,29,left,0,9,3.378,Thu Nov 24 14:38:34 2016
13,521,37,463,45,left,1,2,2.185,Thu Nov 24 14:38:36 2016
14,550,33,463,45,left,1,3,5.398,Thu Nov 24 14:38:42 2016
15,463,45,550,33,right,1,3,12.289,Thu Nov 24 14:38:55 2016
16,492,41,550,33,right,1,6,1.67,Thu Nov 24 14:38:57 2016
17,579,29,492,41,left,1,7,1.936,Thu Nov 24 14:38:59 2016
18,521,37,579,29,right,1,9,3.174,Thu Nov 24 14:39:03 2016
19,579,29,492,41,left,1,7,1.208,Thu Nov 24 14:39:05 2016
20,463,45,579,29,right,1,4,2.771,Thu Nov 24 14:39:08 2016
21,521,37,463,45,left,1,2,3.922,Thu Nov 24 14:39:12 2016
22,550,33,463,45,left,1,3,2.603,Thu Nov 24 14:39:15 2016
23,550,33,463,45,left,1,3,2.361,Thu Nov 24 14:39:18 2016
24,579,29,463,45,left,1,4,2.172,Thu Nov 24 14:39:20 2016
25,492,41,463,45,left,1,1,2.216,Thu Nov 24 14:39:23 2016
26,463,45,492,41,left,0,1,4.126,Thu Nov 24 14:39:27 2016
27,521,37,550,33,right,1,8,1.696,Thu Nov 24 14:39:29 2016
28,463,45,521,37,right,1,2,3.836,Thu Nov 24 14:39:33 2016
29,550,33,579,29,left,0,10,2.801,Thu Nov 24 14:39:36 2016
30,463,45,579,29,right,1,4,7.022,Thu Nov 24 14:39:44 2016
31,492,41,463,45,left,1,1,5.012,Thu Nov 24 14:39:49 2016
32,579,29,492,41,right,0,7,2.498,Thu Nov 24 14:39:52 2016
33,521,37,579,29,left,0,9,7.251,Thu Nov 24 14:39:59 2016
34,463,45,550,33,right,1,3,2.983,Thu Nov 24 14:40:03 2016
35,550,33,579,29,left,0,10,4.617,Thu Nov 24 14:40:08 2016
36,521,37,492,41,left,1,5,3.592,Thu Nov 24 14:40:12 2016
37,521,37,463,45,left,1,2,2.592,Thu Nov 24 14:40:15 2016
38,463,45,521,37,left,0,2,8.678,Thu Nov 24 14:40:23 2016
39,492,41,579,29,right,1,7,6.485,Thu Nov 24 14:40:30 2016
40,550,33,579,29,left,0,10,3.399,Thu Nov 24 14:40:34 2016
41,550,33,521,37,left,1,8,1.694,Thu Nov 24 14:40:36 2016
42,550,33,492,41,right,0,6,6.304,Thu Nov 24 14:40:42 2016
43,492,41,550,33,left,0,6,4.213,Thu Nov 24 14:40:47 2016
44,463,45,521,37,left,0,2,8.023,Thu Nov 24 14:40:55 2016
45,550,33,579,29,left,0,10,0.89,Thu Nov 24 14:40:56 2016
46,492,41,463,45,right,0,1,8.431,Thu Nov 24 14:41:05 2016
47,463,45,521,37,right,1,2,3.263,Thu Nov 24 14:41:09 2016
48,463,45,550,33,right,1,3,1.757,Thu Nov 24 14:41:11 2016
