trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
84,521,37,579,29,right,1,9,1.318,Thu Nov 24 14:16:42 2016
85,579,29,521,37,left,1,9,1.932,Thu Nov 24 14:16:45 2016
86,579,29,550,33,left,1,10,1.175,Thu Nov 24 14:16:46 2016
87,550,33,463,45,left,1,3,1.354,Thu Nov 24 14:16:48 2016
88,492,41,463,45,left,1,1,1.774,Thu Nov 24 14:16:50 2016
89,463,45,579,29,right,1,4,2.242,Thu Nov 24 14:16:53 2016
90,521,37,492,41,left,1,5,2.044,Thu Nov 24 14:16:56 2016
91,492,41,521,37,right,1,5,1.51,Thu Nov 24 14:16:58 2016
92,463,45,521,37,right,1,2,1.627,Thu Nov 24 14:17:00 2016
93,521,37,579,29,right,1,9,2.895,Thu Nov 24 14:17:04 2016
94,521,37,550,33,right,1,8,4.885,Thu Nov 24 14:17:09 2016
95,492,41,550,33,right,1,6,6.83,Thu Nov 24 14:17:17 2016
96,492,41,463,45,left,1,1,10.263,Thu Nov 24 14:17:28 2016
97,521,37,463,45,left,1,2,2.049,Thu Nov 24 14:17:30 2016
98,492,41,463,45,left,1,1,6.705,Thu Nov 24 14:17:38 2016
99,550,33,463,45,left,1,3,1.135,Thu Nov 24 14:17:39 2016
100,579,29,492,41,left,1,7,1.183,Thu Nov 24 14:17:41 2016
101,550,33,579,29,right,1,10,2.938,Thu Nov 24 14:17:44 2016
102,492,41,463,45,left,1,1,1.406,Thu Nov 24 14:17:46 2016
103,579,29,463,45,left,1,4,1.74,Thu Nov 24 14:17:48 2016
104,550,33,521,37,left,1,8,1.549,Thu Nov 24 14:17:50 2016
105,579,29,550,33,left,1,10,1.746,Thu Nov 24 14:17:53 2016
106,463,45,521,37,right,1,2,1.969,Thu Nov 24 14:17:55 2016
107,579,29,521,37,left,1,9,2.086,Thu Nov 24 14:17:58 2016
108,521,37,492,41,left,1,5,2.242,Thu Nov 24 14:18:00 2016
109,550,33,492,41,left,1,6,1.534,Thu Nov 24 14:18:03 2016
110,550,33,492,41,left,1,6,1.296,Thu Nov 24 14:18:05 2016
111,492,41,521,37,right,1,5,1.881,Thu Nov 24 14:18:07 2016
112,550,33,463,45,left,1,3,2.082,Thu Nov 24 14:18:10 2016
113,579,29,550,33,right,0,10,10.698,Thu Nov 24 14:18:21 2016
114,550,33,463,45,left,1,3,3.803,Thu Nov 24 14:18:25 2016
115,492,41,463,45,left,1,1,2.376,Thu Nov 24 14:18:28 2016
116,492,41,550,33,right,1,6,4.321,Thu Nov 24 14:18:33 2016
117,579,29,463,45,left,1,4,4.471,Thu Nov 24 14:18:38 2016
118,492,41,550,33,right,1,6,1.286,Thu Nov 24 14:18:40 2016
119,492,41,463,45,left,1,1,1.65,Thu Nov 24 14:18:42 2016
120,579,29,550,33,right,0,10,3.009,Thu Nov 24 14:18:45 2016
121,463,45,550,33,right,1,3,1.935,Thu Nov 24 14:18:48 2016
122,550,33,492,41,left,1,6,1.01,Thu Nov 24 14:18:49 2016
123,521,37,579,29,right,1,9,2.045,Thu Nov 24 14:18:52 2016
124,492,41,463,45,left,1,1,4.486,Thu Nov 24 14:18:57 2016
125,579,29,521,37,left,1,9,1.167,Thu Nov 24 14:18:59 2016
126,550,33,492,41,left,1,6,1.417,Thu Nov 24 14:19:01 2016
127,492,41,579,29,right,1,7,1.72,Thu Nov 24 14:19:03 2016
128,550,33,579,29,right,1,10,2.719,Thu Nov 24 14:19:06 2016
129,579,29,463,45,left,1,4,1.822,Thu Nov 24 14:19:09 2016
130,463,45,579,29,right,1,4,1.455,Thu Nov 24 14:19:11 2016
131,492,41,521,37,right,1,5,1.213,Thu Nov 24 14:19:12 2016
132,463,45,492,41,right,1,1,1.228,Thu Nov 24 14:19:14 2016
133,463,45,521,37,right,1,2,0.946,Thu Nov 24 14:19:16 2016
134,463,45,550,33,right,1,3,1.3,Thu Nov 24 14:19:18 2016
135,521,37,550,33,right,1,8,1.459,Thu Nov 24 14:19:20 2016
136,550,33,492,41,left,1,6,1.184,Thu Nov 24 14:19:21 2016
137,579,29,463,45,left,1,4,1.255,Thu Nov 24 14:19:23 2016
138,550,33,521,37,left,1,8,1.597,Thu Nov 24 14:19:25 2016
139,550,33,492,41,left,1,6,1.017,Thu Nov 24 14:19:27 2016
140,463,45,492,41,right,1,1,1.762,Thu Nov 24 14:19:29 2016
141,521,37,492,41,left,1,5,1.481,Thu Nov 24 14:19:31 2016
142,521,37,463,45,left,1,2,1.679,Thu Nov 24 14:19:33 2016
143,463,45,492,41,right,1,1,4.045,Thu Nov 24 14:19:38 2016
144,521,37,463,45,left,1,2,1.391,Thu Nov 24 14:19:40 2016
145,550,33,521,37,left,1,8,6.513,Thu Nov 24 14:19:47 2016
146,521,37,492,41,left,1,5,1.514,Thu Nov 24 14:19:49 2016
147,579,29,521,37,left,1,9,1.654,Thu Nov 24 14:19:51 2016
148,579,29,550,33,right,0,10,2.469,Thu Nov 24 14:19:54 2016
149,463,45,521,37,right,1,2,1.401,Thu Nov 24 14:19:56 2016
150,521,37,550,33,right,1,8,1.567,Thu Nov 24 14:19:58 2016
151,492,41,579,29,right,1,7,1.869,Thu Nov 24 14:20:00 2016
152,463,45,550,33,right,1,3,5.452,Thu Nov 24 14:20:06 2016
153,550,33,463,45,left,1,3,2.68,Thu Nov 24 14:20:09 2016
154,463,45,521,37,right,1,2,1.892,Thu Nov 24 14:20:12 2016
155,521,37,463,45,left,1,2,1.127,Thu Nov 24 14:20:14 2016
156,521,37,579,29,right,1,9,1.321,Thu Nov 24 14:20:16 2016
157,579,29,463,45,left,1,4,1.09,Thu Nov 24 14:20:17 2016
158,579,29,492,41,left,1,7,1.112,Thu Nov 24 14:20:19 2016
159,550,33,521,37,left,1,8,1.422,Thu Nov 24 14:20:21 2016
160,463,45,579,29,right,1,4,1.238,Thu Nov 24 14:20:23 2016
161,463,45,579,29,right,1,4,0.917,Thu Nov 24 14:20:25 2016
162,550,33,521,37,left,1,8,9.313,Thu Nov 24 14:20:35 2016
163,463,45,579,29,right,1,4,1.523,Thu Nov 24 14:20:37 2016
164,492,41,550,33,right,1,6,12.719,Thu Nov 24 14:20:51 2016
165,463,45,521,37,right,1,2,2.026,Thu Nov 24 14:20:53 2016
166,492,41,550,33,right,1,6,1.058,Thu Nov 24 14:20:55 2016
167,579,29,492,41,left,1,7,1.223,Thu Nov 24 14:20:57 2016
168,579,29,550,33,left,1,10,1.98,Thu Nov 24 14:20:59 2016
169,463,45,492,41,right,1,1,3.98,Thu Nov 24 14:21:04 2016
