trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,463,45,550,33,left,0,3,14.812,Thu Nov 24 13:16:01 2016
2,579,29,492,41,right,0,7,9.945,Thu Nov 24 13:16:13 2016
3,550,33,492,41,left,1,6,22.493,Thu Nov 24 13:17:04 2016
4,492,41,521,37,left,0,5,10.921,Thu Nov 24 13:17:17 2016
5,550,33,579,29,left,0,10,12.066,Thu Nov 24 13:17:31 2016
6,521,37,579,29,left,0,9,13.468,Thu Nov 24 13:17:46 2016
7,463,45,550,33,left,0,3,38.349,Thu Nov 24 13:18:26 2016
8,463,45,579,29,left,0,4,6.064,Thu Nov 24 13:18:33 2016
9,492,41,463,45,right,0,1,8.73,Thu Nov 24 13:18:43 2016
10,463,45,550,33,left,0,3,27.226,Thu Nov 24 13:19:13 2016
11,463,45,521,37,left,0,2,33.537,Thu Nov 24 13:19:48 2016
12,463,45,579,29,left,0,4,5.171,Thu Nov 24 13:19:55 2016
13,463,45,521,37,left,0,2,5.954,Thu Nov 24 13:20:01 2016
14,463,45,579,29,left,0,4,5.186,Thu Nov 24 13:20:08 2016
15,550,33,521,37,right,0,8,5.478,Thu Nov 24 13:20:14 2016
16,579,29,463,45,right,0,4,16.104,Thu Nov 24 13:20:31 2016
17,550,33,579,29,left,0,10,8.767,Thu Nov 24 13:20:41 2016
18,463,45,492,41,left,0,1,9.232,Thu Nov 24 13:20:51 2016
19,521,37,492,41,right,0,5,37.594,Thu Nov 24 13:21:30 2016
20,492,41,579,29,left,0,7,6.413,Thu Nov 24 13:21:37 2016
21,463,45,492,41,left,0,1,5.425,Thu Nov 24 13:21:43 2016
22,579,29,550,33,right,0,10,2.604,Thu Nov 24 13:21:46 2016
23,521,37,579,29,left,0,9,5.123,Thu Nov 24 13:21:52 2016
24,463,45,521,37,left,0,2,11.364,Thu Nov 24 13:22:04 2016
25,521,37,492,41,right,0,5,7.136,Thu Nov 24 13:22:12 2016
