Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,Color,facilidad,senal,tipo,choice,outcome,Exito,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
0,104,n,False,0,1,False,0,False,0,False,0,True,1,3,6.363044024,4.861860991,3.508548975,Naranja,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0
1,180,s,False,0,2,False,0,False,0,True,1,False,1,6,2.841889858,1.340781927,2.105554819,Azul,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
2,269,n,True,1,2,False,0,True,1,False,1,False,1,1,2.442438126,0.941312075,1.904828072,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
3,2,s,True,2,2,True,1,False,1,False,1,False,1,5,3.355702162,1.854665995,2.004771948,Verde,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
4,283,n,True,3,2,False,1,True,2,False,1,False,1,1,2.953701973,1.452604055,1.203173876,Naranja,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
5,621,n,True,4,2,False,1,True,3,False,1,False,1,1,2.452618122,0.952293158,1.303112984,Purpura,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
6,577,s,False,4,3,False,1,False,3,True,2,False,1,6,2.649855852,1.148757935,1.804244041,Azul,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
7,543,n,True,5,3,False,1,True,4,False,2,False,1,1,2.253375053,0.752228975,1.904972076,Naranja,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
8,54,n,False,5,4,False,1,False,4,False,2,True,2,1,2.654753923,1.153701782,1.203263998,Purpura,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
9,535,n,True,6,4,False,1,True,5,False,2,False,2,1,2.449607134,0.94850111,2.005182028,Purpura,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
10,6,s,True,7,4,True,2,False,5,False,2,False,2,5,2.553678989,1.052608967,1.102693081,Purpura,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
11,533,n,True,8,4,False,2,True,6,False,2,False,2,1,2.148756981,0.647513151,1.403795004,Naranja,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
12,295,n,True,9,4,False,2,True,7,False,2,False,2,1,2.152770996,0.651579142,1.002784014,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
