Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,Color,facilidad,senal,tipo,choice,outcome,Exito,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
446,276,n,True,306,141,False,142,True,164,False,57,False,84,1,1.65271306,0.151762962,0.401247978,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
447,602,n,True,307,141,False,142,True,165,False,57,False,84,1,1.638890982,0.137814045,0.501471996,Purpura,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
448,421,s,True,308,141,True,143,False,165,False,57,False,84,6,1.650019884,0.149432182,2.205749035,Purpura,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
449,597,n,True,309,141,False,143,True,166,False,57,False,84,1,1.647175074,0.146049976,0.501214981,Naranja,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
450,594,n,True,310,141,False,143,True,167,False,57,False,84,1,1.747104883,0.245995045,0.300708055,Naranja,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
451,191,s,False,310,142,False,143,False,167,True,58,False,84,4,1.951370001,0.450281858,0.601614952,Verde,pocos,ruido,1 AN,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1
452,80,s,True,311,142,True,144,False,167,False,58,False,84,6,1.64664197,0.145606995,1.203280926,Purpura,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
453,272,n,True,312,142,False,144,True,168,False,58,False,84,3,1.64818716,0.147832155,1.804561853,Purpura,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,1,0,1,0,1
454,123,s,True,313,142,True,145,False,168,False,58,False,84,5,1.651036024,0.149832964,0.501492023,Naranja,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
455,528,n,True,314,142,False,145,True,169,False,58,False,84,1,1.652375937,0.151221991,0.401160002,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
456,401,n,False,314,143,False,145,False,169,False,58,True,85,1,2.048066139,0.546878099,1.90536809,Naranja,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
457,633,s,False,314,144,False,145,False,169,True,59,False,85,4,1.650365114,0.149868011,1.102984905,Verde,muchos,ruido,2 BN,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1
458,43,s,True,315,144,True,146,False,169,False,59,False,85,6,2.047569036,0.546493053,1.102891207,Naranja,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
459,471,s,True,316,144,True,147,False,169,False,59,False,85,6,1.648058891,0.147317886,0.401036024,Purpura,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
460,31,s,True,317,144,True,148,False,169,False,59,False,85,6,1.651067972,0.149941921,0.501302958,Verde,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
461,236,n,True,318,144,False,148,True,170,False,59,False,85,1,1.647020102,0.145825148,0.401124954,Verde,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
462,173,n,True,319,144,False,148,True,171,False,59,False,85,1,1.645816803,0.144754171,0.300956011,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
463,133,s,True,320,144,True,149,False,171,False,59,False,85,5,1.652691841,0.151647806,0.501356125,Verde,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
464,12,s,True,321,144,True,150,False,171,False,59,False,85,4,2.648836136,1.148422956,1.303020954,Verde,pocos,senal,4 AS,1,4,1,0,0,0,0,1,0,1,0,1,0,1,0
465,297,n,True,322,144,False,150,True,172,False,59,False,85,1,1.647047043,0.145992994,0.501275063,Purpura,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
466,36,s,True,323,144,True,151,False,172,False,59,False,85,5,2.15301013,0.651924133,0.80250001,Azul,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
467,388,s,True,324,144,True,152,False,172,False,59,False,85,6,1.939657927,0.438407898,0.5011971,Naranja,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
468,428,n,False,324,145,False,152,False,172,False,59,True,86,2,1.646703959,0.145621061,0.601801872,Naranja,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
469,384,s,True,325,145,True,153,False,172,False,59,False,86,5,1.851410151,0.350764036,0.50128293,Azul,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
470,288,n,True,326,145,False,153,True,173,False,59,False,86,1,1.651595116,0.150444984,0.50135994,Purpura,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
471,435,s,True,327,145,True,154,False,173,False,59,False,86,6,1.648180962,0.146994829,2.706634998,Verde,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
472,531,s,False,327,146,False,154,False,173,True,60,False,86,6,1.646970987,0.146737099,0.300983906,Verde,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
473,344,s,True,328,146,True,155,False,173,False,60,False,86,6,1.647043943,0.145921946,0.702237129,Verde,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
474,284,n,True,329,146,False,155,True,174,False,60,False,86,2,4.258919001,2.757791042,2.105327129,Verde,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
475,336,s,True,330,146,True,156,False,174,False,60,False,86,5,1.752547979,0.251425028,0.902245998,Azul,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
476,317,n,True,331,146,False,156,True,175,False,60,False,86,1,1.652153969,0.150996923,0.401085854,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
477,437,s,True,332,146,True,157,False,175,False,60,False,86,4,2.549130917,1.047991037,1.102872849,Naranja,muchos,senal,3 BS,1,4,1,0,0,0,0,1,0,1,0,1,0,1,0
478,148,s,True,333,146,True,158,False,175,False,60,False,86,6,2.152878046,0.651705027,1.002526045,Azul,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
479,451,s,True,334,146,True,159,False,175,False,60,False,86,6,1.650597095,0.149940968,0.701841116,Verde,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
480,515,n,True,335,146,False,159,True,176,False,60,False,86,2,2.25206089,0.751495838,0.902356863,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
481,357,s,True,336,146,True,160,False,176,False,60,False,86,6,1.650044918,0.149481058,0.501425028,Verde,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
482,39,s,True,337,146,True,161,False,176,False,60,False,86,6,1.652453184,0.152132034,0.501077175,Azul,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
483,348,s,True,338,146,True,162,False,176,False,60,False,86,6,1.639413834,0.138397932,0.300706148,Purpura,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
484,566,n,True,339,146,False,162,True,177,False,60,False,86,1,1.647083044,0.145867825,0.401077986,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
485,544,s,False,339,147,False,162,False,177,True,61,False,86,6,1.851185083,0.350439072,0.401175022,Verde,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
486,383,s,True,340,147,True,163,False,177,False,61,False,86,6,1.649610043,0.148897886,0.201210976,Purpura,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
487,432,s,True,341,147,True,164,False,177,False,61,False,86,6,1.646780014,0.145673037,0.5011971,Verde,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
488,304,n,True,342,147,False,164,True,178,False,61,False,86,1,1.646964073,0.145797014,0.400902987,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
489,306,n,True,343,147,False,164,True,179,False,61,False,86,1,1.646466017,0.145334005,0.501634836,Verde,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
490,197,s,False,343,148,False,164,False,179,True,62,False,86,5,1.652119875,0.151586056,0.300872803,Verde,pocos,ruido,1 AN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
491,188,s,False,343,149,False,164,False,179,True,63,False,86,6,1.652323008,0.151168823,0.701889992,Verde,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
492,223,s,False,343,150,False,164,False,179,True,64,False,86,6,1.651607037,0.150460005,0.501242876,Verde,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
