Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,Color,facilidad,senal,tipo,choice,outcome,Exito,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
0,149,s,True,1,0,True,1,False,0,False,0,False,0,5,6.04608798,4.54487586,7.518338203,Verde,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
1,295,n,True,2,0,False,1,True,1,False,0,False,0,1,4.942487001,3.441321135,2.907012939,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
2,635,s,False,2,1,False,1,False,1,True,1,False,0,5,6.347057104,4.845883131,2.506045103,Naranja,muchos,ruido,2 BN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
3,55,s,True,3,1,True,2,False,1,False,1,False,0,6,6.245848894,4.744737864,2.105159998,Azul,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
4,93,s,True,4,1,True,3,False,1,False,1,False,0,6,3.740732908,2.239609003,1.403944969,Azul,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
5,433,n,False,4,2,False,3,False,1,False,1,True,1,1,3.238456964,1.737344027,1.804402113,Azul,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
6,188,s,False,4,3,False,3,False,1,True,2,False,1,6,3.338444948,1.837301016,1.703975916,Verde,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
7,499,s,False,4,4,False,3,False,1,True,3,False,1,5,4.241443157,2.740239143,1.804777861,Verde,muchos,ruido,2 BN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
8,11,s,True,5,4,True,4,False,1,False,3,False,1,6,4.441782951,2.940698862,1.403878927,Naranja,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
9,601,n,True,6,4,False,4,True,2,False,3,False,1,1,3.139014959,1.638675928,1.403456926,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
10,23,s,True,7,4,True,5,False,2,False,3,False,1,6,2.938281059,1.437204123,2.20639801,Azul,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
11,128,s,True,8,4,True,6,False,2,False,3,False,1,6,2.837548971,1.336472034,1.704091072,Purpura,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
12,116,s,True,9,4,True,7,False,2,False,3,False,1,6,2.637399912,1.136224031,1.704568863,Azul,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
13,28,n,False,9,5,False,7,False,2,False,3,True,2,1,3.03836298,1.537307024,2.004546165,Verde,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
14,572,s,False,9,6,False,7,False,2,True,4,False,2,6,2.937918186,1.436830997,2.205514908,Naranja,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
15,270,n,True,10,6,False,7,True,3,False,4,False,2,1,2.7374928,1.236361027,1.905030012,Naranja,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
16,275,n,True,11,6,False,7,True,4,False,4,False,2,1,2.539188862,1.038008928,1.403610945,Purpura,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
17,103,s,True,12,6,True,8,False,4,False,4,False,2,6,2.737734079,1.236631155,1.203103065,Azul,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
18,271,n,True,13,6,False,8,True,5,False,4,False,2,1,2.035741091,0.534646988,1.103419065,Verde,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
19,386,n,False,13,7,False,8,False,5,False,4,True,3,2,2.537425995,1.036288977,1.30318594,Verde,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
20,576,n,True,14,7,False,8,True,6,False,4,False,3,1,1.835428,0.33431983,1.403480053,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
21,571,s,False,14,8,False,8,False,6,True,5,False,3,6,3.74003005,2.238841057,1.403839111,Azul,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
22,70,s,True,15,8,True,9,False,6,False,5,False,3,5,3.639719009,2.13862586,1.002196074,Purpura,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
23,522,s,False,15,9,False,9,False,6,True,6,False,3,6,3.439548016,1.938349009,1.403825998,Purpura,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
24,211,s,False,15,10,False,9,False,6,True,7,False,3,6,3.238902807,1.737840891,1.202960014,Purpura,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
25,626,n,True,16,10,False,9,True,7,False,7,False,3,1,5.344758987,3.843688965,1.303492785,Naranja,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
26,228,n,True,17,10,False,9,True,8,False,7,False,3,1,3.038331985,1.537111044,1.103054047,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
27,152,s,True,18,10,True,10,False,8,False,7,False,3,6,1.634875059,0.133710146,1.103399992,Naranja,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
28,191,n,True,19,10,False,10,True,9,False,7,False,3,1,2.736986876,1.235836983,1.604050875,Verde,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
