Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,Color,facilidad,senal,tipo,choice,outcome,Exito,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
0,107,s,True,1,0,True,1,False,0,False,0,False,0,5,8.768654108,7.267542124,2.806763887,Naranja,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
1,593,n,True,2,0,False,1,True,1,False,0,False,0,1,5.248275995,3.747153997,2.606544971,Azul,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
2,540,s,False,2,1,False,1,False,1,True,1,False,0,5,8.063503027,6.56230402,2.907727003,Naranja,muchos,ruido,2 BN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
3,590,n,True,3,1,False,1,True,2,False,1,False,0,1,3.846530914,2.345416069,2.406018972,Azul,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
4,315,n,True,4,1,False,1,True,3,False,1,False,0,1,3.657627106,2.156506062,2.005351067,Verde,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
5,113,s,True,5,1,True,2,False,3,False,1,False,0,5,5.159792185,3.658652067,1.80456996,Naranja,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
6,598,n,True,6,1,False,2,True,4,False,1,False,0,1,2.648601055,1.147400856,2.105545044,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
7,49,s,True,7,1,True,3,False,4,False,1,False,0,5,3.953029871,2.451925993,2.506155968,Naranja,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
8,306,n,True,8,1,False,3,True,5,False,1,False,0,1,2.742691994,1.241905928,3.107841015,Verde,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
9,400,n,False,8,2,False,3,False,5,False,1,True,1,2,3.050354958,1.549250841,2.105556011,Azul,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
10,20,s,True,9,2,True,4,False,5,False,1,False,1,5,4.761394024,3.260344982,1.704449892,Azul,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
11,449,n,False,9,3,False,4,False,5,False,1,True,2,2,3.651095152,2.149991989,2.004695892,Azul,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
12,481,s,False,9,4,False,4,False,5,True,2,False,2,5,5.756271839,4.255141974,1.102910995,Azul,muchos,ruido,2 BN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
13,130,s,True,10,4,True,5,False,5,False,2,False,2,6,2.955596924,1.454360008,1.103328943,Verde,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
14,639,n,True,11,4,False,5,True,6,False,2,False,2,1,3.450763941,1.949620962,1.002556086,Naranja,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
15,640,n,True,12,4,False,5,True,7,False,2,False,2,1,2.649520159,1.148342133,0.902366877,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
16,322,n,False,12,5,False,5,False,7,False,2,True,3,2,3.651717901,2.150635958,0.802266121,Verde,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
17,86,s,True,13,5,True,6,False,7,False,2,False,3,6,3.144542217,1.643400192,3.10816884,Purpura,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
18,235,n,True,14,5,False,6,True,8,False,2,False,3,2,3.443459988,1.942399025,0.801846027,Naranja,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
19,293,n,True,15,5,False,6,True,9,False,2,False,3,1,2.853601933,1.352523804,1.102710962,Verde,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
20,109,s,True,16,5,True,7,False,9,False,2,False,3,5,3.25592494,1.754856825,1.202975988,Azul,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
21,318,n,True,17,5,False,7,True,10,False,2,False,3,1,2.75445509,1.253350019,1.202841997,Naranja,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
