Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,Color,facilidad,senal,tipo,choice,outcome,Exito,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
0,405,n,False,0,1,False,0,False,0,False,0,True,1,1,7.267109156,5.765965939,4.711294889,Verde,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
1,289,n,True,1,1,False,0,True,1,False,0,False,1,1,3.155175924,1.654011011,1.002617121,Naranja,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
2,579,s,False,1,2,False,0,False,1,True,1,False,1,5,4.554864883,3.053777218,3.409235001,Verde,muchos,ruido,2 BN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
3,63,n,False,1,3,False,0,False,1,False,1,True,2,1,3.958734035,2.457662106,2.305598021,Verde,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
4,153,n,False,1,4,False,0,False,1,False,1,True,3,1,3.655811071,2.154669046,2.606511116,Purpura,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
5,627,n,True,2,4,False,0,True,2,False,1,False,3,1,3.354434013,1.853917837,3.308885098,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
6,444,s,True,3,4,True,1,False,2,False,1,False,3,5,8.061539888,6.560443878,2.405770779,Naranja,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
7,47,n,False,3,5,False,1,False,2,False,1,True,4,1,4.353335142,2.852138042,1.503895998,Verde,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
8,413,n,False,3,6,False,1,False,2,False,1,True,5,2,6.966461897,5.465239048,0.902943134,Naranja,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
9,607,n,True,4,6,False,1,True,3,False,1,False,5,1,3.551477909,2.050253868,1.102813959,Naranja,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
10,272,n,True,5,6,False,1,True,4,False,1,False,5,1,2.342402935,0.841249943,1.103452921,Purpura,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
11,70,s,True,6,6,True,2,False,4,False,1,False,5,6,5.561039925,4.059983969,3.007910013,Purpura,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
12,467,n,False,6,7,False,2,False,4,False,1,True,6,2,3.051749945,1.550655842,2.505985022,Verde,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
13,459,n,False,6,8,False,2,False,4,False,1,True,7,1,8.062064886,6.561574936,5.313313007,Azul,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
14,288,n,True,7,8,False,2,True,5,False,1,False,7,1,4.157849073,2.65678215,0.701926947,Purpura,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
15,93,s,True,8,8,True,3,False,5,False,1,False,7,6,5.861093044,4.360017061,2.606473207,Azul,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
16,149,s,True,9,8,True,4,False,5,False,1,False,7,5,8.066836119,6.565643072,2.506230116,Verde,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
17,514,s,False,9,9,False,4,False,5,True,2,False,7,6,6.659806967,5.158755064,1.604381084,Naranja,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
18,39,s,True,10,9,True,5,False,5,False,2,False,7,5,8.568542004,7.067481041,0.903113842,Azul,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
19,141,n,False,10,10,False,5,False,5,False,2,True,8,3,4.759328127,3.258723021,4.310853004,Azul,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0
20,48,n,False,10,11,False,5,False,5,False,2,True,9,3,7.553591967,6.052537203,1.403106928,Purpura,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0
21,504,n,True,11,11,False,5,True,6,False,2,False,9,1,2.652031183,1.150859118,1.90532589,Azul,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
22,426,n,False,11,12,False,5,False,6,False,2,True,10,1,5.558073998,4.057599068,1.002619982,Purpura,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
23,233,s,False,11,13,False,5,False,6,True,3,False,10,6,4.359759092,2.858626127,1.504121065,Purpura,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
24,428,n,False,11,14,False,5,False,6,False,3,True,11,2,5.857640028,4.356498957,1.203639984,Naranja,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
25,117,n,False,11,15,False,5,False,6,False,3,True,12,2,5.362864017,3.861744165,0.702177048,Verde,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
26,572,n,True,12,15,False,5,True,7,False,3,False,12,2,3.752050161,2.250921965,0.601715088,Naranja,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
27,24,n,False,12,16,False,5,False,7,False,3,True,13,1,2.949518919,1.448380947,1.60414505,Naranja,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
28,553,s,False,12,17,False,5,False,7,True,4,False,13,6,4.759356022,3.258285999,2.506776094,Verde,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
29,237,n,True,13,17,False,5,True,8,False,4,False,13,1,4.344964027,2.843834877,1.102894068,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
30,590,n,True,14,17,False,5,True,9,False,4,False,13,1,3.45105195,1.949911833,3.006839991,Azul,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
31,360,n,False,14,18,False,5,False,9,False,4,True,14,2,4.554639101,3.054155111,1.002490997,Verde,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
32,134,s,True,15,18,True,6,False,9,False,4,False,14,4,3.957233191,2.456902027,1.103035927,Purpura,pocos,senal,4 AS,1,4,1,0,0,0,0,1,0,1,0,1,0,1,0
33,544,n,True,16,18,False,6,True,10,False,4,False,14,1,5.356804848,3.855677128,1.503968,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
34,284,n,True,17,18,False,6,True,11,False,4,False,14,1,4.157531977,2.656373024,3.007637978,Verde,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
35,402,s,True,18,18,True,7,False,11,False,4,False,14,6,4.453505993,2.95240593,2.205447912,Verde,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
36,71,s,True,19,18,True,8,False,11,False,4,False,14,5,4.35957098,2.858247042,0.802392006,Azul,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
37,502,n,True,20,18,False,8,True,12,False,4,False,14,1,6.149577856,4.648472071,1.704600096,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
38,354,n,False,20,19,False,8,False,12,False,4,True,15,1,2.650575161,1.149372101,0.902312994,Verde,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
39,186,s,False,20,20,False,8,False,12,True,5,False,15,6,5.059982061,3.558937073,4.009741068,Azul,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
40,475,n,False,20,21,False,8,False,12,False,5,True,16,3,4.553843021,3.05262208,3.80987978,Azul,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0
41,338,n,False,20,22,False,8,False,12,False,5,True,17,1,5.155538082,3.655166149,5.012238026,Verde,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
42,27,n,False,20,23,False,8,False,12,False,5,True,18,1,3.757502079,2.256380081,3.408461094,Naranja,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
43,295,n,True,21,23,False,8,True,13,False,5,False,18,1,3.555824995,2.054686069,1.102789879,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
44,119,n,False,21,24,False,8,False,13,False,5,True,19,2,5.058846951,3.557729959,0.802322149,Azul,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
45,131,n,False,21,25,False,8,False,13,False,5,True,20,3,7.2630229,5.761908054,2.707099199,Purpura,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0
46,202,s,False,21,26,False,8,False,13,True,6,False,20,6,6.751961946,5.250832081,4.811770916,Azul,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
47,582,n,True,22,26,False,8,True,14,False,6,False,20,1,4.353918076,2.852735043,1.503631115,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
48,592,n,True,23,26,False,8,True,15,False,6,False,20,1,2.348679066,0.847486973,0.802418947,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
49,468,n,False,23,27,False,8,False,15,False,6,True,21,2,9.066503048,7.565327883,1.704449892,Purpura,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
50,197,n,True,24,27,False,8,True,16,False,6,False,21,1,3.05451107,1.553371906,1.203187943,Verde,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
51,97,s,True,25,27,True,9,False,16,False,6,False,21,5,4.65929389,3.158169031,1.503912926,Naranja,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
52,359,n,False,25,28,False,9,False,16,False,6,True,22,2,6.309691906,4.808644056,0.90241003,Naranja,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
53,486,n,True,26,28,False,9,True,17,False,6,False,22,2,4.955223084,3.454082966,1.604241848,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
54,477,n,False,26,29,False,9,False,17,False,6,True,23,2,3.553356171,2.052232027,0.8023808,Purpura,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
55,541,n,True,27,29,False,9,True,18,False,6,False,23,1,2.755522013,1.254395008,1.704285145,Purpura,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
56,46,n,False,27,30,False,9,False,18,False,6,True,24,1,3.043623924,1.542521954,1.002610922,Naranja,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
57,489,n,True,28,30,False,9,True,19,False,6,False,24,2,4.457771063,2.956992149,2.606817961,Verde,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
58,415,n,False,28,31,False,9,False,19,False,6,True,25,2,3.552907944,2.051706791,0.601644039,Azul,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
59,241,n,True,29,31,False,9,True,20,False,6,False,25,1,3.853502989,2.352655888,2.806784868,Naranja,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
60,505,s,False,29,32,False,9,False,20,True,7,False,25,6,3.351149082,1.850081921,1.202937126,Verde,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
61,367,n,False,29,33,False,9,False,20,False,7,True,26,2,5.055583954,3.554405928,0.902465105,Purpura,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
62,101,s,True,30,33,True,10,False,20,False,7,False,26,6,7.466025829,5.965152025,2.005210161,Verde,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
63,594,n,True,31,33,False,10,True,21,False,7,False,26,1,9.469765902,7.969002008,2.706959009,Naranja,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
64,628,s,False,31,34,False,10,False,21,True,8,False,26,5,4.756365061,3.255281925,0.902287006,Purpura,muchos,ruido,2 BN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
65,29,n,False,31,35,False,10,False,21,False,8,True,27,2,10.77513409,9.274008036,2.706500053,Azul,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
66,542,n,True,32,35,False,10,True,22,False,8,False,27,1,2.448945999,0.947890043,1.203282833,Azul,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
67,21,s,True,33,35,True,11,False,22,False,8,False,27,5,4.15405798,2.652959824,0.902354002,Verde,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
68,326,n,False,33,36,False,11,False,22,False,8,True,28,1,3.952268839,2.451186895,0.601649046,Purpura,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
69,3,s,True,34,36,True,12,False,22,False,8,False,28,6,4.759320974,3.258188963,1.303157091,Purpura,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
70,347,n,False,34,37,False,12,False,22,False,8,True,29,2,6.057343006,4.556898117,2.005249023,Verde,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
71,109,n,False,34,38,False,12,False,22,False,8,True,30,1,3.05488801,1.553777933,1.002512932,Azul,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
72,510,n,True,35,38,False,12,True,23,False,8,False,30,1,3.851612091,2.350525141,0.902196884,Azul,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
73,387,n,False,35,39,False,12,False,23,False,8,True,31,1,2.949038029,1.447892189,0.902361155,Azul,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
74,37,s,True,36,39,True,13,False,23,False,8,False,31,6,4.858421803,3.357323885,1.403827906,Verde,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
75,617,s,False,36,40,False,13,False,23,True,9,False,31,6,6.059682131,4.558598995,1.804366827,Verde,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
76,622,n,True,37,40,False,13,True,24,False,9,False,31,1,3.451321125,1.950223923,0.602251053,Azul,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
77,305,n,True,38,40,False,13,True,25,False,9,False,31,1,3.244085073,1.742957115,1.002784967,Naranja,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
78,334,n,False,38,41,False,13,False,25,False,9,True,32,1,3.251461983,1.750974894,0.802003145,Naranja,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
79,62,n,False,38,42,False,13,False,25,False,9,True,33,1,4.158161163,2.657021999,0.701984882,Naranja,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
80,322,s,True,39,42,True,14,False,25,False,9,False,33,5,4.559350014,3.058169842,0.601814985,Verde,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
81,104,s,True,40,42,True,15,False,25,False,9,False,33,6,3.456581116,1.955393076,0.601612091,Naranja,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
82,551,n,True,41,42,False,15,True,26,False,9,False,33,1,3.552675962,2.051601171,0.702579021,Purpura,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
83,371,n,False,41,43,False,15,False,26,False,9,True,34,1,3.552519083,2.051357985,2.40618515,Azul,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
84,203,s,False,41,44,False,15,False,26,True,10,False,34,6,3.644469023,2.143342018,2.306012154,Naranja,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
85,488,n,True,42,44,False,15,True,27,False,10,False,34,1,3.65201807,2.150880098,1.002889156,Azul,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
86,447,n,False,42,45,False,15,False,27,False,10,True,35,2,6.258520842,4.757354975,1.102971077,Naranja,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
87,110,s,True,43,45,True,16,False,27,False,10,False,35,6,3.143292904,1.642134905,3.508792877,Naranja,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
