,DG1,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9,DG10,DG11,DG12,P1,P2,P3
460,F,B,B,A,B,C,D,B,B,A,D,C,A,B,C
461,F,C,B,A,A,C,C,B,B,A,B,C,A,B,C
462,F,C,B,A,B,B,C,B,B,A,C,B,A,B,C
463,F,B,B,A,B,C,D,B,B,A,D,C,A,B,B
464,F,B,B,A,B,C,C,B,B,A,E,D,A,B,C
465,M,D,B,A,B,B,C,B,B,A,B,D,D,B,B
466,F,B,B,A,B,D,E,B,B,A,B,D,A,B,C
467,F,B,B,A,B,C,D,B,B,A,B,C,A,B,C
468,F,B,B,A,B,D,E,B,B,A,A,B,A,B,C
469,M,C,B,A,A,A,B,E,B,A,C,D,,C,C
470,F,B,B,A,A,D,D,E,B,A,D,D,A,B,C
471,F,B,B,A,A,A,B,E,B,A,A,A,A,A,D
472,M,D,B,A,A,A,C,E,A,C,C,D,A,B,C
473,F,B,B,A,A,C,C,E,B,A,C,A,A,A,C
474,F,B,B,A,A,B,C,E,B,A,B,B,A,B,C
475,F,C,B,A,A,C,C,E,B,A,B,C,A,B,C
476,M,C,B,A,A,D,B,E,A,C,A,B,A,B,C
477,F,B,B,A,A,C,C,E,B,A,D,B,A,B,C
478,F,D,B,A,A,A,C,E,A,D,A,C,A,A,C
479,F,B,B,A,A,B,C,E,B,A,A,D,A,B,C
480,F,D,C,A,A,D,C,E,B,A,A,C,A,B,C
481,M,C,B,A,A,B,C,E,A,C,A,B,A,B,C
482,M,D,A,A,A,B,C,E,A,C,A,D,A,B,C
483,M,C,B,A,A,B,C,E,B,A,C,B,A,B,C
484,M,B,B,A,A,A,C,E,B,A,C,C,A,B,C
485,M,B,B,A,A,B,B,E,B,A,C,D,A,B,C
486,M,B,B,A,A,B,B,E,B,A,B,B,A,B,C
487,F,C,B,A,A,D,D,B,A,C,B,D,A,B,C
488,F,B,B,A,A,B,A,E,A,C,A,A,A,B,C
489,F,B,A,A,,B,B,E,A,C,B,D,A,B,C
490,F,B,B,A,A,A,B,E,B,A,B,A,A,B,C
491,F,B,B,A,A,C,C,E,B,A,B,D,A,B,C
492,M,B,B,A,A,B,C,E,A,B,C,C,A,B,C
493,F,B,B,A,A,B,A,E,A,B,A,A,A,B,C
494,F,B,B,A,A,B,C,E,B,A,B,C,A,B,C
495,F,B,B,A,A,D,D,E,B,A,A,D,A,B,C
496,M,B,B,A,A,B,C,E,,A,C,B,A,B,C
497,F,D,B,A,A,B,D,E,B,A,,D,A,B,C
498,M,C,B,A,A,B,C,E,B,A,A,D,A,B,C
499,M,B,B,A,A,B,B,E,B,A,C,D,A,B,C
500,M,C,B,A,A,A,C,D,A,D,B,C,A,B,C
501,M,B,B,A,A,A,B,E,A,B,C,D,A,B,C
502,M,B,B,A,A,B,D,E,B,A,C,D,A,B,C
503,M,B,B,A,A,B,D,E,B,A,A,D,A,B,C
504,F,B,,A,A,B,C,B,A,C,A,D,A,B,C
505,F,B,B,A,A,A,C,E,B,A,A,C,A,B,C
506,,,,,,,,,,,,,A,B,C
507,F,B,B,A,A,B,B,E,B,A,B,D,A,D,C
508,F,B,B,A,A,B,C,E,B,A,C,C,A,B,C
509,F,B,B,A,A,C,C,E,B,A,C,C,A,D,C
510,F,B,B,A,A,B,D,E,A,B,B,B,A,B,C
511,M,B,B,A,A,B,C,E,B,A,C,B,A,B,C
512,F,C,B,A,A,B,B,E,A,B,A,B,D,C,C
513,M,B,B,B,A,C,D,B,B,A,E,D,A,A,C
514,F,B,B,B,A,C,D,B,B,A,C,B,A,B,C
515,F,B,B,B,A,C,E,B,B,A,B,D,A,B,C
516,F,B,B,B,A,C,D,B,A,C,C,B,A,B,C
517,M,C,B,B,A,A,C,B,B,A,E,B,C,A,C
518,M,B,B,B,A,C,D,B,B,A,E,C,A,B,C
519,F,B,B,B,A,D,D,B,B,A,B,D,A,B,C
520,F,B,B,B,A,C,C,B,B,A,D,B,A,B,C
521,M,D,B,B,A,B,C,B,B,A,C,B,A,B,C
522,M,C,B,B,A,B,B,B,B,A,D,B,A,B,C
523,F,B,B,A,A,C,D,B,B,A,B,C,A,B,C
524,F,B,B,B,B,A,C,B,B,A,D,B,A,B,C
525,F,B,B,B,A,B,D,B,B,A,B,C,A,B,C
526,F,A,B,B,A,B,B,B,B,A,C,C,A,B,C
527,F,B,B,B,A,B,C,B,B,A,C,C,A,B,C
528,F,B,B,B,A,C,B,B,A,C,D,C,A,D,C
529,F,B,B,B,A,D,E,A,B,A,C,D,A,B,C
530,M,B,B,B,A,C,E,A,B,A,D,C,D,D,C
531,F,B,B,B,A,D,E,E,B,A,D,D,A,D,C
532,M,C,B,B,A,A,B,A,B,A,D,C,A,C,C
538,F,B,B,B,A,C,D,E,B,A,C,D,A,B,C
539,F,B,B,B,A,B,C,C,B,A,B,C,A,B,C
540,F,B,B,B,A,B,C,E,B,A,B,C,A,B,C
541,M,B,B,B,A,C,B,E,B,A,E,B,A,B,C
542,M,B,B,B,A,B,B,D,B,A,C,C,A,B,C
543,M,B,B,B,A,A,B,E,B,A,D,B,A,B,C
544,F,C,B,B,A,A,B,E,A,C,D,D,A,A,C
545,F,C,B,B,A,A,C,E,B,A,C,D,A,A,C
546,F,B,B,B,A,B,C,E,B,A,B,D,A,B,C
547,F,A,B,B,A,A,C,E,B,A,B,B,A,B,A
548,F,B,B,B,A,B,C,E,B,A,D,B,A,B,C
549,F,A,B,B,A,A,A,E,B,A,E,D,A,B,C
550,F,A,B,B,A,C,B,B,B,A,,D,A,B,C
551,F,A,B,B,A,D,E,E,B,A,D,B,A,B,C
552,F,A,B,B,A,C,D,E,B,A,D,C,A,B,C
553,F,B,B,B,A,A,B,E,B,A,E,B,A,A,C
554,F,B,B,B,A,B,B,C,B,A,C,C,A,B,C
555,F,A,B,B,A,C,B,E,B,A,B,A,A,B,C
556,M,B,B,B,A,B,B,C,A,B,E,B,A,B,C
557,F,B,B,B,A,B,B,A,B,A,D,B,A,B,C
558,F,A,B,B,A,B,B,E,B,A,D,C,A,B,C
563,F,A,B,B,A,B,A,E,B,A,C,D,A,B,C
564,M,A,B,B,A,C,D,E,B,A,E,B,A,B,C
565,F,A,B,B,A,C,C,E,B,A,,B,A,C,C
566,F,A,B,B,A,B,C,E,B,A,B,D,A,B,C
567,M,A,B,B,A,C,D,E,B,A,C,B,A,B,C
568,F,B,B,B,A,B,D,E,B,A,C,C,A,B,C
569,M,A,B,B,A,A,A,E,B,A,,B,A,B,C
570,M,A,B,B,A,B,B,E,B,A,D,C,A,B,C
571,F,A,B,B,A,D,D,E,B,A,C,B,A,B,C
572,M,A,B,B,A,B,C,E,B,A,B,C,A,B,C
573,M,A,D,B,A,D,E,E,B,A,,B,A,B,C
574,M,A,D,B,A,C,D,E,B,A,A,D,A,B,C
575,M,A,B,B,A,D,C,D,B,A,D,B,A,B,C
576,M,A,B,B,B,B,B,E,B,A,E,D,A,B,C
577,F,A,B,B,A,C,B,E,B,A,E,C,A,B,D
578,F,A,B,B,A,B,C,E,B,A,D,B,A,B,C
579,F,A,B,B,A,C,B,E,B,A,D,B,A,B,C
580,M,A,B,B,A,B,A,E,B,A,D,C,A,B,C
581,F,A,B,B,A,B,B,E,B,A,C,B,A,A,C
582,M,A,B,B,A,B,C,C,B,A,C,B,A,A,C
583,M,A,B,B,A,C,B,E,A,C,B,D,A,B,C
584,M,A,B,B,A,B,A,E,B,A,C,D,A,B,C
585,M,A,B,B,A,B,B,E,B,A,D,D,D,C,B
586,M,A,B,B,A,B,B,E,B,A,E,C,D,C,C
588,F,A,B,B,A,A,A,B,B,A,C,B,A,D,C
589,F,B,B,B,A,D,E,E,B,A,D,B,A,B,C
590,M,B,B,B,A,B,B,E,B,A,D,D,A,B,C
591,M,B,B,B,A,A,A,E,B,A,B,D,A,B,D
592,F,A,B,B,A,B,C,E,B,A,C,C,A,B,C
593,M,B,B,B,A,A,B,E,A,B,E,D,D,C,B
594,F,A,B,B,A,C,C,E,B,A,B,C,A,B,C
595,F,A,B,B,A,C,D,E,B,A,C,D,A,B,C
597,M,B,B,B,A,C,B,E,B,A,B,B,A,B,C
598,M,B,B,B,A,A,B,E,A,C,E,C,A,B,C
599,F,A,B,B,A,B,C,E,B,A,C,C,A,B,C
600,F,A,B,B,A,B,A,D,B,A,C,C,A,B,C
601,M,B,B,B,A,A,B,C,B,,E,B,D,B,C
602,M,A,B,B,A,A,B,E,B,A,C,C,A,B,C
603,M,A,B,B,A,A,C,E,B,A,D,D,A,B,C
604,F,A,B,B,A,C,A,B,B,A,C,D,A,B,C
605,M,B,B,B,A,A,A,E,B,A,,D,A,B,C
606,F,A,B,B,A,D,C,D,B,A,B,D,A,B,C
607,M,A,B,B,A,A,B,E,B,A,D,D,A,B,C
613,F,B,B,B,A,C,C,D,A,B,E,A,A,B,C
614,F,C,B,B,A,B,B,D,B,A,B,D,A,B,C
615,M,B,B,B,A,B,C,C,B,A,D,B,A,B,C
616,M,B,B,B,A,B,C,C,B,A,E,C,A,C,C
617,F,C,B,B,A,A,B,C,B,A,D,C,A,B,C
618,F,C,B,B,A,D,B,D,B,A,E,C,B,B,C
619,M,B,B,,A,C,D,D,,A,C,C,A,B,C
620,M,B,B,B,A,B,B,C,B,A,D,C,A,B,C
621,F,B,B,B,A,B,D,D,B,A,B,C,A,C,C
622,M,B,B,B,A,C,D,C,B,A,A,D,A,A,C
623,F,B,B,B,A,B,D,C,B,A,C,B,A,C,C
624,M,B,B,B,A,B,D,C,B,A,C,D,A,B,C
625,M,C,B,B,A,C,C,C,A,C,C,C,A,B,C
626,M,B,B,B,A,B,B,C,B,A,C,D,A,B,C
627,F,B,B,B,A,C,D,C,B,A,D,B,A,B,C
628,M,B,B,B,A,C,D,D,B,A,E,B,A,B,C
629,M,C,B,B,A,B,B,C,B,A,E,D,A,B,C
630,M,B,B,B,A,B,C,C,B,A,D,C,A,B,C
631,M,B,B,B,A,C,B,C,B,A,D,B,A,B,C
632,M,B,B,B,A,B,C,C,B,A,D,C,A,D,B
633,F,B,B,B,A,A,B,C,B,A,D,B,A,C,C
634,F,C,B,B,A,A,C,D,B,A,E,B,A,B,D
635,F,B,B,B,A,D,E,D,B,A,E,B,A,B,C
638,M,A,B,B,A,A,C,A,B,A,A,A,A,B,C
641,M,B,B,B,A,C,D,D,B,A,D,D,D,C,C
642,F,A,B,B,A,C,D,E,B,A,C,A,D,A,B
643,M,A,B,B,A,A,C,A,B,A,D,D,D,A,B
644,F,A,B,B,A,B,C,D,B,A,B,B,A,A,C
645,F,A,B,B,A,C,C,E,B,A,C,C,A,B,C
646,M,A,B,B,A,B,C,B,B,A,E,D,A,B,C
647,M,A,B,B,A,C,C,A,B,A,C,C,A,B,C
648,F,A,B,B,A,C,B,B,B,A,B,D,A,B,D
655,M,B,B,B,A,C,B,E,B,A,D,C,A,B,C
658,M,A,B,B,A,A,C,D,A,C,C,D,A,A,C
660,M,A,B,B,A,C,C,C,B,A,E,D,A,D,C
663,M,A,B,B,A,A,B,E,B,A,D,B,A,B,C
664,M,A,B,B,A,B,B,E,A,C,C,B,A,B,C
665,M,B,B,B,A,B,C,C,A,B,B,B,A,C,C
666,M,A,B,B,A,B,B,E,A,B,B,B,A,B,C
667,M,A,B,B,A,B,D,E,B,A,E,C,A,B,C
668,M,A,B,B,A,B,B,A,B,A,C,D,A,B,C
669,M,A,B,A,A,A,B,E,B,A,B,D,A,B,C
670,M,A,B,B,A,B,C,E,B,A,C,D,A,B,C
671,M,B,B,B,A,B,C,D,A,D,C,B,A,B,C
672,F,A,B,B,A,B,C,E,B,A,B,D,A,B,C
673,F,A,B,B,A,B,E,E,B,A,B,C,A,B,C
674,F,A,B,B,A,B,D,D,B,A,C,D,A,A,B
675,M,A,B,B,A,B,C,B,A,B,C,B,A,B,D
676,F,A,B,B,A,B,C,D,B,A,B,B,A,A,A
677,M,B,B,B,A,C,C,E,B,A,B,B,A,B,C
678,F,A,B,B,A,B,C,D,B,A,A,B,A,B,C
679,F,A,B,B,A,B,C,E,B,A,A,B,A,B,C
680,F,A,B,B,A,B,B,E,B,A,B,C,A,B,C
681,M,A,B,B,A,B,B,B,B,A,B,D,A,B,C
682,M,A,B,B,A,D,C,C,B,A,C,D,A,D,C
683,M,A,B,B,A,C,D,A,B,A,E,B,A,B,C
684,M,A,B,B,A,B,A,E,B,A,E,C,A,B,C
685,M,A,B,B,A,B,B,E,B,A,D,D,A,B,C
688,M,A,B,B,A,A,B,A,A,C,A,B,A,B,C
689,F,A,B,B,A,C,B,B,A,B,C,B,A,B,C
690,F,A,B,B,A,C,D,E,B,A,A,A,A,B,A
691,M,A,B,B,A,C,B,E,B,A,B,A,A,B,C
692,M,C,B,B,A,B,B,E,B,A,B,B,A,B,C
693,M,A,B,B,A,B,C,E,B,A,,D,D,B,C
694,M,A,B,B,A,A,A,E,A,C,B,C,A,B,D
695,M,A,B,B,A,A,C,E,B,A,,D,A,B,C
696,F,B,B,B,A,A,B,E,B,A,B,A,A,A,D
697,F,A,B,B,A,D,E,E,B,A,A,D,A,B,C
698,F,A,B,B,A,C,D,B,B,A,B,B,A,B,C
699,M,B,B,B,A,B,C,B,B,A,D,B,A,B,C
700,M,A,B,B,A,B,B,E,B,A,E,B,A,B,C
701,F,A,B,B,A,A,B,E,B,A,C,D,D,C,B
702,F,A,B,B,A,B,C,E,B,A,C,C,A,B,B
703,F,B,B,B,A,B,B,E,A,B,B,B,A,D,C
704,F,A,B,B,A,C,C,E,B,A,C,C,A,B,B
705,F,A,B,B,A,C,B,E,A,C,A,A,A,B,C
706,F,A,B,A,A,D,C,E,B,A,A,B,A,D,C
707,F,A,B,B,A,A,A,E,B,A,D,D,A,B,C
708,F,A,B,B,A,D,E,E,B,A,C,D,A,A,C
712,M,A,B,B,A,A,C,E,B,A,D,D,D,B,C
713,M,B,B,B,A,C,A,E,B,A,B,B,A,B,C
714,M,B,B,B,A,C,B,E,B,A,B,B,A,B,C
715,M,D,B,B,A,C,A,E,B,A,D,D,A,B,C
716,F,A,B,B,A,B,B,E,B,A,B,D,A,B,C
717,F,B,B,B,A,B,C,E,B,A,C,B,A,B,C
718,F,B,B,B,A,B,B,B,B,A,C,C,A,B,C
719,F,A,B,B,A,C,D,E,B,A,C,D,A,B,C
720,M,B,B,B,A,A,B,E,B,,D,D,A,B,C
721,F,B,B,B,A,C,D,E,B,A,C,B,A,B,C
722,M,C,B,B,A,A,C,E,B,A,B,D,A,B,C
723,F,B,B,B,A,B,B,E,B,A,B,B,A,B,C
724,F,B,B,B,A,D,D,E,B,A,D,C,A,B,C
725,M,B,B,B,A,C,E,E,B,A,C,B,A,C,C
726,F,B,B,B,A,B,B,E,B,A,B,D,A,B,A
727,F,A,B,B,A,B,D,E,B,A,D,D,A,B,C
728,F,A,B,B,A,B,B,E,B,A,A,B,A,B,C
729,F,B,B,B,A,C,D,E,A,B,D,D,A,B,C
730,F,B,B,B,A,B,C,D,A,D,D,A,A,C,A
731,M,A,B,B,A,C,C,E,B,A,D,B,A,B,C
738,M,A,B,B,A,B,C,E,B,A,D,C,A,B,C
739,M,A,B,B,A,C,D,E,A,D,A,D,A,B,C
740,M,A,B,B,A,C,A,E,B,A,E,D,A,B,C
741,F,A,B,B,A,D,D,E,B,A,C,B,A,B,C
742,F,A,B,B,A,B,C,E,B,A,C,B,A,B,C
745,F,B,B,B,A,A,B,E,B,A,C,B,A,B,C
746,F,A,B,B,A,B,B,E,B,A,C,B,A,B,C
747,M,B,B,B,A,B,E,E,A,B,D,D,A,B,C
748,M,A,B,B,A,A,C,E,A,B,B,D,A,B,C
751,M,B,A,B,A,C,D,E,A,C,C,D,D,B,C
752,F,A,B,B,A,C,D,E,B,A,C,C,A,B,C
753,M,A,B,B,A,C,D,A,B,B,D,D,D,B,C
754,F,B,B,B,A,C,C,E,A,C,E,C,A,B,C
755,F,A,B,B,A,B,B,E,B,A,B,D,A,B,A
756,F,A,B,B,A,B,B,E,B,A,B,D,A,A,D
757,F,B,B,B,A,C,D,E,B,A,B,C,A,B,C
758,F,A,B,B,A,C,C,E,B,A,B,B,A,A,C
759,F,A,B,B,A,D,E,E,B,A,D,D,A,B,C
