,DG1,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9,DG10,DG11,DG12,P1,P2,P3
101,F,C,B,A,B,C,D,B,B,A,D,B,,C,D
102,M,C,B,A,B,D,D,B,B,A,,,B,C,B
103,F,C,B,A,B,C,C,,B,A,C,D,A,B,C
104,F,B,B,A,B,C,D,B,B,A,,B,A,B,C
105,F,B,B,A,B,D,D,B,B,A,B,D,A,B,C
106,F,C,B,A,B,D,D,B,B,A,B,C,,B,C
107,F,C,B,A,B,C,E,B,B,A,B,D,,,C
108,F,C,B,A,B,C,D,B,B,A,A,D,A,B,C
109,F,C,B,A,B,D,E,B,B,A,B,D,A,B,C
110,F,C,B,A,B,C,E,B,B,A,B,C,A,B,C
112,F,C,B,A,B,D,E,B,B,A,C,D,D,C,B
113,M,B,B,A,B,C,E,B,B,A,B,D,A,D,C
114,M,C,B,A,B,C,E,B,B,A,D,C,A,B,C
115,M,C,B,A,B,C,D,B,B,A,B,C,A,B,C
117,F,B,B,A,B,D,E,B,B,A,A,D,A,C,C
118,F,B,B,A,B,C,D,B,B,A,B,D,A,A,C
119,F,C,B,A,B,D,D,B,B,A,D,C,A,B,B
120,M,B,B,A,B,C,D,B,B,A,B,D,A,B,C
122,F,B,B,A,B,C,D,B,B,A,A,C,A,A,C
123,M,B,B,A,B,D,E,B,B,A,C,B,A,B,C
124,F,B,B,A,A,C,D,C,B,A,B,D,A,B,C
125,F,C,B,A,B,D,E,B,B,A,,D,A,B,C
126,M,B,B,A,A,B,B,E,A,B,A,D,D,C,C
127,F,A,B,A,A,B,C,E,B,A,B,C,A,B,C
128,M,B,B,A,A,B,B,E,B,A,B,D,D,C,C
129,M,A,B,A,A,C,C,E,B,A,D,D,A,B,C
130,M,A,B,A,A,C,C,D,B,A,D,D,A,B,C
131,F,A,B,A,A,C,C,E,B,A,D,D,A,B,C
132,M,B,B,A,A,A,B,E,A,B,B,C,A,B,C
133,F,B,B,A,A,C,C,E,B,A,C,D,A,B,C
134,M,C,B,A,A,B,C,A,B,A,B,D,A,B,C
135,M,B,B,A,A,B,C,C,B,A,C,B,D,C,C
136,F,B,B,A,A,A,B,C,B,C,A,B,A,B,C
137,F,B,B,A,A,A,B,E,A,B,C,D,A,B,C
138,M,C,B,A,A,C,B,A,A,D,B,C,A,C,C
139,M,B,B,A,A,B,C,B,B,A,C,D,D,B,C
140,M,B,B,A,A,A,A,E,B,A,A,D,A,C,C
141,F,B,B,A,A,C,B,D,A,C,B,C,A,B,C
142,M,A,B,A,A,C,B,E,B,A,D,C,,,
143,F,A,B,A,A,B,C,D,B,A,B,D,B,B,C
144,F,A,B,A,A,C,C,E,B,A,C,D,A,B,C
145,F,A,B,A,A,B,B,B,B,A,B,C,C,B,C
146,F,B,B,A,A,C,B,D,B,A,C,C,A,B,C
147,,,,,,,,,,,,,A,B,C
148,F,A,B,A,A,D,C,E,B,A,B,C,A,B,C
149,F,A,B,A,A,C,C,E,A,B,A,C,A,B,B
150,F,B,B,A,A,C,D,B,A,C,E,C,A,B,
151,F,B,B,A,A,B,C,D,B,A,C,D,A,B,C
152,M,B,B,A,B,A,C,B,B,C,A,C,A,B,D
153,M,B,B,A,A,B,C,B,A,D,B,C,A,B,C
154,M,A,B,A,A,B,B,E,B,A,C,D,A,B,C
155,M,A,B,A,A,C,C,E,B,A,B,C,A,B,C
156,F,B,B,A,A,C,B,E,B,A,A,B,A,B,C
157,M,A,B,A,A,B,C,A,B,A,C,D,A,B,C
158,M,B,B,A,A,D,D,A,B,A,E,D,A,B,C
159,M,B,B,A,A,B,D,A,A,D,E,D,A,B,C
160,F,A,B,A,A,C,B,B,A,B,A,D,B,B,C
161,M,D,B,A,A,D,D,E,A,B,D,D,A,B,C
162,M,B,B,A,A,B,B,B,B,A,B,C,A,C,C
163,F,C,B,A,A,D,C,B,B,A,B,D,A,B,C
164,M,C,B,A,A,B,B,D,B,A,B,D,A,B,C
165,M,B,B,A,A,A,B,A,A,C,C,D,A,C,C
166,M,A,B,A,A,B,D,E,A,C,B,B,A,B,C
167,M,B,B,A,A,B,B,E,B,A,C,C,A,B,C
168,M,C,B,A,A,C,B,C,A,C,B,D,A,B,C
169,F,B,B,A,A,A,A,C,A,A,A,B,A,B,C
170,M,C,B,A,A,B,B,B,B,A,A,D,A,B,C
171,F,B,B,A,A,B,C,B,A,D,A,D,A,B,C
172,M,A,B,A,A,C,C,B,B,A,A,B,A,B,C
173,F,B,B,A,A,B,C,C,B,A,B,C,A,B,C
174,M,B,B,A,A,B,C,A,A,B,A,C,D,B,C
175,F,B,B,A,A,B,B,D,B,A,C,D,A,B,C
176,M,C,B,A,A,B,B,C,B,A,D,D,C,,
177,M,C,B,A,A,C,B,B,B,A,A,B,A,B,C
178,F,B,C,A,A,A,B,D,A,C,A,D,A,B,C
179,M,B,B,A,A,C,B,E,B,A,B,C,B,B,C
180,M,B,C,A,A,B,B,A,B,A,C,C,D,C,C
181,M,B,B,A,A,B,B,C,B,A,B,D,A,B,C
182,M,A,B,A,A,B,C,E,A,B,B,C,A,B,C
183,M,B,B,A,A,C,B,A,B,A,C,D,D,C,B
184,M,B,B,A,A,B,C,C,B,A,B,B,A,B,C
185,M,B,B,A,A,C,B,A,B,A,C,D,A,B,C
186,M,B,B,A,A,C,B,B,A,C,B,B,A,B,C
187,M,B,B,A,A,C,C,D,B,A,B,B,A,B,C
188,M,B,B,A,A,B,A,E,B,A,B,C,A,C,C
189,M,B,B,B,B,B,B,B,A,D,B,C,A,C,C
191,F,B,B,A,A,B,B,B,B,A,B,C,A,B,C
192,M,B,B,A,A,C,B,E,B,A,C,D,A,B,C
193,F,A,B,A,A,B,C,E,B,A,C,D,A,B,C
195,F,B,B,A,A,A,B,E,A,B,A,C,A,B,C
196,M,B,B,A,A,B,B,C,A,D,B,B,A,C,B
197,F,B,B,B,A,C,B,C,B,A,B,D,A,B,C
198,M,B,B,A,A,A,B,E,B,A,C,B,A,B,C
199,M,A,B,A,A,C,C,C,B,B,D,D,A,B,C
200,F,B,B,A,A,C,C,C,B,A,B,A,A,B,C
201,M,B,B,A,A,B,B,D,A,B,C,D,A,D,C
202,F,B,B,A,A,B,B,D,B,A,C,A,A,A,C
203,F,B,B,A,A,C,C,D,B,A,C,D,A,B,C
204,F,A,B,A,A,C,B,B,B,A,C,D,A,B,C
205,F,A,B,A,A,B,B,,B,A,C,C,A,B,C
206,M,C,B,A,A,B,B,E,A,B,B,B,D,C,C
207,F,A,B,A,A,C,C,B,B,A,E,B,A,B,B
208,F,B,B,A,A,B,C,A,B,A,D,C,A,B,B
209,F,B,B,A,A,B,C,E,B,A,B,D,A,B,C
210,M,C,B,A,A,C,B,E,B,A,D,C,A,B,C
211,M,B,B,A,A,B,C,B,A,C,A,D,,,
212,F,A,B,A,A,C,B,C,B,A,B,D,A,B,B
213,M,A,B,A,A,B,A,D,A,B,D,D,A,D,B
214,M,B,B,A,A,B,B,B,A,C,A,D,D,B,B
215,F,C,B,A,A,B,C,E,B,A,C,B,A,B,C
216,F,B,B,A,A,D,C,E,A,D,A,A,D,C,B
217,F,A,B,A,A,C,B,E,A,C,C,B,D,C,B
218,F,B,B,A,A,C,D,E,A,B,D,C,A,B,C
219,F,C,C,A,A,B,C,D,B,A,D,D,A,B,C
220,F,B,B,A,A,D,D,E,B,A,C,B,A,B,C
221,M,B,B,A,A,C,B,E,B,A,C,C,A,B,C
222,F,B,B,A,A,C,B,E,B,A,D,D,A,A,C
223,M,B,B,A,A,B,B,E,A,C,B,B,A,A,C
224,F,B,B,A,A,B,C,B,B,A,B,D,A,B,C
225,M,B,B,A,A,B,C,B,B,A,B,D,A,B,C
226,F,A,B,A,A,B,B,E,B,A,B,D,,,
227,F,B,B,A,A,C,B,E,B,A,,D,D,B,C
228,F,B,B,A,A,B,B,C,B,A,C,D,A,B,C
229,M,B,B,A,A,A,B,D,B,,C,D,A,B,C
