,Alc1,Alc2,Alc3,Alc4,Alc5,Alc6,Alc7,Alc8,Alc9,Alc10,Alc11,Alc12,Alc13,Alc14,Alc15,Alc16,Alc17,Alc18,Alc19,Alc20,Alc21,Alc22,Alc23,Alc24,Alc25,Alc26,Alc27,Alc28,Alc29,Alc30,Alc31,Alc32,Alc33A,Alc33B,Alc33C,Alc33D,Alc33E,Alc34,Alc35,Alc36,Alc37,Alc38,Alc39,Alc40,Alc41,Alc42,Alc43,Alc44,Alc45,Alc46,Alc47,Alc48,Alc49,Alc50,Alc51,Alc52,Alc53,Alc54,Alc55A,Alc55B,Alc55C,Alc55D,Alc56,Alc57,Alc58,Alc59,Alc60,Alc61,Alc62,Alc63,Alc64,Alc65,Alc66,Alc67,Alc68,Alc69,Alc70
11,B,C,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,C,C,B,C,B,C,B,B,C,A,,B,,,,C,A,B,A,B,D,B,D,D,D,B,D,D,B,D,D,D,B,D,C,G,A,,,,D,D,C,C,C,D,B,A,A,A,B,D,F,F,C
12,B,C,A,D,A,D,A,B,D,D,A,B,D,A,D,B,B,A,B,A,A,A,D,A,A,B,A,C,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,A,A,E,E,E,E
13,A,D,B,B,B,B,B,C,C,B,C,D,A,C,C,B,C,A,B,A,A,A,C,B,A,B,A,C,B,B,B,B,A,B,C,,,C,B,C,A,B,D,B,D,D,D,A,D,D,A,D,D,D,A,B,D,C,A,,,,D,D,D,D,C,D,C,A,C,E,D,D,B,F,C
14,A,D,B,B,B,B,B,C,C,A,C,C,B,B,C,A,C,A,B,A,B,B,B,A,A,C,B,C,B,B,A,C,,,C,,,C,C,B,E,A,C,A,D,D,D,A,D,D,B,D,C,A,A,B,D,H,A,,,,D,C,D,D,A,C,B,A,E,A,C,B,F,B,C
15,A,D,A,B,B,B,C,C,C,B,D,C,B,B,C,C,C,B,B,B,B,A,C,C,A,C,C,D,B,B,C,C,A,,C,,,C,D,C,E,C,B,B,D,D,D,C,D,D,C,C,D,D,B,B,B,E,,,,D,D,C,D,C,B,C,C,A,D,C,C,B,C,B,B
17,A,B,A,C,A,C,C,C,D,C,B,C,B,B,A,C,A,D,A,D,C,C,B,C,A,B,C,A,B,A,A,B,A,B,C,D,,C,B,C,C,A,D,A,D,D,D,B,C,D,B,D,A,D,A,C,D,E,A,,,,D,D,D,D,D,D,A,A,C,E,D,B,F,F,D
18,B,B,D,C,A,D,B,A,D,C,A,A,D,A,B,A,D,A,C,A,A,D,C,A,A,C,D,C,B,B,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,E,C,A,I,A,,,,E,A,E,E,E,E,E,A,A,F,B,E,F,F,E
19,A,C,B,A,B,B,B,B,B,A,C,A,B,A,B,B,B,C,B,C,B,C,B,D,C,A,B,A,C,B,A,A,A,,C,,,B,C,,B,C,B,C,B,C,B,C,A,D,B,B,C,D,B,A,C,H,,,,D,C,C,B,B,B,C,D,C,C,C,C,B,B,B,C
20,A,C,B,A,D,C,D,D,D,C,C,A,B,D,D,D,C,A,A,A,D,D,A,A,A,A,A,A,A,C,B,B,A,,C,,,C,B,D,C,B,D,B,D,D,D,C,D,B,A,D,C,D,A,C,C,D,A,,,,D,E,D,D,D,C,A,A,B,A,B,B,D,D,C
21,B,C,A,B,B,C,B,A,C,B,B,B,C,B,B,A,D,A,C,A,A,C,D,B,B,C,A,C,D,C,B,A,A,B,C,,,C,A,C,A,B,D,B,D,D,D,D,D,D,C,D,C,D,A,D,D,H,A,,,,D,D,D,D,D,D,D,A,B,A,D,C,F,F,D
