,Alc1,Alc2,Alc3,Alc4,Alc5,Alc6,Alc7,Alc8,Alc9,Alc10,Alc11,Alc12,Alc13,Alc14,Alc15,Alc16,Alc17,Alc18,Alc19,Alc20,Alc21,Alc22,Alc23,Alc24,Alc25,Alc26,Alc27,Alc28,Alc29,Alc30,Alc31,Alc32,Alc33A,Alc33B,Alc33C,Alc33D,Alc33E,Alc34,Alc35,Alc36,Alc37,Alc38,Alc39,Alc40,Alc41,Alc42,Alc43,Alc44,Alc45,Alc46,Alc47,Alc48,Alc49,Alc50,Alc51,Alc52,Alc53,Alc54,Alc55A,Alc55B,Alc55C,Alc55D,Alc56,Alc57,Alc58,Alc59,Alc60,Alc61,Alc62,Alc63,Alc64,Alc65,Alc66,Alc67,Alc68,Alc69,Alc70
82,B,D,A,B,B,C,B,C,C,C,C,B,B,C,C,D,D,C,D,B,C,D,D,D,C,D,D,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,A,B,E,E,E,E
83,A,A,B,A,C,B,C,D,C,B,D,D,B,D,B,A,A,D,*,C,C,C,B,C,C,B,D,B,A,A,C,A,,,,D,,B,B,C,A,A,D,A,D,C,D,B,D,D,A,D,B,D,A,A,D,F,A,,,,D,D,D,D,B,D,B,A,A,A,D,C,F,F,D
84,A,D,A,A,D,A,C,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,B,A,C,,B,C,D,,C,B,C,A,A,D,A,D,D,D,D,D,D,D,D,D,D,A,A,D,C,A,,,,A,A,B,A,D,D,B,A,D,A,A,A,F,F,C
85,B,D,A,A,D,B,D,C,D,A,C,A,B,B,A,B,D,D,D,C,C,D,D,D,D,D,D,C,D,B,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,D,F,,,,D,E,E,E,E,E,E,E,A,B,A,D,E,E,E,E
86,B,C,C,C,C,B,B,C,C,D,B,B,C,B,C,D,D,C,C,D,D,D,D,B,B,C,B,D,D,B,C,F,A,,C,,,C,B,C,A,B,D,B,D,D,D,D,D,D,C,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,B,D,E,E,E
87,A,A,A,D,A,D,A,A,D,A,A,A,C,C,C,A,A,A,B,A,A,B,B,B,B,A,A,A,B,B,C,A,A,B,C,,,C,A,C,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,C,D,F,A,,,,D,D,D,D,D,D,D,A,A,A,C,C,D,D,D
88,A,D,D,B,C,B,D,C,B,D,C,C,B,C,B,D,B,C,B,C,D,C,C,D,C,C,D,C,D,B,B,B,A,B,,,,C,B,C,B,B,D,A,D,D,D,D,D,D,D,D,C,D,A,B,D,H,A,,,,D,E,D,D,D,D,D,A,B,A,C,C,C,D,D
89,B,C,A,B,D,A,C,C,B,C,B,A,A,A,B,D,C,A,C,A,A,C,D,A,B,C,B,C,A,D,C,A,,B,C,,,B,A,B,A,C,D,B,D,D,B,D,B,C,C,D,D,D,A,D,C,F,A,,,,D,E,D,D,D,D,C,A,A,E,C,C,C,D,D
90,A,C,B,B,C,B,C,C,C,C,C,C,B,B,B,C,B,C,C,B,C,B,B,B,B,B,B,C,B,C,C,A,,,C,,,C,B,D,A,B,D,B,D,D,D,D,D,D,D,D,B,D,A,D,C,H,A,,,,D,D,D,B,A,D,C,A,A,D,A,D,F,F,C
91,B,C,B,B,A,D,A,B,D,C,C,B,C,B,B,A,D,A,D,A,A,B,B,B,A,A,A,A,A,C,C,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,A,G,,,,D,E,A,E,E,E,E,E,A,A,F,B,E,E,E,E
92,A,C,B,B,B,A,A,B,D,A,C,A,B,B,A,A,C,B,B,A,A,D,B,D,C,C,B,B,A,C,A,C,A,,C,D,,C,D,D,F,B,B,B,B,B,D,B,D,D,C,D,A,B,C,A,B,C,A,,,,D,A,B,C,B,B,B,D,F,A,C,C,C,B,B
93,B,D,A,A,B,A,B,B,C,C,A,D,B,D,D,C,B,A,B,A,B,C,B,A,A,A,A,A,A,A,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
94,A,D,A,B,C,B,C,D,B,C,C,D,B,D,C,C,C,D,B,C,D,C,B,C,B,B,B,C,B,B,B,D,A,B,C,D,,C,A,C,E,B,D,A,D,D,B,C,C,D,C,D,C,D,A,B,D,C,A,,,,D,C,C,C,C,C,B,A,C,D,B,C,C,C,C
95,B,C,A,C,A,C,A,A,C,C,B,B,B,C,D,A,C,A,C,A,A,C,C,B,B,B,C,D,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
96,B,C,A,C,A,C,A,B,D,D,B,B,C,B,C,A,C,A,C,A,A,C,A,A,A,A,A,B,A,F,D,F,,,,,E,E,E,E,F,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,,,,D,E,E,E,E,E,E,E,A,A,F,B,E,E,E,E
98,A,C,D,C,B,B,B,B,B,B,A,A,B,A,C,A,B,B,C,B,C,B,C,B,B,B,B,C,B,C,B,A,A,,C,,,B,A,B,A,D,D,D,D,D,C,D,D,C,D,C,D,D,B,B,,E,,,,D,C,B,C,B,C,D,C,B,B,E,B,B,B,B,B
99,A,C,A,B,B,B,B,B,B,B,A,B,,,C,A,B,A,C,B,,D,C,A,A,,D,A,,B,C,A,,,,D,,B,B,C,A,B,D,B,D,D,D,C,D,D,C,D,B,D,B,B,C,E,,,,D,D,A,D,D,D,D,D,A,A,E,C,C,,D,D
100,A,C,B,A,C,A,A,D,A,A,C,D,A,C,A,C,B,A,B,A,A,B,A,B,A,B,A,A,A,C,B,A,,,C,,,B,C,D,A,A,D,A,D,D,C,B,C,D,B,D,B,D,B,C,C,E,,,,D,A,A,B,B,B,D,B,A,B,A,B,C,B,B,B
101,A,C,B,B,C,B,C,D,B,A,C,C,B,D,B,B,C,B,B,B,C,C,B,D,C,C,D,B,C,C,A,B,A,,C,,,C,C,B,D,B,D,A,C,D,D,A,C,D,B,D,A,C,A,B,C,D,,,,D,C,D,D,C,C,D,B,A,B,D,B,C,F,F,C
102,A,D,A,A,D,B,D,D,B,A,D,A,A,B,D,B,A,A,D,A,A,,A,D,A,D,D,A,D,C,A,B,A,,,,,C,C,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,A,,,,D,D,D,D,D,D,A,B,A,B,B,C,C,D,D,D
103,A,B,B,B,B,B,B,B,C,B,C,C,B,C,B,D,D,B,C,A,C,D,C,C,A,C,C,C,C,A,B,A,A,,,,,B,C,D,B,C,D,B,D,C,D,B,D,D,B,D,C,D,A,D,D,H,A,,,,C,C,C,C,B,C,B,A,B,A,B,C,F,F,B
104,B,C,A,B,,,B,C,D,A,C,C,C,A,A,D,A,D,A,B,B,D,B,B,C,C,C,,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
105,B,A,C,D,A,D,A,A,D,D,C,C,C,D,D,D,D,A,C,A,A,C,B,D,A,,A,C,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,,A,A,F,D,E,E,E,E
106,B,A,D,D,A,D,A,A,D,D,A,C,B,D,D,A,D,A,D,A,A,D,D,A,D,D,D,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,D,I,A,,,,E,A,E,E,E,E,E,A,A,A,A,E,F,F,E
107,B,A,A,A,A,A,A,A,D,D,A,A,C,D,D,D,C,A,C,A,C,C,C,A,A,C,C,B,C,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,A,A,E,E,E,E
108,B,A,C,D,A,C,A,A,A,B,A,C,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
109,B,C,,B,A,D,A,A,D,C,A,A,C,A,A,A,C,A,D,A,B,B,D,B,A,D,D,D,B,C,C,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,A,I,A,,,,E,A,E,E,E,E,E,A,A,F,B,E,E,E,E
110,B,C,A,D,A,B,A,A,D,B,A,A,C,A,C,A,C,A,B,A,C,D,D,A,A,C,A,C,A,C,C,A,,,C,,,C,C,C,A,C,B,C,B,C,C,C,A,D,C,D,C,D,E,D,A,G,A,,,,D,E,D,D,D,D,A,A,B,E,D,A,C,E,B
112,B,D,A,A,A,B,C,B,C,B,A,A,A,A,A,A,C,A,B,A,A,D,B,A,A,C,A,C,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
113,B,A,D,C,A,C,A,A,D,C,A,B,A,A,B,A,D,A,C,A,A,C,D,A,A,D,B,A,A,F,D,E,,,,,E,E,E,E,A,D,B,C,B,B,D,D,A,D,D,C,B,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
114,A,D,A,C,C,C,C,D,D,D,D,D,D,D,D,D,C,A,C,A,A,C,C,A,D,C,B,C,B,B,A,C,A,,C,,,B,C,C,D,C,D,B,D,D,D,C,D,D,C,D,D,D,A,A,D,H,A,,,,D,E,D,D,B,D,C,B,C,D,C,A,C,D,C
115,A,A,A,B,B,A,B,C,C,C,B,B,B,B,B,C,C,B,B,B,B,B,C,B,B,B,C,B,C,C,B,A,,B,C,,,C,D,D,C,B,D,A,C,D,C,C,B,B,B,B,B,C,A,C,D,H,A,,,,C,B,B,B,C,B,B,A,B,C,C,C,F,F,C
117,A,B,A,D,A,C,A,A,A,D,C,A,D,C,D,D,D,A,C,A,A,C,D,D,C,D,C,D,A,C,B,A,A,,C,,,C,B,D,B,D,D,D,D,D,C,D,D,C,D,C,D,D,A,D,D,H,A,,,,D,E,D,D,D,D,D,A,B,C,A,D,F,F,D
118,A,D,A,B,B,C,B,B,C,C,B,C,C,C,B,D,B,B,B,B,C,B,B,C,A,B,C,B,C,C,B,A,,,C,,,C,C,D,B,C,D,C,D,D,D,C,D,D,C,D,C,D,A,C,C,E,A,,,,C,C,C,C,C,C,B,B,A,C,B,B,F,F,C
119,B,D,B,B,B,C,B,B,D,C,B,A,B,B,D,B,C,B,C,B,B,C,C,B,A,C,B,C,C,B,C,F,,,,,E,E,E,E,B,D,D,C,A,D,D,B,A,D,B,D,D,C,C,C,B,F,,,,D,D,E,E,E,E,E,E,B,B,F,A,A,E,E,E
120,A,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,A,,,C,,,C,A,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,H,,,,D,B,B,B,B,B,D,B,A,A,A,B,D,F,F,B
122,B,C,C,B,B,C,A,B,B,D,A,B,C,B,C,A,C,A,C,A,A,B,C,A,A,A,A,A,A,C,D,A,A,B,C,,,C,A,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,C,D,H,A,,,,E,A,E,E,E,E,E,A,A,A,B,E,E,E,E
123,B,A,D,D,A,D,A,A,D,D,A,B,D,B,D,D,D,A,D,A,A,D,D,A,D,D,D,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,,,,D,E,A,E,E,E,E,E,A,A,A,A,E,E,E,E
124,B,C,C,B,B,C,D,D,D,C,C,D,B,C,B,A,C,A,C,B,B,D,B,B,A,B,A,C,A,B,C,A,A,,C,,,C,B,D,A,C,D,D,D,D,D,D,D,D,D,D,D,D,B,B,B,F,,,C,D,D,A,C,C,C,D,A,A,A,A,A,D,B,B,C
125,A,C,B,B,B,C,B,C,B,B,C,C,B,C,A,C,C,B,B,A,B,A,A,B,A,A,B,B,A,C,B,B,,,C,,,C,B,B,C,B,D,C,D,D,B,B,C,C,B,A,A,C,A,C,D,H,A,,,,D,E,D,D,B,D,C,A,A,E,A,D,D,F,D
126,B,,D,D,D,,A,D,,C,B,A,C,D,B,A,D,,C,A,D,,D,,,,D,B,D,C,B,A,A,B,C,D,,C,C,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,A,C,D,E,A,,,,D,E,D,D,D,D,D,A,C,E,D,E,F,F,D
127,B,C,D,D,A,D,A,A,D,D,C,B,D,D,D,D,D,A,D,A,A,D,D,B,A,A,A,A,D,F,D,F,,,,,E,E,E,E,F,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,C,E,E,E,E
128,A,A,D,B,C,D,B,C,A,D,C,B,A,C,B,B,B,C,B,D,A,C,,,D,C,B,C,,C,B,E,,,,D,,D,B,A,C,C,B,A,C,C,A,A,D,B,B,B,B,B,A,B,C,H,A,,,,D,B,C,B,C,C,C,B,B,D,D,D,B,C,B
129,B,C,C,C,A,D,A,A,D,,C,,,B,A,A,D,A,,A,,D,,,,,,,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,I,A,,,,E,E,E,E,E,E,E,,,F,,,A,A,
130,A,D,B,C,C,C,C,B,B,D,A,B,C,D,D,B,A,C,D,C,C,C,B,B,D,C,B,A,B,D,D,A,,B,,,,C,C,B,B,A,B,C,B,D,C,B,B,B,C,A,C,D,D,D,D,D,,B,,,C,C,B,C,C,A,D,A,A,B,A,C,D,C,D
131,B,C,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,F,D,F,,,,,E,E,E,E,F,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D,I,,,,D,E,E,E,E,E,E,E,F,F,F,D,E,F,F,E
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,A,D,D,C,C,C,C,C,C,C,C,D,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,E,,,C,,,C,D,D,D,D,C,C,C,D,D,D,D,D,B,B,B,D,A,D,D,A,,B,,,C,D,A,B,C,D,B,C,A,D,C,A,D,B,B
135,B,A,A,B,B,B,C,D,D,D,D,D,D,D,D,D,D,B,B,B,B,B,D,B,B,B,B,B,B,F,D,F,,,,,E,E,E,E,B,C,C,C,C,C,D,C,C,D,C,D,C,C,A,C,A,I,,,,D,E,B,E,E,E,E,E,A,A,A,B,E,E,E,E
136,A,D,A,C,B,D,B,A,C,B,D,A,B,D,A,C,A,B,C,A,B,B,D,D,C,C,A,A,B,B,A,D,,,C,,,C,D,C,B,C,A,B,A,A,B,C,D,D,C,A,C,C,A,D,D,D,A,,,,B,C,B,D,E,A,D,E,F,E,D,D,A,B,B
137,B,B,C,C,A,C,A,B,D,B,B,B,C,B,C,A,C,C,C,D,C,C,C,D,C,D,A,D,A,C,C,A,A,,,,,C,B,D,A,D,C,D,B,D,D,D,B,D,D,D,D,C,C,C,A,E,,,C,,C,C,C,B,C,C,C,D,D,C,C,D,D,C,C
138,B,A,C,A,C,B,D,B,A,C,B,A,D,B,C,B,A,B,D,B,C,A,C,B,D,B,A,C,A,A,C,B,,,,D,,B,D,B,D,B,C,A,B,D,B,C,B,C,A,C,B,A,C,B,D,A,A,,,,B,D,B,D,B,D,B,A,C,A,C,A,B,D,B
139,A,B,C,C,B,A,D,D,D,D,D,D,D,D,D,D,C,B,C,D,D,D,D,D,D,D,D,D,D,C,C,C,A,,C,,,C,C,D,D,D,D,C,D,D,D,D,D,D,D,D,D,D,A,B,D,H,A,,,,D,E,D,D,D,D,B,A,D,A,B,D,F,F,C
140,B,A,D,D,A,B,A,A,D,C,A,A,B,A,A,A,D,A,B,A,A,D,C,A,B,A,A,A,A,F,D,F,,,,,E,E,E,E,C,D,C,B,D,D,D,C,D,D,B,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,B,F,A,E,E,E,E
141,A,B,B,C,C,B,C,B,C,C,C,B,C,C,B,C,C,B,C,C,C,C,B,C,C,B,C,B,C,C,B,C,,,C,,,B,A,B,B,D,C,B,C,B,B,C,C,B,C,B,C,B,C,C,C,C,,B,,,C,D,B,D,C,D,B,C,E,E,C,D,B,D,B
142,A,D,C,A,C,C,D,C,C,C,D,A,C,B,C,A,C,A,A,B,D,B,C,D,B,C,B,A,C,A,A,E,A,B,C,D,,C,C,C,A,B,A,B,B,C,B,C,C,D,C,C,B,C,A,B,D,D,A,,,,C,C,C,D,B,C,D,A,B,D,C,B,D,D,D
143,A,D,C,C,A,B,A,D,C,D,A,C,D,D,D,D,C,B,B,A,C,D,D,D,D,D,D,C,D,C,B,A,A,,C,,,C,B,C,B,C,C,C,C,D,D,D,C,D,D,D,C,D,A,B,D,E,A,,,,C,C,B,B,D,B,A,A,A,A,A,C,D,D,C
144,A,C,B,B,C,B,C,D,C,C,B,D,C,C,B,B,C,A,C,A,B,C,C,B,B,C,B,B,A,B,B,A,,,,D,,C,C,C,C,B,C,B,C,D,C,C,B,D,C,D,B,C,A,B,C,H,,B,,,D,C,D,E,D,C,D,D,D,F,D,B,B,C,A
145,A,D,B,B,A,B,A,C,D,C,B,B,B,C,B,A,C,B,C,A,B,C,B,B,B,C,D,C,D,B,C,B,A,,C,,,C,D,B,F,B,A,B,A,C,D,B,B,D,B,D,B,B,E,B,A,D,,,,D,B,D,D,B,B,D,E,B,C,D,B,D,C,E,E
146,B,C,C,C,B,C,B,B,C,C,B,B,C,B,B,D,C,C,C,C,C,B,B,B,A,B,A,B,B,C,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,D,E,E,E,E
147,B,B,C,B,A,B,A,B,B,B,B,B,B,B,B,D,A,A,B,A,A,B,C,B,A,B,C,A,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
148,A,C,B,B,C,B,C,D,D,B,B,C,B,D,B,C,C,B,B,B,C,C,C,C,A,C,A,C,B,B,C,A,,,C,,,C,A,C,A,B,D,C,D,D,D,C,C,D,C,D,C,D,C,C,C,D,A,,,D,B,B,C,C,B,C,B,A,A,A,B,B,A,A,B
149,B,A,B,A,A,B,A,A,B,C,D,A,A,B,B,A,C,C,B,C,B,B,B,C,A,B,B,B,C,A,C,B,,B,,,,C,B,C,D,A,A,A,A,B,D,A,B,A,D,D,B,B,A,C,C,E,A,,,,B,A,C,C,D,D,D,D,D,E,D,D,D,D,D
150,A,D,A,A,B,A,A,D,A,A,A,A,A,A,A,A,A,A,A,B,D,A,A,A,A,A,A,A,A,B,B,B,A,,C,,,C,C,B,E,A,D,A,D,D,A,A,C,A,D,A,A,D,B,C,C,C,A,,,,D,D,D,A,A,C,B,E,E,E,D,C,F,F,D
151,A,C,A,D,B,C,B,D,D,D,D,D,D,C,C,D,D,B,D,C,C,D,D,D,D,D,D,D,D,C,B,B,A,,C,,,C,C,D,A,C,D,D,D,D,D,D,D,D,D,D,D,D,B,C,D,D,A,,,,D,E,D,D,D,B,D,A,C,A,D,D,C,B,C
152,A,A,A,B,C,C,C,D,C,C,A,B,C,D,B,C,A,B,A,B,A,B,B,C,A,C,A,B,B,F,D,F,,,,,E,E,E,E,F,D,D,C,C,A,A,A,A,A,A,A,A,A,D,D,D,C,,,C,,C,B,B,C,B,A,C,C,A,C,D,E,F,F,E
153,A,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,,,C,,,C,D,D,B,D,A,D,D,D,D,D,D,D,D,D,D,D,A,C,C,B,A,,,,D,E,D,D,D,D,B,A,F,A,C,C,C,B,D
154,B,C,A,C,B,,,B,C,C,B,B,C,B,C,,C,B,C,,B,,C,B,B,B,B,C,,B,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,A,B,E,E,E,E
155,B,B,C,C,B,D,B,B,C,C,B,C,A,C,B,B,B,B,B,A,A,A,B,B,B,B,A,B,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,I,A,,,,E,A,E,E,E,E,E,A,A,F,B,E,B,B,E
156,A,C,C,D,D,C,D,D,D,C,C,D,D,D,D,C,,D,D,D,D,B,D,D,A,D,A,D,D,C,D,F,,,,,E,E,B,D,C,D,D,D,D,D,D,D,D,D,D,A,A,D,B,B,B,D,,,,D,E,E,E,E,E,E,E,F,F,F,D,E,F,F,E
157,A,D,D,A,A,A,A,A,B,B,A,C,B,B,C,B,D,D,D,D,D,A,D,D,A,D,D,,,A,D,F,,,,,E,E,E,E,D,A,D,A,B,,C,B,A,A,A,A,A,A,A,A,D,D,A,,,,B,E,D,D,D,D,D,F,F,F,D,E,F,F,E
158,A,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,C,A,,,C,,,C,B,D,A,B,B,B,D,D,A,D,D,D,D,A,D,D,A,D,D,D,A,,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
159,A,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,C,A,,,C,,,C,D,D,B,A,A,A,D,D,A,D,D,D,D,A,A,D,A,D,C,G,A,,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
160,B,C,A,B,B,C,A,D,A,A,B,C,C,A,B,C,B,B,B,B,B,,,,,,,,,F,D,F,,,,,E,E,E,E,F,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,I,A,,,,E,E,E,E,E,E,E,F,F,F,D,E,F,F,E
161,B,C,D,D,A,D,A,D,D,D,B,A,C,B,A,B,D,D,C,A,A,C,C,D,A,D,A,C,A,D,D,F,,,,,E,E,E,E,C,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,D,D,D,B,B,D,E,A,D,D,D,B,E,F,E
162,,A,,,D,,,C,D,,C,D,,C,B,D,,C,A,D,,,C,D,C,D,,,,D,B,D,A,,,,,C,E,B,D,B,C,A,C,D,B,C,C,D,B,,B,C,A,D,B,C,,,,D,B,C,E,B,C,D,B,C,E,D,B,D,A,D,
163,A,C,B,B,B,C,B,B,A,D,D,C,B,A,A,B,C,C,C,A,B,B,D,D,C,B,B,B,D,B,C,B,,B,,,,E,E,E,E,C,B,D,C,C,C,C,C,B,C,D,D,D,E,D,D,I,A,,,,B,C,D,D,E,C,A,B,D,D,A,D,A,B,E
164,B,B,B,C,C,C,B,B,C,C,C,C,B,B,B,C,C,B,C,B,C,C,C,B,A,B,A,C,D,B,C,B,,B,,,,C,B,B,C,B,D,A,B,B,B,B,C,B,C,B,A,B,C,D,C,B,,B,,,C,C,C,B,C,D,E,D,E,D,C,B,C,F,D
165,B,B,A,A,A,A,A,B,B,A,A,C,C,A,A,B,A,A,B,A,B,A,A,A,A,A,B,A,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
166,A,B,C,B,C,B,D,C,A,C,B,C,B,D,C,B,B,A,B,B,A,B,C,B,A,B,A,C,B,B,B,C,,B,,,,C,A,B,C,B,C,B,A,C,A,B,C,B,D,D,C,D,B,D,D,E,,,C,,B,C,D,B,C,D,C,B,E,D,C,B,D,C,D
167,A,D,D,A,A,A,A,B,B,B,C,A,B,A,B,D,A,A,B,B,B,A,B,B,B,B,B,B,B,B,B,A,A,,,,,C,B,C,A,A,D,A,D,D,B,C,D,C,D,A,D,D,A,D,D,E,A,,,,D,A,D,D,D,D,D,A,B,A,D,D,F,F,A
168,A,D,A,B,A,C,A,A,A,D,D,A,B,A,D,D,B,B,B,,B,B,B,B,B,B,B,B,B,D,C,B,A,,,,,C,B,D,A,C,D,C,D,D,B,D,D,D,D,A,D,D,E,D,B,G,,B,,D,D,B,D,D,A,D,D,A,E,,A,C,B,A,C
169,A,C,B,A,B,A,B,*,B,A,,A,A,B,A,A,C,B,C,A,B,A,C,B,A,A,B,A,B,B,A,C,,,,D,,A,B,C,A,B,C,A,C,B,A,,B,A,C,D,A,B,C,A,A,C,,B,,,A,B,*,C,B,B,B,B,A,D,B,C,D,A,D
170,A,B,C,B,B,A,B,D,B,C,A,,A,C,A,C,A,C,A,,D,,A,D,,C,,,,B,C,C,,B,,,,B,C,A,D,,,B,D,A,C,,A,,A,C,B,D,A,C,B,A,,,C,,A,C,B,D,,B,A,D,D,,,D,,A,D
171,A,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,,,,D,,C,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,E,B,B,E,A,,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
172,B,C,D,B,A,B,A,A,D,A,B,A,B,A,C,A,B,A,C,A,A,D,A,A,B,C,B,B,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,C,D,I,,,,D,E,A,E,E,E,E,E,A,A,A,A,E,E,E,E
173,A,C,C,A,B,A,C,D,D,C,C,C,C,D,D,D,B,C,C,A,D,D,C,D,B,C,D,D,B,C,B,C,A,,,,,C,B,D,B,A,D,A,D,D,D,C,D,D,D,D,D,D,A,C,C,E,A,,,,C,A,D,D,D,B,D,A,B,A,C,C,C,C,D
174,A,B,C,B,B,A,A,A,B,B,A,A,A,A,B,B,B,C,C,C,C,C,C,,B,B,A,A,A,A,B,C,,,,D,,E,D,C,B,A,B,C,D,C,C,B,B,B,B,B,A,A,C,D,B,E,,,,D,B,E,D,B,C,A,E,D,D,D,B,C,B,B,A
175,A,D,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,A,D,,,C,,,B,D,D,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
176,A,B,A,A,C,A,C,C,D,C,C,B,C,B,C,B,B,,B,B,B,B,B,B,B,B,,B,C,C,A,C,,,C,,,C,C,D,E,A,B,A,B,D,B,B,B,C,B,A,B,B,A,A,C,C,,,C,,D,D,D,D,D,D,D,D,D,A,C,D,D,D,D
177,A,B,A,A,B,A,B,C,B,C,C,C,B,B,C,B,B,B,B,B,B,B,B,B,B,C,C,B,B,A,B,C,,,C,,,D,E,D,C,C,C,C,B,C,D,C,B,A,B,C,D,A,B,C,D,G,,,C,,C,C,C,C,C,C,B,B,C,D,D,C,D,E,E
