ID,DG1,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9,DG10,DG11,DG12,DT1,DT2,DT3,DT4,DT5,DT6,DT7,DT8,DT9,DT10,DT11,DT12,DT13,DT14,DT15,DT16,DT17,DT18,DT19,DT20,DT21,DT22,DT23,DT24,DT25,DT26,DT27
160,F,A,B,A,A,C,B,B,A,B,A,D,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,A,B,B,B,A,B
161,M,D,B,A,A,D,D,E,A,B,D,D,A,A,B,B,B,A,B,B,A,B,B,A,A,B,B,A,A,A,B,A,B,A,B,A,A,A,B
162,M,B,B,A,A,B,B,B,B,A,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,B
163,F,C,B,A,A,D,C,B,B,A,B,D,A,B,A,B,A,A,B,B,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A,A,B,A,B
164,M,C,B,A,A,B,B,D,B,A,B,D,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,A
165,M,B,B,A,A,A,B,A,A,C,C,D,A,A,B,B,A,A,B,B,A,A,B,A,A,B,A,A,A,B,A,A,A,A,B,B,A,A,B
166,M,A,B,A,A,B,D,E,A,C,B,B,A,A,A,B,B,A,B,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,B
167,M,B,B,A,A,B,B,E,B,A,C,C,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
168,M,C,B,A,A,C,B,C,A,C,B,D,B,B,B,B,B,A,A,B,A,B,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,
169,F,B,B,A,A,A,A,C,A,A,A,B,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
170,M,C,B,A,A,B,B,B,B,A,A,D,A,B,A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,B,B,A,B,A,B,A,A,A,B
171,F,B,B,A,A,B,C,B,A,D,A,D,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B
172,M,A,B,A,A,C,C,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
173,F,B,B,A,A,B,C,C,B,A,B,C,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,B,B,A,B,A,A,A,B
174,M,B,B,A,A,B,C,A,A,B,A,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,B,
175,F,B,B,A,A,B,B,D,B,A,C,D,A,A,A,B,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
176,M,C,B,A,A,B,B,C,B,A,D,D,B,B,B,B,B,A,B,B,B,B,A,B,A,B,A,A,A,A,B,A,B,A,B,B,B,A,B
177,M,C,B,A,A,C,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
178,F,B,C,A,A,A,B,D,A,C,A,D,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
179,M,B,B,A,A,C,B,E,B,A,B,C,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,A,B,A,B,A,B
180,M,B,C,A,A,B,B,A,B,A,C,C,A,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
181,M,B,B,A,A,B,B,C,B,A,B,D,A,B,B,B,A,A,B,B,A,A,B,A,A,B,B,A,A,A,B,A,B,A,B,B,A,A,B
182,M,A,B,A,A,B,C,E,A,B,B,C,A,B,A,B,A,A,A,B,A,B,B,A,A,A,B,B,A,B,B,B,A,B,A,A,A,B,B
183,M,B,B,A,A,C,B,A,B,A,C,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
184,M,B,B,A,A,B,C,C,B,A,B,B,A,A,A,B,A,A,A,B,A,A,B,A,A,A,B,B,A,A,A,B,A,B,A,A,A,A,A
185,M,B,B,A,A,C,B,A,B,A,C,D,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
186,M,B,B,A,A,C,B,B,A,C,B,B,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
187,M,B,B,A,A,C,C,D,B,A,B,B,A,B,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
188,M,B,B,A,A,B,A,E,B,A,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
189,M,B,B,B,B,B,B,B,A,D,B,C,A,A,A,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,B,A,A,B,A,A,B,B,B
191,F,B,B,A,A,B,B,B,B,A,B,C,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,B
192,M,B,B,A,A,C,B,E,B,A,C,D,A,B,B,A,A,B,B,B,A,A,B,A,A,B,B,A,A,A,B,A,B,A,A,A,B,A,B
193,F,A,B,A,A,B,C,E,B,A,C,D,A,B,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
195,F,B,B,A,A,A,B,E,A,B,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
196,M,B,B,A,A,B,B,C,A,D,B,B,A,A,A,B,B,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
197,F,B,B,B,A,C,B,C,B,A,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
198,M,B,B,A,A,A,B,E,B,A,C,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
199,M,A,B,A,A,C,C,C,B,B,D,D,A,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,B
200,F,B,B,A,A,C,C,C,B,A,B,A,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B
201,M,B,B,A,A,B,B,D,A,B,C,D,A,A,B,B,A,A,B,B,A,B,B,A,A,B,A,B,B,B,B,B,A,A,B,A,B,A,A
202,F,B,B,A,A,B,B,D,B,A,C,A,A,A,A,B,B,A,A,A,A,A,B,A,A,A,B,A,A,B,B,A,B,A,B,A,A,A,B
203,F,B,B,A,A,C,C,D,B,A,C,D,A,A,A,A,A,A,B,B,A,A,B,A,A,B,A,B,B,B,B,A,B,A,A,B,A,B,B
204,F,A,B,A,A,C,B,B,B,A,C,D,A,B,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,A,B,B,B,A,A,B
205,F,A,B,A,A,B,B,,B,A,C,C,A,B,A,B,A,B,B,B,A,B,B,A,A,A,A,B,A,B,B,A,B,A,B,A,B,A,B
206,M,C,B,A,A,B,B,E,A,B,B,B,B,B,B,B,B,A,B,B,A,A,B,A,A,B,B,A,A,B,B,A,B,B,B,A,B,A,B
207,F,A,B,A,A,C,C,B,B,A,E,B,A,B,B,B,A,B,A,A,B,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A,B,A,A
208,F,B,B,A,A,B,C,A,B,A,D,C,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,A,A,B,B,B,A,B,A,B
209,F,B,B,A,A,B,C,E,B,A,B,D,B,A,A,A,B,B,A,B,B,A,A,A,B,B,B,B,A,B,A,A,A,A,A,B,A,B,A
210,M,C,B,A,A,C,B,E,B,A,D,C,A,A,B,B,A,A,B,A,A,A,B,A,A,A,,A,A,B,B,A,A,B,A,B,B,B,A
211,M,B,B,A,A,B,C,B,A,C,A,D,A,B,B,B,B,A,B,B,A,B,B,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,B
212,F,A,B,A,A,C,B,C,B,A,B,D,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,A,A,B
213,M,A,B,A,A,B,A,D,A,B,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
214,M,B,B,A,A,B,B,B,A,C,A,D,A,B,B,B,B,B,B,B,A,B,B,B,A,B,B,B,A,B,B,A,B,A,B,A,B,A,B
215,F,C,B,A,A,B,C,E,B,A,C,B,A,B,B,A,B,A,A,B,B,A,B,A,A,B,B,A,B,B,B,A,A,B,A,A,A,B,B
216,F,B,B,A,A,D,C,E,A,D,A,A,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
217,F,A,B,A,A,C,B,E,A,C,C,B,A,B,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,A,B,A,B,A,B
218,F,B,B,A,A,C,D,E,A,B,D,C,A,B,B,B,B,A,B,B,A,B,B,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,B
219,F,C,C,A,A,B,C,D,B,A,D,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B
220,F,B,B,A,A,D,D,E,B,A,C,B,A,A,A,B,A,A,B,A,A,A,B,A,A,B,A,A,A,A,B,A,A,A,A,A,B,A,B
221,M,B,B,A,A,C,B,E,B,A,C,C,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,B
222,F,B,B,A,A,C,B,E,B,A,D,D,A,A,A,B,B,A,B,A,A,A,B,B,A,A,A,A,A,A,B,A,A,A,B,B,A,A,B
223,M,B,B,A,A,B,B,E,A,C,B,B,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
224,F,B,B,A,A,B,C,B,B,A,B,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
225,M,B,B,A,A,B,C,B,B,A,B,D,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
226,F,A,B,A,A,B,B,E,B,A,B,D,A,A,B,B,B,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
227,F,B,B,A,A,C,B,E,B,A,,D,B,B,B,B,B,A,B,B,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
228,F,B,B,A,A,B,B,C,B,A,C,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
229,M,B,B,A,A,A,B,D,B,,C,D,A,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,A,B,A,B,A,B
230,M,B,C,A,A,C,D,B,A,C,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
231,F,B,B,A,A,C,C,D,B,A,A,C,A,A,A,A,B,A,B,B,A,A,B,B,A,B,A,B,A,B,B,A,B,A,B,A,B,A,B
232,F,B,B,A,A,C,C,D,A,B,C,D,A,B,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,A,A,B
233,F,B,B,A,A,C,C,E,B,A,A,B,B,B,A,B,B,A,B,A,A,A,B,A,A,B,A,B,A,A,B,A,A,A,B,A,B,A,B
234,M,B,B,A,A,B,B,E,B,A,B,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
235,M,C,B,A,A,B,C,D,A,B,A,D,A,A,B,A,B,B,B,B,A,B,A,B,A,A,A,B,A,A,B,B,B,B,B,B,A,A,B
236,F,A,B,A,A,B,B,D,B,A,C,D,A,B,B,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,B,A,A,B
237,F,B,B,A,A,C,C,E,B,A,,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
238,F,B,B,A,A,D,C,E,B,A,B,D,A,A,A,A,A,A,A,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B
239,M,B,B,A,A,C,A,E,A,C,D,D,A,A,A,A,A,A,A,B,A,A,B,A,A,B,A,A,A,B,B,A,A,A,B,A,B,A,B
240,F,B,B,A,A,B,B,E,B,A,B,C,A,A,A,B,A,A,B,A,A,B,B,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A
241,M,B,B,A,A,B,C,E,A,B,D,B,A,B,B,B,B,A,B,B,A,B,B,A,A,B,B,A,A,B,B,A,B,A,B,A,B,A,B
242,F,C,C,A,A,C,C,B,B,A,B,B,B,B,A,B,B,A,B,A,A,A,B,A,A,B,B,B,B,A,B,B,A,B,B,B,B,B,A
243,M,B,B,A,A,B,C,C,B,D,B,C,A,B,A,B,A,B,A,B,A,A,A,A,B,A,B,B,A,B,B,A,B,B,A,B,A,A,B
244,M,A,A,A,A,C,D,C,A,C,A,B,A,A,A,A,B,B,A,A,A,B,A,A,B,B,A,A,B,A,B,A,B,A,A,B,B,B,A
245,F,B,B,A,A,C,B,B,B,A,A,D,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
246,F,A,B,A,A,C,D,D,B,A,B,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
247,M,B,B,A,A,B,C,B,A,B,D,D,A,B,B,B,A,B,A,B,B,A,A,A,B,A,A,A,A,B,A,B,B,A,B,A,A,A,A
248,M,B,B,B,A,B,B,E,B,A,D,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
249,M,C,B,A,A,A,B,A,B,A,B,C,A,B,A,B,A,A,B,B,A,A,B,A,B,B,A,B,A,B,A,A,A,A,B,,A,A,B
250,M,B,B,A,A,A,B,B,B,A,B,B,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
251,F,B,B,A,A,C,D,C,B,A,B,D,A,A,A,B,B,A,B,B,A,A,B,A,A,B,B,A,A,A,B,A,A,A,B,A,A,A,B
252,M,B,B,A,A,C,B,A,B,A,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
253,M,A,B,A,A,C,C,A,B,A,B,D,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B
254,M,B,B,A,A,C,A,A,B,A,B,D,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
255,M,B,B,A,A,B,B,E,B,A,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
256,M,A,B,A,A,B,C,E,B,A,A,D,A,A,A,B,B,A,B,B,A,A,B,A,A,B,B,B,A,A,B,A,B,A,B,A,B,A,B
257,M,A,B,A,A,B,C,E,B,A,C,D,A,A,B,B,B,A,B,A,A,B,B,B,A,B,B,A,B,A,A,A,B,A,B,B,A,B,B
258,M,B,B,A,A,C,B,C,A,C,B,D,A,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,A,A,A,A,B,A,B,A,B,A,B
259,M,B,B,A,A,C,A,A,B,A,C,C,A,B,B,B,B,A,B,B,A,A,B,A,A,B,A,B,A,B,B,A,A,A,B,A,A,A,B
260,M,A,C,A,A,B,C,D,A,B,A,D,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B
261,M,A,B,A,A,C,D,D,A,D,E,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
262,M,A,B,A,A,A,B,E,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
263,M,A,B,A,A,C,B,E,B,A,C,D,A,B,A,B,B,A,B,B,A,A,B,A,A,A,A,B,A,B,B,A,A,A,B,A,B,A,B
264,M,A,B,A,A,C,B,E,B,A,B,B,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,A,A,B,A,B,A,B
265,M,A,B,A,A,C,D,E,A,C,B,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
266,M,A,B,A,A,B,B,E,B,A,B,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,A,A,B
267,M,B,B,A,A,C,C,C,B,A,B,D,A,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B
268,M,A,B,,A,C,C,E,B,A,C,D,A,A,A,B,A,A,A,B,A,A,A,A,A,B,B,A,A,A,B,A,A,A,B,A,B,A,B
269,M,A,B,A,A,B,B,E,B,A,E,D,A,B,B,B,B,A,B,B,A,B,B,A,A,B,B,A,A,B,B,A,B,A,B,A,A,B,B
270,M,C,B,A,A,C,A,D,A,D,C,C,A,A,B,B,B,A,B,B,A,A,B,A,A,B,A,B,A,A,B,A,A,A,B,A,B,A,B
271,F,A,B,A,A,A,B,E,B,A,D,D,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
272,M,A,B,A,A,A,A,E,B,A,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
273,M,A,B,A,A,C,C,E,B,A,C,C,A,A,A,B,A,A,B,B,B,A,B,A,A,B,B,A,A,A,B,A,B,A,A,A,B,A,B
274,F,A,B,A,A,D,B,E,B,A,A,D,B,A,B,B,B,A,A,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,B,A,B,A
275,M,B,B,A,A,A,B,E,B,A,D,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,B,A,B,B,A,A,A,A,B,A,B,A
276,M,B,B,A,A,B,B,C,B,A,B,C,A,A,B,B,B,A,B,B,A,A,B,A,A,,A,A,A,A,B,A,A,A,B,A,A,A,B
277,F,B,B,A,A,C,B,C,B,A,B,C,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,*
278,M,B,B,A,A,B,B,B,B,A,C,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
279,F,A,B,A,A,A,B,E,B,A,C,D,A,A,B,B,A,A,B,B,A,A,A,A,A,B,B,A,A,B,B,A,B,A,B,A,B,A,B
280,F,D,C,C,D,B,F,E,A,B,A,C,B,A,A,B,B,B,B,B,A,A,B,A,A,A,A,A,A,A,B,A,B,A,B,A,B,A,B
281,F,B,B,A,A,C,D,C,B,A,C,D,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,B,B,B,B,B,B,A,A,B,B,B,B
282,M,B,B,A,A,B,C,D,B,A,C,C,A,A,A,B,B,A,B,B,A,A,B,B,B,A,B,B,B,A,B,A,B,A,B,A,B,B,B
283,F,B,B,A,A,D,C,B,B,A,B,D,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
284,F,B,B,A,A,A,B,B,B,A,A,B,A,B,A,B,A,A,A,B,A,A,A,A,A,B,B,B,B,A,A,A,A,B,A,A,A,A,B
285,M,A,B,A,A,B,B,E,A,D,B,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
286,M,A,B,A,A,B,C,E,A,B,B,B,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,A,A,B,A,B,A,B
287,M,A,B,A,A,D,C,E,B,A,B,D,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B
288,F,D,B,A,A,B,B,D,B,A,A,D,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
289,M,B,B,A,A,B,B,E,A,B,B,D,A,B,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,B,A,B,A,B,A,
290,M,A,B,A,A,C,B,E,B,A,B,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,B
291,F,B,B,A,A,B,C,D,A,C,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B
292,F,B,B,A,A,C,C,D,A,C,D,D,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,B
293,F,B,B,A,A,B,B,E,A,D,B,D,A,A,A,A,B,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
294,M,C,B,A,A,C,B,B,A,C,D,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,*
295,M,C,B,A,A,B,C,E,A,D,B,D,A,A,B,A,A,B,B,A,A,B,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
296,M,A,B,A,A,B,C,E,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
297,M,A,B,A,A,A,B,E,B,A,A,B,A,B,B,A,A,A,B,A,B,A,A,B,A,B,B,B,B,A,B,A,A,B,B,A,B,A,B
298,F,B,B,A,A,A,A,E,A,C,C,B,A,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,A,B,A,B,A,B
299,M,B,B,A,A,C,B,C,A,C,C,D,A,A,A,B,B,A,B,B,A,A,A,B,A,A,A,A,A,B,B,A,A,A,A,A,A,A,B
300,M,C,B,A,A,C,B,C,A,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,B,A,B,A,B,A,B,A,B
301,M,A,B,A,A,B,B,E,A,B,A,C,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A
302,M,B,B,A,A,C,C,E,B,A,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
303,M,C,B,A,A,B,C,D,A,B,C,C,A,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,A,A,B,A,B,A,B
304,M,A,B,A,A,A,B,E,B,A,B,D,A,A,A,B,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,B
305,M,B,B,A,A,B,B,E,B,A,D,D,A,B,A,B,A,B,B,A,A,B,B,A,B,B,B,A,A,B,A,B,A,A,A,B,A,A,B
306,M,A,B,A,A,B,B,E,B,A,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
307,M,C,B,A,A,B,D,B,A,B,C,D,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,B,B,A,B,B,A,A,B,A,B
308,F,B,B,A,A,C,B,C,A,B,B,B,A,B,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,A,A,A
309,F,B,B,A,A,C,B,E,B,A,A,D,A,B,B,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,A,B,A,A,B
310,F,C,B,A,A,A,A,E,A,B,A,D,A,A,A,B,B,A,B,A,A,A,A,B,B,B,A,A,A,A,A,B,A,B,B,B,A,B,B
311,F,A,B,A,A,C,B,E,A,D,C,C,A,A,A,B,B,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
312,M,A,B,A,A,D,B,E,B,A,D,C,A,B,B,B,A,B,A,B,A,B,B,B,B,B,B,A,A,B,B,A,B,A,B,A,B,A,B
313,F,B,B,A,A,A,B,E,A,B,B,B,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,A,B,A,A,B
314,,,,,,,,,,,,,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
315,M,C,A,A,A,B,A,D,B,A,A,D,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
316,F,A,B,A,A,A,B,E,B,A,B,B,A,B,B,B,B,A,B,B,A,A,B,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,B
317,M,A,B,A,A,C,C,E,B,A,C,D,A,B,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
318,M,B,B,A,A,B,B,A,B,A,C,C,A,B,A,A,A,A,B,A,A,A,A,B,B,B,A,A,A,B,A,A,B,B,B,B,B,B,B
319,M,B,B,A,A,B,B,E,B,A,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
320,M,B,B,A,A,A,B,E,B,A,B,D,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,A,A,B,A,A,A,B
321,M,B,B,A,A,C,C,C,A,B,C,D,A,A,A,B,A,A,A,B,A,A,B,B,A,B,A,B,A,A,B,A,B,A,B,A,A,A,B
322,M,A,B,A,A,C,B,E,B,A,D,D,A,B,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
323,M,B,B,A,A,A,,E,B,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
324,F,A,B,A,,B,,E,B,A,B,D,A,B,B,B,A,A,A,B,A,A,B,A,B,B,A,A,B,A,A,A,B,A,B,B,A,A,B
325,F,A,B,A,A,C,,E,B,A,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
326,M,B,B,B,A,B,,E,B,A,B,B,A,B,,B,B,A,B,B,A,B,B,B,A,,B,B,A,,,A,,,,,,A,
328,F,A,B,A,A,C,,E,B,A,A,B,A,A,A,B,B,A,B,B,A,A,B,B,A,B,B,B,A,B,B,A,B,B,B,A,B,A,B
329,M,A,B,A,A,B,,E,B,A,B,D,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
330,M,A,B,A,A,A,,E,B,A,A,A,A,A,B,A,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
332,F,A,B,A,A,B,,E,B,A,B,D,A,A,A,B,B,A,B,B,A,B,B,B,A,A,B,B,A,A,B,A,B,A,B,A,B,A,B
333,M,B,B,A,A,B,,E,B,A,,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B
334,F,A,B,A,A,A,,E,A,C,B,B,A,B,A,B,B,A,B,B,A,A,B,A,B,B,B,B,A,B,B,A,B,A,B,A,B,A,B
335,F,A,B,A,A,B,,E,B,A,B,C,A,B,B,A,B,A,B,B,B,A,A,B,A,B,A,A,A,B,B,A,B,B,A,A,B,A,B
336,M,B,B,A,A,B,,E,B,A,,C,A,A,B,A,B,A,B,B,A,B,B,B,A,B,B,A,A,B,B,A,B,B,B,A,B,A,B
