ID,DG1,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9,DG10,DG11,DG12,DT1,DT2,DT3,DT4,DT5,DT6,DT7,DT8,DT9,DT10,DT11,DT12,DT13,DT14,DT15,DT16,DT17,DT18,DT19,DT20,DT21,DT22,DT23,DT24,DT25,DT26,DT27
40,F,C,B,A,B,D,D,B,B,A,B,B,A,B,B,B,B,A,B,B,A,B,B,A,A,B,B,B,A,B,B,A,B,B,B,A,B,A,B
41,F,B,B,A,B,C,D,B,B,A,D,D,A,B,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B
42,M,C,B,A,B,C,D,B,A,C,C,C,A,B,B,B,B,A,B,B,A,B,A,A,A,B,B,B,A,B,B,A,B,A,B,A,B,A,B
43,F,D,B,A,B,C,D,B,A,C,B,D,A,A,A,B,B,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
44,F,C,B,A,B,D,E,B,A,B,B,C,A,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B
45,F,C,B,A,B,D,D,B,B,A,E,B,A,B,B,B,B,A,B,B,A,B,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B,A,B
46,F,B,B,A,B,D,E,B,B,A,C,D,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
47,F,B,B,A,B,D,D,B,B,A,B,C,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,A,A,B
48,M,C,B,A,B,C,D,B,A,C,C,D,A,A,A,B,B,A,B,B,A,B,B,A,A,B,B,B,A,B,B,A,B,A,B,A,B,A,B
49,M,B,B,A,B,D,E,B,B,A,C,D,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
50,F,C,B,A,B,D,D,B,B,A,A,D,A,A,A,B,B,A,B,B,A,A,B,A,A,B,B,B,A,B,B,A,B,B,B,A,B,A,B
51,F,C,B,A,B,C,D,B,B,A,C,C,A,B,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
52,M,C,B,A,B,C,D,B,B,A,B,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
53,F,B,B,A,B,D,E,B,B,A,B,C,B,B,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,B
54,F,B,B,A,B,D,E,B,A,C,B,B,A,A,B,B,B,A,B,B,A,A,B,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,B
55,F,B,B,A,B,C,D,B,B,A,B,D,A,B,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
56,F,C,B,A,B,D,D,B,B,A,C,C,A,A,B,B,B,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,B,A,B
57,F,C,B,A,B,C,E,B,B,A,C,D,A,B,B,B,A,A,B,B,A,A,B,A,A,B,B,B,A,B,B,A,B,A,B,B,B,A,B
58,F,C,A,A,B,D,E,B,A,B,A,D,A,A,A,B,B,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
59,M,D,B,A,B,C,D,B,B,A,D,D,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
60,F,C,B,A,B,C,D,B,B,A,C,D,A,B,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,B,A,B
61,M,C,B,A,B,B,D,B,B,A,E,D,A,B,A,B,B,A,B,B,A,B,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
62,F,C,B,A,B,D,E,B,B,A,D,B,A,B,A,B,B,A,B,B,A,B,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B
63,M,C,B,A,B,C,E,B,B,A,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
64,F,C,B,A,B,C,D,B,B,A,E,D,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
65,M,C,B,A,B,C,D,B,A,B,B,B,A,A,A,B,A,A,A,A,A,A,B,A,A,A,B,B,A,A,B,A,B,A,B,A,B,A,B
66,F,D,B,A,B,D,D,B,B,A,A,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
67,M,C,D,A,B,C,E,B,B,A,D,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
68,F,B,B,A,B,D,E,B,B,A,C,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
69,F,B,B,A,B,D,E,B,B,A,C,D,A,B,B,B,B,A,B,B,A,A,B,B,A,B,B,A,A,B,B,A,B,A,B,A,B,A,B
