,Tab1,Tab2,Tab3,Tab4,Tab5,Tab6,Tab7,Tab8,Tab9,Tab10,Tab11,Tab12,Tab13,Tab14,Tab15,Tab16,Tab17,Tab18,Tab19,Tab20,Tab21,Tab22,Tab23,Tab24,Tab25,Tab26,Tab27,Tab28,Tab29,Tab30,Tab31,Tab32,Tab33,Tab34,Tab35,Tab36,Tab37,Tab38,Tab39,Tab40,Tab41,Tab42,Tab43,Tab44,Tab45,Tab46,Tab47,Tab48A,Tab48B,Tab48C,Tab48D,Tab48E,Tab48F,Tab48G,Tab49,Tab50,Tab51,Tab52,Tab53,Tab54,Tab55
26,B,A,A,E,A,B,B,C,D,A,C,D,A,C,C,C,C,D,D,A,B,C,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
27,B,B,B,E,B,C,C,B,C,A,C,C,B,B,B,C,C,C,B,A,B,D,A,C,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
28,A,B,B,C,B,B,B,B,B,A,B,B,A,A,C,B,B,B,B,A,B,B,A,A,B,B,C,A,C,C,B,B,B,B,B,B,C,B,A,C,A,C,B,B,F,A,A,,,,D,,,,D,A,A,C,B,A,B
29,B,B,C,E,C,D,D,D,D,A,D,D,A,C,C,D,D,C,D,A,D,D,A,C,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,C,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
30,B,A,B,E,C,D,D,A,D,B,D,D,B,D,A,B,C,A,C,A,C,D,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
31,B,A,A,E,A,B,C,B,B,A,C,B,A,B,B,B,C,A,B,A,B,B,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
32,B,A,A,E,B,C,C,A,C,A,C,C,A,B,B,D,D,A,D,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
33,B,A,C,E,A,B,C,D,B,B,B,D,B,A,A,B,B,A,B,A,B,D,A,B,C,C,C,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,G,E,F,,,C,D,,,,E,E,E,E,E,E,E
34,B,B,C,E,C,D,D,D,D,A,D,D,A,D,B,D,D,A,D,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
35,A,A,B,C,D,B,D,D,B,B,C,D,B,B,A,B,C,A,B,A,B,D,A,D,C,D,B,A,E,D,D,D,D,B,D,C,D,D,D,D,C,A,A,C,H,D,E,A,,,,,,,D,D,C,D,C,C,C
