,Tab1,Tab2,Tab3,Tab4,Tab5,Tab6,Tab7,Tab8,Tab9,Tab10,Tab11,Tab12,Tab13,Tab14,Tab15,Tab16,Tab17,Tab18,Tab19,Tab20,Tab21,Tab22,Tab23,Tab24,Tab25,Tab26,Tab27,Tab28,Tab29,Tab30,Tab31,Tab32,Tab33,Tab34,Tab35,Tab36,Tab37,Tab38,Tab39,Tab40,Tab41,Tab42,Tab43,Tab44,Tab45,Tab46,Tab47,Tab48A,Tab48B,Tab48C,Tab48D,Tab48E,Tab48F,Tab48G,Tab49,Tab50,Tab51,Tab52,Tab53,Tab54,Tab55
114,A,C,B,B,C,C,C,D,C,A,C,D,A,C,D,D,D,D,D,A,D,D,A,D,B,B,B,A,E,C,D,D,D,D,D,D,D,D,D,C,E,C,C,C,F,C,D,A,,,,,,,D,B,B,B,B,A,B
115,A,A,A,C,B,A,B,D,B,D,A,B,C,B,A,B,B,A,A,A,B,B,A,B,B,C,B,A,E,C,D,D,D,D,D,D,D,D,D,D,C,A,A,C,H,C,E,,,,D,E,,,A,A,B,A,B,A,A
117,A,B,A,C,C,D,D,D,D,B,D,D,B,C,C,D,D,B,D,B,D,D,B,C,C,C,C,A,E,D,D,D,D,D,D,D,D,D,C,D,D,A,D,D,H,D,E,A,,,,,,,D,D,D,D,D,D,D
118,B,D,C,E,D,C,D,B,C,A,C,C,B,B,C,C,D,D,C,B,C,C,B,B,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
119,B,A,D,E,B,C,D,A,C,A,D,C,A,D,B,B,B,A,B,A,A,B,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
120,B,A,D,E,B,C,D,B,D,A,D,D,A,D,A,D,D,A,D,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
122,B,A,B,E,B,B,C,A,B,A,C,C,A,B,C,C,D,A,D,A,D,C,A,A,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,G,E,F,,,,,,,G,E,E,E,E,E,E,E
123,B,A,D,E,A,D,D,D,D,B,D,D,B,D,A,D,D,A,D,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
124,B,B,B,E,C,D,D,A,D,A,D,D,A,B,C,D,D,A,D,A,D,D,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
125,B,B,B,E,B,C,C,B,C,A,C,C,B,C,C,C,C,C,B,A,C,C,C,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
126,A,B,C,A,C,C,D,D,D,D,D,D,D,C,A,D,D,D,D,D,D,D,D,D,C,B,C,A,E,D,D,D,D,D,D,D,D,D,D,B,C,B,D,C,F,B,C,A,,,,,,,C,C,B,B,C,C,C
127,B,A,C,E,D,D,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,D,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
128,A,C,C,C,C,B,A,A,B,C,A,B,C,B,B,B,A,C,B,A,C,B,B,C,B,A,A,C,A,C,B,B,B,B,D,C,D,D,B,B,B,A,D,B,H,C,E,A,,,,,,,D,D,C,D,C,D,C
129,B,A,D,E,A,D,D,A,D,A,D,D,A,C,B,D,D,A,D,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,,I,E,F,,,,,,,G,E,E,E,E,E,E,E
130,A,D,A,C,D,C,C,B,C,D,D,C,D,B,C,C,D,C,C,D,C,C,D,D,A,B,D,E,B,A,B,D,C,C,C,D,C,D,C,C,D,E,C,C,B,B,C,,,,D,,,,C,C,D,E,D,C,C
131,A,D,B,C,A,B,C,A,C,B,A,C,D,D,D,C,D,C,D,B,C,B,B,C,A,A,C,B,F,C,B,C,A,C,B,C,A,C,A,C,,B,D,B,A,D,A,A,,,,,,,C,B,C,B,D,C,D
132,A,D,B,E,D,D,D,B,D,B,D,D,B,A,D,D,D,A,D,A,D,A,D,A,C,B,B,E,E,D,D,D,D,D,D,D,D,D,D,D,C,A,B,C,C,A,D,A,,,,,,,D,D,C,C,C,D,D
133,A,B,B,C,C,B,D,D,D,B,C,D,B,D,D,D,D,D,D,B,D,D,B,D,C,C,C,A,E,D,D,D,D,D,D,D,D,D,D,B,C,A,B,D,B,B,D,A,,,,,,,B,C,B,B,B,C,B
134,B,C,C,E,A,C,C,C,B,A,D,A,A,C,B,C,C,C,B,A,D,A,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
135,B,A,A,E,A,C,D,D,A,D,D,A,C,B,D,D,D,A,D,A,D,D,D,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
136,A,D,B,C,A,C,C,A,D,A,C,B,A,B,A,B,C,B,D,A,C,B,D,A,B,C,B,B,B,C,A,D,B,C,A,D,B,A,B,B,D,A,D,C,D,B,E,A,,,,,,,A,D,A,A,C,B,D
137,A,B,B,C,D,B,B,D,B,D,B,D,D,B,C,C,B,D,C,C,D,B,A,C,B,C,C,B,B,D,D,D,D,C,B,C,D,C,B,B,B,E,D,B,E,B,B,,,,D,,,,B,B,B,B,B,B,B
138,B,C,A,E,B,A,B,C,D,A,B,C,B,C,A,C,D,A,C,B,A,C,B,D,B,A,C,D,B,A,C,B,C,A,C,B,D,B,A,C,D,A,C,B,D,B,C,,B,,,,,,D,B,D,B,D,B,C
139,A,B,D,C,B,D,D,A,A,A,D,B,A,D,A,A,B,A,A,B,A,B,A,C,C,C,C,A,D,D,D,D,D,D,D,D,D,D,D,B,A,D,A,C,F,A,F,,,,,,,G,E,E,E,E,E,E,E
140,B,A,C,E,B,C,D,A,D,A,D,D,A,A,A,C,C,A,D,D,B,C,B,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
141,A,D,B,C,B,B,C,D,B,C,D,B,A,C,D,A,C,D,,B,D,A,D,A,C,C,B,A,E,D,C,D,D,D,D,D,D,D,C,C,B,D,B,D,B,D,D,,,C,,,,,C,A,C,B,C,B,D
142,A,B,C,C,A,C,D,D,C,A,C,C,B,A,B,A,B,C,D,A,C,C,A,B,C,B,C,A,E,A,C,C,D,C,A,C,C,A,B,D,B,A,A,C,D,C,C,A,,,,,,,C,D,D,D,D,D,D
143,A,C,B,C,A,D,D,D,D,A,D,D,A,D,A,D,D,D,D,A,D,D,A,D,C,C,C,A,D,A,D,D,D,D,A,D,D,A,D,B,B,C,D,C,A,A,A,,,,D,,,,C,B,A,A,A,B,B
144,B,B,C,E,B,C,D,A,D,A,B,D,A,C,B,A,B,A,A,A,A,A,A,B,C,A,C,E,F,C,D,D,A,D,D,C,D,D,C,E,A,F,E,C,D,A,F,,,,D,,,,E,E,E,E,E,B,A
145,B,C,C,E,B,C,C,B,C,B,D,C,A,B,B,C,C,B,C,B,D,C,A,B,C,B,C,E,E,C,D,D,B,D,D,D,D,B,B,C,A,E,C,C,E,A,B,,,,D,,,,B,A,A,A,B,A,A
146,B,B,C,A,C,C,C,D,C,A,C,C,A,C,A,C,C,A,A,C,C,A,B,C,C,C,C,A,E,D,D,D,D,D,D,D,D,D,D,C,B,C,B,C,D,A,B,,,,D,,,,B,D,B,C,C,D,C
147,B,A,C,E,B,D,D,D,D,A,C,D,A,C,B,B,B,B,A,A,A,B,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
148,B,A,D,E,A,D,D,D,D,A,D,D,A,A,B,D,D,D,D,A,D,D,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
149,B,A,A,E,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,E,F,D,D,D,D,D,D,D,D,D,D,C,C,B,E,E,E,E,F,,,,,,,G,E,E,E,E,E,E,E
150,B,B,A,E,A,D,D,A,D,A,D,D,A,D,A,D,D,A,D,A,D,D,A,D,C,B,C,E,E,D,D,D,D,D,D,D,D,D,D,E,E,F,E,D,F,E,F,A,,,,,,G,E,E,E,E,E,E,E
151,A,C,B,C,B,A,A,C,B,B,C,B,C,B,D,C,A,D,B,A,C,C,A,D,B,C,A,B,B,D,B,A,D,B,D,C,D,D,C,B,D,B,D,C,B,C,D,A,,,,,,,D,D,D,D,D,D,D
152,A,B,A,B,C,A,C,B,D,A,B,D,B,C,A,C,B,A,C,A,B,C,A,C,D,C,A,C,D,B,C,A,C,B,A,B,A,C,A,C,B,C,A,B,D,D,A,,B,,,,,,D,B,D,E,B,C,A
153,B,C,A,E,A,D,B,C,A,D,B,C,A,D,A,A,D,B,C,A,B,D,A,C,A,A,C,B,F,B,D,D,B,A,C,B,D,A,C,B,C,F,A,C,B,E,C,,B,,,,,,C,E,A,B,E,C,D
154,B,B,A,E,D,C,C,B,C,B,C,C,B,B,C,D,C,A,C,A,C,C,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
155,B,B,D,E,B,C,D,A,C,B,C,C,B,C,B,C,B,A,C,B,C,C,B,B,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,,I,E,F,,,,,,,G,E,E,E,E,E,E,E
156,B,A,C,E,C,C,C,D,D,A,C,D,B,D,C,C,C,C,C,A,C,C,A,C,C,B,C,E,E,D,D,D,D,D,D,D,D,D,D,E,E,F,E,,I,E,F,,,,,,,G,E,E,E,E,E,E,E
157,B,A,B,A,A,A,A,A,A,A,A,A,A,A,B,C,C,,B,C,B,C,C,B,C,A,D,D,E,D,D,D,D,D,D,D,D,,D,E,,F,E,,I,,E,,,,,E,,,E,E,E,E,E,E,E
158,B,D,B,E,A,D,D,B,D,A,D,D,A,A,A,D,D,D,D,D,D,D,D,D,D,E,C,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
159,A,D,A,C,B,C,C,B,C,B,B,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,B,E,D,D,D,D,D,D,D,D,D,D,D,B,A,D,D,G,D,E,,,,,,F,,D,D,D,D,D,D,D
160,B,A,D,E,A,D,D,A,D,A,D,D,A,D,A,D,D,A,D,A,A,D,A,A,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
161,B,B,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,,I,E,F,,,,,,,G,E,E,E,E,E,E,E
162,A,B,C,C,B,D,B,D,C,B,D,C,B,C,B,D,C,D,D,D,D,D,D,D,D,B,B,B,C,D,D,D,D,D,D,D,D,D,D,C,C,D,D,B,C,B,C,,,,,E,,,C,B,E,D,B,C,E
163,A,C,D,C,A,D,C,D,D,A,B,D,A,A,A,B,D,D,C,A,D,D,A,A,C,B,A,B,D,A,A,B,A,A,C,D,A,A,B,B,D,B,C,E,E,C,A,,B,,,,,,B,C,D,B,B,C,D
164,B,A,A,E,B,C,C,D,D,B,C,D,B,C,B,D,B,A,C,A,C,D,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,,,I,E,F,,,,,,,G,E,E,E,E,E,E,E
165,A,C,A,A,C,C,D,D,D,B,C,D,B,C,B,C,C,C,D,D,C,D,D,D,C,B,A,A,E,D,D,D,D,C,C,D,D,D,D,C,D,A,D,B,D,B,B,A,,,,,,,C,B,C,C,A,B,C
166,A,B,C,A,B,B,B,B,A,A,C,B,B,C,A,C,C,A,C,D,D,C,D,B,C,B,A,B,B,A,C,C,B,D,C,D,C,D,D,B,A,D,B,C,C,A,A,,,,D,,,,A,C,B,A,C,B,B
167,A,C,D,C,C,B,B,C,C,A,C,C,A,A,D,C,C,D,C,A,C,C,A,B,C,B,A,B,C,D,C,A,C,D,D,C,D,D,B,B,D,B,D,A,D,B,D,A,,,,,,,A,A,A,B,B,C,D
168,B,C,A,E,D,C,B,A,D,A,D,D,A,D,B,D,C,A,D,A,D,A,D,D,C,C,C,A,E,D,D,D,D,D,D,D,D,D,D,E,E,F,A,B,H,A,F,,,,D,,,,B,E,B,E,E,E,E
169,A,B,A,C,A,B,B,B,C,A,C,B,A,B,A,B,B,B,B,A,B,B,A,B,B,B,C,B,E,D,B,B,D,C,C,C,B,C,C,C,B,E,D,C,D,B,B,,B,,,,,,C,C,C,B,B,B,B
170,A,B,C,B,B,D,B,A,B,A,C,A,C,B,C,C,D,B,C,A,C,C,A,D,C,B,A,B,B,C,C,C,C,C,C,C,C,C,C,C,B,E,C,B,B,A,B,A,,,,,,,C,C,A,A,A,A,A
171,A,D,C,C,C,D,C,B,C,A,C,D,A,C,B,D,D,C,C,A,C,D,A,D,C,B,C,B,C,C,C,C,C,C,C,C,C,C,C,B,A,E,B,B,C,A,A,A,,,,,,,A,B,A,B,B,B,C
172,B,B,D,E,A,D,C,A,C,A,D,C,B,B,B,D,C,B,D,A,D,D,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
173,A,B,C,C,C,C,B,A,B,A,B,B,A,A,C,C,B,A,A,A,B,A,A,B,C,,C,A,E,C,B,C,C,B,D,B,B,D,B,B,A,A,D,D,A,C,C,A,,,,,,,C,D,D,B,C,D,C
174,B,A,C,E,A,C,D,A,D,B,C,A,D,B,C,A,D,B,A,A,A,C,C,B,D,A,D,E,B,D,B,A,C,A,A,C,A,D,C,E,E,E,E,E,E,E,B,,,C,,,,,B,E,A,C,D,B,E
175,B,B,A,E,A,A,A,C,C,B,B,C,D,A,A,A,B,B,C,C,*,D,C,D,D,F,D,E,F,A,A,A,C,C,B,B,C,C,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
176,B,D,D,C,C,B,C,C,C,B,C,C,C,C,C,C,C,B,C,C,C,C,C,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
177,A,B,A,C,C,B,B,B,C,B,B,C,B,B,B,B,A,B,B,B,B,A,B,A,B,C,B,C,B,B,B,C,A,B,B,B,A,B,C,A,B,B,B,A,B,C,D,,,,D,,,,C,C,C,B,D,C,B
178,B,C,A,E,A,D,D,A,D,A,D,D,A,D,A,D,D,A,D,A,D,D,A,D,D,F,D,E,F,A,D,D,A,D,A,D,D,A,D,E,E,F,E,E,I,,F,,,,,,,G,E,E,E,E,E,E,E
179,A,C,B,C,B,C,B,B,C,A,C,C,A,C,B,C,B,B,C,A,C,C,A,C,C,C,B,A,E,B,C,B,B,A,C,C,C,A,C,B,B,B,D,C,E,B,C,A,,,,,,,C,C,B,C,B,B,B
180,B,B,C,E,B,C,A,D,D,A,C,C,A,B,A,C,C,D,C,A,C,C,A,C,C,B,C,A,E,D,C,C,D,C,D,D,D,D,D,D,A,D,D,B,E,B,B,,,,D,,,,B,B,B,B,B,B,B
181,B,A,A,E,A,C,D,A,C,A,D,D,A,C,B,C,B,A,B,C,A,A,A,D,C,D,C,A,E,D,D,D,D,C,D,D,D,D,D,C,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
182,A,C,B,D,C,A,B,A,D,C,B,C,B,A,D,A,C,B,A,,D,B,B,D,B,A,B,C,E,D,C,C,B,A,A,A,D,B,C,B,C,C,D,E,F,E,A,,B,,,,,,C,B,B,C,E,D,E
183,B,C,D,E,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
184,A,C,B,C,A,D,D,C,C,A,D,B,A,B,D,C,C,D,C,A,C,B,A,C,B,C,B,A,D,D,D,C,D,D,D,D,C,D,B,C,B,D,D,B,C,B,B,,,,D,,,,A,B,A,A,A,B,B
185,B,A,D,E,D,B,B,D,B,D,B,B,D,D,A,B,B,D,B,D,B,B,B,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
186,B,A,C,E,A,D,D,D,D,A,D,D,A,D,A,B,B,B,B,A,B,B,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
187,B,B,A,E,D,D,D,D,D,C,D,D,C,D,D,D,D,C,D,B,D,D,B,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
188,A,C,D,C,C,B,C,B,C,A,C,C,A,C,C,C,D,A,C,A,D,D,A,D,C,B,C,B,C,A,D,D,A,C,D,C,D,D,D,C,B,B,B,C,C,A,B,A,,,D,,,,B,D,A,D,D,D,D
189,B,B,B,E,D,C,D,D,D,A,A,D,D,D,D,D,D,D,D,A,A,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
191,A,B,A,C,D,C,B,B,B,A,B,D,A,B,D,B,B,B,B,A,A,D,A,A,B,B,C,A,C,A,C,B,A,B,A,B,D,A,B,B,C,E,D,B,D,A,C,,,,D,,,,B,B,B,A,C,D,
192,A,B,C,C,B,A,B,C,B,B,B,D,C,C,B,A,B,C,B,B,B,D,C,C,C,C,C,A,E,D,D,D,D,D,D,D,D,D,D,C,C,A,A,C,D,B,E,A,,,,,,,C,C,C,C,C,B,B
193,B,A,C,E,D,D,D,A,D,A,D,D,A,C,A,D,D,B,D,A,D,D,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
195,A,A,D,D,A,C,D,C,B,A,B,C,A,C,A,C,C,A,A,C,C,C,A,A,C,B,B,A,E,D,C,C,D,C,C,C,D,D,D,C,A,A,D,B,B,E,A,,B,,,,,,A,B,C,,,,
196,B,A,A,E,D,D,D,D,D,D,D,D,D,D,C,D,C,A,C,B,C,C,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
197,B,D,C,E,D,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,D,D,D,C,F,D,E,F,D,D,D,D,D,D,D,D,D,,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
198,A,D,A,A,A,A,C,B,A,A,D,A,A,C,B,A,A,B,A,B,D,A,D,D,A,B,C,B,B,C,A,C,A,D,D,C,D,D,D,A,D,A,B,A,H,C,E,A,,,,,,,D,D,D,D,C,C,D
199,B,B,C,B,B,D,D,A,D,A,D,D,A,D,A,D,D,D,D,B,D,A,A,A,D,F,C,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
200,B,B,A,E,A,A,A,D,A,D,A,D,D,C,A,D,D,D,D,D,D,D,D,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
201,B,D,C,C,B,A,D,A,B,B,B,C,A,A,B,A,C,C,A,A,A,C,A,C,C,A,C,A,E,D,A,D,D,A,D,A,D,D,C,B,B,B,B,B,F,C,A,,,C,D,,F,,C,C,C,C,A,D,C
202,B,B,D,E,A,C,C,A,C,A,C,D,A,B,B,B,A,A,A,A,A,A,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
203,B,A,A,C,D,D,D,D,D,A,D,D,A,B,D,D,D,D,D,A,D,D,A,B,C,F,D,E,F,D,D,D,D,D,A,D,D,A,B,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
204,A,C,B,C,A,C,D,A,C,A,D,D,A,A,B,C,C,A,D,A,D,D,A,B,C,C,B,A,E,D,D,D,C,D,C,D,D,C,B,B,D,B,D,C,F,B,C,,,,D,,,,B,B,B,A,A,B,B
205,B,A,B,E,A,D,D,A,D,A,D,D,A,B,A,A,A,A,A,A,A,A,A,A,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
206,B,C,D,E,A,B,C,A,B,A,B,B,A,B,A,C,C,C,D,A,C,C,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
207,B,A,C,B,C,A,D,C,D,A,B,C,A,C,D,B,C,A,C,B,D,B,A,C,D,E,B,C,D,D,D,D,D,D,D,D,D,D,D,D,B,C,E,C,E,B,A,,,C,,,,,D,C,E,A,C,D,B
208,B,D,D,E,A,D,D,C,D,A,D,D,A,B,A,B,B,B,B,B,B,B,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,,I,E,F,,,,,,,G,E,E,E,E,E,E,E
209,A,D,B,C,C,B,A,B,B,B,C,B,B,C,C,B,B,C,B,B,C,B,B,C,B,C,C,A,D,D,B,B,B,C,C,B,B,B,C,D,B,C,D,C,C,B,B,A,,,,,,,C,C,C,B,C,B,B
210,A,C,A,C,C,C,B,D,C,A,C,C,A,C,D,D,B,D,C,A,C,,A,C,C,C,B,B,B,C,D,A,D,D,,D,D,D,C,C,C,A,A,C,H,B,E,A,,,,,,,C,B,B,A,B,B,C
211,A,B,C,B,C,A,D,C,B,D,B,B,A,D,B,B,B,B,B,B,B,B,B,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,C,,,,G,E,E,E,E,E,E,E
212,B,D,D,E,C,D,D,B,C,A,C,C,B,A,C,D,D,D,D,D,D,D,D,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
213,B,A,C,E,B,D,D,D,D,A,D,D,A,D,A,D,D,A,D,A,A,A,A,D,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
214,B,D,A,E,A,D,A,D,A,A,A,A,A,A,A,D,A,D,A,A,A,A,A,A,D,B,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
215,A,D,B,C,B,B,C,B,C,B,B,C,B,C,B,C,C,B,C,B,C,C,D,B,B,D,B,A,E,D,B,A,B,C,B,C,C,C,A,C,B,B,C,C,C,C,D,,,C,,,,,D,C,B,D,C,B,D
216,B,D,B,E,A,D,D,C,D,A,D,D,A,D,A,D,D,C,D,A,D,D,C,D,D,F,D,E,F,A,D,D,C,D,A,D,D,A,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
217,B,A,C,E,A,C,D,D,D,A,D,C,A,C,B,D,C,A,D,A,D,C,A,B,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,,I,E,F,,,,,,,G,E,E,E,E,E,E,E
218,A,C,A,C,C,B,B,C,B,B,B,B,B,B,D,C,C,C,C,B,C,C,B,C,B,A,B,B,B,D,B,B,C,B,D,B,B,C,B,C,C,B,D,C,F,C,C,A,,,,,,,C,C,C,C,C,D,D
219,A,C,A,C,B,B,B,B,B,A,B,B,A,B,A,B,B,C,B,A,B,A,B,B,B,C,A,B,A,D,A,A,C,A,D,A,A,D,B,C,B,B,D,B,D,C,C,,,,D,,,,C,D,C,C,B,C,C
220,B,C,B,E,B,C,A,A,D,A,D,D,A,B,A,A,C,B,A,A,C,C,B,C,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
221,A,B,A,C,B,A,C,C,C,A,C,C,B,B,B,C,C,A,C,A,D,D,A,B,C,C,B,A,E,B,B,C,B,B,A,B,B,A,B,C,C,C,D,C,D,B,D,A,,,,,,,B,C,B,A,B,B,B
222,B,A,C,E,B,C,C,A,C,A,B,D,A,A,A,D,D,D,D,A,D,D,B,C,C,B,C,E,F,D,D,D,D,D,D,D,D,D,D,E,E,B,A,D,G,D,D,A,,,,,,,A,E,E,E,E,E,E
223,B,C,C,E,A,B,C,B,C,A,C,C,A,C,C,B,D,C,D,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,F,G,E,E,E,E,E,E,E
224,B,B,A,E,A,D,D,C,D,A,D,D,A,D,C,D,D,B,D,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,C,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
225,B,B,A,E,B,C,D,A,C,A,D,C,A,D,C,B,D,D,D,D,C,D,A,D,D,F,D,E,F,D,D,D,D,D,B,D,D,B,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
226,B,B,A,E,B,C,B,A,C,A,D,D,A,B,A,D,C,A,A,A,A,D,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
227,B,D,C,E,C,D,C,A,D,B,C,C,A,D,B,D,D,B,D,A,D,D,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
228,A,A,D,C,B,B,C,D,B,A,B,D,A,D,C,C,D,A,C,A,C,C,A,A,C,A,B,A,E,D,D,D,D,D,D,D,D,D,D,D,B,B,D,D,G,B,D,A,,,,,,,D,D,D,D,D,D,D
229,A,C,D,C,B,B,B,D,B,A,C,B,A,C,C,C,C,C,C,B,C,C,C,C,C,B,B,B,B,C,B,B,D,C,D,B,C,B,D,C,C,A,A,C,H,C,C,A,,,,,,,C,C,C,D,D,D,C
230,B,A,C,E,A,D,D,D,D,A,D,D,A,D,A,D,D,D,D,A,D,D,A,D,D,F,D,E,F,A,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
231,B,A,C,E,A,C,D,B,C,A,B,B,B,A,C,C,C,B,B,A,C,B,A,B,C,B,C,A,E,D,D,C,D,D,D,D,D,D,D,D,B,B,D,B,F,A,B,,,,D,,,,B,B,B,B,E,E,B
232,B,B,A,E,B,B,D,B,B,A,C,B,A,A,D,A,B,D,A,D,A,A,D,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
233,B,B,A,E,B,D,C,A,C,A,C,C,A,B,A,C,C,A,C,A,C,C,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
