ID,Grit1,Grit2,Grit3,Grit4,Grit5,Grit6,Grit7,Grit8
139,A,D,A,A,D,D,B,D
140,A,B,C,C,B,C,B,D
141,C,D,C,D,B,C,C,D
142,B,D,C,C,B,C,C,C
143,C,C,B,B,B,B,B,C
144,C,B,D,B,A,C,B,C
145,C,B,B,A,A,B,A,C
146,B,C,B,B,C,B,B,C
147,B,C,B,D,C,C,B,C
148,B,C,B,C,C,B,B,C
149,D,D,B,B,B,B,B,B
150,C,C,B,B,C,C,C,C
151,A,C,B,A,A,A,A,A
152,,,,,,,,
153,A,D,A,A,D,D,A,D
154,D,B,B,B,C,C,B,C
155,B,C,B,B,C,C,C,C
156,B,D,B,A,C,B,B,D
157,D,D,D,C,,D,D,D
158,B,B,B,C,B,B,C,B
159,B,,B,C,B,B,C,B
160,C,D,C,A,B,B,B,C
161,A,D,A,A,D,D,A,D
162,C,A,D,B,A,C,B,D
163,A,B,B,B,C,C,B,A
164,B,C,A,B,B,C,C,B
165,C,C,A,B,C,B,A,D
166,B,C,B,B,C,B,A,D
167,C,C,C,C,B,B,B,B
168,B,C,B,C,D,B,C,D
169,D,C,C,C,B,C,C,C
170,C,C,C,C,C,C,A,C
171,A,C,B,B,B,C,B,B
172,C,C,C,B,C,B,A,D
173,B,B,C,C,B,B,B,B
174,B,C,B,D,B,A,B,C
175,C,C,C,C,C,C,C,C
176,B,C,B,C,C,C,C,C
177,A,B,C,D,B,C,C,B
178,B,D,A,A,D,D,C,D
179,B,C,B,B,B,B,B,B
180,B,B,B,B,C,B,C,C
181,B,D,B,A,D,C,A,D
182,D,C,C,B,A,B,C,D
183,C,C,C,C,C,C,C,C
184,C,C,B,B,C,C,B,C
185,B,B,A,B,C,C,A,A
186,D,A,B,D,A,B,D,A
187,A,C,A,A,D,C,A,D
188,A,C,B,B,B,A,A,C
189,C,B,A,B,C,C,C,C
191,D,C,B,C,B,B,C,C
192,B,C,C,C,C,B,B,C
193,B,C,C,C,C,C,B,C
195,B,B,B,B,A,A,A,B
196,B,C,B,B,C,C,B,C
197,B,D,A,A,C,C,A,C
198,A,B,A,C,C,C,A,A
199,A,D,B,A,A,D,A,D
200,A,D,A,A,D,D,A,D
201,B,C,A,B,D,D,B,C
202,A,C,,B,D,D,A,D
203,D,A,A,B,B,D,C,B
204,A,C,C,C,C,C,D,C
205,B,C,B,B,C,C,B,C
206,C,C,B,B,C,C,B,C
207,B,C,D,A,C,B,A,A
208,C,C,C,C,C,C,C,C
209,B,C,B,C,B,C,C,C
210,A,C,B,A,D,C,A,D
211,B,B,A,B,B,A,B,A
212,D,C,C,C,C,C,C,C
213,C,C,A,A,D,D,A,D
214,D,C,B,C,B,C,A,D
215,C,B,B,C,B,B,C,B
216,D,D,B,B,D,D,B,D
217,C,C,C,B,B,B,B,C
218,B,C,B,C,C,C,C,C
219,B,B,B,B,B,B,B,D
220,C,D,B,C,B,A,B,C
221,B,C,C,B,A,C,C,B
222,C,B,C,B,C,C,B,C
223,C,B,B,A,C,C,B,C
224,C,C,B,A,C,C,C,C
225,D,C,B,A,C,D,A,D
226,B,C,C,C,C,C,C,D
227,C,C,B,A,D,D,A,D
228,C,C,A,A,D,D,B,C
229,A,B,B,B,B,B,B,C
230,D,D,D,D,D,D,D,D
231,D,B,B,A,C,C,B,C
232,C,C,B,C,B,B,B,B
233,D,C,D,D,C,A,D,A
234,D,D,D,D,D,D,D,D
235,D,C,D,C,D,C,B,C
236,C,B,B,B,C,B,B,B
237,A,C,A,A,C,A,A,C
238,C,C,C,C,C,C,C,C
239,D,C,A,D,D,A,C,D
240,C,B,B,B,C,B,D,B
241,A,C,B,B,D,C,A,C
242,B,A,B,B,B,A,A,A
243,C,C,B,A,C,C,B,C
244,B,D,A,A,C,C,A,C
245,B,C,B,B,C,C,B,D
246,A,B,C,B,C,B,B,C
247,B,B,C,B,B,A,C,B
248,C,B,B,C,A,A,B,D
249,C,C,C,B,B,C,D,D
250,C,B,C,C,B,C,C,B
251,C,B,B,B,B,C,B,B
252,C,C,C,B,C,C,C,B
253,C,C,C,B,C,C,C,B
254,A,B,B,B,A,B,B,C
255,C,C,C,C,C,C,C,C
256,C,C,B,C,C,C,B,C
257,B,C,B,B,C,B,A,B
258,A,B,B,B,C,C,C,C
259,B,B,B,B,B,C,C,C
260,D,C,A,A,C,C,B,C
261,D,D,B,B,D,D,B,A
262,C,B,C,C,D,C,C,B
263,C,D,B,B,D,C,C,B
264,D,D,C,A,C,C,D,D
265,C,C,B,B,C,C,B,C
266,C,C,C,C,C,C,C,C
267,B,C,B,B,C,C,B,C
268,B,B,C,A,D,C,A,D
269,B,B,B,A,C,A,A,C
270,B,C,B,B,C,C,B,D
271,D,D,D,D,B,D,D,B
272,B,C,B,C,C,B,C,B
273,C,B,C,C,B,B,B,C
274,C,B,D,A,C,B,D,C
275,D,C,D,C,D,C,C,D
276,D,C,D,A,B,B,A,D
277,A,C,C,B,D,B,D,C
278,C,C,B,B,C,B,C,C
279,B,B,B,B,C,B,B,C
280,D,D,B,C,C,B,C,B
281,C,D,D,D,D,D,C,D
282,C,C,A,B,D,D,B,D
283,B,C,B,B,C,C,B,C
284,B,B,B,B,B,B,B,B
285,C,A,B,D,B,D,B,C
286,B,D,D,B,C,C,C,D
287,C,B,B,B,C,C,B,C
288,D,D,D,D,D,C,D,D
289,B,B,B,B,A,A,B,A
290,C,B,B,C,C,C,A,C
291,D,D,D,D,D,D,D,D
292,C,D,B,C,D,D,D,D
293,D,B,B,C,A,B,C,A
294,C,B,B,C,A,B,C,A
295,C,D,C,B,C,B,B,C
296,,,,,,,,
297,B,B,C,B,C,B,C,
298,A,D,D,D,C,C,D,D
299,B,D,B,B,C,B,B,C
300,A,D,A,A,D,D,A,D
301,C,B,C,D,B,B,C,B
302,D,D,C,C,D,D,D,D
303,D,C,D,C,B,A,D,D
304,B,C,A,A,C,B,A,C
305,B,B,C,B,B,A,C,A
306,A,B,A,A,C,C,A,B
307,B,C,B,A,C,D,B,C
308,A,D,B,C,A,B,B,C
309,A,B,A,C,D,D,C,C
310,C,D,D,D,D,D,D,D
311,A,B,B,C,C,C,C,C
312,C,B,D,D,B,D,D,C
313,C,B,C,C,C,B,B,C
314,A,C,A,A,C,D,A,A
315,D,D,C,C,D,D,C,D
316,B,C,C,B,C,C,C,C
317,C,B,B,C,B,B,B,C
318,B,C,C,C,B,B,C,C
319,A,C,A,A,D,D,A,D
320,C,B,B,B,C,C,C,C
321,C,C,C,B,C,C,B,D
322,,,,,,,,
323,B,C,B,B,C,C,B,C
324,B,C,C,D,D,C,B,D
325,C,C,B,C,C,C,C,C
326,C,C,B,B,C,B,B,C
328,C,C,B,C,C,C,B,C
329,B,C,C,C,B,B,C,B
330,D,D,D,D,D,D,C,C
332,B,B,B,C,B,B,C,B
333,B,C,C,C,C,B,B,C
334,B,C,B,B,C,D,B,D
335,C,D,C,D,C,D,D,C
336,C,C,D,D,C,D,B,D
337,A,C,B,B,C,C,B,B
340,B,C,B,B,C,C,B,A
343,D,C,C,C,C,C,C,D
344,D,C,C,C,D,C,B,C
346,C,B,C,C,B,C,B,D
347,C,C,C,C,C,B,C,B
348,C,B,B,B,C,D,B,C
349,C,B,A,B,C,B,D,C
351,C,B,C,D,B,C,B,B
352,A,C,A,A,C,C,A,C
353,C,B,C,A,C,D,D,D
354,A,C,C,B,D,B,A,A
356,C,D,B,B,D,C,B,C
357,C,C,C,C,C,C,C,C
358,B,B,B,B,B,B,B,B
359,B,D,B,A,D,B,C,D
360,B,C,C,C,D,A,C,C
361,A,D,D,D,C,A,C,D
362,C,C,B,B,D,D,B,C
363,C,C,C,C,B,C,C,C
364,C,B,B,B,C,C,B,B
365,A,D,A,A,D,D,B,D
367,B,D,C,D,B,B,C,C
368,B,B,B,B,B,B,B,B
369,C,D,B,B,B,C,A,B
370,B,B,B,C,C,C,C,C
371,B,C,B,B,C,C,C,B
373,B,B,C,C,B,C,C,C
374,C,C,D,D,B,B,D,C
375,C,D,B,B,D,D,B,D
376,A,B,A,A,D,D,A,A
377,C,C,B,B,C,C,B,C
378,C,B,C,C,C,C,C,C
379,B,D,B,C,A,C,A,A
380,B,C,A,A,C,C,B,C
381,A,A,A,A,A,A,A,A
382,D,D,D,D,D,D,D,D
383,C,C,B,C,C,B,B,C
384,D,D,C,B,D,D,B,C
385,C,C,B,D,C,D,D,D
386,C,C,C,C,B,A,C,C
387,A,B,A,A,C,B,B,B
390,B,C,C,C,B,A,C,C
391,C,C,C,D,D,C,B,C
393,D,C,C,C,C,C,C,C
394,D,A,D,C,B,C,A,B
395,D,B,C,C,B,B,C,B
396,D,A,A,B,A,A,A,B
397,B,C,B,B,C,C,C,C
398,C,C,C,A,C,C,A,C
399,C,C,C,C,B,D,B,B
400,D,D,B,B,D,C,A,D
402,C,C,C,C,C,D,D,C
403,B,C,C,C,B,B,B,C
404,D,C,C,A,A,C,C,D
406,D,C,C,D,D,C,C,D
407,A,D,B,A,D,D,A,A
408,A,C,D,B,D,B,B,D
409,B,C,C,C,C,C,B,C
410,C,B,C,A,B,B,C,A
411,C,C,C,C,A,D,C,B
412,D,D,C,B,B,,C,C
414,D,D,C,D,B,D,D,D
415,C,D,C,D,C,C,D,C
417,D,C,C,C,B,C,B,C
418,A,C,B,C,B,C,B,C
419,A,C,B,B,C,C,A,C
420,B,D,A,A,C,A,B,D
421,B,C,B,A,D,D,C,D
422,D,C,C,C,C,C,B,C
423,A,D,A,A,D,D,A,D
424,B,D,C,B,B,A,A,C
425,A,C,B,B,C,D,B,C
426,D,D,C,D,C,C,D,C
427,A,C,C,C,C,C,B,A
428,B,C,B,B,C,D,B,C
429,B,B,B,B,B,B,B,B
430,B,C,B,B,D,C,B,C
431,B,B,B,B,B,C,B,B
432,A,D,A,A,D,D,A,D
433,C,D,A,A,D,D,B,D
434,A,B,A,A,C,D,A,C
435,B,C,A,A,D,D,C,D
436,B,C,B,B,C,C,B,C
437,C,C,B,A,C,D,B,C
438,B,D,B,A,D,B,A,D
439,A,C,C,C,C,D,C,C
