,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60
25,C,A,D,B,B,D,C,A,C,D,B,C,B,A,C,A,A,A,A,A,C,A,D,A,A,B,A,A,B,B,A,B,A,A,A,A,A,A,A,A,B,D,B,D,D,B,C,D,B,C,C,C,D,D,D,D,D,D,D,D
26,C,A,C,A,A,C,B,A,B,C,A,C,B,A,B,A,A,A,A,A,B,B,C,A,A,C,B,B,B,C,A,C,B,A,B,B,A,A,A,B,A,B,A,B,C,B,A,B,C,C,C,A,B,C,B,B,D,D,D,D
27,C,B,D,A,B,C,C,C,C,B,B,C,B,B,C,C,A,A,A,A,C,B,D,B,B,C,C,C,B,A,B,C,C,A,C,C,A,B,B,A,B,C,B,B,B,B,B,C,B,D,B,B,C,C,B,B,D,C,C,D
28,D,C,D,B,D,D,C,C,D,C,B,D,B,C,C,C,A,D,B,A,D,C,D,C,C,D,D,C,D,C,C,D,C,B,C,C,A,D,D,B,C,D,C,C,C,C,C,D,C,C,C,C,D,B,C,C,D,D,D,D
29,C,A,D,C,C,B,D,B,D,C,D,C,D,B,C,C,B,A,D,C,B,B,D,C,D,B,D,B,D,C,C,D,D,B,C,B,C,A,D,B,B,C,A,D,D,B,D,C,D,C,D,B,D,D,C,C,D,D,D,C
30,B,B,D,C,A,B,C,B,B,D,C,C,A,A,C,B,A,A,A,A,C,A,D,D,D,A,C,B,D,D,D,D,C,C,D,B,B,B,C,B,B,D,C,D,D,C,D,D,D,B,C,B,C,D,D,B,D,D,D,D
31,D,B,D,C,B,D,C,B,D,C,B,C,B,B,C,B,A,A,A,B,D,B,D,B,A,C,D,B,C,D,B,D,B,B,D,B,A,A,B,B,B,C,B,C,D,C,C,C,C,C,D,D,D,C,C,C,D,D,D,B
32,D,C,C,C,B,B,D,C,B,D,C,D,D,D,D,C,B,A,B,B,C,B,C,C,C,C,D,B,B,D,B,C,D,B,D,C,B,A,B,A,A,D,A,B,B,A,D,D,B,D,B,D,C,C,D,D,C,D,D,D
33,C,A,C,B,B,C,C,B,C,B,B,C,B,C,C,B,C,A,A,B,B,B,B,A,B,B,C,B,B,A,A,B,A,B,B,C,A,B,A,A,A,B,B,A,B,B,A,B,B,C,B,A,B,B,B,C,C,C,C,C
34,D,B,B,B,C,D,D,B,D,D,C,C,D,B,C,B,A,A,A,C,D,C,C,C,D,D,C,D,D,A,D,C,D,A,C,D,B,A,A,C,B,D,B,D,B,B,B,C,C,D,A,B,B,C,C,C,D,D,D,D
35,D,B,C,A,A,D,C,B,C,B,A,B,A,A,B,B,C,B,B,A,C,B,C,A,A,D,B,B,A,B,A,C,A,B,B,B,D,B,C,A,B,C,B,D,D,C,B,B,C,B,D,B,C,B,D,B,D,D,D,D
36,C,B,D,C,B,D,B,B,D,C,B,C,C,B,B,A,C,A,A,A,C,A,C,B,C,B,B,B,C,C,B,B,C,A,B,A,C,A,B,A,A,D,B,D,D,C,C,D,C,B,C,C,D,D,D,D,D,D,D,D
