,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60
99,D,D,D,C,D,D,D,D,D,D,C,D,D,B,D,D,A,A,B,B,D,,D,D,D,D,D,D,D,D,D,D,D,B,D,D,B,B,C,C,B,C,B,C,C,D,C,C,C,C,D,D,D,B,D,C,,D,,
100,C,B,B,B,A,C,B,B,B,B,B,B,B,B,C,B,A,B,B,B,B,B,A,B,B,B,A,B,A,B,A,B,A,A,B,A,A,B,A,A,B,B,B,C,C,B,B,C,D,B,C,B,C,B,B,C,D,D,D,D
101,C,B,D,A,A,B,C,B,B,C,A,C,A,A,C,B,A,A,C,B,B,C,B,B,A,A,C,C,A,D,A,C,A,A,C,B,A,A,D,B,B,D,B,C,D,B,C,D,B,D,C,D,D,D,C,D,D,D,D,C
102,C,B,D,C,B,D,B,B,B,D,B,C,B,A,C,B,C,B,C,B,C,B,D,B,A,B,D,B,B,A,B,A,B,A,A,B,B,D,A,D,C,A,B,A,A,A,A,B,B,A,C,B,C,B,D,D,B,D,D,D
103,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,D,C,C,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,A,D,C,B,A,C,A,B,B,A,B,C,B,B,B,A,B,C,B,C,D,D,D,D
104,B,B,C,A,B,C,D,B,C,B,C,C,C,B,B,B,A,A,A,A,D,B,C,B,D,D,C,C,C,C,C,D,C,B,C,C,A,A,A,B,C,B,C,C,D,C,B,B,D,C,C,C,D,D,C,B,D,D,D,D
105,C,D,D,B,B,C,C,C,B,C,B,B,B,B,C,C,A,A,A,A,C,C,C,B,B,C,C,C,B,C,B,C,B,A,C,C,A,A,A,A,A,A,A,A,B,A,B,A,B,C,B,A,B,D,B,A,C,D,D,D
106,D,A,B,B,A,B,C,A,D,C,A,C,A,B,C,B,A,A,,,C,A,A,B,A,A,B,A,B,B,A,B,B,B,B,A,A,A,A,A,C,D,D,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D
107,B,A,D,C,B,C,C,B,C,B,C,C,A,A,B,A,A,A,A,A,A,C,B,B,B,B,C,A,B,A,B,C,C,A,A,A,A,A,A,B,A,C,B,C,B,C,B,D,C,D,C,B,C,D,C,D,D,D,D,D
108,D,A,C,A,A,D,B,A,D,A,A,C,A,B,B,A,A,A,A,A,C,A,C,A,A,B,B,A,B,A,A,B,A,A,A,A,A,A,A,A,B,C,C,C,C,B,C,C,C,B,C,B,B,B,B,B,D,D,D,D
109,C,B,D,B,A,C,A,B,B,B,A,A,A,A,B,B,A,A,A,A,C,B,C,A,A,B,B,B,A,A,A,C,A,A,B,A,A,A,A,A,A,D,A,C,D,B,D,D,D,D,C,B,D,D,D,D,D,D,D,D
110,D,A,D,B,A,C,B,B,C,B,A,B,B,A,B,B,A,A,A,B,C,B,D,B,A,C,B,B,C,B,A,B,A,A,A,A,A,A,A,A,C,C,C,C,C,C,B,B,C,B,B,B,B,D,B,B,D,D,D,D
112,D,B,D,D,D,D,D,B,D,D,D,D,D,B,C,C,A,A,A,B,D,B,D,D,D,D,C,B,D,D,D,D,D,B,C,C,B,A,A,A,B,D,C,D,D,D,C,D,D,D,D,D,D,D,C,C,C,D,D,D
113,B,A,B,B,A,B,A,A,C,C,A,A,A,C,B,A,B,A,A,C,A,A,A,A,A,B,A,A,C,B,A,A,A,A,B,A,D,B,A,B,A,C,B,C,D,A,B,C,B,B,B,C,C,D,C,B,C,D,D,C
114,D,C,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,D,D,C,C,C,D,D,D,C,D,C,D,C,D,C,D,B,A,C,A,B,B,A,B,B,C,C,C,D,C,C,C,A,B,D,C,D
115,C,B,B,D,C,B,B,A,D,C,C,C,C,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,A,B,C,C,C,C,C,C,C,C,B,C,C,B,B,B,C,D,B,C,B,B,B,D
117,D,C,C,C,C,D,C,B,C,C,C,C,B,C,C,B,C,B,B,A,D,B,C,B,B,D,B,B,C,C,B,C,B,B,B,B,B,B,B,A,A,D,C,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D
118,B,B,D,B,B,B,D,B,D,D,C,C,B,C,C,B,A,B,C,A,A,A,B,B,B,A,C,A,B,C,C,B,B,B,C,B,A,B,C,A,A,B,C,B,B,B,B,C,C,C,B,B,B,B,C,B,D,C,D,C
119,C,A,D,A,A,C,C,A,B,C,A,B,B,A,B,A,A,A,A,A,D,B,D,B,A,C,B,B,C,C,A,B,B,A,B,A,A,A,A,A,A,C,A,B,C,B,B,B,D,C,C,B,B,C,B,B,D,D,D,D
120,C,A,A,A,A,B,C,A,B,D,C,D,C,B,C,C,A,A,A,A,B,A,A,B,A,A,B,A,B,C,B,B,B,A,B,A,B,A,A,A,A,B,A,B,B,A,A,B,B,B,A,A,B,A,A,A,B,D,D,D
122,C,B,C,A,A,C,C,B,C,D,B,D,B,C,C,C,B,A,A,A,B,B,A,A,B,B,B,B,B,B,A,B,B,B,C,B,B,A,A,A,B,B,B,B,C,A,C,B,B,C,B,B,B,B,C,C,B,B,B,B
123,C,A,C,B,A,C,B,A,C,B,A,C,B,B,B,A,A,A,A,A,A,A,A,B,A,B,B,A,B,A,A,C,C,B,B,A,A,A,A,A,B,D,B,B,D,B,D,D,B,D,D,B,B,B,C,D,D,D,D,D
124,D,C,D,C,C,D,C,C,D,D,D,D,D,B,D,C,A,A,A,A,D,C,D,D,C,C,B,C,D,C,C,C,B,A,C,C,A,A,B,B,C,C,C,C,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D
125,D,C,B,B,B,C,D,C,D,D,C,D,C,C,D,D,B,D,B,C,D,C,B,C,C,C,D,D,D,D,D,D,D,D,D,C,C,A,C,D,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B
126,B,C,D,B,B,C,C,C,B,B,A,C,B,B,A,B,B,D,B,A,,,A,A,A,B,A,A,B,B,,A,A,A,A,A,,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,C,D
127,C,B,C,B,A,C,B,C,C,B,B,B,B,B,B,B,A,A,A,A,B,A,C,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,B,A,C,D,A,A,D,A,A,A,D,D,A,A,D,D,D,D
128,C,A,B,B,B,B,C,B,B,C,B,C,B,B,C,B,C,D,B,A,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B,B,C,C,A,A,A,A,A,A,A,A,A,B,A,B,A,A,B,C,A,A,C,C,C,C
129,C,C,D,B,D,D,D,D,D,D,D,D,D,B,B,C,A,A,A,B,D,C,D,D,D,D,D,C,D,D,D,D,D,A,C,C,A,A,A,A,A,D,D,D,D,D,C,D,D,D,C,B,D,D,D,C,D,D,D,D
130,D,C,C,C,B,B,C,C,C,C,B,D,C,C,B,D,D,B,B,C,D,C,D,C,C,D,D,C,B,C,A,B,C,C,A,B,C,B,C,B,B,A,B,C,B,B,B,C,D,A,D,C,C,B,A,C,C,C,B,B
131,C,C,B,C,C,B,C,A,C,B,C,B,C,B,C,A,C,B,C,B,C,B,C,B,C,B,C,B,C,D,A,C,B,C,D,B,C,C,C,D,B,C,B,D,B,C,B,C,B,C,B,C,B,C,B,C,B,C,B,C
132,C,B,C,B,A,C,C,A,C,D,A,C,B,C,C,C,A,B,C,C,A,A,A,A,A,A,B,A,A,A,A,A,A,C,A,A,A,A,C,A,A,A,A,C,C,A,A,C,A,A,A,A,A,C,A,A,A,C,C,A
133,C,C,C,C,C,C,B,B,C,B,A,B,A,A,B,A,A,B,B,B,C,B,C,C,C,C,B,B,C,B,A,A,A,A,B,A,A,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,B
134,C,A,A,B,B,C,C,A,B,B,C,C,C,C,C,C,A,A,B,A,,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,C,A,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,D,D,D,D
135,C,A,A,A,A,A,A,C,C,C,C,A,A,A,A,A,A,A,A,A,,,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,A,A,A
136,C,B,B,C,B,C,B,B,D,B,C,A,B,A,A,A,B,C,D,B,B,C,A,C,D,B,A,C,D,C,B,D,B,C,A,C,B,D,C,B,B,D,D,C,D,B,A,B,D,B,C,D,C,B,C,D,B,C,B,A
137,C,C,D,B,A,C,C,B,B,B,B,B,B,B,B,B,B,C,A,A,B,A,C,A,A,C,A,A,A,B,B,A,A,A,A,A,A,C,A,A,B,C,B,C,C,B,C,C,C,C,C,C,C,C,C,C,C,D,D,D
138,A,C,B,C,A,C,B,A,C,B,D,A,B,C,B,A,C,B,C,A,D,B,A,C,B,A,C,B,A,C,A,C,A,B,A,C,B,A,C,B,A,B,C,A,A,B,D,B,A,C,A,B,A,C,A,C,A,C,A,B
139,C,A,C,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
140,D,A,C,D,D,C,C,B,C,B,A,C,A,A,C,A,B,A,A,B,D,A,D,A,B,C,B,B,C,C,A,C,A,A,C,B,B,A,A,B,A,D,A,D,C,A,D,D,D,D,D,C,D,D,D,A,D,D,D,D
141,B,B,D,C,B,B,B,A,C,D,C,D,B,C,C,B,C,B,C,B,B,A,B,C,B,C,B,B,C,B,C,B,B,C,B,B,C,C,C,B,C,C,B,C,B,C,B,B,C,B,C,B,C,B,C,B,C,B,C,B
142,C,C,A,A,B,D,C,D,C,D,C,C,C,C,C,D,A,B,C,A,C,B,A,B,B,D,D,D,C,C,C,C,B,C,C,D,A,B,C,B,A,B,C,D,D,B,C,D,C,D,D,C,D,D,D,C,D,D,D,D
143,D,C,B,C,A,D,C,C,D,D,C,C,C,C,C,C,A,C,C,A,D,C,C,C,B,D,B,B,D,C,B,B,B,B,B,B,C,C,C,A,B,C,B,B,C,C,C,C,B,C,C,B,C,C,C,C,D,D,D,D
144,B,A,B,B,C,C,B,B,C,B,C,D,C,A,B,A,A,B,B,B,B,A,B,B,B,B,C,B,B,A,B,C,C,A,B,A,B,B,C,B,B,D,C,B,B,C,D,D,C,D,C,C,D,D,C,D,D,D,D,D
145,D,C,D,C,B,D,D,D,C,D,B,C,B,B,C,C,A,C,D,B,D,B,D,B,A,D,C,C,C,C,B,C,C,A,B,B,A,A,A,A,A,C,B,C,C,A,D,D,D,D,C,C,C,D,D,D,D,D,D,D
146,C,B,B,C,C,C,B,B,B,B,C,B,C,A,B,B,B,B,A,A,B,B,B,D,D,C,B,B,B,C,D,B,D,A,B,B,B,B,B,A,B,B,B,C,C,C,B,B,C,B,B,B,B,C,B,B,C,C,C,D
147,D,C,D,D,C,D,C,C,B,C,B,D,C,B,C,B,B,A,A,B,D,B,D,C,C,D,B,B,B,C,B,D,C,A,B,C,C,A,B,D,B,B,B,C,C,B,C,C,C,C,C,D,C,C,B,B,D,D,D,D
148,C,D,B,A,A,B,C,C,A,C,A,C,B,B,C,B,A,A,A,A,C,B,A,A,A,B,B,B,B,C,A,B,A,B,B,B,A,B,A,C,B,C,C,C,C,C,B,B,C,C,C,B,C,C,C,B,C,C,C,C
149,C,B,D,B,B,C,C,B,C,A,A,A,B,B,B,C,C,C,B,B,A,A,A,B,B,B,A,B,B,B,A,B,B,B,C,C,B,B,B,B,B,B,A,B,A,C,B,B,A,B,B,A,B,B,C,C,C,D,D,D
150,C,C,C,B,A,C,B,B,D,C,C,B,A,B,B,B,D,A,B,A,A,C,D,A,A,D,B,B,D,C,A,B,A,A,B,B,D,A,C,A,B,D,B,D,D,B,C,D,C,D,D,D,D,D,D,C,D,D,D,D
151,A,A,C,B,B,B,C,A,B,C,D,C,C,B,B,A,B,D,B,C,A,A,A,C,C,A,B,A,A,C,C,C,D,A,C,A,B,D,B,A,B,D,B,B,B,B,B,D,B,B,B,B,B,D,B,C,C,D,D,D
152,B,B,C,C,D,D,B,B,A,B,A,B,C,B,C,D,B,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,D,C,D,B,B,B,A,B,C,C,C,C,C,C,C
153,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
154,D,B,D,B,B,D,C,B,D,D,B,C,C,C,D,C,C,A,A,A,D,A,D,A,A,D,B,A,D,A,A,C,C,A,A,A,C,A,A,A,A,C,A,C,C,A,B,C,A,B,A,B,B,C,C,C,A,C,C,C
155,D,B,C,B,C,C,B,B,C,B,B,C,B,B,C,B,A,A,A,B,D,B,D,B,C,D,B,A,C,B,B,C,B,A,A,B,D,C,C,B,C,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D
156,C,A,D,C,B,D,B,A,C,C,B,A,C,B,B,B,A,A,B,C,D,A,D,D,D,D,B,B,D,D,C,C,C,B,C,B,C,A,C,D,A,A,A,A,C,B,A,B,C,C,C,B,C,D,B,B,C,D,C,C
157,D,C,D,C,*,D,A,D,D,D,C,D,C,A,D,D,D,D,B,D,D,C,D,C,B,D,D,A,D,D,B,D,C,A,D,A,D,A,A,C,D,D,D,C,B,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A
158,A,A,D,B,B,D,B,A,B,D,B,C,C,A,D,A,A,A,A,C,D,A,D,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,C,C,C,C
159,D,A,D,A,A,D,A,A,B,D,A,B,B,A,D,D,B,B,D,B,D,A,D,C,B,C,B,B,C,C,B,B,C,C,B,B,C,C,B,B,B,C,C,C,C,C,B,B,B,C,C,C,B,B,A,A,A,A,A,B
160,D,B,D,D,D,D,C,C,D,C,C,D,C,A,C,C,A,A,A,A,D,B,D,B,C,D,C,C,D,C,C,C,C,A,C,C,A,C,C,B,A,C,B,D,D,A,C,D,D,B,C,B,D,D,C,C,D,D,C,D
161,B,A,B,B,C,C,A,A,A,A,C,D,C,C,B,C,A,A,A,B,B,B,B,D,D,A,C,B,C,B,D,B,D,C,D,B,A,D,A,A,D,D,D,B,B,D,C,D,D,D,B,D,B,A,B,D,D,D,D,C
162,D,B,D,B,C,B,D,C,A,D,B,C,D,B,C,A,B,D,C,B,C,D,A,D,B,B,A,C,B,D,D,A,B,C,C,C,B,C,D,B,C,B,D,B,A,C,B,A,C,D,B,C,B,D,B,C,B,A,B,D
163,A,B,C,D,C,C,B,C,B,B,D,C,C,C,B,B,C,B,B,C,D,C,A,B,B,C,C,A,A,B,C,D,C,B,C,D,C,B,A,B,B,B,D,C,B,A,B,B,B,B,D,A,B,C,C,B,B,B,C,C
164,C,B,D,C,D,D,B,B,C,B,C,C,B,C,B,B,A,A,B,A,D,A,D,B,B,C,A,A,B,B,B,B,C,A,C,B,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,D,D,D
165,A,C,B,B,A,B,C,B,B,A,C,D,B,A,A,B,D,B,A,A,B,B,A,A,B,A,B,B,C,D,A,A,C,A,C,C,D,A,C,C,D,D,A,B,A,B,A,A,A,B,A,A,C,A,A,B,A,D,D,D
166,C,C,C,C,B,C,B,A,A,B,C,D,D,A,C,B,D,C,B,B,B,A,C,B,D,B,B,D,A,B,C,D,B,B,A,C,D,C,B,C,C,C,B,B,C,D,C,B,C,D,C,D,B,C,B,C,D,C,D,D
167,B,B,D,B,A,C,C,B,C,D,B,C,B,C,C,B,B,D,B,B,A,C,D,C,B,C,C,C,D,C,C,C,C,B,C,C,D,D,D,A,B,B,B,C,C,C,C,D,D,C,C,C,D,D,C,C,C,D,D,D
168,C,A,A,D,B,A,D,B,A,D,B,D,D,D,B,B,A,B,C,B,D,A,A,C,C,A,D,C,A,B,A,D,D,D,A,A,C,A,A,C,A,A,A,A,A,A,A,A,D,A,D,D,B,A,D,A,D,D,D,D
169,C,A,C,D,B,B,C,A,B,D,C,B,C,A,C,A,A,C,B,B,,,A,C,B,,C,C,B,B,A,C,B,A,B,A,C,A,C,B,C,C,C,C,C,C,C,C,C,C,C,B,D,B,B,B,A,C,A,C
170,B,A,D,B,A,B,D,A,D,B,C,B,A,C,B,D,B,*,A,C,*,A,B,B,C,A,C,A,C,*,A,D,B,C,,D,B,C,B,D,A,C,A,D,B,A,C,A,D,B,C,C,A,D,B,A,B,C,B,D
171,B,A,C,B,A,C,B,A,B,C,B,B,B,A,C,C,A,C,C,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D
172,C,B,C,A,A,C,A,B,C,A,A,A,A,B,A,B,A,A,A,A,C,B,C,A,A,C,A,B,C,B,A,A,A,B,B,B,A,A,A,A,B,C,B,C,C,B,C,A,B,C,D,A,C,B,B,A,D,D,D,D
173,C,C,C,C,A,B,C,C,B,B,C,B,C,B,C,C,B,C,C,B,B,B,A,A,A,B,A,B,B,C,A,B,C,A,B,B,B,C,C,A,B,C,B,B,C,B,B,C,C,C,B,C,B,B,B,B,B,B,B,C
174,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,C,A,C,B,A,B,C,D,C,C,D,C,C,C,A,B,C,B
175,B,A,C,B,A,B,C,B,B,C,A,C,B,A,A,C,C,C,C,C,B,A,C,B,A,B,C,B,B,C,A,C,B,A,A,C,C,C,C,C,B,A,C,B,A,B,C,B,B,C,A,C,B,A,A,C,C,C,C,C
176,C,C,C,C,C,C,B,C,C,C,B,D,C,C,C,C,C,C,C,C,,,C,B,B,C,C,C,B,C,C,C,A,C,C,C,C,C,C,C,C,C,C,A,B,B,C,C,B,C,C,C,C,C,C,C,B,C,C,C
177,A,D,A,B,C,D,C,B,B,B,A,B,C,D,C,B,A,B,C,D,D,D,D,C,B,A,A,A,A,A,D,C,B,A,D,C,B,A,A,A,A,A,D,C,B,A,A,A,A,A,B,B,C,C,A,D,B,A,B,B
178,D,A,D,B,A,D,A,A,B,A,A,A,A,A,A,A,C,A,A,A,B,A,B,A,A,B,A,A,B,A,A,A,A,A,A,A,C,A,A,A,B,D,A,D,D,B,D,D,B,D,D,D,D,D,D,D,D,D,D,D
179,D,C,D,B,B,C,C,C,C,C,B,C,B,C,C,C,A,B,B,A,C,C,C,C,B,C,C,C,C,C,B,C,B,C,C,C,A,B,B,A,C,B,C,B,B,C,B,B,C,B,B,B,B,B,B,B,C,D,D,D
180,D,B,C,C,C,C,A,C,C,C,C,C,C,B,B,C,C,B,C,B,C,B,B,B,B,B,B,B,C,C,C,C,B,B,C,B,B,B,C,B,A,C,B,B,B,B,A,C,B,B,B,C,C,C,B,B,B,C,C,C
181,C,A,B,B,A,B,A,A,B,D,A,C,A,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,C,B,C,D,B,D,D,B,C,C,C,C,C,C,C,D,C,D,D
182,B,B,B,A,C,C,A,A,B,D,B,B,C,B,A,C,A,D,D,D,B,D,C,B,D,A,B,B,C,A,D,A,A,B,C,C,C,C,C,C,D,A,B,A,D,C,,A,C,B,D,A,A,A,B,C,D,C,B,D
183,C,B,B,B,B,B,B,B,B,C,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,A,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,C,C,C,C
184,C,A,C,C,C,C,B,C,D,C,B,C,B,B,B,B,B,C,B,B,C,A,D,B,B,C,B,B,D,C,B,B,B,B,C,B,B,C,B,B,B,B,B,B,B,A,C,D,C,C,B,B,C,B,B,B,D,D,D,D
185,C,A,B,A,A,B,B,A,B,B,B,B,A,A,B,B,A,A,A,A,B,A,A,A,A,A,A,B,A,B,A,B,A,A,A,A,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
186,C,B,D,B,A,C,B,B,B,D,B,C,B,A,C,B,A,A,B,B,B,B,D,B,A,C,B,B,B,C,B,B,B,B,C,B,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,C,C,C,C
187,C,A,C,B,A,D,C,A,D,C,A,C,B,A,B,B,A,A,D,D,D,C,D,C,C,D,D,B,D,B,A,B,C,A,B,B,B,A,D,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,D,A,B
188,B,B,A,C,D,A,C,C,A,C,B,B,D,C,C,C,A,C,B,*,B,B,C,A,C,B,B,B,C,B,B,C,C,C,C,A,D,B,B,A,C,A,D,D,D,A,C,D,B,B,D,B,D,C,C,B,C,D,D,D
189,B,D,B,B,B,B,B,B,B,B,A,C,B,B,B,B,A,A,B,,,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,A,A,B,B,B,B,B,B,A,D,B,B,D,C,B,D,D,C,C
191,C,C,B,A,B,C,C,B,C,C,B,C,C,B,C,B,A,C,A,,,,B,C,A,A,B,C,B,C,B,C,B,C,C,B,B,D,C,A,B,C,B,C,B,B,C,C,C,B,B,C,C,D,C,B,C,D,D,D
192,C,B,C,A,A,D,B,C,C,C,B,B,B,C,B,B,A,B,B,A,D,B,D,B,A,D,A,A,D,B,B,C,B,A,B,A,B,B,B,A,A,B,A,B,C,A,C,C,A,B,B,B,C,C,C,B,D,C,C,C
193,B,B,C,C,A,C,C,C,C,C,A,D,C,D,C,B,B,A,A,A,B,B,B,B,A,B,B,B,B,C,A,C,B,C,C,B,C,A,A,A,B,C,C,B,B,B,C,C,C,C,D,D,D,D,C,C,D,D,D,D
195,C,A,D,B,A,B,C,A,C,B,A,B,A,B,A,A,B,C,B,C,C,C,D,A,A,B,C,B,C,B,A,A,A,A,B,A,D,B,D,D,D,B,B,D,D,C,C,D,D,C,D,D,D,D,D,D,D,D,D,D
196,B,B,C,B,A,C,C,B,C,B,A,C,A,B,B,A,A,A,B,A,A,A,C,A,A,B,A,A,A,B,A,C,A,A,B,A,B,A,C,A,A,B,A,B,D,A,A,C,A,D,C,B,D,D,C,C,C,B,B,D
197,C,C,D,C,A,D,C,B,C,A,B,D,C,A,B,B,D,A,A,A,D,A,D,D,C,D,D,C,D,C,D,A,C,D,B,A,D,B,C,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
198,D,D,C,C,D,D,B,A,C,A,C,B,A,A,B,D,D,D,D,A,C,C,D,D,D,D,B,A,D,A,A,A,D,D,D,D,D,D,D,D,A,A,A,A,A,A,D,D,B,A,A,A,A,A,A,A,A,A,A,A
199,D,A,A,D,A,C,A,A,D,D,A,C,A,A,A,A,D,A,B,A,A,A,D,A,A,C,A,A,D,A,A,A,A,A,A,A,D,A,C,D,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,D,D
200,C,A,D,B,B,C,B,B,B,C,A,A,C,A,A,A,A,A,A,A,D,A,D,A,A,D,A,A,C,C,A,A,A,A,A,A,A,A,A,A,B,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
201,C,A,B,B,A,B,C,A,A,B,B,B,C,A,B,A,A,B,C,C,,,D,A,D,D,C,A,B,B,C,C,B,A,A,A,B,C,D,C,B,D,B,D,D,B,D,D,D,C,B,C,D,D,D,C,C,D,D,D
202,D,A,D,A,A,D,B,B,B,B,A,C,A,C,C,B,A,A,A,A,D,A,D,A,A,D,A,A,C,A,A,C,A,B,A,A,A,A,A,A,A,D,A,D,D,A,D,D,C,D,D,D,D,D,D,D,D,D,D,D
203,D,A,D,D,D,D,A,A,B,D,C,D,D,A,D,C,B,D,D,D,D,A,D,D,D,D,A,A,B,D,C,D,D,A,D,C,B,D,D,D,D,A,D,D,D,D,A,A,B,D,C,D,D,A,D,C,B,D,D,D
204,B,B,B,C,C,C,B,B,C,C,C,C,C,C,B,A,A,C,C,A,D,A,C,C,C,C,B,B,C,B,B,B,C,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,C
205,C,B,B,B,A,C,B,A,B,B,A,B,A,B,B,B,D,A,A,A,C,B,B,B,A,C,B,A,B,B,A,B,A,B,B,B,D,A,A,A,A,C,B,C,C,B,C,C,B,C,C,C,D,C,C,C,C,C,D,D
206,A,B,C,C,A,C,C,C,D,C,B,C,C,A,C,B,A,A,A,B,C,C,D,B,A,D,C,D,D,D,B,C,B,C,D,C,C,B,C,B,B,D,C,D,D,C,C,D,C,C,B,C,D,D,C,C,D,D,D,D
207,A,B,C,B,B,B,D,C,B,A,C,B,A,C,D,B,C,B,D,C,B,C,A,C,B,B,B,C,A,A,C,B,D,C,A,C,B,D,D,A,D,B,C,B,A,C,D,B,C,D,D,B,A,A,C,B,A,D,B,A
208,C,B,D,B,A,B,B,B,B,D,A,C,B,B,C,B,A,A,D,A,C,A,D,C,D,A,A,B,C,D,A,C,A,C,C,C,B,A,D,A,B,B,C,C,B,B,B,D,D,D,D,D,D,D,D,D,D,D,D,C
209,B,C,C,A,A,B,B,B,C,D,A,D,B,B,C,C,A,C,C,B,C,B,B,A,A,B,C,C,B,C,A,D,A,A,C,D,A,D,D,B,B,C,B,C,C,C,B,B,C,C,B,B,C,B,C,B,D,C,D,C
210,B,A,B,D,,B,B,A,B,,D,B,D,B,B,A,A,C,B,A,A,A,A,D,,,C,A,A,B,D,C,D,B,B,A,C,D,C,B,B,B,B,C,C,A,,C,C,C,C,C,C,D,C,C,D,D,D,D
211,B,B,D,B,B,C,B,A,C,C,B,A,B,B,D,D,D,A,A,A,,,B,B,D,C,B,D,B,B,D,D,D,A,C,C,C,A,D,D,B,C,A,B,C,B,B,B,D,C,C,B,D,D,B,C,A,D,D,D
212,D,C,D,C,A,D,C,D,D,D,A,C,A,C,C,D,A,A,A,A,D,D,D,C,C,D,C,D,D,*,B,D,D,B,D,D,A,A,A,A,A,B,A,C,C,A,C,C,C,C,C,C,C,A,C,C,C,C,C,C
213,C,A,A,B,B,C,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,B,A,B,A,C,A,B,A,A,A,A,C,A,A,B,A,A,A,A,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
214,D,A,C,D,B,C,C,A,A,C,A,C,C,B,A,C,A,A,A,B,C,A,C,C,A,C,B,A,A,B,A,C,B,A,C,A,A,A,A,B,B,D,C,B,B,B,B,B,A,A,B,C,C,B,B,A,D,D,D,C
215,B,C,C,B,B,B,C,C,C,C,C,A,C,A,C,C,B,C,B,C,C,B,C,C,B,C,B,B,C,B,B,C,B,C,B,C,B,C,C,B,C,B,C,C,B,B,C,B,C,B,C,B,B,C,B,C,B,C,C,B
