,Sex1,Sex2,Sex3,Sex4,Sex5,Sex6,Sex7,Sex8,Sex9,Sex10,Sex11,Sex12,Sex13,Sex14,Sex15,Sex16,Sex17,Sex18,Sex19,Sex20,Sex21,Sex22,Sex23,Sex24,Sex25,Sex26,Sex27,Sex28,Sex29,Sex30,Sex31,Sex32,Sex33,Sex34,Sex35,Sex36,Sex37,Sex38,Sex39,Sex40,Sex41,Sex42,Sex43,Sex44,Sex45,Sex46A,Sex46B,Sex46C,Sex46D,Sex46E,Sex47,Sex48,Sex49,Sex50,Sex51,Sex52,Sex53,Sex54,Sex55,Sex56,Sex57,Sex58,Sex59,Sex60,Sex61,Sex62,Sex63,Sex64,Sex65,Sex66,Sex67,Sex68,Sex69,Sex70,Sex71,Sex72,Sex73,Sex74,Sex75
78,B,A,D,C,D,D,D,D,D,D,D,D,A,C,B,B,A,B,A,A,A,C,A,B,B,A,A,A,B,B,C,C,C,B,F,C,E,B,B,B,D,E,E,E,E,,,,,E,C,A,E,E,A,B,D,C,A,A,A,A,A,A,A,A,C,B,C,F,E,E,E,E,E,D,D,B,A
79,A,A,D,A,D,D,D,D,D,D,D,D,D,B,D,B,D,C,D,D,B,B,A,B,D,B,A,A,C,B,D,B,A,A,F,C,E,B,A,B,D,E,E,E,E,,,,,E,A,A,E,E,A,A,D,D,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,C,A
80,D,A,E,B,B,B,D,B,D,B,D,D,A,B,A,B,A,B,A,A,A,B,A,A,A,A,A,A,D,A,D,A,B,A,C,B,D,B,B,B,C,D,A,A,A,A,B,,D,,A,A,B,A,B,A,B,D,A,C,B,A,A,A,A,B,B,B,B,B,E,A,A,A,D,A,C,C,A
81,B,A,D,A,D,D,D,D,D,D,D,D,B,C,B,D,B,C,A,A,A,B,A,C,A,C,A,A,A,C,D,D,C,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,A,A,E,E,A,A,D,D,A,A,A,A,D,A,A,A,C,B,C,F,A,E,E,E,E,D,D,C,C
82,C,A,D,C,D,D,D,D,D,D,D,D,D,B,D,B,D,C,D,D,C,B,C,C,C,C,C,C,C,B,D,B,D,B,F,C,E,B,B,B,D,E,E,E,E,A,,,,,A,A,E,E,A,B,C,D,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,B,A
83,B,B,D,B,D,D,D,D,D,D,D,D,A,D,A,C,A,B,A,A,D,C,D,D,D,D,D,D,D,A,B,B,C,A,F,C,E,B,B,B,D,E,E,E,E,A,,,D,,C,A,E,E,B,B,D,D,A,A,D,A,A,A,B,B,C,B,C,F,A,E,E,E,E,D,D,B,A
84,C,A,A,B,D,D,D,D,D,D,D,D,A,D,A,A,A,A,A,A,A,B,A,A,A,A,A,A,D,D,D,A,C,A,F,C,E,B,B,B,D,E,E,E,E,,,,D,,C,A,E,E,C,A,D,D,A,B,B,C,A,D,A,A,C,B,C,F,E,E,E,E,E,D,D,A,A
85,D,B,B,D,D,C,D,D,D,D,D,D,D,D,C,D,C,C,D,D,A,C,A,B,A,A,B,A,A,D,D,D,C,A,C,B,B,B,B,B,C,C,A,A,A,,B,,D,,D,A,B,D,C,A,C,D,B,C,A,B,D,D,B,B,B,B,B,B,C,B,B,C,B,A,C,B,A
86,D,A,C,B,C,B,D,B,D,D,C,A,D,B,D,B,D,B,B,A,A,A,A,A,A,D,A,A,A,D,D,D,C,A,C,B,C,B,B,A,A,D,A,A,A,A,B,,D,,A,A,B,B,B,A,B,C,A,A,B,A,B,A,B,B,B,B,B,D,D,A,A,A,C,A,C,B,B
87,D,A,D,B,B,A,D,A,D,A,D,B,B,C,B,C,B,C,B,B,A,A,A,A,A,A,A,A,D,B,D,C,C,A,C,B,C,B,A,A,A,D,A,A,A,A,B,,D,,D,A,B,A,B,A,B,D,A,A,A,A,A,A,A,B,B,B,B,D,D,A,A,A,C,C,A,A,C
88,D,A,C,C,D,C,D,C,D,C,D,D,A,C,A,C,A,D,A,A,B,B,C,C,C,C,D,D,C,A,C,A,B,A,C,A,A,B,B,B,B,D,A,A,A,A,,,,,A,A,D,A,A,A,D,D,A,B,A,A,A,A,B,A,B,B,B,A,B,A,B,A,A,B,B,C,B
89,D,A,B,B,C,A,D,A,D,D,D,D,A,B,A,D,D,D,A,B,A,B,A,C,A,B,A,A,B,D,D,B,A,A,B,A,B,B,B,A,C,C,A,D,A,,B,,,,A,A,B,B,D,B,B,B,A,B,B,A,C,A,B,A,A,B,B,A,D,A,B,A,B,A,C,A,A
90,D,A,A,B,D,D,D,D,D,D,D,D,A,B,C,B,C,B,B,C,B,B,C,A,C,A,C,C,C,B,D,C,C,A,D,A,A,B,B,B,A,C,A,A,A,A,,,D,,E,A,D,A,A,C,D,A,B,C,A,B,B,B,B,A,B,B,B,F,A,E,B,A,B,A,A,B,A
91,D,A,A,C,C,A,D,B,D,C,D,D,A,D,A,D,B,D,A,A,B,B,A,B,A,C,A,A,C,B,D,C,C,A,C,A,A,B,A,B,A,D,A,A,A,A,,,,,A,A,D,C,A,B,D,A,A,A,A,A,A,A,B,A,B,B,B,B,B,A,A,B,A,C,C,C,A
92,D,A,C,B,D,D,D,D,D,D,D,D,B,C,A,D,A,D,A,B,A,C,A,B,A,C,A,A,D,B,A,C,B,A,D,B,D,B,B,B,C,B,A,A,A,A,,,,,B,A,A,B,C,C,B,B,C,B,C,D,D,D,B,A,A,B,B,A,E,E,B,A,A,A,A,B,A
93,B,A,D,A,D,D,D,D,D,D,D,D,A,D,B,D,A,D,A,B,A,A,A,A,A,A,A,A,A,D,D,D,B,A,F,C,E,B,A,B,D,E,E,E,E,A,,,,,A,A,E,E,A,A,D,D,A,B,B,B,A,A,A,A,C,B,C,F,E,E,E,E,E,D,D,C,A
94,D,A,A,B,D,B,D,B,D,D,D,D,A,D,B,B,B,D,B,C,B,B,B,B,B,D,B,B,D,A,D,B,B,A,C,A,C,B,A,A,A,D,A,C,A,A,,,D,E,D,A,C,A,B,A,D,A,A,B,A,C,A,A,A,A,A,B,B,D,B,A,B,A,B,B,C,B,A
95,D,A,C,D,C,A,D,A,D,A,D,D,D,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,D,A,C,A,D,A,B,B,B,B,A,D,A,A,A,A,,,D,,A,A,B,B,B,C,D,C,A,A,A,A,A,A,A,A,A,A,B,A,C,A,A,D,A,C,C,C,C
96,D,A,C,D,C,B,D,B,D,D,D,D,B,C,D,B,D,C,B,D,A,B,B,B,A,C,A,A,D,C,D,B,D,A,D,A,B,B,B,B,A,D,A,A,A,A,,,D,,A,A,C,B,B,B,C,D,A,A,B,A,B,A,A,A,A,A,B,A,D,A,A,D,A,A,C,D,C
98,B,A,B,B,D,D,D,D,D,D,D,D,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,B,C,B,C,B,A,C,F,C,E,B,A,B,D,E,E,E,E,,,,,E,B,A,E,E,D,B,D,B,B,B,B,B,B,B,B,B,C,B,C,F,A,E,E,E,E,D,D,C,C
99,A,A,E,A,D,D,D,D,D,D,D,D,B,D,B,D,B,C,A,A,B,A,A,C,A,C,A,A,D,C,B,C,C,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,A,A,E,E,A,A,D,D,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,C,A
100,B,A,B,B,D,D,D,D,D,D,D,D,A,D,A,C,A,A,A,A,A,C,A,B,A,B,A,A,C,B,C,B,B,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,A,A,E,E,A,A,D,A,A,A,A,A,A,A,A,A,C,B,C,F,E,E,E,E,E,D,D,A,C
101,C,C,E,B,D,B,D,A,D,B,D,D,D,B,C,A,D,B,D,C,D,B,B,A,D,B,D,B,D,A,B,A,C,A,C,B,D,B,A,B,A,D,A,A,A,,,,D,,C,A,A,A,C,B,D,D,A,A,B,B,C,A,A,B,B,B,B,A,E,A,A,B,B,C,C,C,A
102,D,A,B,C,D,A,D,D,D,D,D,C,D,A,C,C,D,B,D,C,A,A,A,A,A,A,A,A,D,C,D,D,D,B,B,B,C,B,A,B,C,B,A,A,A,A,,,,,C,B,B,A,B,B,C,A,D,C,C,D,D,B,B,A,A,B,A,A,B,A,C,B,A,B,B,C,A
103,C,C,E,C,D,B,D,B,D,D,D,D,D,B,D,B,D,D,D,D,B,C,A,C,B,D,B,B,B,B,C,B,C,B,D,A,B,B,A,B,A,D,A,A,A,,,,,E,E,A,D,A,A,B,C,B,A,A,B,B,B,D,A,A,A,B,B,C,C,A,A,A,B,C,C,B,A
104,B,A,D,A,D,B,D,B,D,B,D,D,A,B,A,B,B,B,A,B,A,C,A,C,A,C,A,A,B,C,D,D,C,A,F,C,E,B,A,B,D,E,E,E,E,,B,,,,C,A,E,E,A,B,C,D,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,C,C
105,D,A,C,B,C,B,D,B,D,A,D,D,A,C,A,C,D,D,A,A,A,A,A,A,A,A,A,A,D,C,D,B,B,A,C,A,A,B,B,A,A,D,A,A,A,,,,,E,A,A,D,B,B,A,D,D,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,C,A
106,A,A,A,A,D,D,D,D,D,D,D,D,A,D,A,D,A,D,A,A,A,D,A,D,A,D,A,A,C,B,A,B,A,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,C,A,E,E,A,A,D,B,A,A,A,A,A,A,A,A,C,A,C,F,E,E,E,E,E,D,D,A,A
107,B,A,E,A,D,A,D,B,D,A,D,D,A,D,A,D,A,D,A,A,A,B,A,B,A,C,A,A,C,C,D,C,A,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,E,A,E,E,D,D,D,D,A,A,A,A,A,A,A,A,C,B,C,F,E,E,E,E,E,D,D,A,C
108,D,A,A,D,D,C,D,D,D,B,D,D,A,B,A,B,A,B,A,A,B,B,A,B,A,A,A,B,D,C,D,D,C,A,D,A,A,B,A,B,A,D,A,A,A,A,,,,,E,A,D,A,A,A,D,C,A,A,A,A,A,A,B,A,A,B,B,F,A,A,A,A,A,C,C,C,A
109,A,B,D,C,D,D,D,D,D,D,D,D,A,D,A,D,B,C,A,A,A,B,A,C,A,B,A,A,C,D,D,D,B,A,F,C,E,B,B,B,D,E,E,E,E,A,,,D,E,A,A,E,E,,B,D,D,A,A,D,A,A,A,B,A,C,B,C,F,A,E,E,E,E,D,D,D,C
110,D,A,A,A,B,C,B,C,D,D,D,D,A,C,A,C,C,C,A,A,A,C,C,A,C,C,A,A,C,B,D,B,B,A,D,A,A,B,B,B,C,D,A,A,A,,,,,E,A,A,D,B,A,B,D,D,A,A,A,B,A,A,A,A,B,B,B,A,B,A,A,D,A,C,C,D,C
112,D,A,A,A,A,B,D,A,D,A,D,C,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,C,C,B,A,B,A,A,B,B,A,B,D,A,A,A,A,,,D,E,A,A,D,B,A,A,D,D,A,B,A,A,A,A,A,A,B,B,B,C,B,B,B,A,A,A,C,C,A
113,D,A,B,B,B,B,D,B,D,D,D,C,A,B,A,B,A,C,A,B,A,B,A,B,A,C,A,A,A,D,D,D,C,A,C,A,B,B,B,A,C,D,A,A,A,A,B,,D,,A,A,D,D,B,A,C,A,A,B,A,A,B,A,A,B,A,B,B,A,C,A,B,A,B,A,A,C,A
114,D,B,D,B,D,C,D,B,D,D,D,B,B,B,B,B,C,C,B,B,A,B,A,A,C,B,A,A,C,C,D,C,C,A,B,A,C,A,B,B,A,B,A,A,A,A,,,,,C,A,B,A,C,A,C,D,B,A,A,C,B,C,B,B,B,B,B,B,E,A,C,C,D,C,B,C,A
115,C,C,C,B,D,A,D,A,D,A,D,D,D,B,B,B,D,B,D,B,D,A,A,A,D,A,D,B,C,C,D,B,C,B,C,A,C,A,B,B,A,D,A,B,A,,B,,D,,B,A,B,A,B,B,C,C,A,A,A,B,B,B,B,B,A,B,A,D,D,A,B,D,D,C,C,B,A
117,D,B,B,B,C,B,D,C,D,D,D,D,A,D,A,D,A,D,A,A,A,A,A,D,A,D,A,A,D,C,D,D,A,A,B,A,B,B,A,A,C,C,A,A,A,A,B,,D,,C,A,C,C,B,A,C,B,B,D,A,B,B,C,B,B,B,B,B,B,C,B,B,B,B,A,C,D,A
118,A,A,D,B,D,B,D,D,D,D,D,D,B,B,B,C,B,C,B,B,B,B,B,B,B,B,B,B,C,B,C,C,C,A,F,C,E,B,A,B,D,E,E,E,E,A,,,,E,C,A,E,E,D,B,D,D,A,A,C,A,C,A,A,A,C,B,C,F,A,E,E,E,E,D,D,D,C
119,C,B,A,A,D,A,D,A,D,C,D,D,A,A,A,B,B,C,A,A,A,A,A,A,A,A,A,A,D,B,D,C,A,A,F,C,E,B,A,B,D,E,E,E,E,A,,,D,E,C,A,E,E,A,A,D,A,A,D,A,A,A,D,B,A,C,B,C,F,E,E,E,E,E,D,D,A,A
120,C,A,C,B,D,D,D,D,D,D,D,D,B,C,B,C,C,C,B,B,A,C,A,C,A,C,A,A,D,D,D,D,B,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,,B,A,E,E,B,A,D,A,D,D,D,D,B,D,B,A,C,B,C,F,E,E,E,A,A,D,D,B,A
122,B,A,B,C,D,D,D,D,D,D,D,D,A,C,A,C,B,C,A,A,A,C,A,C,A,C,A,A,C,C,D,C,B,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,A,A,E,E,A,A,D,B,A,A,A,C,B,A,A,A,A,B,C,F,E,E,E,E,E,D,D,C,C
123,B,A,C,B,D,D,D,D,D,D,D,D,D,D,B,D,D,B,D,B,B,C,A,B,A,C,A,A,D,A,A,B,B,A,F,C,E,B,B,B,D,E,E,E,E,A,,,D,,C,A,E,E,C,B,C,D,A,A,A,A,A,A,A,A,C,A,C,F,A,E,E,E,E,D,D,B,A
124,B,A,B,B,D,B,D,D,D,D,D,D,D,C,D,B,D,D,D,D,A,B,A,B,B,B,B,A,C,C,D,C,D,D,B,B,B,B,B,A,C,D,A,A,A,A,,,,,D,A,C,C,B,B,D,C,A,A,A,B,A,A,A,A,A,B,B,F,A,E,A,A,A,A,A,B,C
125,D,A,A,C,B,B,D,A,D,B,D,D,A,D,B,B,C,B,B,B,B,B,C,B,C,B,C,A,B,C,D,C,C,A,C,A,B,B,B,A,A,D,A,B,A,A,,,D,E,D,A,B,B,A,A,D,C,A,C,A,B,A,A,A,A,A,B,B,E,B,A,B,A,A,A,C,A,A
126,D,B,C,A,D,D,D,D,D,D,D,D,D,D,D,B,D,B,D,D,A,A,A,A,A,A,A,A,A,B,D,C,C,B,C,A,B,A,A,A,B,C,A,A,A,A,,,D,E,A,A,D,A,A,A,B,B,A,A,A,B,B,A,B,A,B,B,B,A,B,A,B,A,A,C,C,B,C
127,A,A,E,B,D,D,D,D,D,D,D,D,A,D,A,D,B,D,A,A,A,C,A,D,A,D,A,A,A,B,D,B,A,A,F,C,E,,B,B,D,E,E,E,E,,,,,E,A,A,E,E,A,A,B,D,A,A,D,D,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,A,C
128,D,B,B,B,C,B,D,B,D,B,D,C,B,B,C,D,C,C,D,D,B,B,B,B,B,B,B,B,C,B,D,B,C,A,B,B,B,B,B,B,A,C,A,A,A,A,,C,D,,B,A,B,A,C,C,B,A,B,B,B,C,B,B,A,B,B,B,A,A,E,D,C,B,A,D,B,C,C
129,C,C,E,A,D,D,D,D,D,D,D,D,A,D,A,D,B,D,B,A,A,B,A,B,A,C,A,A,B,C,D,D,D,A,F,C,E,,B,B,D,E,E,E,E,,,,,E,A,A,E,E,A,B,C,D,A,A,A,A,A,A,A,A,C,A,C,F,A,E,E,E,,D,D,B,C
130,A,B,B,A,C,B,A,A,A,C,B,B,C,B,A,B,C,C,B,A,A,B,C,D,D,C,A,D,D,C,A,A,B,B,C,C,B,A,A,A,B,C,C,B,C,,,,D,,B,D,D,C,D,A,B,B,C,C,D,A,B,B,B,B,A,B,C,E,C,D,C,C,B,A,B,D,C
131,A,A,E,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,C,C,C,C,C,F,C,E,B,B,B,D,E,E,E,E,,,,,E,D,D,C,E,D,C,C,D,B,D,C,D,B,D,B,A,B,B,A,C,B,D,B,D,C,B,C,B,C
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,D,A,A,A,D,A,D,D,D,D,D,D,A,D,A,A,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,A,A,C,A,A,A,B,A,B,C,A,C,B,A,,,,,A,C,B,D,A,C,A,A,A,C,A,B,B,B,A,A,A,B,A,C,B,D,A,B,C,A,B,C,A
135,D,A,B,C,D,C,D,D,D,D,D,D,B,D,B,B,B,B,B,B,A,D,A,A,A,C,A,A,C,B,D,B,D,B,C,A,B,B,B,B,A,D,A,A,A,A,,,,,A,A,C,B,B,B,D,C,D,D,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,C,D,A
136,D,A,A,B,A,D,A,A,D,B,D,D,A,A,A,B,B,B,A,A,B,B,C,A,A,D,A,B,B,C,C,A,A,B,C,A,D,B,A,A,B,C,A,A,B,,B,,,,A,B,A,A,C,C,A,D,D,B,C,D,B,C,A,B,C,A,B,D,B,E,B,C,B,C,D,A,A
137,D,A,B,B,C,B,D,B,D,D,D,D,B,C,B,C,B,C,B,B,C,B,D,B,D,C,C,A,C,B,D,B,C,A,B,A,B,B,A,A,A,D,A,A,A,,,,D,,A,A,B,B,A,D,B,A,A,B,A,A,D,A,B,B,B,B,B,C,A,B,B,B,B,C,C,A,A
138,B,A,A,C,B,C,B,D,B,B,A,D,B,C,B,D,A,C,B,A,C,C,B,C,C,B,C,B,B,D,B,C,A,C,B,C,A,A,B,B,A,C,B,C,B,,,,D,,B,C,B,D,B,B,D,C,B,A,B,D,B,C,A,B,A,B,B,E,C,E,B,C,D,C,A,B,B
139,D,A,A,B,D,D,D,D,D,D,D,D,A,D,A,C,A,D,A,A,A,C,A,A,A,A,A,A,A,C,D,C,D,B,C,A,A,B,A,B,A,D,A,A,A,A,,,,,C,A,D,A,A,A,D,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A
140,D,A,A,D,B,A,D,A,D,A,D,D,A,D,A,C,A,C,A,A,B,A,A,A,A,A,A,A,A,D,D,D,D,A,C,A,B,B,B,B,A,D,A,A,A,A,,,D,,B,A,B,A,B,A,D,A,A,B,A,A,A,A,B,A,A,B,B,E,B,A,A,A,A,C,C,A,C
141,D,A,B,D,C,A,B,C,B,C,B,C,B,C,B,B,B,C,C,B,A,C,B,C,A,C,A,C,D,B,C,B,C,A,C,,B,B,B,B,A,C,D,B,D,A,,,,,B,D,B,E,C,B,B,D,B,D,A,B,C,C,B,B,B,,B,A,D,A,D,,B,D,A,B,C
142,C,C,B,B,D,D,D,D,D,B,D,D,D,D,D,D,D,B,D,D,C,A,C,C,C,B,C,C,A,D,D,D,B,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,A,A,E,E,D,B,C,B,A,A,A,B,B,A,B,A,C,B,C,F,A,E,E,E,E,D,D,C,A
143,D,B,A,A,D,B,D,B,D,D,D,D,A,D,A,B,A,A,A,A,A,B,A,B,A,B,A,A,B,B,D,D,A,A,C,A,B,B,B,A,C,D,A,C,A,A,,,,,E,A,C,B,B,A,D,B,A,A,A,A,A,A,A,A,A,B,B,E,B,A,B,A,A,A,C,D,A
144,C,B,E,B,C,A,C,B,D,C,B,D,C,,C,B,D,D,,C,B,A,B,A,C,B,D,D,C,B,A,B,B,C,F,B,E,B,B,B,D,E,E,D,C,A,,,,,A,C,B,A,B,B,C,D,C,A,B,C,C,C,B,B,B,A,C,F,D,C,C,C,E,C,A,A,B
145,A,B,B,B,C,D,A,C,B,D,A,D,B,C,A,B,C,D,A,A,A,A,A,B,*,B,A,B,C,D,B,D,B,A,D,C,E,B,B,B,D,E,E,E,E,,,,,E,C,A,E,E,B,A,D,D,A,A,A,B,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,C,C
146,D,A,A,D,C,C,D,C,D,B,D,D,A,C,A,B,A,A,A,A,B,B,B,B,B,B,B,B,B,C,D,C,B,A,C,A,A,B,A,A,A,D,A,A,A,A,,,,E,C,A,D,A,B,B,C,C,A,A,A,A,A,A,B,A,B,B,B,A,B,A,A,B,A,A,C,C,C
147,D,B,C,A,C,B,D,B,D,B,D,D,A,B,B,B,D,B,A,A,A,B,A,C,B,B,B,A,C,B,D,B,B,A,B,A,B,B,A,B,C,D,A,A,A,A,B,,D,E,A,A,B,A,B,A,B,C,A,A,A,A,A,C,A,A,A,B,B,A,B,A,B,A,B,C,C,B,A
148,A,A,D,B,D,D,D,D,D,D,D,D,B,C,B,C,C,C,B,C,B,C,B,C,B,B,B,B,D,B,D,B,D,D,F,C,E,B,A,B,D,E,E,E,E,,,,,E,A,A,E,E,A,B,D,D,A,A,A,A,C,A,A,A,C,B,C,F,A,E,E,E,E,D,D,C,A
149,C,A,E,A,D,D,D,D,D,D,D,D,A,D,A,B,B,B,B,B,A,A,A,A,A,A,A,A,C,C,C,C,A,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,E,A,E,E,A,C,C,B,B,C,B,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,B,A
150,D,B,D,B,A,A,D,A,D,A,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,D,A,C,A,B,A,C,A,A,A,A,D,A,B,A,,B,,,,B,A,A,C,D,A,A,D,A,A,C,A,A,C,A,B,B,B,A,E,D,B,B,A,D,C,C,B,C
151,D,A,C,C,D,A,D,C,D,D,D,D,B,C,A,D,C,D,B,B,A,A,A,D,A,D,A,A,A,B,D,B,D,A,C,A,B,B,A,A,A,D,A,A,A,,B,,,,A,A,C,D,B,A,C,A,A,A,A,A,A,A,B,B,A,B,A,E,C,A,B,A,B,C,C,A,A
152,D,C,E,D,D,D,B,B,B,B,B,C,D,C,B,B,B,C,D,C,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,D,A,A,C,D,A,D,B,D,B,D,D,A,D,A,D,A,D,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,A,B,A,A,B,A,B,A,D,B,A,A,,,,D,,E,A,D,A,C,A,C,A,A,A,A,A,A,A,B,B,A,B,A,D,B,B,D,A,A,C,C,C,A
154,D,A,C,B,C,B,D,A,D,A,D,D,C,A,C,A,C,A,C,C,B,B,B,B,B,B,B,B,D,A,D,C,D,B,C,B,C,B,B,B,A,,A,A,A,,,C,,,A,A,A,B,B,D,D,C,A,B,C,C,D,D,B,B,B,B,A,C,D,A,A,D,C,C,C,B,C
155,C,C,A,B,D,B,D,B,D,C,D,D,D,B,A,C,D,B,D,B,D,B,A,B,D,B,D,A,C,B,C,B,C,A,B,A,A,B,B,B,A,D,A,A,A,A,,,D,E,A,A,D,A,A,A,D,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,B,A,A,C,C,C,C
156,D,A,B,A,D,A,D,A,D,B,D,D,A,C,B,D,B,D,A,B,,A,A,A,A,A,A,A,B,C,D,B,C,A,C,A,A,B,B,B,A,D,A,A,A,,,,D,,A,A,D,B,A,A,D,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,A,C,C,C,A
157,D,A,E,A,D,A,D,A,D,B,D,D,D,A,D,A,D,A,D,D,A,A,A,A,A,A,A,A,A,,D,D,D,,C,B,D,B,,B,A,,A,A,A,,,,D,E,A,A,A,B,A,A,A,D,D,A,A,A,A,A,A,B,A,B,A,B,E,A,A,D,B,C,B,B,A
158,A,A,A,A,D,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,B,B,A,B,A,D,,D,D,,,,D,,E,E,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
159,D,A,B,B,D,B,D,B,D,D,D,D,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,C,A,B,A,A,B,B,B,C,D,A,A,A,,,,,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,C,C,C,C,C,C,C
160,A,A,A,B,D,D,D,D,D,D,D,D,A,C,A,C,D,A,B,A,D,A,A,A,A,A,A,A,B,D,D,D,D,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,E,A,E,E,A,A,A,A,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,C,C
161,D,C,B,A,D,B,D,A,A,A,D,C,A,D,A,D,A,D,A,A,A,A,A,D,D,D,D,A,A,A,A,A,A,A,D,A,B,A,B,B,A,D,A,A,A,,,,D,,A,A,B,A,A,A,D,A,A,A,A,D,A,A,A,B,A,B,B,B,B,A,B,A,B,C,A,C,A
162,A,B,D,B,A,D,B,C,A,B,D,C,A,D,C,B,D,B,D,C,A,B,D,C,A,B,D,C,B,A,D,C,A,D,B,C,A,B,A,B,C,B,D,B,C,,,,D,,A,D,B,A,D,B,A,C,B,D,C,B,A,D,A,B,C,A,B,D,B,D,C,B,D,B,A,C,A
163,A,B,C,B,B,D,B,A,B,C,A,D,C,D,B,C,,B,D,C,D,C,A,A,A,A,C,D,C,C,B,C,B,C,D,C,C,B,A,B,B,C,D,D,C,,B,,,,A,B,C,B,D,B,D,C,B,B,C,A,D,B,A,B,A,B,A,B,B,B,A,B,D,B,B,C,A
164,A,A,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,C,C,A,B,B,A,B,B,B,B,B,B,B,A,B,B,B,B,C,C,D,C,B,,,,D,,C,C,D,B,D,D,D,C,B,C,B,D,B,C,B,B,B,B,A,B,A,B,A,C,D,C,D,B,C
165,D,A,C,B,A,A,D,B,D,B,D,C,A,B,A,A,A,A,A,A,A,D,B,A,A,A,A,A,A,D,D,A,B,A,B,A,C,A,B,A,B,D,A,C,A,,B,,,,C,A,A,A,D,A,A,A,B,A,B,C,C,D,B,B,A,B,A,E,D,B,B,B,C,A,C,A,C
166,D,A,B,B,B,C,D,A,D,A,D,C,A,D,B,B,D,C,A,B,A,B,A,A,B,A,B,B,C,C,D,B,B,A,B,A,C,B,B,B,B,C,B,C,A,,B,,,,B,A,D,C,B,A,A,A,B,B,A,C,B,C,B,B,A,B,A,C,C,D,B,C,B,C,B,C,A
167,D,A,B,A,D,B,D,B,D,C,D,D,A,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,D,D,D,C,A,B,B,B,B,B,A,C,B,A,B,A,A,,,,,B,A,B,C,C,A,D,A,D,D,B,B,C,D,B,B,A,B,A,C,E,B,C,A,A,A,C,D,C
168,D,B,A,A,D,A,D,D,D,D,D,D,D,B,C,D,D,D,D,D,B,A,A,C,A,D,A,A,D,A,D,D,A,A,B,A,B,A,A,B,B,B,C,B,E,,,C,,,C,A,B,A,B,C,D,A,C,D,A,C,C,A,B,B,B,B,B,D,C,B,D,B,A,B,C,D,A
169,A,A,D,A,D,D,D,D,D,D,D,D,A,C,A,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,B,C,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,E,A,A,E,E,B,C,B,D,C,C,D,D,D,D,A,A,C,B,C,F,A,E,E,E,E,D,D,B,A
