,Sex1,Sex2,Sex3,Sex4,Sex5,Sex6,Sex7,Sex8,Sex9,Sex10,Sex11,Sex12,Sex13,Sex14,Sex15,Sex16,Sex17,Sex18,Sex19,Sex20,Sex21,Sex22,Sex23,Sex24,Sex25,Sex26,Sex27,Sex28,Sex29,Sex30,Sex31,Sex32,Sex33,Sex34,Sex35,Sex36,Sex37,Sex38,Sex39,Sex40,Sex41,Sex42,Sex43,Sex44,Sex45,Sex46A,Sex46B,Sex46C,Sex46D,Sex46E,Sex47,Sex48,Sex49,Sex50,Sex51,Sex52,Sex53,Sex54,Sex55,Sex56,Sex57,Sex58,Sex59,Sex60,Sex61,Sex62,Sex63,Sex64,Sex65,Sex66,Sex67,Sex68,Sex69,Sex70,Sex71,Sex72,Sex73,Sex74,Sex75
12,D,B,A,A,D,A,C,B,D,C,D,B,A,D,A,D,A,D,A,A,B,B,A,B,B,B,B,A,D,B,C,B,A,A,A,B,B,A,B,B,C,B,A,A,A,A,,,,,A,D,B,A,A,A,B,A,B,B,A,A,A,A,B,A,A,B,B,B,B,B,C,C,C,C,A,B,C
13,B,A,B,B,D,A,D,A,D,A,D,D,B,C,A,C,B,C,A,A,A,B,A,B,A,B,A,A,D,A,D,B,C,A,F,C,E,B,A,B,D,E,E,E,E,A,B,,D,E,A,A,E,E,A,A,D,A,A,B,A,C,A,A,A,A,C,B,C,F,A,E,E,E,E,,D,B,A
14,D,A,C,B,C,B,D,C,D,C,D,D,B,B,A,C,B,C,A,B,A,A,A,B,A,B,A,A,B,C,C,C,C,A,B,A,B,B,A,B,C,D,A,A,A,A,,,D,,C,A,C,A,A,B,C,C,A,C,A,B,A,A,A,A,B,B,B,B,B,B,B,A,C,B,C,C,A
15,D,A,A,B,D,B,D,B,D,B,D,D,A,D,B,C,A,C,A,B,A,A,A,B,A,B,A,A,C,B,C,B,C,B,B,A,A,B,B,B,C,C,A,C,A,A,,,D,,C,A,D,A,A,B,C,A,B,C,B,C,A,B,B,A,A,B,B,A,B,A,B,A,A,C,C,B,A
17,D,C,D,B,D,B,D,C,D,D,D,B,D,D,A,D,D,D,D,D,D,A,A,A,D,A,D,A,D,B,D,C,B,A,D,A,A,B,B,B,C,D,A,A,A,A,,,D,E,C,A,D,A,A,A,B,B,B,B,A,A,A,C,B,A,B,B,B,A,B,A,A,A,B,C,C,D,A
18,C,A,B,B,C,C,D,B,D,B,D,D,A,B,A,C,B,C,A,A,A,B,A,B,A,B,A,A,C,A,D,C,B,A,F,C,E,B,B,B,D,E,E,E,E,,,,D,,A,A,E,E,A,A,D,B,A,A,B,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,B,C
19,C,B,C,C,C,C,B,C,C,B,B,B,B,B,B,B,C,B,A,B,C,B,A,B,B,B,B,B,C,D,D,D,D,D,F,B,E,B,B,B,C,E,E,E,E,,,,,E,B,C,B,B,B,B,B,B,C,B,A,B,C,D,B,A,A,B,C,C,C,B,B,B,C,D,C,B,C
20,D,A,D,A,B,B,D,A,D,A,D,D,A,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,D,B,D,B,C,A,C,B,C,B,A,A,A,D,A,A,A,,B,,,,A,A,A,C,C,B,B,D,A,A,D,A,B,A,A,B,A,B,A,D,D,A,A,A,D,B,C,C,C
21,A,A,E,B,D,D,D,D,D,D,D,D,A,B,A,C,A,C,A,A,A,C,A,C,A,C,A,A,C,A,D,A,C,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,E,A,E,E,A,A,D,D,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,D,A
22,A,A,E,B,D,D,D,D,D,D,D,D,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,D,A,C,C,A,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,A,A,E,A,A,C,D,D,A,A,D,A,A,A,A,A,C,A,C,F,A,E,E,E,E,D,D,A,A
