,Max1,Max2,Max3,Max4,Max5,Max6,Max7,Max8,Max9,Max10,Max11,Max12,Max13,Max14,Max15
290,B,A,C,C,B,B,A,C,B,B,A,C,B,C,B
291,D,D,D,D,D,D,C,B,B,B,B,A,A,A,D
292,B,C,D,C,*,C,A,D,C,D,A,A,,A,*
293,D,D,D,D,B,D,D,D,D,D,D,D,D,D,D
294,B,C,B,C,A,B,C,B,B,C,C,A,C,B,B
295,C,B,C,C,C,B,A,C,C,C,B,C,B,C,D
296,A,B,C,B,A,A,B,B,B,C,C,B,B,A,C
297,A,C,,A,C,B,D,,C,A,D,,A,C,
298,A,A,B,A,A,A,A,A,A,A,A,A,B,C,A
299,B,B,A,C,C,B,D,B,A,A,B,C,B,A,C
300,B,D,C,B,B,C,D,C,A,B,C,B,D,C,C
301,C,A,A,A,B,B,C,A,A,B,B,C,C,B,B
302,B,C,C,C,A,B,B,B,B,C,D,C,B,B,B
303,A,C,B,C,D,C,B,B,B,C,D,C,D,B,C
304,B,D,C,D,A,A,A,A,A,A,B,D,B,D,A
305,B,B,D,C,A,B,A,A,B,B,A,D,A,C,B
306,C,C,B,B,B,A,A,C,B,C,B,C,B,C,B
307,A,B,C,C,B,C,B,C,B,C,B,C,C,B,C
308,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
309,A,B,B,C,D,B,A,B,C,D,A,B,C,B,D
310,A,B,C,D,C,C,B,C,C,C,D,A,A,B,D
311,A,B,B,A,B,C,A,A,A,B,B,B,A,A,A
312,A,C,B,A,B,D,B,A,A,A,A,A,A,A,A
313,C,C,B,C,B,B,C,B,B,B,B,B,B,B,A
314,A,D,D,C,A,D,A,D,A,A,A,B,A,C,D
315,A,B,B,A,A,B,B,A,A,B,B,A,A,B,B
316,C,B,C,C,C,C,B,C,B,C,A,B,B,B,C
317,B,C,B,C,B,A,B,C,A,D,A,B,A,D,C
318,B,C,A,B,C,B,B,C,D,B,C,B,C,B,D
319,A,D,C,D,A,B,A,C,A,D,A,D,D,D,C
320,B,C,C,C,C,B,B,C,B,C,B,C,B,C,B
321,A,B,C,C,B,C,C,D,C,D,C,C,B,C,A
322,C,D,B,D,A,A,B,B,A,A,A,D,C,A,A
323,C,C,D,C,C,C,B,C,C,D,B,C,C,B,D
324,A,C,D,D,A,A,A,C,B,C,A,D,C,D,A
325,B,C,C,B,B,B,B,C,B,C,C,B,B,C,C
326,C,C,C,B,C,C,A,C,A,B,A,C,C,C,C
328,B,B,C,C,B,B,A,B,A,B,B,C,A,B,B
329,D,C,C,C,C,D,B,C,C,B,C,C,D,B,C
330,C,B,A,A,C,B,C,A,B,C,A,A,B,B,A
332,B,C,C,C,B,B,A,B,C,C,A,C,B,C,B
