"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA01","DINA",0.246,0.003,0.276,0.013,0.00987787301117884
"SMA02","DINA",0.502,0.004,0.153,0.007,0.0109698751279885
"SMA03","DINA",0.214,0.004,0.233,0.005,0.0168283916006108
"SMA04","DINA",0.241,0.003,0.441,0.015,0.0166618296514771
"SMA05","DINA",0.29,0.004,0.446,0.008,0.0197226638970604
"SMA06","DINA",0.112,0.001,0.475,0.016,0.0373386544541722
"SMA07","DINA",0.202,0.003,0.285,0.009,0.0119022363335922
"SMA08","DINA",0.536,0.005,0.037,0.001,0.0164563054800139
"SMA09","DINA",0.258,0.003,0.469,0.014,0.01775296704738
"SMA10","DINA",0.355,0.004,0.222,0.005,0.0140034822949602
"SMB01","DINA",0.359,0.003,0.112,0.008,0.0271173345565212
"SMB02","DINA",0.326,0.003,0.138,0.018,0.0174190943323641
"SMB03","DINA",0.184,0.004,0.514,0.007,0.0267654831338315
"SMB04","DINA",0.31,0.004,0.365,0.007,0.00933724677790691
"SMB05","DINA",0.357,0.003,0.379,0.039,0.0165983649042385
"SMB06","DINA",0.206,0.004,0.409,0.006,0.0127153778635155
"SMB07","DINA",0.345,0.004,0.397,0.017,0.0180724805169552
"SMB08","DINA",0.268,0.003,0.384,0.014,0.0155512631229638
"SMB09","DINA",0.2,0.003,0.646,0.021,0.0197074359046598
"SMB10","DINA",0.154,0.003,0.521,0.009,0.0138072945946393
