"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA11","DINA",0.4,0.004,0.411,0.014,0.00584531529451864
"SMA12","DINA",0.332,0.003,0.176,0.008,0.0240457322645396
"SMA13","DINA",0.145,0.002,0.355,0.011,0.00373938916136508
"SMA14","DINA",0.46,0.005,0.316,0.008,0.0113619540385152
"SMA15","DINA",0.195,0.003,0.416,0.013,0.0106773463799996
"SMA16","DINA",0.363,0.004,0.309,0.012,0.0162597424325937
"SMA17","DINA",0.359,0.004,0.309,0.01,0.0162151074134206
"SMA18","DINA",0.117,0.003,0.581,0.009,0.0100982794141532
"SMB11","DINA",0.184,0.003,0.527,0.016,0.0234906101872296
"SMB12","DINA",0.391,0.004,0.09,0.002,0.0128588431050914
"SMB13","DINA",0.242,0.003,0.168,0.006,0.00861839542600034
"SMB14","DINA",0.322,0.005,0.365,0.007,0.00956844899458765
"SMB15","DINA",0.357,0.004,0.476,0.018,0.0104467985830067
"SMB16","DINA",0.414,0.004,0.102,0.005,0.0157717129125687
"SMB17","DINA",0.286,0.004,0.584,0.013,0.00878495282118844
"SMB19","DINA",0.226,0.003,0.44,0.014,0.0239384723054106
