"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA11","DINA",0.399,0.004,0.41,0.016,0.00522215031419987
"SMA12","DINA",0.332,0.003,0.172,0.01,0.0220594784330913
"SMA13","DINA",0.148,0.002,0.345,0.013,0.00389580125285684
"SMA14","DINA",0.458,0.005,0.316,0.008,0.012685857183054
"SMA15","DINA",0.197,0.003,0.41,0.015,0.0109455326332429
"SMA16","DINA",0.365,0.004,0.294,0.015,0.0137899072874253
"SMA17","DINA",0.38,0.004,0.283,0.01,0.0123570996077777
"SMA18","DINA",0.112,0.003,0.57,0.009,0.0108503266224637
"SMB11","DINA",0.192,0.003,0.517,0.015,0.021140744538466
"SMB12","DINA",0.394,0.004,0.088,0.003,0.00919406527776048
"SMB13","DINA",0.245,0.003,0.157,0.006,0.0083221092359341
"SMB14","DINA",0.322,0.005,0.355,0.007,0.00852237845650514
"SMB15","DINA",0.357,0.004,0.474,0.023,0.0101436543249026
"SMB16","DINA",0.45,0.004,0.087,0.004,0.0176439612516499
"SMB17","DINA",0.293,0.004,0.58,0.011,0.00964034400967452
"SMB19","DINA",0.236,0.003,0.43,0.014,0.0217262918732176
