"V1"	"V2"
0.05	0.95
0.95	0.05
1	0
1	0
0.05	0.95
1	0
1	0
0.05	0.95
1	0
0.25	0.75
0.4	0.6
0.15	0.85
0.15	0.85
0.6	0.4
0.2	0.8
0.55	0.45
0.8	0.2
0.35	0.65
0.65	0.35
0.45	0.55
1	0
1	0
1	0
1	0
1	0
1	0
0.95	0.05
1	0
1	0
1	0
0.95	0.05
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
0.95	0.05
0.05	0.95
0.05	0.95
0	1
0	1
0	1
0	1
0.95	0.05
0.95	0.05
0.8	0.2
0.95	0.05
1	0
1	0
1	0
0.95	0.05
1	0
0.95	0.05
0.95	0.05
1	0
1	0
0.6	0.4
0.8	0.2
0.85	0.15
0.7	0.3
0.7	0.3
0.85	0.15
0.9	0.1
0.65	0.35
0.85	0.15
0.7	0.3
0	1
0	1
0	1
0.05	0.95
0.1	0.9
0.05	0.95
0	1
0	1
0	1
0.05	0.95
1	0
1	0
1	0
1	0
1	0
1	0
0.95	0.05
1	0
1	0
0.9	0.1
0.25	0.75
0.5	0.5
0.2	0.8
0.55	0.45
0.2	0.8
0.4	0.6
0.45	0.55
0.65	0.35
0.5	0.5
0.3	0.7
0.05	0.95
1	0
0.95	0.05
1	0
0.2	0.8
1	0
1	0
0.45	0.55
1	0
0.45	0.55
0.9	0.1
1	0
1	0
1	0
1	0
1	0
1	0
0.95	0.05
1	0
0.65	0.35
0.95	0.05
1	0
0.95	0.05
1	0
1	0
1	0
1	0
0.95	0.05
0.9	0.1
0.95	0.05
0.45	0.55
0.85	0.15
0.9	0.1
0.95	0.05
0.85	0.15
0.75	0.25
0.9	0.1
0.85	0.15
0.85	0.15
0.6	0.4
1	0
1	0
1	0
1	0
1	0
1	0
1	0
0.95	0.05
1	0
0.95	0.05
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0.05	0.95
0.05	0.95
0	1
0.9	0.1
0.95	0.05
0.95	0.05
0.8	0.2
0.95	0.05
0.95	0.05
0.9	0.1
0.9	0.1
0.8	0.2
0.95	0.05
0.05	0.95
0.15	0.85
0	1
0.35	0.65
0.2	0.8
0.1	0.9
0.1	0.9
0.05	0.95
0.05	0.95
0.1	0.9
