trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,985,50,1773,10,left,1,4,20.326,Tue May 23 12:44:02 2017
2,591,70,985,50,right,0,28,6.747,Tue May 23 12:44:10 2017
3,394,80,1182,40,right,0,25,11.601,Tue May 23 12:44:23 2017
4,394,80,1182,40,right,0,25,6.722,Tue May 23 12:44:31 2017
5,1379,30,788,60,right,1,18,3.373,Tue May 23 12:44:35 2017
6,1576,20,591,70,left,0,13,10.341,Tue May 23 12:44:47 2017
7,1379,30,985,50,left,0,17,4.875,Tue May 23 12:44:53 2017
8,394,80,985,50,right,0,29,2.782,Tue May 23 12:44:56 2017
9,197,90,394,80,right,0,36,2.044,Tue May 23 12:44:59 2017
10,788,60,1576,20,right,0,12,14.657,Tue May 23 12:45:15 2017
11,1182,40,1773,10,right,0,3,8.63,Tue May 23 12:45:24 2017
12,197,90,1379,30,right,0,21,9.066,Tue May 23 12:45:34 2017
13,985,50,394,80,left,0,29,8.164,Tue May 23 12:45:43 2017
14,1182,40,1576,20,right,0,10,4.916,Tue May 23 12:45:49 2017
15,1773,10,788,60,left,0,5,12.141,Tue May 23 12:46:02 2017
16,1773,10,985,50,right,1,4,20.654,Tue May 23 12:46:23 2017
17,1379,30,394,80,left,0,20,7.703,Tue May 23 12:46:32 2017
18,591,70,1773,10,right,0,6,13.285,Tue May 23 12:46:46 2017
19,1182,40,394,80,left,0,25,17.301,Tue May 23 12:47:04 2017
20,788,60,1379,30,right,0,18,3.397,Tue May 23 12:47:08 2017
21,1773,10,1576,20,left,0,1,4.766,Tue May 23 12:47:13 2017
22,591,70,788,60,right,0,31,10.222,Tue May 23 12:47:24 2017
23,1773,10,1182,40,left,0,3,9.063,Tue May 23 12:47:34 2017
24,985,50,1182,40,right,0,22,16.255,Tue May 23 12:47:50 2017
25,591,70,394,80,left,0,34,6.332,Tue May 23 12:47:57 2017
26,591,70,197,90,left,0,35,8.909,Tue May 23 12:48:07 2017
27,1182,40,788,60,left,0,23,17.493,Tue May 23 12:48:25 2017
28,788,60,197,90,right,1,33,16.703,Tue May 23 12:48:42 2017
29,788,60,394,80,left,0,32,5.316,Tue May 23 12:48:47 2017
30,197,90,985,50,right,0,30,8.349,Tue May 23 12:48:56 2017
31,394,80,197,90,left,0,36,10.298,Tue May 23 12:49:07 2017
32,1379,30,197,90,left,0,21,13.019,Tue May 23 12:49:20 2017
33,1182,40,591,70,left,0,24,3.748,Tue May 23 12:49:24 2017
34,1182,40,1379,30,right,0,16,17.237,Tue May 23 12:49:42 2017
35,197,90,591,70,left,1,35,11.37,Tue May 23 12:49:54 2017
36,1379,30,1576,20,right,0,9,7.747,Tue May 23 12:50:03 2017
37,1182,40,788,60,left,0,23,6.282,Tue May 23 12:50:09 2017
38,1773,10,197,90,left,0,8,17.859,Tue May 23 12:50:28 2017
