trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,985,50,1379,30,left,1,17,8.428,Thu May 25 13:07:44 2017
2,788,60,591,70,left,0,31,7.14,Thu May 25 13:07:52 2017
3,985,50,1576,20,right,0,11,1.491,Thu May 25 13:07:54 2017
4,394,80,197,90,left,0,36,2.471,Thu May 25 13:07:57 2017
5,985,50,591,70,left,0,28,1.71,Thu May 25 13:07:59 2017
6,985,50,1576,20,right,0,11,1.663,Thu May 25 13:08:01 2017
7,1576,20,197,90,left,0,15,2.242,Thu May 25 13:08:04 2017
8,394,80,197,90,left,0,36,10.715,Thu May 25 13:08:15 2017
9,1773,10,1379,30,left,0,2,1.176,Thu May 25 13:08:17 2017
10,788,60,1576,20,right,0,12,1.571,Thu May 25 13:08:19 2017
11,985,50,788,60,left,0,27,2.213,Thu May 25 13:08:21 2017
12,1773,10,985,50,left,0,4,1.085,Thu May 25 13:08:23 2017
13,591,70,1576,20,right,0,13,1.329,Thu May 25 13:08:25 2017
14,1379,30,788,60,left,0,18,1.334,Thu May 25 13:08:26 2017
15,197,90,1773,10,right,0,8,1.313,Thu May 25 13:08:28 2017
16,394,80,1379,30,right,0,20,5.256,Thu May 25 13:08:34 2017
17,1182,40,1576,20,right,0,10,1.93,Thu May 25 13:08:37 2017
18,788,60,591,70,left,0,31,1.756,Thu May 25 13:08:39 2017
19,1182,40,788,60,left,0,23,0.992,Thu May 25 13:08:41 2017
20,1576,20,1379,30,left,0,9,0.78,Thu May 25 13:08:42 2017
21,1773,10,591,70,left,0,6,0.685,Thu May 25 13:08:43 2017
22,788,60,1773,10,right,0,5,1.597,Thu May 25 13:08:45 2017
23,788,60,1576,20,right,0,12,5.607,Thu May 25 13:08:51 2017
24,1773,10,1576,20,left,0,1,1.251,Thu May 25 13:08:53 2017
25,1182,40,985,50,left,0,22,2.54,Thu May 25 13:08:55 2017
26,394,80,985,50,right,0,29,1.35,Thu May 25 13:08:57 2017
27,1576,20,591,70,left,0,13,0.925,Thu May 25 13:08:58 2017
28,394,80,1379,30,right,0,20,1.105,Thu May 25 13:09:00 2017
29,1576,20,197,90,left,0,15,0.942,Thu May 25 13:09:01 2017
30,985,50,1379,30,right,0,17,1.65,Thu May 25 13:09:04 2017
31,985,50,1379,30,right,0,17,2.093,Thu May 25 13:09:06 2017
32,394,80,591,70,right,0,34,1.347,Thu May 25 13:09:08 2017
33,394,80,1773,10,right,0,7,0.986,Thu May 25 13:09:10 2017
34,591,70,1773,10,right,0,6,1.175,Thu May 25 13:09:11 2017
35,788,60,1182,40,right,0,23,1.231,Thu May 25 13:09:13 2017
36,1576,20,197,90,left,0,15,1.228,Thu May 25 13:09:14 2017
37,985,50,394,80,left,0,29,1.832,Thu May 25 13:09:17 2017
38,394,80,197,90,left,0,36,1.929,Thu May 25 13:09:19 2017
39,1182,40,394,80,left,0,25,1.163,Thu May 25 13:09:21 2017
40,394,80,1773,10,right,0,7,1.571,Thu May 25 13:09:23 2017
41,1773,10,1182,40,left,0,3,1.281,Thu May 25 13:09:24 2017
42,1182,40,1379,30,right,0,16,1.812,Thu May 25 13:09:27 2017
43,591,70,1379,30,right,0,19,1.14,Thu May 25 13:09:28 2017
44,788,60,1182,40,right,0,23,5.801,Thu May 25 13:09:34 2017
45,591,70,1182,40,right,0,24,1.023,Thu May 25 13:09:36 2017
46,985,50,788,60,left,0,27,2.093,Thu May 25 13:09:39 2017
47,1182,40,394,80,left,0,25,1.189,Thu May 25 13:09:40 2017
48,394,80,1576,20,right,0,14,14.161,Thu May 25 13:09:55 2017
49,1773,10,1576,20,left,0,1,3.945,Thu May 25 13:10:00 2017
