trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,1576,20,1182,40,left,0,10,14.755,Tue May 23 10:26:01 2017
2,1182,40,591,70,left,0,24,15.183,Tue May 23 10:26:18 2017
3,1379,30,1576,20,right,0,9,10.417,Tue May 23 10:26:30 2017
4,1182,40,985,50,left,0,22,11.718,Tue May 23 10:26:43 2017
5,197,90,985,50,right,0,30,11.302,Tue May 23 10:26:56 2017
6,591,70,1576,20,right,0,13,12.079,Tue May 23 10:27:10 2017
7,985,50,788,60,left,0,27,15.824,Tue May 23 10:27:27 2017
8,1379,30,1182,40,left,0,16,14.735,Tue May 23 10:27:43 2017
9,985,50,1773,10,right,0,4,10.527,Tue May 23 10:27:55 2017
10,197,90,985,50,right,0,30,6.442,Tue May 23 10:28:03 2017
11,788,60,1379,30,right,0,18,28.927,Tue May 23 10:28:33 2017
12,1773,10,1182,40,left,0,3,7.759,Tue May 23 10:28:42 2017
13,394,80,985,50,right,0,29,5.062,Tue May 23 10:28:52 2017
14,1773,10,985,50,left,0,4,10.673,Tue May 23 10:29:04 2017
15,197,90,591,70,right,0,35,9.989,Tue May 23 10:29:16 2017
16,394,80,985,50,right,0,29,11.592,Tue May 23 10:29:29 2017
17,1182,40,591,70,left,0,24,5.779,Tue May 23 10:29:36 2017
18,394,80,197,90,left,0,36,8.463,Tue May 23 10:29:47 2017
19,788,60,1379,30,right,0,18,15.085,Tue May 23 10:30:03 2017
20,788,60,1182,40,right,0,23,10.033,Tue May 23 10:30:14 2017
21,394,80,1379,30,right,0,20,5.055,Tue May 23 10:30:21 2017
22,1379,30,197,90,left,0,21,8.399,Tue May 23 10:30:30 2017
23,1182,40,591,70,left,0,24,4.308,Tue May 23 10:30:36 2017
24,394,80,197,90,left,0,36,8.614,Tue May 23 10:30:45 2017
25,394,80,591,70,right,0,34,10.236,Tue May 23 10:30:57 2017
26,591,70,788,60,right,0,31,6.543,Tue May 23 10:31:04 2017
27,1773,10,197,90,left,0,8,7.011,Tue May 23 10:31:13 2017
28,985,50,591,70,left,0,28,17.498,Tue May 23 10:31:31 2017
29,1379,30,1182,40,left,0,16,11.955,Tue May 23 10:31:44 2017
30,788,60,1379,30,right,0,18,7.609,Tue May 23 10:31:53 2017
31,1576,20,985,50,left,0,11,13.898,Tue May 23 10:32:08 2017
32,1576,20,1182,40,left,0,10,12.264,Tue May 23 10:32:22 2017
33,197,90,985,50,right,0,30,7.204,Tue May 23 10:32:30 2017
34,1773,10,1576,20,left,0,1,6.548,Tue May 23 10:32:38 2017
35,788,60,1182,40,right,0,23,11.273,Tue May 23 10:32:50 2017
36,1773,10,1576,20,left,0,1,12.369,Tue May 23 10:33:03 2017
37,394,80,1379,30,right,0,20,4.972,Tue May 23 10:33:09 2017
38,1379,30,1182,40,left,0,16,4.33,Tue May 23 10:33:15 2017
39,788,60,1576,20,right,0,12,6.376,Tue May 23 10:33:22 2017
40,788,60,1773,10,right,0,5,10.048,Tue May 23 10:33:33 2017
41,788,60,985,50,right,0,27,10.564,Tue May 23 10:33:44 2017
42,788,60,394,80,left,0,32,5.302,Tue May 23 10:33:51 2017
43,788,60,1182,40,right,0,23,3.587,Tue May 23 10:33:56 2017
44,788,60,591,70,left,0,31,9.87,Tue May 23 10:34:07 2017
45,985,50,1576,20,right,0,11,16.802,Tue May 23 10:34:25 2017
46,591,70,1182,40,right,0,24,29.298,Tue May 23 10:34:56 2017
47,1182,40,985,50,left,0,22,3.656,Tue May 23 10:35:01 2017
48,1773,10,1576,20,left,0,1,3.893,Tue May 23 10:35:06 2017
49,985,50,1182,40,right,0,22,3.012,Tue May 23 10:35:10 2017
50,394,80,985,50,right,0,29,1.814,Tue May 23 10:35:13 2017
51,394,80,1182,40,right,0,25,1.913,Tue May 23 10:35:15 2017
52,1379,30,394,80,left,0,20,2.425,Tue May 23 10:35:18 2017
53,1576,20,197,90,left,0,15,2.399,Tue May 23 10:35:22 2017
54,394,80,1576,20,right,0,14,3.841,Tue May 23 10:35:26 2017
55,394,80,1182,40,right,0,25,2.981,Tue May 23 10:35:30 2017
56,1182,40,197,90,left,0,26,7.256,Tue May 23 10:35:38 2017
57,1182,40,394,80,left,0,25,3.053,Tue May 23 10:35:42 2017
58,788,60,394,80,left,0,32,2.8,Tue May 23 10:35:45 2017
59,1576,20,788,60,left,0,12,4.59,Tue May 23 10:35:51 2017
60,591,70,197,90,left,0,35,2.446,Tue May 23 10:35:53 2017
61,985,50,1379,30,right,0,17,2.33,Tue May 23 10:35:57 2017
