trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,1379,30,394,80,right,1,20,9.408,Tue May 23 12:00:56 2017
2,394,80,591,70,left,1,34,10.347,Tue May 23 12:01:08 2017
3,1182,40,1379,30,right,0,16,32.197,Tue May 23 12:01:42 2017
4,1182,40,591,70,right,1,24,11.066,Tue May 23 12:01:54 2017
5,1773,10,591,70,left,0,6,14.789,Tue May 23 12:02:10 2017
6,1182,40,591,70,right,1,24,10.012,Tue May 23 12:02:21 2017
7,1379,30,197,90,right,1,21,10.142,Tue May 23 12:02:32 2017
8,394,80,591,70,left,1,34,6.817,Tue May 23 12:02:40 2017
9,394,80,985,50,left,1,29,6.832,Tue May 23 12:02:48 2017
10,788,60,1379,30,right,0,18,6.583,Tue May 23 12:02:55 2017
11,1182,40,197,90,right,1,26,9.59,Tue May 23 12:03:05 2017
12,197,90,985,50,left,1,30,9.872,Tue May 23 12:03:16 2017
13,985,50,197,90,right,1,30,9.273,Tue May 23 12:03:26 2017
14,788,60,394,80,right,1,32,9.232,Tue May 23 12:03:37 2017
15,1773,10,1182,40,left,0,3,7.302,Tue May 23 12:03:44 2017
16,788,60,394,80,right,1,32,3.485,Tue May 23 12:03:49 2017
17,591,70,788,60,left,1,31,9.497,Tue May 23 12:03:59 2017
18,591,70,1576,20,right,0,13,5.225,Tue May 23 12:04:05 2017
19,1773,10,788,60,left,0,5,8.341,Tue May 23 12:04:14 2017
20,1576,20,1773,10,right,0,1,7.149,Tue May 23 12:04:22 2017
21,788,60,1379,30,left,1,18,5.735,Tue May 23 12:04:28 2017
22,197,90,1576,20,right,0,15,5.787,Tue May 23 12:04:35 2017
23,1773,10,1576,20,left,0,1,4.568,Tue May 23 12:04:40 2017
24,1182,40,1773,10,right,0,3,7.999,Tue May 23 12:04:48 2017
25,788,60,1773,10,right,0,5,3.067,Tue May 23 12:04:52 2017
26,1379,30,197,90,left,0,21,5.576,Tue May 23 12:04:58 2017
27,1576,20,394,80,right,1,14,4.234,Tue May 23 12:05:03 2017
28,788,60,1576,20,right,0,12,6.805,Tue May 23 12:05:10 2017
29,1379,30,591,70,left,0,19,3.912,Tue May 23 12:05:15 2017
30,197,90,591,70,left,1,35,5.068,Tue May 23 12:05:21 2017
31,591,70,1576,20,right,0,13,4.376,Tue May 23 12:05:26 2017
32,985,50,591,70,right,1,28,5.841,Tue May 23 12:05:32 2017
33,591,70,1379,30,left,1,19,18.922,Tue May 23 12:05:52 2017
34,1773,10,197,90,right,1,8,7.53,Tue May 23 12:06:00 2017
35,1182,40,1576,20,right,0,10,5.357,Tue May 23 12:06:06 2017
36,985,50,197,90,right,1,30,4.418,Tue May 23 12:06:11 2017
