trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
86,788,60,1379,30,right,0,18,1.061,Thu May 25 12:07:59 2017
87,788,60,1576,20,right,0,12,0.835,Thu May 25 12:08:00 2017
88,394,80,1773,10,right,0,7,0.985,Thu May 25 12:08:01 2017
89,1576,20,394,80,left,0,14,1.84,Thu May 25 12:08:03 2017
90,788,60,197,90,left,0,33,1.582,Thu May 25 12:08:05 2017
91,1379,30,1576,20,right,0,9,2.754,Thu May 25 12:08:08 2017
92,1773,10,1576,20,left,0,1,0.952,Thu May 25 12:08:10 2017
93,394,80,1379,30,right,0,20,3.169,Thu May 25 12:08:13 2017
94,1773,10,1182,40,left,0,3,1.239,Thu May 25 12:08:15 2017
95,1182,40,394,80,left,0,25,1.541,Thu May 25 12:08:17 2017
96,788,60,197,90,left,0,33,1.284,Thu May 25 12:08:18 2017
97,788,60,1773,10,right,0,5,1.725,Thu May 25 12:08:21 2017
98,1773,10,591,70,left,0,6,1.387,Thu May 25 12:08:22 2017
99,1182,40,197,90,left,0,26,1.637,Thu May 25 12:08:24 2017
100,788,60,1379,30,right,0,18,1.721,Thu May 25 12:08:26 2017
101,394,80,1182,40,right,0,25,1.493,Thu May 25 12:08:28 2017
102,1576,20,1773,10,left,1,1,1.149,Thu May 25 12:08:34 2017
103,591,70,197,90,left,0,35,4.727,Thu May 25 12:08:39 2017
104,1379,30,197,90,left,0,21,1.132,Thu May 25 12:08:41 2017
105,1182,40,1576,20,right,0,10,1.6,Thu May 25 12:08:42 2017
106,591,70,788,60,left,1,31,6.694,Thu May 25 12:08:50 2017
107,1379,30,197,90,left,0,21,2.334,Thu May 25 12:08:52 2017
108,985,50,1576,20,right,0,11,2.428,Thu May 25 12:08:55 2017
109,985,50,1576,20,right,0,11,1.621,Thu May 25 12:08:57 2017
110,394,80,788,60,right,0,32,4.107,Thu May 25 12:09:02 2017
111,591,70,1773,10,right,0,6,1.195,Thu May 25 12:09:03 2017
112,985,50,788,60,left,0,27,5.064,Thu May 25 12:09:09 2017
113,788,60,1773,10,right,0,5,2.162,Thu May 25 12:09:11 2017
114,591,70,1379,30,right,0,19,0.889,Thu May 25 12:09:13 2017
115,197,90,788,60,right,0,33,1.09,Thu May 25 12:09:14 2017
116,1773,10,197,90,left,0,8,1.107,Thu May 25 12:09:16 2017
117,1182,40,1773,10,right,0,3,1.954,Thu May 25 12:09:18 2017
118,788,60,1182,40,right,0,23,1.709,Thu May 25 12:09:20 2017
119,1773,10,788,60,left,0,5,1.121,Thu May 25 12:09:22 2017
120,591,70,1379,30,right,0,19,1.39,Thu May 25 12:09:24 2017
121,1182,40,394,80,left,0,25,5.687,Thu May 25 12:09:30 2017
122,197,90,985,50,right,0,30,1.219,Thu May 25 12:09:31 2017
123,985,50,394,80,left,0,29,2.483,Thu May 25 12:09:34 2017
124,1182,40,197,90,left,0,26,1.381,Thu May 25 12:09:36 2017
125,591,70,1182,40,right,0,24,1.61,Thu May 25 12:09:38 2017
126,788,60,1773,10,right,0,5,1.337,Thu May 25 12:09:40 2017
127,1576,20,1379,30,left,0,9,1.488,Thu May 25 12:09:42 2017
128,1576,20,591,70,left,0,13,0.992,Thu May 25 12:09:43 2017
129,788,60,1773,10,right,0,5,0.947,Thu May 25 12:09:44 2017
130,985,50,197,90,left,0,30,1.4,Thu May 25 12:09:46 2017
131,1576,20,197,90,left,0,15,1.512,Thu May 25 12:09:48 2017
132,788,60,985,50,right,0,27,2.287,Thu May 25 12:09:51 2017
133,985,50,1379,30,right,0,17,2.191,Thu May 25 12:09:53 2017
134,985,50,788,60,left,0,27,4.019,Thu May 25 12:09:58 2017
135,985,50,1773,10,right,0,4,1.459,Thu May 25 12:09:59 2017
136,1773,10,197,90,left,0,8,1.951,Thu May 25 12:10:02 2017
137,1576,20,394,80,left,0,14,1.396,Thu May 25 12:10:04 2017
138,197,90,985,50,right,0,30,2.419,Thu May 25 12:10:07 2017
139,591,70,1773,10,right,0,6,1.394,Thu May 25 12:10:08 2017
140,394,80,1773,10,right,0,7,1.0,Thu May 25 12:10:10 2017
141,1773,10,197,90,left,0,8,1.194,Thu May 25 12:10:11 2017
142,1182,40,591,70,left,0,24,2.938,Thu May 25 12:10:15 2017
143,591,70,1379,30,right,0,19,1.297,Thu May 25 12:10:16 2017
144,591,70,394,80,left,0,34,2.302,Thu May 25 12:10:19 2017
145,1379,30,1182,40,left,0,16,3.961,Thu May 25 12:10:23 2017
146,591,70,788,60,right,0,31,4.805,Thu May 25 12:10:29 2017
147,1576,20,197,90,left,0,15,0.941,Thu May 25 12:10:30 2017
148,1576,20,1379,30,left,0,9,1.986,Thu May 25 12:10:32 2017
149,1379,30,788,60,left,0,18,2.737,Thu May 25 12:10:35 2017
150,1379,30,591,70,left,0,19,1.305,Thu May 25 12:10:37 2017
151,1576,20,985,50,left,0,11,1.039,Thu May 25 12:10:38 2017
152,1379,30,591,70,left,0,19,1.054,Thu May 25 12:10:40 2017
153,197,90,1773,10,right,0,8,1.199,Thu May 25 12:10:41 2017
154,394,80,985,50,right,0,29,1.477,Thu May 25 12:10:43 2017
155,1773,10,1182,40,left,0,3,1.002,Thu May 25 12:10:45 2017
156,1773,10,591,70,left,0,6,1.184,Thu May 25 12:10:46 2017
157,1182,40,394,80,left,0,25,8.604,Thu May 25 12:10:55 2017
158,394,80,591,70,left,1,34,5.906,Thu May 25 12:11:02 2017
159,1379,30,197,90,left,0,21,1.132,Thu May 25 12:11:03 2017
160,1182,40,591,70,left,0,24,1.266,Thu May 25 12:11:05 2017
161,1379,30,394,80,left,0,20,1.018,Thu May 25 12:11:06 2017
162,591,70,394,80,left,0,34,2.754,Thu May 25 12:11:09 2017
163,197,90,591,70,right,0,35,2.109,Thu May 25 12:11:12 2017
164,985,50,788,60,left,0,27,3.352,Thu May 25 12:11:16 2017
165,1182,40,1379,30,right,0,16,2.792,Thu May 25 12:11:19 2017
166,788,60,394,80,left,0,32,1.268,Thu May 25 12:11:21 2017
167,1773,10,788,60,left,0,5,0.988,Thu May 25 12:11:22 2017
168,197,90,1773,10,right,0,8,1.536,Thu May 25 12:11:24 2017
169,197,90,1182,40,right,0,26,9.536,Thu May 25 12:11:35 2017
170,1773,10,1576,20,left,0,1,7.843,Thu May 25 12:11:43 2017
171,985,50,1182,40,left,1,22,3.98,Thu May 25 12:11:47 2017
172,1379,30,788,60,left,0,18,2.482,Thu May 25 12:11:50 2017
173,197,90,1379,30,right,0,21,1.2,Thu May 25 12:11:52 2017
174,1773,10,197,90,left,0,8,1.088,Thu May 25 12:11:53 2017
175,1182,40,197,90,left,0,26,1.166,Thu May 25 12:11:55 2017
176,591,70,394,80,left,0,34,1.378,Thu May 25 12:11:57 2017
177,1773,10,985,50,left,0,4,0.992,Thu May 25 12:11:58 2017
178,591,70,788,60,right,0,31,1.972,Thu May 25 12:12:00 2017
179,394,80,591,70,right,0,34,1.264,Thu May 25 12:12:02 2017
180,394,80,1773,10,right,0,7,1.662,Thu May 25 12:12:04 2017
181,591,70,985,50,right,0,28,1.229,Thu May 25 12:12:06 2017
182,1576,20,788,60,left,0,12,1.036,Thu May 25 12:12:07 2017
183,788,60,394,80,left,0,32,1.329,Thu May 25 12:12:09 2017
184,591,70,394,80,left,0,34,1.213,Thu May 25 12:12:10 2017
185,985,50,1182,40,left,1,22,1.334,Thu May 25 12:12:12 2017
186,394,80,1773,10,right,0,7,1.98,Thu May 25 12:12:15 2017
187,1576,20,394,80,left,0,14,1.161,Thu May 25 12:12:16 2017
188,394,80,197,90,right,1,36,4.794,Thu May 25 12:12:21 2017
189,1379,30,1182,40,left,0,16,5.553,Thu May 25 12:12:27 2017
190,1182,40,591,70,left,0,24,2.011,Thu May 25 12:12:30 2017
191,1773,10,591,70,left,0,6,1.026,Thu May 25 12:12:31 2017
192,1576,20,394,80,left,0,14,1.187,Thu May 25 12:12:33 2017
193,591,70,985,50,right,0,28,8.487,Thu May 25 12:12:42 2017
194,394,80,1182,40,right,0,25,1.197,Thu May 25 12:12:43 2017
195,394,80,197,90,right,1,36,2.682,Thu May 25 12:12:46 2017
196,1379,30,197,90,left,0,21,0.749,Thu May 25 12:12:48 2017
197,1379,30,985,50,left,0,17,0.971,Thu May 25 12:12:49 2017
198,1379,30,1182,40,left,0,16,3.009,Thu May 25 12:12:52 2017
199,985,50,1379,30,right,0,17,1.55,Thu May 25 12:12:54 2017
200,394,80,1576,20,right,0,14,1.137,Thu May 25 12:12:56 2017
201,1379,30,985,50,left,0,17,1.813,Thu May 25 12:12:58 2017
202,591,70,1182,40,right,0,24,1.273,Thu May 25 12:13:00 2017
203,1773,10,1182,40,left,0,3,0.857,Thu May 25 12:13:01 2017
204,394,80,197,90,right,1,36,2.462,Thu May 25 12:13:04 2017
205,788,60,1182,40,right,0,23,1.408,Thu May 25 12:13:07 2017
206,985,50,591,70,left,0,28,2.01,Thu May 25 12:13:09 2017
207,788,60,1576,20,right,0,12,1.666,Thu May 25 12:13:12 2017
208,1182,40,1576,20,right,0,10,4.111,Thu May 25 12:13:16 2017
209,1182,40,197,90,left,0,26,1.649,Thu May 25 12:13:18 2017
210,1576,20,1182,40,left,0,10,1.626,Thu May 25 12:13:20 2017
211,1182,40,788,60,left,0,23,1.512,Thu May 25 12:13:22 2017
212,591,70,197,90,left,0,35,1.36,Thu May 25 12:13:24 2017
213,591,70,1379,30,right,0,19,1.524,Thu May 25 12:13:26 2017
214,788,60,1773,10,right,0,5,1.205,Thu May 25 12:13:28 2017
215,394,80,985,50,right,0,29,1.283,Thu May 25 12:13:30 2017
216,1576,20,1182,40,left,0,10,1.237,Thu May 25 12:13:31 2017
217,1773,10,985,50,left,0,4,1.087,Thu May 25 12:13:33 2017
218,985,50,591,70,left,0,28,2.187,Thu May 25 12:13:35 2017
219,1576,20,1379,30,left,0,9,1.453,Thu May 25 12:13:37 2017
220,197,90,1379,30,right,0,21,1.41,Thu May 25 12:13:39 2017
221,1773,10,1576,20,left,0,1,3.611,Thu May 25 12:13:43 2017
222,591,70,197,90,left,0,35,1.799,Thu May 25 12:13:46 2017
223,985,50,394,80,left,0,29,1.508,Thu May 25 12:13:48 2017
224,788,60,1576,20,right,0,12,11.037,Thu May 25 12:13:59 2017
225,1773,10,197,90,left,0,8,1.314,Thu May 25 12:14:01 2017
226,985,50,1576,20,right,0,11,1.273,Thu May 25 12:14:03 2017
227,788,60,197,90,left,0,33,1.395,Thu May 25 12:14:04 2017
228,591,70,1576,20,right,0,13,1.462,Thu May 25 12:14:06 2017
229,591,70,1576,20,right,0,13,1.101,Thu May 25 12:14:08 2017
230,197,90,788,60,right,0,33,1.539,Thu May 25 12:14:10 2017
231,197,90,985,50,right,0,30,1.838,Thu May 25 12:14:12 2017
232,394,80,1576,20,right,0,14,1.207,Thu May 25 12:14:14 2017
233,985,50,591,70,left,0,28,1.395,Thu May 25 12:14:16 2017
234,197,90,985,50,right,0,30,1.083,Thu May 25 12:14:17 2017
235,1773,10,1182,40,left,0,3,0.951,Thu May 25 12:14:19 2017
236,985,50,1379,30,right,0,17,1.732,Thu May 25 12:14:21 2017
237,1576,20,394,80,left,0,14,1.22,Thu May 25 12:14:23 2017
238,788,60,394,80,left,0,32,1.034,Thu May 25 12:14:24 2017
239,985,50,591,70,left,0,28,1.307,Thu May 25 12:14:26 2017
240,197,90,1379,30,right,0,21,1.291,Thu May 25 12:14:28 2017
241,197,90,788,60,right,0,33,1.052,Thu May 25 12:14:29 2017
242,1773,10,1182,40,left,0,3,1.028,Thu May 25 12:14:31 2017
243,197,90,985,50,right,0,30,1.413,Thu May 25 12:14:33 2017
244,197,90,1576,20,right,0,15,6.37,Thu May 25 12:14:41 2017
245,1576,20,1379,30,left,0,9,7.781,Thu May 25 12:14:49 2017
246,985,50,394,80,left,0,29,1.064,Thu May 25 12:14:51 2017
247,591,70,1576,20,right,0,13,1.135,Thu May 25 12:14:52 2017
248,788,60,1182,40,right,0,23,0.877,Thu May 25 12:14:53 2017
249,1182,40,1379,30,right,0,16,1.51,Thu May 25 12:14:55 2017
250,788,60,1576,20,right,0,12,3.768,Thu May 25 12:15:00 2017
251,394,80,985,50,right,0,29,0.931,Thu May 25 12:15:01 2017
252,788,60,1379,30,right,0,18,1.432,Thu May 25 12:15:04 2017
253,591,70,985,50,right,0,28,1.363,Thu May 25 12:15:06 2017
254,591,70,1379,30,right,0,19,0.997,Thu May 25 12:15:07 2017
255,985,50,788,60,left,0,27,2.346,Thu May 25 12:15:10 2017
256,394,80,985,50,right,0,29,1.001,Thu May 25 12:15:12 2017
257,591,70,1379,30,right,0,19,1.048,Thu May 25 12:15:13 2017
258,1379,30,1773,10,right,0,2,1.332,Thu May 25 12:15:15 2017
259,788,60,1379,30,right,0,18,1.253,Thu May 25 12:15:17 2017
