"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA09","DINA",0.159,0.003,0.31,0.008,0.00502629835423474
"PMA10","DINA",0.243,0.003,0.023,0.001,0.0027538803640284
"PMA11","DINA",0.351,0.004,0.092,0.007,0.015124099371293
"PMA12","DINA",0.278,0.004,0.153,0.01,0.0175436172710791
"PMA13","DINA",0.417,0.005,0.102,0.008,0.0196452749385904
"PMA14","DINA",0.35,0.004,0.078,0.006,0.00910776061523118
"PMB10","DINA",0.202,0.003,0.299,0.014,0.00391557422307781
"PMB11","DINA",0.25,0.004,0.114,0.006,0.00486020799445237
"PMB12","DINA",0.287,0.004,0.366,0.018,0.033435844091194
"PMB13","DINA",0.321,0.004,0.282,0.015,0.0285277493465318
"PMB14","DINA",0.374,0.005,0.288,0.007,0.0222321339502538
