trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
84,492,41,550,33,left,0,6,2.695,Fri Nov 25 12:50:17 2016
85,550,33,492,41,right,0,6,1.452,Fri Nov 25 12:50:19 2016
86,521,37,463,45,right,0,2,1.857,Fri Nov 25 12:50:21 2016
87,550,33,463,45,right,0,3,1.607,Fri Nov 25 12:50:23 2016
88,550,33,521,37,right,0,8,3.451,Fri Nov 25 12:50:27 2016
89,550,33,579,29,right,1,10,5.249,Fri Nov 25 12:50:33 2016
90,550,33,463,45,right,0,3,2.894,Fri Nov 25 12:50:36 2016
91,579,29,550,33,right,0,10,1.955,Fri Nov 25 12:50:39 2016
92,463,45,579,29,left,0,4,2.658,Fri Nov 25 12:50:42 2016
93,521,37,579,29,left,0,9,3.661,Fri Nov 25 12:50:46 2016
94,521,37,579,29,left,0,9,3.368,Fri Nov 25 12:50:50 2016
95,550,33,521,37,left,1,8,2.702,Fri Nov 25 12:50:53 2016
96,463,45,492,41,right,1,1,3.064,Fri Nov 25 12:50:56 2016
97,492,41,579,29,left,0,7,5.299,Fri Nov 25 12:51:02 2016
98,463,45,492,41,right,1,1,7.763,Fri Nov 25 12:51:10 2016
99,463,45,492,41,right,1,1,4.193,Fri Nov 25 12:51:15 2016
100,579,29,492,41,right,0,7,2.55,Fri Nov 25 12:51:18 2016
101,492,41,579,29,left,0,7,2.192,Fri Nov 25 12:51:20 2016
102,579,29,521,37,left,1,9,18.785,Fri Nov 25 12:51:40 2016
103,492,41,463,45,left,1,1,2.549,Fri Nov 25 12:51:42 2016
104,492,41,521,37,left,0,5,2.084,Fri Nov 25 12:51:45 2016
105,579,29,463,45,right,0,4,2.916,Fri Nov 25 12:51:48 2016
106,521,37,492,41,left,1,5,2.627,Fri Nov 25 12:51:51 2016
107,579,29,463,45,right,0,4,1.34,Fri Nov 25 12:51:53 2016
108,463,45,579,29,left,0,4,1.358,Fri Nov 25 12:51:55 2016
109,521,37,492,41,left,1,5,2.265,Fri Nov 25 12:51:58 2016
110,550,33,521,37,left,1,8,5.631,Fri Nov 25 12:52:04 2016
111,550,33,492,41,right,0,6,4.541,Fri Nov 25 12:52:08 2016
112,463,45,492,41,right,1,1,3.441,Fri Nov 25 12:52:12 2016
113,579,29,521,37,right,0,9,27.535,Fri Nov 25 12:52:40 2016
114,550,33,463,45,right,0,3,1.051,Fri Nov 25 12:52:42 2016
