trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,463,45,492,41,left,0,1,7.29,Fri Nov 25 10:35:44 2016
2,492,41,550,33,left,0,6,5.094,Fri Nov 25 10:35:49 2016
3,550,33,492,41,right,0,6,6.156,Fri Nov 25 10:35:56 2016
4,492,41,521,37,left,0,5,4.231,Fri Nov 25 10:36:01 2016
5,550,33,579,29,left,0,10,7.598,Fri Nov 25 10:36:09 2016
6,492,41,579,29,left,0,7,4.231,Fri Nov 25 10:36:14 2016
7,463,45,550,33,left,0,3,2.604,Fri Nov 25 10:36:17 2016
8,521,37,579,29,left,0,9,7.025,Fri Nov 25 10:36:25 2016
9,521,37,550,33,right,1,8,9.866,Fri Nov 25 10:36:35 2016
10,492,41,550,33,left,0,6,5.364,Fri Nov 25 10:36:41 2016
11,521,37,550,33,right,1,8,4.207,Fri Nov 25 10:36:46 2016
12,579,29,492,41,right,0,7,10.304,Fri Nov 25 10:36:56 2016
13,579,29,550,33,right,0,10,5.718,Fri Nov 25 10:37:03 2016
14,550,33,463,45,right,0,3,5.06,Fri Nov 25 10:37:08 2016
15,550,33,521,37,left,1,8,5.394,Fri Nov 25 10:37:14 2016
16,579,29,463,45,right,0,4,2.303,Fri Nov 25 10:37:16 2016
17,463,45,550,33,left,0,3,2.214,Fri Nov 25 10:37:19 2016
18,579,29,492,41,right,0,7,1.959,Fri Nov 25 10:37:22 2016
19,492,41,463,45,left,1,1,4.196,Fri Nov 25 10:37:26 2016
20,463,45,550,33,left,0,3,6.378,Fri Nov 25 10:37:33 2016
21,579,29,492,41,right,0,7,1.831,Fri Nov 25 10:37:35 2016
22,492,41,579,29,left,0,7,3.724,Fri Nov 25 10:37:39 2016
23,521,37,463,45,right,0,2,1.92,Fri Nov 25 10:37:42 2016
24,521,37,492,41,right,0,5,9.498,Fri Nov 25 10:37:52 2016
25,521,37,550,33,right,1,8,4.453,Fri Nov 25 10:37:57 2016
26,550,33,463,45,right,0,3,4.45,Fri Nov 25 10:38:02 2016
27,521,37,579,29,left,0,9,1.736,Fri Nov 25 10:38:04 2016
28,463,45,521,37,left,0,2,1.644,Fri Nov 25 10:38:06 2016
29,521,37,463,45,right,0,2,1.643,Fri Nov 25 10:38:08 2016
30,521,37,579,29,left,0,9,2.7,Fri Nov 25 10:38:11 2016
31,521,37,492,41,left,1,5,5.529,Fri Nov 25 10:38:17 2016
32,492,41,550,33,left,0,6,1.568,Fri Nov 25 10:38:19 2016
33,492,41,521,37,left,0,5,2.07,Fri Nov 25 10:38:22 2016
34,521,37,579,29,left,0,9,2.061,Fri Nov 25 10:38:24 2016
35,492,41,521,37,left,0,5,6.781,Fri Nov 25 10:38:31 2016
36,492,41,463,45,right,0,1,5.948,Fri Nov 25 10:38:38 2016
37,550,33,463,45,right,0,3,1.859,Fri Nov 25 10:38:40 2016
38,463,45,521,37,left,0,2,1.308,Fri Nov 25 10:38:42 2016
39,463,45,550,33,left,0,3,1.241,Fri Nov 25 10:38:44 2016
40,579,29,521,37,right,0,9,2.161,Fri Nov 25 10:38:46 2016
41,521,37,492,41,right,0,5,1.744,Fri Nov 25 10:38:48 2016
42,579,29,521,37,right,0,9,1.94,Fri Nov 25 10:38:51 2016
43,579,29,521,37,right,0,9,2.374,Fri Nov 25 10:38:54 2016
44,463,45,579,29,left,0,4,1.325,Fri Nov 25 10:38:56 2016
45,550,33,463,45,right,0,3,1.404,Fri Nov 25 10:38:58 2016
46,492,41,463,45,right,0,1,1.297,Fri Nov 25 10:38:59 2016
47,579,29,463,45,right,0,4,1.514,Fri Nov 25 10:39:01 2016
48,463,45,550,33,left,0,3,1.325,Fri Nov 25 10:39:03 2016
49,550,33,521,37,right,0,8,5.896,Fri Nov 25 10:39:09 2016
50,579,29,463,45,right,0,4,1.623,Fri Nov 25 10:39:11 2016
51,463,45,550,33,left,0,3,1.121,Fri Nov 25 10:39:13 2016
52,550,33,463,45,right,0,3,1.137,Fri Nov 25 10:39:15 2016
53,521,37,463,45,right,0,2,1.297,Fri Nov 25 10:39:17 2016
54,492,41,463,45,left,1,1,3.708,Fri Nov 25 10:39:21 2016
55,550,33,579,29,right,1,10,9.072,Fri Nov 25 10:39:30 2016
56,463,45,492,41,left,0,1,3.967,Fri Nov 25 10:39:34 2016
57,579,29,492,41,right,0,7,1.653,Fri Nov 25 10:39:36 2016
58,521,37,550,33,left,0,8,1.671,Fri Nov 25 10:39:39 2016
59,579,29,550,33,right,0,10,5.905,Fri Nov 25 10:39:45 2016
60,579,29,550,33,right,0,10,3.166,Fri Nov 25 10:39:48 2016
61,463,45,521,37,left,0,2,1.37,Fri Nov 25 10:39:50 2016
62,463,45,579,29,left,0,4,1.56,Fri Nov 25 10:39:52 2016
63,492,41,579,29,left,0,7,2.321,Fri Nov 25 10:39:55 2016
64,492,41,579,29,left,0,7,1.68,Fri Nov 25 10:39:57 2016
65,521,37,463,45,right,0,2,1.52,Fri Nov 25 10:39:59 2016
66,579,29,463,45,right,0,4,1.432,Fri Nov 25 10:40:01 2016
67,550,33,579,29,left,0,10,2.882,Fri Nov 25 10:40:05 2016
68,550,33,521,37,left,1,8,8.978,Fri Nov 25 10:40:14 2016
69,492,41,521,37,left,0,5,2.418,Fri Nov 25 10:40:17 2016
70,579,29,550,33,left,1,10,8.386,Fri Nov 25 10:40:26 2016
71,521,37,550,33,left,0,8,3.571,Fri Nov 25 10:40:30 2016
72,492,41,550,33,left,0,6,1.775,Fri Nov 25 10:40:32 2016
73,521,37,550,33,right,1,8,7.259,Fri Nov 25 10:40:40 2016
74,463,45,579,29,left,0,4,12.125,Fri Nov 25 10:40:53 2016
75,463,45,492,41,right,1,1,3.316,Fri Nov 25 10:40:56 2016
76,579,29,521,37,right,0,9,1.278,Fri Nov 25 10:40:58 2016
77,521,37,463,45,right,0,2,1.475,Fri Nov 25 10:41:00 2016
78,521,37,492,41,right,0,5,1.688,Fri Nov 25 10:41:02 2016
79,550,33,492,41,right,0,6,1.49,Fri Nov 25 10:41:04 2016
80,521,37,579,29,left,0,9,3.011,Fri Nov 25 10:41:07 2016
81,521,37,579,29,left,0,9,1.287,Fri Nov 25 10:41:09 2016
82,463,45,579,29,left,0,4,1.36,Fri Nov 25 10:41:11 2016
83,463,45,550,33,left,0,3,1.61,Fri Nov 25 10:41:13 2016
84,463,45,521,37,left,0,2,1.819,Fri Nov 25 10:41:15 2016
85,463,45,521,37,left,0,2,1.417,Fri Nov 25 10:41:17 2016
86,550,33,521,37,left,1,8,3.493,Fri Nov 25 10:41:21 2016
87,550,33,463,45,right,0,3,1.797,Fri Nov 25 10:41:23 2016
88,550,33,492,41,right,0,6,1.774,Fri Nov 25 10:41:26 2016
89,579,29,463,45,right,0,4,2.387,Fri Nov 25 10:41:29 2016
90,521,37,463,45,right,0,2,1.339,Fri Nov 25 10:41:30 2016
91,521,37,550,33,left,0,8,2.634,Fri Nov 25 10:41:33 2016
92,579,29,521,37,right,0,9,1.448,Fri Nov 25 10:41:35 2016
93,492,41,521,37,right,1,5,3.263,Fri Nov 25 10:41:39 2016
94,579,29,521,37,right,0,9,1.956,Fri Nov 25 10:41:41 2016
95,492,41,579,29,left,0,7,1.379,Fri Nov 25 10:41:43 2016
96,492,41,521,37,left,0,5,2.112,Fri Nov 25 10:41:46 2016
97,579,29,550,33,left,1,10,4.094,Fri Nov 25 10:41:50 2016
98,550,33,492,41,right,0,6,1.18,Fri Nov 25 10:41:52 2016
99,521,37,550,33,right,1,8,3.613,Fri Nov 25 10:41:56 2016
100,492,41,521,37,left,0,5,2.909,Fri Nov 25 10:42:00 2016
101,550,33,579,29,right,1,10,4.195,Fri Nov 25 10:42:04 2016
102,579,29,550,33,left,1,10,3.806,Fri Nov 25 10:42:08 2016
103,550,33,492,41,right,0,6,1.869,Fri Nov 25 10:42:11 2016
104,550,33,463,45,right,0,3,1.706,Fri Nov 25 10:42:13 2016
105,463,45,492,41,right,1,1,4.746,Fri Nov 25 10:42:18 2016
106,492,41,550,33,left,0,6,1.567,Fri Nov 25 10:42:20 2016
107,463,45,492,41,right,1,1,2.948,Fri Nov 25 10:42:24 2016
108,521,37,492,41,right,0,5,2.542,Fri Nov 25 10:42:27 2016
109,521,37,550,33,right,1,8,6.389,Fri Nov 25 10:42:34 2016
110,463,45,492,41,left,0,1,1.119,Fri Nov 25 10:42:35 2016
111,492,41,550,33,left,0,6,4.438,Fri Nov 25 10:42:40 2016
112,492,41,550,33,left,0,6,1.496,Fri Nov 25 10:42:42 2016
113,579,29,550,33,left,1,10,6.721,Fri Nov 25 10:42:50 2016
114,579,29,550,33,left,1,10,3.247,Fri Nov 25 10:42:54 2016
115,550,33,579,29,right,1,10,4.318,Fri Nov 25 10:42:58 2016
116,463,45,492,41,left,0,1,1.642,Fri Nov 25 10:43:01 2016
117,463,45,579,29,left,0,4,1.2,Fri Nov 25 10:43:02 2016
118,492,41,550,33,left,0,6,1.689,Fri Nov 25 10:43:04 2016
119,463,45,521,37,left,0,2,1.361,Fri Nov 25 10:43:06 2016
120,550,33,579,29,right,1,10,4.266,Fri Nov 25 10:43:11 2016
121,521,37,492,41,right,0,5,8.148,Fri Nov 25 10:43:19 2016
122,492,41,579,29,left,0,7,1.357,Fri Nov 25 10:43:22 2016
123,579,29,492,41,right,0,7,7.239,Fri Nov 25 10:43:29 2016
124,521,37,550,33,left,0,8,3.727,Fri Nov 25 10:43:33 2016
125,492,41,550,33,left,0,6,7.831,Fri Nov 25 10:43:42 2016
126,579,29,463,45,right,0,4,1.156,Fri Nov 25 10:43:43 2016
127,521,37,492,41,right,0,5,1.363,Fri Nov 25 10:43:45 2016
128,463,45,521,37,left,0,2,1.327,Fri Nov 25 10:43:47 2016
129,463,45,579,29,left,0,4,1.214,Fri Nov 25 10:43:49 2016
130,521,37,463,45,right,0,2,1.416,Fri Nov 25 10:43:51 2016
131,492,41,521,37,left,0,5,2.036,Fri Nov 25 10:43:53 2016
132,521,37,579,29,left,0,9,4.603,Fri Nov 25 10:43:58 2016
133,550,33,463,45,right,0,3,1.593,Fri Nov 25 10:44:01 2016
134,521,37,550,33,left,0,8,2.034,Fri Nov 25 10:44:03 2016
135,463,45,579,29,left,0,4,1.321,Fri Nov 25 10:44:05 2016
136,579,29,521,37,right,0,9,2.122,Fri Nov 25 10:44:08 2016
137,550,33,492,41,right,0,6,1.584,Fri Nov 25 10:44:10 2016
138,492,41,579,29,left,0,7,1.817,Fri Nov 25 10:44:12 2016
139,492,41,550,33,left,0,6,1.83,Fri Nov 25 10:44:15 2016
140,521,37,492,41,right,0,5,1.742,Fri Nov 25 10:44:17 2016
141,550,33,492,41,right,0,6,5.136,Fri Nov 25 10:44:23 2016
142,550,33,579,29,right,1,10,4.691,Fri Nov 25 10:44:29 2016
143,579,29,463,45,right,0,4,4.204,Fri Nov 25 10:44:33 2016
144,550,33,463,45,right,0,3,2.256,Fri Nov 25 10:44:36 2016
145,492,41,463,45,left,1,1,5.209,Fri Nov 25 10:44:42 2016
146,579,29,492,41,right,0,7,2.241,Fri Nov 25 10:44:45 2016
147,579,29,463,45,right,0,4,1.337,Fri Nov 25 10:44:46 2016
148,463,45,492,41,left,0,1,3.587,Fri Nov 25 10:44:51 2016
149,463,45,492,41,right,1,1,2.959,Fri Nov 25 10:44:54 2016
150,492,41,463,45,left,1,1,2.712,Fri Nov 25 10:44:57 2016
151,550,33,579,29,left,0,10,3.117,Fri Nov 25 10:45:01 2016
152,492,41,579,29,left,0,7,1.471,Fri Nov 25 10:45:03 2016
153,550,33,579,29,right,1,10,4.653,Fri Nov 25 10:45:08 2016
154,521,37,463,45,right,0,2,1.847,Fri Nov 25 10:45:10 2016
155,492,41,550,33,left,0,6,10.4,Fri Nov 25 10:45:21 2016
156,579,29,492,41,right,0,7,1.165,Fri Nov 25 10:45:22 2016
157,521,37,579,29,left,0,9,1.773,Fri Nov 25 10:45:25 2016
158,579,29,550,33,right,0,10,4.719,Fri Nov 25 10:45:30 2016
159,521,37,550,33,right,1,8,4.443,Fri Nov 25 10:45:35 2016
160,550,33,463,45,right,0,3,3.476,Fri Nov 25 10:45:39 2016
161,550,33,463,45,right,0,3,1.355,Fri Nov 25 10:45:41 2016
162,521,37,463,45,right,0,2,1.509,Fri Nov 25 10:45:43 2016
163,521,37,492,41,right,0,5,7.684,Fri Nov 25 10:45:51 2016
164,492,41,463,45,left,1,1,3.684,Fri Nov 25 10:45:55 2016
165,521,37,579,29,left,0,9,14.026,Fri Nov 25 10:46:10 2016
166,550,33,521,37,left,1,8,8.304,Fri Nov 25 10:46:19 2016
167,463,45,579,29,left,0,4,2.127,Fri Nov 25 10:46:21 2016
168,463,45,492,41,right,1,1,3.211,Fri Nov 25 10:46:25 2016
169,521,37,463,45,right,0,2,2.828,Fri Nov 25 10:46:28 2016
170,579,29,492,41,right,0,7,4.823,Fri Nov 25 10:46:34 2016
171,579,29,521,37,right,0,9,7.639,Fri Nov 25 10:46:42 2016
172,463,45,492,41,right,1,1,2.919,Fri Nov 25 10:46:45 2016
173,492,41,463,45,left,1,1,2.948,Fri Nov 25 10:46:48 2016
174,463,45,579,29,left,0,4,3.458,Fri Nov 25 10:46:52 2016
175,492,41,550,33,left,0,6,2.346,Fri Nov 25 10:46:55 2016
176,521,37,492,41,right,0,5,4.495,Fri Nov 25 10:47:00 2016
177,521,37,550,33,left,0,8,7.352,Fri Nov 25 10:47:08 2016
178,521,37,579,29,left,0,9,5.399,Fri Nov 25 10:47:14 2016
179,579,29,463,45,right,0,4,2.077,Fri Nov 25 10:47:16 2016
180,463,45,550,33,left,0,3,2.15,Fri Nov 25 10:47:19 2016
181,521,37,550,33,right,1,8,4.431,Fri Nov 25 10:47:24 2016
182,463,45,579,29,left,0,4,1.874,Fri Nov 25 10:47:26 2016
183,550,33,492,41,right,0,6,1.304,Fri Nov 25 10:47:28 2016
184,579,29,550,33,right,0,10,4.214,Fri Nov 25 10:47:33 2016
185,550,33,463,45,right,0,3,4.727,Fri Nov 25 10:47:38 2016
186,579,29,492,41,right,0,7,7.314,Fri Nov 25 10:47:46 2016
187,579,29,521,37,right,0,9,2.93,Fri Nov 25 10:47:49 2016
188,463,45,521,37,left,0,2,3.581,Fri Nov 25 10:47:54 2016
189,463,45,521,37,left,0,2,1.925,Fri Nov 25 10:47:56 2016
190,492,41,521,37,left,0,5,3.894,Fri Nov 25 10:48:00 2016
191,521,37,550,33,right,1,8,3.639,Fri Nov 25 10:48:04 2016
192,521,37,579,29,left,0,9,2.953,Fri Nov 25 10:48:08 2016
193,579,29,550,33,left,1,10,20.043,Fri Nov 25 10:48:28 2016
194,492,41,463,45,left,1,1,2.596,Fri Nov 25 10:48:31 2016
195,492,41,521,37,left,0,5,3.172,Fri Nov 25 10:48:35 2016
196,579,29,492,41,right,0,7,5.679,Fri Nov 25 10:48:41 2016
197,463,45,579,29,left,0,4,2.223,Fri Nov 25 10:48:44 2016
198,492,41,579,29,left,0,7,1.672,Fri Nov 25 10:48:46 2016
199,521,37,463,45,right,0,2,1.982,Fri Nov 25 10:48:49 2016
200,492,41,579,29,left,0,7,1.551,Fri Nov 25 10:48:51 2016
