trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,579,29,463,45,right,0,4,33.49,Thu Nov 24 11:24:16 2016
2,579,29,492,41,right,0,7,14.038,Thu Nov 24 11:24:32 2016
3,579,29,463,45,right,0,4,13.729,Thu Nov 24 11:24:47 2016
4,521,37,579,29,left,0,9,23.425,Thu Nov 24 11:25:12 2016
5,463,45,492,41,left,0,1,7.934,Thu Nov 24 11:25:21 2016
6,521,37,463,45,right,0,2,10.311,Thu Nov 24 11:25:32 2016
7,550,33,521,37,right,0,8,6.745,Thu Nov 24 11:25:40 2016
8,463,45,550,33,left,0,3,8.73,Thu Nov 24 11:25:49 2016
9,492,41,463,45,right,0,1,9.961,Thu Nov 24 11:26:00 2016
10,492,41,579,29,left,0,7,5.539,Thu Nov 24 11:26:07 2016
11,550,33,579,29,left,0,10,8.407,Thu Nov 24 11:26:16 2016
12,550,33,463,45,right,0,3,7.54,Thu Nov 24 11:26:24 2016
13,550,33,492,41,right,0,6,8.27,Thu Nov 24 11:26:33 2016
14,492,41,550,33,left,0,6,5.11,Thu Nov 24 11:26:39 2016
15,492,41,521,37,left,0,5,4.909,Thu Nov 24 11:26:45 2016
16,579,29,521,37,right,0,9,6.541,Thu Nov 24 11:26:53 2016
17,521,37,492,41,right,0,5,6.613,Thu Nov 24 11:27:00 2016
18,463,45,521,37,left,0,2,5.061,Thu Nov 24 11:27:06 2016
19,492,41,579,29,left,0,7,7.134,Thu Nov 24 11:27:14 2016
20,521,37,579,29,left,0,9,6.871,Thu Nov 24 11:27:21 2016
21,579,29,550,33,right,0,10,3.229,Thu Nov 24 11:27:25 2016
22,579,29,550,33,right,0,10,4.777,Thu Nov 24 11:27:31 2016
23,521,37,463,45,right,0,2,5.359,Thu Nov 24 11:27:37 2016
24,463,45,492,41,left,0,1,2.888,Thu Nov 24 11:27:41 2016
25,550,33,463,45,right,0,3,6.451,Thu Nov 24 11:27:48 2016
26,550,33,492,41,right,0,6,4.691,Thu Nov 24 11:27:53 2016
27,463,45,550,33,left,0,3,4.574,Thu Nov 24 11:27:59 2016
28,579,29,550,33,right,0,10,12.898,Thu Nov 24 11:28:13 2016
29,550,33,463,45,right,0,3,3.729,Thu Nov 24 11:28:17 2016
30,463,45,579,29,left,0,4,10.239,Thu Nov 24 11:28:28 2016
31,550,33,579,29,left,0,10,3.367,Thu Nov 24 11:28:32 2016
32,521,37,550,33,left,0,8,4.839,Thu Nov 24 11:28:38 2016
33,463,45,550,33,left,0,3,4.582,Thu Nov 24 11:28:43 2016
34,463,45,550,33,left,0,3,4.834,Thu Nov 24 11:28:49 2016
