"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA01","DINO",0.217,0.003,0.304,0.009,0.0131874611758087
"SMA02","DINO",0.49,0.004,0.17,0.005,0.0102065828171705
"SMA03","DINO",0.227,0.003,0.189,0.007,0.0163364444999496
"SMA04","DINO",0.24,0.004,0.452,0.007,0.0274776753859635
"SMA05","DINO",0.293,0.004,0.438,0.009,0.0122466721648476
"SMA06","DINO",0.289,0.004,0.311,0.006,0.00960549283495141
"SMA07","DINO",0.283,0.003,0.192,0.007,0.012572610540277
"SMA08","DINO",0.591,0.005,0.021,0.001,0.0359674474397149
"SMA09","DINO",0.256,0.004,0.474,0.007,0.0116913729732379
"SMA10","DINO",0.163,0.002,0.3,0.008,0.0066313220824911
"SMB01","DINO",0.242,0.003,0.181,0.006,0.00640342319336598
"SMB02","DINO",0.311,0.004,0.176,0.004,0.0170944586822874
"SMB03","DINO",0.211,0.003,0.401,0.014,0.0138360161975708
"SMB04","DINO",0.296,0.004,0.389,0.009,0.0163241625790689
"SMB05","DINO",0.297,0.004,0.403,0.007,0.011376302593334
"SMB06","DINO",0.238,0.004,0.342,0.006,0.016995085846945
"SMB07","DINO",0.31,0.005,0.446,0.006,0.0173856611031275
"SMB08","DINO",0.302,0.004,0.34,0.007,0.0115111451053176
"SMB10","DINO",0.144,0.005,0.596,0.005,0.0386716601776416
