Entidad,SNPA 01,SNPA 02,SNPA 03,SNPA 04,SNPA 05,SNPA 06,SNPA 07,SNPA 08,SNPA 09,SNPA 10,SNPA 11,SNPA 12,SNPA 13,FEM 01,FEM 02,FEM 03,FEM 04,FEM 05,FEM 06,FEM 07,FEM 08,FEM 09,FEM 10,FEM 11,FEM 12,MI 01,MI 02,MI 03,MI 04,MI 05,MI 06,MI 07,MI 08,MI 09,MI 10
Nay,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
NL,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
Oaxaca,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
Pue,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
Qro,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
Q_Roo,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
SLP,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
Sin,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
Son,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
Tab,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
Tamps,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
Tlax,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
Ver,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
Yuc,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
Zac,NO Domina,NO Domina,NO Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,Domina,Domina,Domina,NO Domina,Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,NO Domina,NO Domina,Domina,Domina,NO Domina,NO Domina,Domina,Domina,Domina,NO Domina,NO Domina,NO Domina
