 TITLE='GEKA Content only w/o true false items Oct 2009'
; This control file was created by hand and does not look exactly like the files that can
; now be constructed quickly with Winsteps
;
;This line tell the program how to read the data lines
;                            
 FORMAT=(11A1,25 (1A1,1X)) 
; This is the answer key to the items
;
 KEY1="1214242311441333432113132"
; The answer to the first item starts in the 12th col of data
;
 ITEM1=12
; There are 25 items
 NI=25
; The person ID starts in the 1st col of data
 NAME1=1
; The person id is 11 col long.
 NAMLEN=11
; All answers are expressed with the numbers 1, 2, 3, and 4 
 CODES=1234
 XWIDE=1
 STBIAS=Y
 DISTRT=Y
 EXTRSC=0.3
 FITI=3.0
 CURVES=111 
 CSV=Y
;For this analysis four items were removed
idfile=*
1
5
9
25
*
 &END
Q1,tf,1
Q3,
Q5,
Q7,
Q9,tf, 5
Q11,
Q13,
Q15,
Q17,tf,9
Q19,
Q21,
Q23,
Q25,
Q27,
Q29,
Q31,
Q33,
Q35,
Q37,
Q39,
Q41,
Q43,
Q45,
Q47,
Q49,tf,25
END NAMES
9675866431,1,2,1,1,2,4,2,2,2,4,4,2,1,3,3,2,4,4,3,3,3,4,2,2,2,2,2,4,1,4,1,4,3,2,5,1,4,4,4,4,1,2,3,1,3,3,4,1,,2,2,1
6322000xxx,1,2,1,4,2,4,2,1,2,4,3,3,2,3,3,3,1,1,4,4,1,3,4,3,2,2,4,3,3,4,2,4,3,4,1,1,4,2,4,1,4,4,1,1,3,2,4,1,,2,5,1
8643914xxx,1,2,1,4,2,4,2,3,1,2,3,3,1,2,3,3,4,1,1,4,1,2,1,3,2,2,3,2,3,4,2,4,3,2,2,1,2,5,2,3,2,3,4,4,1,3,2,2,,2,3,1
1752164xxx,1,2,1,3,1,4,1,4,1,2,4,1,4,3,1,3,1,4,2,3,1,1,4,3,2,1,1,3,1,3,1,4,1,4,2,5,3,2,2,1,3,4,2,1,3,3,1,2,,1,2,1
9078309xxx,1,1,1,4,1,4,4,4,1,1,2,3,1,3,3,3,4,1,1,3,1,3,1,3,2,2,2,1,2,4,1,4,3,2,1,4,2,2,4,3,2,4,2,3,2,1,2,3,,2,1,1
458692xxxx,1,2,1,2,2,1,2,3,1,4,4,3,4,1,3,3,4,1,3,2,1,3,3,3,2,2,1,4,3,1,2,4,3,4,5,1,3,1,4,1,4,2,3,3,3,1,2,1,,2,2,1
4572138052,1,1,1,4,1,4,2,2,1,1,3,4,3,3,1,3,4,3,2,1,1,3,3,2,2,2,1,1,3,4,2,4,3,3,2,1,3,2,4,3,2,4,2,4,3,1,4,2,,2,3,1
201046xxxx,1,1,1,4,2,4,3,2,1,2,3,4,2,4,1,2,4,2,3,1,3,2,1,2,2,2,3,4,3,3,2,4,1,2,5,4,3,4,2,2,3,3,1,4,3,2,3,1,,2,1,1
1111111111,1,4,1,4,2,2,1,3,1,4,4,1,2,3,3,1,4,1,3,2,3,3,4,3,2,2,3,3,1,4,1,5,3,4,5,5,3,4,2,4,4,4,2,4,2,3,2,1,,2,2,1
201200303x,1,1,1,2,2,4,2,2,1,2,3,4,2,1,3,2,4,2,2,2,1,2,2,3,2,1,3,3,2,1,1,4,4,2,1,3,1,1,4,1,4,4,3,4,2,3,4,1,,2,2,1
