"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA01","DINA",0.238,0.003,0.265,0.012,0.00957327226505878
"SMA02","DINA",0.501,0.004,0.153,0.007,0.0116608232531259
"SMA03","DINA",0.208,0.004,0.233,0.005,0.0164111600939036
"SMA04","DINA",0.242,0.003,0.436,0.014,0.0168771453981856
"SMA05","DINA",0.289,0.004,0.446,0.008,0.0185646018023571
"SMA06","DINA",0.185,0.002,0.464,0.015,0.0353599501653988
"SMA07","DINA",0.218,0.003,0.273,0.008,0.0115231731993928
"SMA08","DINA",0.547,0.005,0.035,0.001,0.0183509296178261
"SMA09","DINA",0.26,0.003,0.463,0.014,0.0180275316815524
"SMA10","DINA",0.363,0.004,0.191,0.005,0.0136166910434912
"SMB01","DINA",0.355,0.003,0.106,0.008,0.0246730112455804
"SMB02","DINA",0.329,0.003,0.132,0.016,0.0192732698395379
"SMB03","DINA",0.168,0.004,0.519,0.007,0.0304729334700954
"SMB04","DINA",0.309,0.004,0.358,0.007,0.0102352589445728
"SMB05","DINA",0.355,0.003,0.372,0.036,0.0180499317681239
"SMB06","DINA",0.205,0.004,0.408,0.007,0.0137469901806843
"SMB07","DINA",0.347,0.004,0.392,0.017,0.0185027109733037
"SMB08","DINA",0.284,0.003,0.376,0.013,0.0124196786521036
"SMB09","DINA",0.2,0.003,0.642,0.021,0.0202770052576344
"SMB10","DINA",0.155,0.003,0.514,0.009,0.0146171643574194
