"n_participante","condicion","escala","duraciones","r_correctas","respuestas","r_corr_b","rt"
2,"Aleatoria","A",938,"l","l",1,1.485497952
2,"Aleatoria","A",875,"l, s","s",0,2.501049042
2,"Aleatoria","A",1063,"l","l",1,2.366739035
2,"Aleatoria","A",875,"l, s","l",0,1.335948944
2,"Aleatoria","A",1125,"l","l",1,1.252794981
2,"Aleatoria","A",1063,"l","s",0,1.335162163
2,"Aleatoria","A",812,"s","s",1,2.285889149
2,"Aleatoria","A",687,"s","s",1,0.918530941
2,"Aleatoria","A",687,"s","s",1,0.768213034
2,"Aleatoria","A",1000,"l","l",1,1.034727097
2,"Aleatoria","A",1000,"l","s",0,1.38601613
2,"Aleatoria","A",750,"s","s",1,1.501832008
2,"Aleatoria","A",812,"s","l",0,2.918423176
2,"Aleatoria","A",750,"s","s",1,1.519679785
2,"Aleatoria","A",625,"s","s",1,0.468590021
2,"Aleatoria","A",812,"s","s",1,1.086112022
2,"Aleatoria","A",625,"s","s",1,0.751154184
2,"Aleatoria","A",875,"l, s","s",0,2.068031788
2,"Aleatoria","A",1125,"l","l",1,1.635495901
2,"Aleatoria","A",750,"s","s",1,1.702269077
2,"Aleatoria","A",1063,"l","l",1,1.985350132
2,"Aleatoria","A",1125,"l","l",1,0.518312931
2,"Aleatoria","A",938,"l","l",1,4.319067955
2,"Aleatoria","A",625,"s","l",0,2.684987068
2,"Aleatoria","A",938,"l","l",1,1.868700981
2,"Aleatoria","A",812,"s","s",1,3.068259954
2,"Aleatoria","A",1063,"l","l",1,0.467414141
2,"Aleatoria","A",938,"l","l",1,2.684844017
2,"Aleatoria","A",687,"s","s",1,0.568114042
2,"Aleatoria","A",1000,"l","l",1,0.400929928
2,"Aleatoria","A",1125,"l","l",1,1.251903057
2,"Aleatoria","A",875,"l, s","s",0,2.568758965
2,"Aleatoria","A",875,"l, s","l",0,0.867980957
2,"Aleatoria","A",750,"s","l",0,2.117776871
2,"Aleatoria","A",938,"l","l",1,2.118330956
2,"Aleatoria","A",812,"s","s",1,1.235234022
2,"Aleatoria","A",875,"l, s","l",0,1.76906395
2,"Aleatoria","A",1000,"l","l",1,1.518529892
