"participante","condicion","escala","secuencia","duracion","corto","largo","largo_p"
5,"Bloque","B",4,1200,2,18,0.9
5,"Bloque","B",5,900,18,2,0.1
5,"Bloque","B",5,937,18,2,0.1
5,"Bloque","B",5,975,15,5,0.25
5,"Bloque","B",5,1012,15,5,0.25
5,"Bloque","B",5,1050,11,9,0.45
5,"Bloque","B",5,1088,12,8,0.4
5,"Bloque","B",5,1125,4,16,0.8
5,"Bloque","B",5,1163,2,18,0.9
5,"Bloque","B",5,1200,1,19,0.95
5,"Aleatoria","C",3,1200,19,1,0.05
5,"Aleatoria","C",3,1250,19,1,0.05
5,"Aleatoria","C",3,1300,20,0,0
5,"Aleatoria","C",3,1350,12,8,0.4
5,"Aleatoria","C",3,1400,5,15,0.75
5,"Aleatoria","C",3,1450,11,9,0.45
5,"Aleatoria","C",3,1500,4,16,0.8
5,"Aleatoria","C",3,1550,2,18,0.9
5,"Aleatoria","C",3,1600,1,19,0.95
5,"Aleatoria","C",4,1200,20,0,0
5,"Aleatoria","C",4,1250,15,5,0.25
5,"Aleatoria","C",4,1300,16,4,0.2
5,"Aleatoria","C",4,1350,9,11,0.55
5,"Aleatoria","C",4,1400,7,13,0.65
5,"Aleatoria","C",4,1450,7,13,0.65
5,"Aleatoria","C",4,1500,2,18,0.9
5,"Aleatoria","C",4,1550,3,17,0.85
5,"Aleatoria","C",4,1600,0,20,1
5,"Aleatoria","C",5,1200,20,0,0
5,"Aleatoria","C",5,1250,20,0,0
5,"Aleatoria","C",5,1300,19,1,0.05
5,"Aleatoria","C",5,1350,13,7,0.35
5,"Aleatoria","C",5,1400,9,11,0.55
5,"Aleatoria","C",5,1450,7,13,0.65
5,"Aleatoria","C",5,1500,4,16,0.8
5,"Aleatoria","C",5,1550,3,17,0.85
5,"Aleatoria","C",5,1600,4,16,0.8
5,"Bloque","C",3,1200,20,0,0
5,"Bloque","C",3,1250,19,1,0.05
5,"Bloque","C",3,1300,19,1,0.05
5,"Bloque","C",3,1350,14,6,0.3
5,"Bloque","C",3,1400,14,6,0.3
5,"Bloque","C",3,1450,8,12,0.6
5,"Bloque","C",3,1500,2,18,0.9
5,"Bloque","C",3,1550,2,18,0.9
5,"Bloque","C",3,1600,1,19,0.95
5,"Bloque","C",4,1200,20,0,0
5,"Bloque","C",4,1250,20,0,0
5,"Bloque","C",4,1300,18,2,0.1
5,"Bloque","C",4,1350,15,5,0.25
5,"Bloque","C",4,1400,10,10,0.5
5,"Bloque","C",4,1450,7,13,0.65
5,"Bloque","C",4,1500,3,17,0.85
5,"Bloque","C",4,1550,0,20,1
5,"Bloque","C",4,1600,1,19,0.95
5,"Bloque","C",5,1200,20,0,0
5,"Bloque","C",5,1250,20,0,0
5,"Bloque","C",5,1300,19,1,0.05
5,"Bloque","C",5,1350,17,3,0.15
5,"Bloque","C",5,1400,15,5,0.25
5,"Bloque","C",5,1450,5,15,0.75
5,"Bloque","C",5,1500,1,19,0.95
5,"Bloque","C",5,1550,0,20,1
5,"Bloque","C",5,1600,1,19,0.95
6,"Aleatoria","A",3,1550,18,2,0.1
6,"Aleatoria","A",3,1600,13,7,0.35
6,"Aleatoria","A",3,1650,3,17,0.85
6,"Aleatoria","A",3,1700,1,19,0.95
6,"Aleatoria","A",3,1750,0,20,1
6,"Aleatoria","A",3,1800,1,19,0.95
6,"Aleatoria","A",3,1850,0,20,1
6,"Aleatoria","A",3,1900,0,20,1
6,"Aleatoria","A",3,1950,0,20,1
6,"Aleatoria","A",4,1550,19,1,0.05
6,"Aleatoria","A",4,1600,14,6,0.3
6,"Aleatoria","A",4,1650,10,10,0.5
6,"Aleatoria","A",4,1700,1,19,0.95
6,"Aleatoria","A",4,1750,0,20,1
6,"Aleatoria","A",4,1800,0,20,1
6,"Aleatoria","A",4,1850,0,20,1
6,"Aleatoria","A",4,1900,0,20,1
6,"Aleatoria","A",4,1950,0,20,1
6,"Aleatoria","A",5,1550,18,2,0.1
6,"Aleatoria","A",5,1600,14,6,0.3
6,"Aleatoria","A",5,1650,10,10,0.5
6,"Aleatoria","A",5,1700,4,16,0.8
6,"Aleatoria","A",5,1750,2,18,0.9
6,"Aleatoria","A",5,1800,1,19,0.95
6,"Aleatoria","A",5,1850,4,16,0.8
6,"Aleatoria","A",5,1900,3,17,0.85
6,"Aleatoria","A",5,1950,2,18,0.9
6,"Bloque","A",3,1550,20,0,0
6,"Bloque","A",3,1600,19,1,0.05
6,"Bloque","A",3,1650,20,0,0
6,"Bloque","A",3,1700,18,2,0.1
6,"Bloque","A",3,1750,17,3,0.15
6,"Bloque","A",3,1800,10,10,0.5
6,"Bloque","A",3,1850,5,15,0.75
6,"Bloque","A",3,1900,1,19,0.95
6,"Bloque","A",3,1950,1,19,0.95
6,"Bloque","A",4,1550,19,1,0.05
6,"Bloque","A",4,1600,20,0,0
6,"Bloque","A",4,1650,20,0,0
6,"Bloque","A",4,1700,19,1,0.05
6,"Bloque","A",4,1750,16,4,0.2
6,"Bloque","A",4,1800,11,9,0.45
6,"Bloque","A",4,1850,7,13,0.65
6,"Bloque","A",4,1900,1,19,0.95
6,"Bloque","A",4,1950,1,19,0.95
6,"Bloque","A",5,1550,19,1,0.05
6,"Bloque","A",5,1600,19,1,0.05
6,"Bloque","A",5,1650,17,3,0.15
6,"Bloque","A",5,1700,19,1,0.05
6,"Bloque","A",5,1750,18,2,0.1
6,"Bloque","A",5,1800,11,9,0.45
6,"Bloque","A",5,1850,8,12,0.6
6,"Bloque","A",5,1900,5,15,0.75
6,"Bloque","A",5,1950,6,14,0.7
6,"Aleatoria","B",3,900,17,3,0.15
6,"Aleatoria","B",3,937,12,8,0.4
6,"Aleatoria","B",3,975,6,14,0.7
6,"Aleatoria","B",3,1012,5,15,0.75
6,"Aleatoria","B",3,1050,3,17,0.85
6,"Aleatoria","B",3,1088,3,17,0.85
6,"Aleatoria","B",3,1125,2,18,0.9
6,"Aleatoria","B",3,1163,1,19,0.95
6,"Aleatoria","B",3,1200,3,17,0.85
6,"Aleatoria","B",4,900,19,1,0.05
6,"Aleatoria","B",4,937,15,5,0.25
6,"Aleatoria","B",4,975,8,12,0.6
6,"Aleatoria","B",4,1012,6,14,0.7
6,"Aleatoria","B",4,1050,2,18,0.9
6,"Aleatoria","B",4,1088,4,16,0.8
6,"Aleatoria","B",4,1125,2,18,0.9
6,"Aleatoria","B",4,1163,2,18,0.9
6,"Aleatoria","B",4,1200,3,17,0.85
6,"Aleatoria","B",5,900,19,1,0.05
6,"Aleatoria","B",5,937,19,1,0.05
6,"Aleatoria","B",5,975,16,4,0.2
6,"Aleatoria","B",5,1012,13,7,0.35
6,"Aleatoria","B",5,1050,8,12,0.6
6,"Aleatoria","B",5,1088,4,16,0.8
6,"Aleatoria","B",5,1125,7,13,0.65
6,"Aleatoria","B",5,1163,5,15,0.75
6,"Aleatoria","B",5,1200,3,17,0.85
6,"Bloque","B",3,900,15,5,0.25
6,"Bloque","B",3,937,5,15,0.75
6,"Bloque","B",3,975,3,17,0.85
6,"Bloque","B",3,1012,0,20,1
6,"Bloque","B",3,1050,1,19,0.95
6,"Bloque","B",3,1088,0,20,1
6,"Bloque","B",3,1125,0,20,1
6,"Bloque","B",3,1163,0,20,1
6,"Bloque","B",3,1200,0,20,1
6,"Bloque","B",4,900,16,4,0.2
6,"Bloque","B",4,937,11,9,0.45
6,"Bloque","B",4,975,6,14,0.7
6,"Bloque","B",4,1012,5,15,0.75
6,"Bloque","B",4,1050,1,19,0.95
6,"Bloque","B",4,1088,1,19,0.95
6,"Bloque","B",4,1125,1,19,0.95
6,"Bloque","B",4,1163,0,20,1
6,"Bloque","B",4,1200,0,20,1
6,"Bloque","B",5,900,13,7,0.35
6,"Bloque","B",5,937,9,11,0.55
6,"Bloque","B",5,975,5,15,0.75
6,"Bloque","B",5,1012,1,19,0.95
6,"Bloque","B",5,1050,3,17,0.85
6,"Bloque","B",5,1088,2,18,0.9
6,"Bloque","B",5,1125,1,19,0.95
6,"Bloque","B",5,1163,0,20,1
6,"Bloque","B",5,1200,0,20,1
6,"Aleatoria","C",3,1200,18,2,0.1
6,"Aleatoria","C",3,1250,17,3,0.15
6,"Aleatoria","C",3,1300,20,0,0
6,"Aleatoria","C",3,1350,7,13,0.65
6,"Aleatoria","C",3,1400,3,17,0.85
6,"Aleatoria","C",3,1450,2,18,0.9
6,"Aleatoria","C",3,1500,3,17,0.85
6,"Aleatoria","C",3,1550,0,20,1
6,"Aleatoria","C",3,1600,0,20,1
6,"Aleatoria","C",4,1200,19,1,0.05
6,"Aleatoria","C",4,1250,20,0,0
6,"Aleatoria","C",4,1300,13,7,0.35
6,"Aleatoria","C",4,1350,6,14,0.7
6,"Aleatoria","C",4,1400,3,17,0.85
6,"Aleatoria","C",4,1450,5,15,0.75
6,"Aleatoria","C",4,1500,3,17,0.85
6,"Aleatoria","C",4,1550,2,18,0.9
6,"Aleatoria","C",4,1600,4,16,0.8
6,"Aleatoria","C",5,1200,19,1,0.05
6,"Aleatoria","C",5,1250,19,1,0.05
6,"Aleatoria","C",5,1300,18,2,0.1
6,"Aleatoria","C",5,1350,10,10,0.5
6,"Aleatoria","C",5,1400,3,17,0.85
6,"Aleatoria","C",5,1450,7,13,0.65
6,"Aleatoria","C",5,1500,5,15,0.75
6,"Aleatoria","C",5,1550,5,15,0.75
6,"Aleatoria","C",5,1600,6,14,0.7
6,"Bloque","C",3,1200,18,2,0.1
6,"Bloque","C",3,1250,13,7,0.35
6,"Bloque","C",3,1300,16,4,0.2
6,"Bloque","C",3,1350,4,16,0.8
6,"Bloque","C",3,1400,3,17,0.85
6,"Bloque","C",3,1450,1,19,0.95
6,"Bloque","C",3,1500,3,17,0.85
6,"Bloque","C",3,1550,2,18,0.9
6,"Bloque","C",3,1600,1,19,0.95
6,"Bloque","C",4,1200,18,2,0.1
6,"Bloque","C",4,1250,16,4,0.2
6,"Bloque","C",4,1300,15,5,0.25
6,"Bloque","C",4,1350,4,16,0.8
6,"Bloque","C",4,1400,4,16,0.8
6,"Bloque","C",4,1450,5,15,0.75
6,"Bloque","C",4,1500,2,18,0.9
6,"Bloque","C",4,1550,0,20,1
6,"Bloque","C",4,1600,1,19,0.95
6,"Bloque","C",5,1200,18,2,0.1
6,"Bloque","C",5,1250,18,2,0.1
6,"Bloque","C",5,1300,10,10,0.5
6,"Bloque","C",5,1350,8,12,0.6
6,"Bloque","C",5,1400,4,16,0.8
6,"Bloque","C",5,1450,8,12,0.6
6,"Bloque","C",5,1500,8,12,0.6
6,"Bloque","C",5,1550,4,16,0.8
6,"Bloque","C",5,1600,3,17,0.85
7,"Aleatoria","A",3,1550,20,0,0
7,"Aleatoria","A",3,1600,18,2,0.1
7,"Aleatoria","A",3,1650,15,5,0.25
7,"Aleatoria","A",3,1700,5,15,0.75
7,"Aleatoria","A",3,1750,4,16,0.8
7,"Aleatoria","A",3,1800,1,19,0.95
7,"Aleatoria","A",3,1850,1,19,0.95
7,"Aleatoria","A",3,1900,0,20,1
7,"Aleatoria","A",3,1950,0,20,1
7,"Aleatoria","A",4,1550,20,0,0
7,"Aleatoria","A",4,1600,19,1,0.05
7,"Aleatoria","A",4,1650,18,2,0.1
7,"Aleatoria","A",4,1700,6,14,0.7
7,"Aleatoria","A",4,1750,2,18,0.9
7,"Aleatoria","A",4,1800,0,20,1
7,"Aleatoria","A",4,1850,0,20,1
7,"Aleatoria","A",4,1900,0,20,1
7,"Aleatoria","A",4,1950,0,20,1
7,"Aleatoria","A",5,1550,20,0,0
7,"Aleatoria","A",5,1600,20,0,0
7,"Aleatoria","A",5,1650,17,3,0.15
7,"Aleatoria","A",5,1700,13,7,0.35
7,"Aleatoria","A",5,1750,6,14,0.7
7,"Aleatoria","A",5,1800,3,17,0.85
7,"Aleatoria","A",5,1850,0,20,1
7,"Aleatoria","A",5,1900,0,20,1
7,"Aleatoria","A",5,1950,1,19,0.95
7,"Bloque","A",3,1550,19,1,0.05
7,"Bloque","A",3,1600,20,0,0
7,"Bloque","A",3,1650,18,2,0.1
7,"Bloque","A",3,1700,8,12,0.6
7,"Bloque","A",3,1750,0,20,1
7,"Bloque","A",3,1800,4,16,0.8
7,"Bloque","A",3,1850,1,19,0.95
7,"Bloque","A",3,1900,0,20,1
7,"Bloque","A",3,1950,1,19,0.95
7,"Bloque","A",4,1550,20,0,0
7,"Bloque","A",4,1600,18,2,0.1
7,"Bloque","A",4,1650,18,2,0.1
7,"Bloque","A",4,1700,7,13,0.65
7,"Bloque","A",4,1750,2,18,0.9
7,"Bloque","A",4,1800,1,19,0.95
7,"Bloque","A",4,1850,0,20,1
7,"Bloque","A",4,1900,0,20,1
7,"Bloque","A",4,1950,0,20,1
7,"Bloque","A",5,1550,20,0,0
7,"Bloque","A",5,1600,20,0,0
7,"Bloque","A",5,1650,16,4,0.2
7,"Bloque","A",5,1700,9,11,0.55
7,"Bloque","A",5,1750,1,19,0.95
7,"Bloque","A",5,1800,0,20,1
7,"Bloque","A",5,1850,1,19,0.95
7,"Bloque","A",5,1900,0,20,1
7,"Bloque","A",5,1950,1,19,0.95
7,"Aleatoria","B",3,900,20,0,0
7,"Aleatoria","B",3,937,20,0,0
7,"Aleatoria","B",3,975,16,4,0.2
7,"Aleatoria","B",3,1012,6,14,0.7
7,"Aleatoria","B",3,1050,2,18,0.9
7,"Aleatoria","B",3,1088,1,19,0.95
7,"Aleatoria","B",3,1125,0,20,1
7,"Aleatoria","B",3,1163,0,20,1
7,"Aleatoria","B",3,1200,0,20,1
7,"Aleatoria","B",4,900,20,0,0
7,"Aleatoria","B",4,937,19,1,0.05
7,"Aleatoria","B",4,975,17,3,0.15
7,"Aleatoria","B",4,1012,10,10,0.5
7,"Aleatoria","B",4,1050,2,18,0.9
7,"Aleatoria","B",4,1088,4,16,0.8
7,"Aleatoria","B",4,1125,2,18,0.9
7,"Aleatoria","B",4,1163,0,20,1
7,"Aleatoria","B",4,1200,1,19,0.95
7,"Aleatoria","B",5,900,20,0,0
7,"Aleatoria","B",5,937,20,0,0
7,"Aleatoria","B",5,975,18,2,0.1
7,"Aleatoria","B",5,1012,14,6,0.3
7,"Aleatoria","B",5,1050,7,13,0.65
7,"Aleatoria","B",5,1088,4,16,0.8
7,"Aleatoria","B",5,1125,4,16,0.8
7,"Aleatoria","B",5,1163,3,17,0.85
7,"Aleatoria","B",5,1200,1,19,0.95
7,"Bloque","B",3,900,20,0,0
7,"Bloque","B",3,937,19,1,0.05
7,"Bloque","B",3,975,15,5,0.25
7,"Bloque","B",3,1012,4,16,0.8
7,"Bloque","B",3,1050,0,20,1
7,"Bloque","B",3,1088,0,20,1
7,"Bloque","B",3,1125,0,20,1
7,"Bloque","B",3,1163,0,20,1
7,"Bloque","B",3,1200,0,20,1
7,"Bloque","B",4,900,20,0,0
7,"Bloque","B",4,937,18,2,0.1
7,"Bloque","B",4,975,14,6,0.3
7,"Bloque","B",4,1012,6,14,0.7
7,"Bloque","B",4,1050,1,19,0.95
7,"Bloque","B",4,1088,0,20,1
7,"Bloque","B",4,1125,0,20,1
7,"Bloque","B",4,1163,0,20,1
7,"Bloque","B",4,1200,0,20,1
7,"Bloque","B",5,900,20,0,0
7,"Bloque","B",5,937,20,0,0
7,"Bloque","B",5,975,18,2,0.1
7,"Bloque","B",5,1012,7,13,0.65
7,"Bloque","B",5,1050,3,17,0.85
7,"Bloque","B",5,1088,1,19,0.95
7,"Bloque","B",5,1125,0,20,1
7,"Bloque","B",5,1163,0,20,1
7,"Bloque","B",5,1200,2,18,0.9
7,"Aleatoria","C",3,1200,19,1,0.05
7,"Aleatoria","C",3,1250,20,0,0
7,"Aleatoria","C",3,1300,20,0,0
7,"Aleatoria","C",3,1350,1,19,0.95
7,"Aleatoria","C",3,1400,2,18,0.9
7,"Aleatoria","C",3,1450,0,20,1
7,"Aleatoria","C",3,1500,0,20,1
7,"Aleatoria","C",3,1550,1,19,0.95
7,"Aleatoria","C",3,1600,0,20,1
7,"Aleatoria","C",4,1200,20,0,0
7,"Aleatoria","C",4,1250,20,0,0
7,"Aleatoria","C",4,1300,14,6,0.3
7,"Aleatoria","C",4,1350,4,16,0.8
7,"Aleatoria","C",4,1400,1,19,0.95
7,"Aleatoria","C",4,1450,0,20,1
7,"Aleatoria","C",4,1500,2,18,0.9
7,"Aleatoria","C",4,1550,0,20,1
7,"Aleatoria","C",4,1600,1,19,0.95
7,"Aleatoria","C",5,1200,20,0,0
7,"Aleatoria","C",5,1250,20,0,0
7,"Aleatoria","C",5,1300,18,2,0.1
7,"Aleatoria","C",5,1350,9,11,0.55
7,"Aleatoria","C",5,1400,5,15,0.75
7,"Aleatoria","C",5,1450,3,17,0.85
7,"Aleatoria","C",5,1500,0,20,1
7,"Aleatoria","C",5,1550,2,18,0.9
7,"Aleatoria","C",5,1600,0,20,1
7,"Bloque","C",3,1200,19,1,0.05
7,"Bloque","C",3,1250,18,2,0.1
7,"Bloque","C",3,1300,19,1,0.05
7,"Bloque","C",3,1350,4,16,0.8
7,"Bloque","C",3,1400,1,19,0.95
7,"Bloque","C",3,1450,0,20,1
7,"Bloque","C",3,1500,0,20,1
7,"Bloque","C",3,1550,0,20,1
7,"Bloque","C",3,1600,0,20,1
7,"Bloque","C",4,1200,20,0,0
7,"Bloque","C",4,1250,19,1,0.05
7,"Bloque","C",4,1300,11,9,0.45
7,"Bloque","C",4,1350,7,13,0.65
7,"Bloque","C",4,1400,3,17,0.85
7,"Bloque","C",4,1450,0,20,1
7,"Bloque","C",4,1500,1,19,0.95
7,"Bloque","C",4,1550,0,20,1
7,"Bloque","C",4,1600,0,20,1
7,"Bloque","C",5,1200,20,0,0
7,"Bloque","C",5,1250,19,1,0.05
7,"Bloque","C",5,1300,19,1,0.05
7,"Bloque","C",5,1350,6,14,0.7
7,"Bloque","C",5,1400,4,16,0.8
7,"Bloque","C",5,1450,0,20,1
7,"Bloque","C",5,1500,0,20,1
7,"Bloque","C",5,1550,0,20,1
7,"Bloque","C",5,1600,0,20,1
8,"Aleatoria","A",3,1550,20,0,0
8,"Aleatoria","A",3,1600,19,1,0.05
8,"Aleatoria","A",3,1650,18,2,0.1
8,"Aleatoria","A",3,1700,11,9,0.45
8,"Aleatoria","A",3,1750,11,9,0.45
8,"Aleatoria","A",3,1800,7,13,0.65
8,"Aleatoria","A",3,1850,5,15,0.75
8,"Aleatoria","A",3,1900,1,19,0.95
8,"Aleatoria","A",3,1950,1,19,0.95
8,"Aleatoria","A",4,1550,20,0,0
8,"Aleatoria","A",4,1600,18,2,0.1
8,"Aleatoria","A",4,1650,17,3,0.15
8,"Aleatoria","A",4,1700,14,6,0.3
8,"Aleatoria","A",4,1750,12,8,0.4
8,"Aleatoria","A",4,1800,2,18,0.9
8,"Aleatoria","A",4,1850,2,18,0.9
8,"Aleatoria","A",4,1900,0,20,1
8,"Aleatoria","A",4,1950,0,20,1
8,"Aleatoria","A",5,1550,18,2,0.1
8,"Aleatoria","A",5,1600,19,1,0.05
8,"Aleatoria","A",5,1650,18,2,0.1
8,"Aleatoria","A",5,1700,15,5,0.25
8,"Aleatoria","A",5,1750,9,11,0.55
8,"Aleatoria","A",5,1800,4,16,0.8
8,"Aleatoria","A",5,1850,0,20,1
8,"Aleatoria","A",5,1900,1,19,0.95
8,"Aleatoria","A",5,1950,1,19,0.95
8,"Bloque","A",3,1550,20,0,0
8,"Bloque","A",3,1600,20,0,0
8,"Bloque","A",3,1650,19,1,0.05
8,"Bloque","A",3,1700,15,5,0.25
8,"Bloque","A",3,1750,5,15,0.75
8,"Bloque","A",3,1800,3,17,0.85
8,"Bloque","A",3,1850,1,19,0.95
8,"Bloque","A",3,1900,1,19,0.95
8,"Bloque","A",3,1950,0,20,1
8,"Bloque","A",4,1550,20,0,0
8,"Bloque","A",4,1600,20,0,0
8,"Bloque","A",4,1650,20,0,0
8,"Bloque","A",4,1700,18,2,0.1
8,"Bloque","A",4,1750,14,6,0.3
8,"Bloque","A",4,1800,3,17,0.85
8,"Bloque","A",4,1850,0,20,1
8,"Bloque","A",4,1900,0,20,1
8,"Bloque","A",4,1950,0,20,1
8,"Bloque","A",5,1550,20,0,0
8,"Bloque","A",5,1600,20,0,0
8,"Bloque","A",5,1650,20,0,0
8,"Bloque","A",5,1700,17,3,0.15
8,"Bloque","A",5,1750,10,10,0.5
8,"Bloque","A",5,1800,2,18,0.9
8,"Bloque","A",5,1850,0,20,1
8,"Bloque","A",5,1900,1,19,0.95
8,"Bloque","A",5,1950,0,20,1
8,"Aleatoria","B",3,900,20,0,0
8,"Aleatoria","B",3,937,20,0,0
8,"Aleatoria","B",3,975,16,4,0.2
8,"Aleatoria","B",3,1012,11,9,0.45
8,"Aleatoria","B",3,1050,9,11,0.55
8,"Aleatoria","B",3,1088,6,14,0.7
8,"Aleatoria","B",3,1125,2,18,0.9
8,"Aleatoria","B",3,1163,0,20,1
8,"Aleatoria","B",3,1200,0,20,1
8,"Aleatoria","B",4,900,19,1,0.05
8,"Aleatoria","B",4,937,18,2,0.1
8,"Aleatoria","B",4,975,18,2,0.1
8,"Aleatoria","B",4,1012,11,9,0.45
8,"Aleatoria","B",4,1050,11,9,0.45
8,"Aleatoria","B",4,1088,5,15,0.75
8,"Aleatoria","B",4,1125,1,19,0.95
8,"Aleatoria","B",4,1163,1,19,0.95
8,"Aleatoria","B",4,1200,0,20,1
8,"Aleatoria","B",5,900,20,0,0
8,"Aleatoria","B",5,937,20,0,0
8,"Aleatoria","B",5,975,17,3,0.15
8,"Aleatoria","B",5,1012,17,3,0.15
8,"Aleatoria","B",5,1050,19,1,0.05
8,"Aleatoria","B",5,1088,8,12,0.6
8,"Aleatoria","B",5,1125,3,17,0.85
8,"Aleatoria","B",5,1163,0,20,1
8,"Aleatoria","B",5,1200,0,20,1
8,"Bloque","B",3,900,18,2,0.1
8,"Bloque","B",3,937,20,0,0
8,"Bloque","B",3,975,17,3,0.15
8,"Bloque","B",3,1012,14,6,0.3
8,"Bloque","B",3,1050,5,15,0.75
8,"Bloque","B",3,1088,3,17,0.85
8,"Bloque","B",3,1125,2,18,0.9
8,"Bloque","B",3,1163,1,19,0.95
8,"Bloque","B",3,1200,1,19,0.95
8,"Bloque","B",4,900,20,0,0
8,"Bloque","B",4,937,20,0,0
8,"Bloque","B",4,975,17,3,0.15
8,"Bloque","B",4,1012,16,4,0.2
8,"Bloque","B",4,1050,13,7,0.35
8,"Bloque","B",4,1088,3,17,0.85
8,"Bloque","B",4,1125,1,19,0.95
8,"Bloque","B",4,1163,0,20,1
8,"Bloque","B",4,1200,0,20,1
8,"Bloque","B",5,900,19,1,0.05
8,"Bloque","B",5,937,20,0,0
8,"Bloque","B",5,975,20,0,0
8,"Bloque","B",5,1012,12,8,0.4
8,"Bloque","B",5,1050,8,12,0.6
8,"Bloque","B",5,1088,2,18,0.9
8,"Bloque","B",5,1125,0,20,1
8,"Bloque","B",5,1163,0,20,1
8,"Bloque","B",5,1200,0,20,1
8,"Aleatoria","C",3,1200,20,0,0
8,"Aleatoria","C",3,1250,20,0,0
8,"Aleatoria","C",3,1300,19,1,0.05
8,"Aleatoria","C",3,1350,15,5,0.25
8,"Aleatoria","C",3,1400,8,12,0.6
8,"Aleatoria","C",3,1450,4,16,0.8
8,"Aleatoria","C",3,1500,3,17,0.85
8,"Aleatoria","C",3,1550,0,20,1
8,"Aleatoria","C",3,1600,0,20,1
8,"Aleatoria","C",4,1200,18,2,0.1
8,"Aleatoria","C",4,1250,19,1,0.05
8,"Aleatoria","C",4,1300,18,2,0.1
8,"Aleatoria","C",4,1350,10,10,0.5
8,"Aleatoria","C",4,1400,9,11,0.55
8,"Aleatoria","C",4,1450,3,17,0.85
8,"Aleatoria","C",4,1500,2,18,0.9
8,"Aleatoria","C",4,1550,1,19,0.95
8,"Aleatoria","C",4,1600,1,19,0.95
8,"Aleatoria","C",5,1200,20,0,0
8,"Aleatoria","C",5,1250,20,0,0
8,"Aleatoria","C",5,1300,19,1,0.05
8,"Aleatoria","C",5,1350,19,1,0.05
8,"Aleatoria","C",5,1400,10,10,0.5
8,"Aleatoria","C",5,1450,5,15,0.75
8,"Aleatoria","C",5,1500,0,20,1
8,"Aleatoria","C",5,1550,1,19,0.95
8,"Aleatoria","C",5,1600,1,19,0.95
8,"Bloque","C",3,1200,20,0,0
8,"Bloque","C",3,1250,19,1,0.05
8,"Bloque","C",3,1300,20,0,0
8,"Bloque","C",3,1350,9,11,0.55
8,"Bloque","C",3,1400,6,14,0.7
8,"Bloque","C",3,1450,2,18,0.9
8,"Bloque","C",3,1500,0,20,1
8,"Bloque","C",3,1550,1,19,0.95
8,"Bloque","C",3,1600,0,20,1
8,"Bloque","C",4,1200,20,0,0
8,"Bloque","C",4,1250,20,0,0
8,"Bloque","C",4,1300,19,1,0.05
8,"Bloque","C",4,1350,10,10,0.5
8,"Bloque","C",4,1400,11,9,0.45
8,"Bloque","C",4,1450,5,15,0.75
8,"Bloque","C",4,1500,0,20,1
8,"Bloque","C",4,1550,0,20,1
8,"Bloque","C",4,1600,1,19,0.95
8,"Bloque","C",5,1200,20,0,0
8,"Bloque","C",5,1250,20,0,0
8,"Bloque","C",5,1300,18,2,0.1
8,"Bloque","C",5,1350,16,4,0.2
8,"Bloque","C",5,1400,11,9,0.45
8,"Bloque","C",5,1450,4,16,0.8
8,"Bloque","C",5,1500,2,18,0.9
8,"Bloque","C",5,1550,2,18,0.9
8,"Bloque","C",5,1600,0,20,1
9,"Aleatoria","A",3,1550,18,2,0.1
9,"Aleatoria","A",3,1600,17,3,0.15
9,"Aleatoria","A",3,1650,12,8,0.4
9,"Aleatoria","A",3,1700,11,9,0.45
9,"Aleatoria","A",3,1750,11,9,0.45
9,"Aleatoria","A",3,1800,9,11,0.55
9,"Aleatoria","A",3,1850,8,12,0.6
9,"Aleatoria","A",3,1900,5,15,0.75
9,"Aleatoria","A",3,1950,4,16,0.8
9,"Aleatoria","A",4,1550,20,0,0
9,"Aleatoria","A",4,1600,19,1,0.05
9,"Aleatoria","A",4,1650,18,2,0.1
9,"Aleatoria","A",4,1700,11,9,0.45
9,"Aleatoria","A",4,1750,13,7,0.35
9,"Aleatoria","A",4,1800,13,7,0.35
9,"Aleatoria","A",4,1850,3,17,0.85
9,"Aleatoria","A",4,1900,3,17,0.85
9,"Aleatoria","A",4,1950,2,18,0.9
9,"Aleatoria","A",5,1550,20,0,0
9,"Aleatoria","A",5,1600,20,0,0
9,"Aleatoria","A",5,1650,16,4,0.2
9,"Aleatoria","A",5,1700,12,8,0.4
9,"Aleatoria","A",5,1750,12,8,0.4
9,"Aleatoria","A",5,1800,10,10,0.5
9,"Aleatoria","A",5,1850,2,18,0.9
9,"Aleatoria","A",5,1900,0,20,1
9,"Aleatoria","A",5,1950,2,18,0.9
9,"Bloque","A",3,1550,19,1,0.05
9,"Bloque","A",3,1600,16,4,0.2
9,"Bloque","A",3,1650,18,2,0.1
9,"Bloque","A",3,1700,13,7,0.35
9,"Bloque","A",3,1750,7,13,0.65
9,"Bloque","A",3,1800,11,9,0.45
9,"Bloque","A",3,1850,3,17,0.85
9,"Bloque","A",3,1900,4,16,0.8
9,"Bloque","A",3,1950,1,19,0.95
9,"Bloque","A",4,1550,19,1,0.05
9,"Bloque","A",4,1600,19,1,0.05
9,"Bloque","A",4,1650,20,0,0
9,"Bloque","A",4,1700,12,8,0.4
9,"Bloque","A",4,1750,13,7,0.35
9,"Bloque","A",4,1800,8,12,0.6
9,"Bloque","A",4,1850,5,15,0.75
9,"Bloque","A",4,1900,3,17,0.85
9,"Bloque","A",4,1950,2,18,0.9
9,"Bloque","A",5,1550,19,1,0.05
9,"Bloque","A",5,1600,19,1,0.05
9,"Bloque","A",5,1650,17,3,0.15
9,"Bloque","A",5,1700,16,4,0.2
